	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
11	0.24656	0.07183	0.00497	0.15943	0.68008	0.00831	0.19804	0.05804	0.00935	0.14191	0.63307	0.01509	0.20828	0.04439	0.01567	0.14210	0.63939	0.02360	0.02458	-0.00755	0.02187	0.07285	0.45018	0.03003
12	0.24650	0.07207	0.00498	0.15914	0.68010	0.00827	0.19803	0.05818	0.00957	0.14174	0.63305	0.01513	0.20828	0.04457	0.01592	0.14185	0.63939	0.02363	0.02467	-0.00774	0.02179	0.07324	0.44994	0.02985
13	0.24657	0.07208	0.00514	0.15897	0.68006	0.00825	0.19812	0.05815	0.00987	0.14162	0.63305	0.01553	0.20837	0.04455	0.01626	0.14167	0.63938	0.02403	0.02479	-0.00791	0.02179	0.07345	0.44978	0.02975
14	0.24673	0.07186	0.00528	0.15898	0.67995	0.00830	0.19827	0.05800	0.01011	0.14163	0.63304	0.01621	0.20850	0.04438	0.01650	0.14167	0.63934	0.02474	0.02485	-0.00785	0.02184	0.07348	0.44971	0.02967
15	0.24692	0.07155	0.00531	0.15917	0.67983	0.00841	0.19843	0.05780	0.01012	0.14178	0.63299	0.01659	0.20862	0.04415	0.01648	0.14186	0.63925	0.02515	0.02485	-0.00762	0.02191	0.07343	0.44970	0.02964
16	0.24708	0.07129	0.00535	0.15946	0.67979	0.00855	0.19854	0.05763	0.00993	0.14201	0.63289	0.01627	0.20872	0.04395	0.01626	0.14215	0.63916	0.02482	0.02486	-0.00747	0.02200	0.07335	0.44975	0.02972
17	0.24715	0.07113	0.00555	0.15985	0.67981	0.00866	0.19858	0.05749	0.00978	0.14232	0.63282	0.01560	0.20876	0.04381	0.01610	0.14248	0.63912	0.02413	0.02489	-0.00753	0.02210	0.07328	0.44988	0.02989
18	0.24714	0.07104	0.00584	0.16032	0.67983	0.00869	0.19855	0.05737	0.00982	0.14270	0.63283	0.01531	0.20874	0.04369	0.01613	0.14285	0.63916	0.02382	0.02491	-0.00780	0.02216	0.07331	0.45005	0.02999
19	0.24704	0.07103	0.00606	0.16078	0.67985	0.00865	0.19847	0.05728	0.00998	0.14309	0.63293	0.01564	0.20869	0.04360	0.01627	0.14322	0.63924	0.02416	0.02492	-0.00815	0.02219	0.07349	0.45020	0.02991
20	0.24689	0.07110	0.00613	0.16101	0.67991	0.00863	0.19835	0.05726	0.01018	0.14331	0.63309	0.01624	0.20859	0.04358	0.01641	0.14342	0.63938	0.02478	0.02490	-0.00845	0.02220	0.07376	0.45028	0.02973
21	0.24670	0.07122	0.00612	0.16088	0.68008	0.00871	0.19820	0.05734	0.01039	0.14326	0.63328	0.01667	0.20844	0.04364	0.01657	0.14337	0.63955	0.02522	0.02479	-0.00855	0.02218	0.07402	0.45032	0.02958
22	0.24653	0.07135	0.00612	0.16050	0.68029	0.00885	0.19804	0.05745	0.01055	0.14300	0.63343	0.01670	0.20829	0.04374	0.01672	0.14313	0.63968	0.02526	0.02463	-0.00846	0.02213	0.07422	0.45030	0.02958
23	0.24641	0.07144	0.00605	0.16003	0.68041	0.00893	0.19792	0.05754	0.01053	0.14268	0.63343	0.01636	0.20816	0.04384	0.01673	0.14283	0.63969	0.02491	0.02451	-0.00835	0.02212	0.07439	0.45014	0.02976
24	0.24633	0.07152	0.00582	0.15958	0.68042	0.00889	0.19786	0.05761	0.01033	0.14238	0.63333	0.01599	0.20811	0.04394	0.01659	0.14255	0.63960	0.02454	0.02449	-0.00837	0.02218	0.07460	0.44989	0.02990
25	0.24632	0.07162	0.00545	0.15936	0.68039	0.00874	0.19787	0.05767	0.01017	0.14227	0.63329	0.01601	0.20813	0.04405	0.01651	0.14244	0.63954	0.02457	0.02457	-0.00845	0.02219	0.07484	0.44970	0.02967
26	0.24641	0.07167	0.00517	0.15968	0.68034	0.00863	0.19799	0.05771	0.01013	0.14256	0.63331	0.01633	0.20825	0.04413	0.01655	0.14271	0.63953	0.02491	0.02472	-0.00849	0.02209	0.07507	0.44968	0.02909
27	0.24658	0.07161	0.00520	0.16040	0.68027	0.00870	0.19815	0.05767	0.01011	0.14316	0.63332	0.01657	0.20840	0.04412	0.01661	0.14328	0.63951	0.02517	0.02486	-0.00849	0.02200	0.07528	0.44978	0.02858
28	0.24668	0.07149	0.00545	0.16093	0.68027	0.00893	0.19822	0.05758	0.01008	0.14361	0.63333	0.01667	0.20845	0.04403	0.01660	0.14371	0.63953	0.02528	0.02489	-0.00847	0.02203	0.07547	0.44988	0.02843
29	0.24657	0.07144	0.00571	0.16082	0.68035	0.00925	0.19807	0.05754	0.01003	0.14353	0.63335	0.01673	0.20831	0.04397	0.01651	0.14362	0.63956	0.02533	0.02473	-0.00845	0.02220	0.07556	0.44984	0.02856
30	0.24633	0.07149	0.00587	0.16014	0.68037	0.00952	0.19782	0.05759	0.00992	0.14297	0.63327	0.01665	0.20807	0.04402	0.01637	0.14307	0.63948	0.02525	0.02451	-0.00842	0.02243	0.07541	0.44963	0.02876
31	0.24615	0.07165	0.00588	0.15932	0.68024	0.00960	0.19763	0.05770	0.00971	0.14227	0.63305	0.01636	0.20790	0.04417	0.01619	0.14238	0.63927	0.02495	0.02440	-0.00845	0.02262	0.07508	0.44929	0.02884
32	0.24608	0.07188	0.00567	0.15872	0.68005	0.00948	0.19756	0.05788	0.00938	0.14174	0.63280	0.01600	0.20787	0.04439	0.01593	0.14187	0.63902	0.02458	0.02445	-0.00848	0.02277	0.07482	0.44896	0.02872
33	0.24608	0.07205	0.00525	0.15847	0.67990	0.00928	0.19757	0.05803	0.00898	0.14153	0.63263	0.01581	0.20790	0.04457	0.01554	0.14166	0.63884	0.02440	0.02453	-0.00837	0.02299	0.07476	0.44873	0.02850
34	0.24612	0.07197	0.00492	0.15853	0.67986	0.00916	0.19759	0.05801	0.00863	0.14160	0.63261	0.01583	0.20792	0.04454	0.01515	0.14174	0.63882	0.02443	0.02450	-0.00814	0.02325	0.07484	0.44870	0.02841
35	0.24612	0.07167	0.00496	0.15893	0.67998	0.00912	0.19755	0.05781	0.00856	0.14193	0.63276	0.01585	0.20787	0.04428	0.01500	0.14207	0.63898	0.02444	0.02437	-0.00803	0.02344	0.07492	0.44895	0.02852
36	0.24605	0.07140	0.00529	0.15960	0.68018	0.00906	0.19747	0.05756	0.00879	0.14247	0.63300	0.01570	0.20779	0.04400	0.01517	0.14260	0.63923	0.02428	0.02425	-0.00823	0.02347	0.07500	0.44938	0.02873
37	0.24600	0.07132	0.00557	0.16017	0.68035	0.00891	0.19745	0.05743	0.00915	0.14296	0.63320	0.01550	0.20775	0.04387	0.01554	0.14306	0.63946	0.02406	0.02423	-0.00850	0.02328	0.07518	0.44972	0.02883
38	0.24608	0.07138	0.00551	0.16025	0.68043	0.00871	0.19754	0.05749	0.00937	0.14307	0.63328	0.01546	0.20782	0.04394	0.01580	0.14313	0.63955	0.02400	0.02428	-0.00845	0.02293	0.07547	0.44972	0.02870
39	0.24618	0.07150	0.00510	0.15988	0.68040	0.00856	0.19766	0.05767	0.00930	0.14282	0.63325	0.01555	0.20792	0.04411	0.01575	0.14283	0.63951	0.02410	0.02430	-0.00805	0.02262	0.07577	0.44946	0.02837
40	0.24616	0.07168	0.00457	0.15948	0.68038	0.00854	0.19764	0.05789	0.00898	0.14252	0.63320	0.01559	0.20790	0.04431	0.01540	0.14249	0.63945	0.02415	0.02425	-0.00768	0.02259	0.07589	0.44923	0.02802
41	0.24602	0.07186	0.00423	0.15932	0.68043	0.00866	0.19751	0.05807	0.00867	0.14237	0.63323	0.01560	0.20779	0.04449	0.01504	0.14233	0.63947	0.02417	0.02417	-0.00752	0.02283	0.07580	0.44923	0.02782
42	0.24593	0.07196	0.00415	0.15926	0.68049	0.00884	0.19742	0.05817	0.00856	0.14228	0.63330	0.01577	0.20771	0.04459	0.01492	0.14225	0.63953	0.02434	0.02412	-0.00744	0.02310	0.07559	0.44932	0.02779
43	0.24604	0.07194	0.00420	0.15911	0.68039	0.00899	0.19751	0.05819	0.00862	0.14213	0.63323	0.01611	0.20780	0.04460	0.01497	0.14211	0.63945	0.02469	0.02416	-0.00727	0.02318	0.07542	0.44925	0.02786
44	0.24625	0.07183	0.00423	0.15903	0.68005	0.00909	0.19772	0.05812	0.00868	0.14203	0.63292	0.01639	0.20798	0.04451	0.01501	0.14203	0.63912	0.02499	0.02428	-0.00715	0.02308	0.07526	0.44895	0.02795
45	0.24641	0.07163	0.00425	0.15926	0.67955	0.00910	0.19786	0.05794	0.00865	0.14216	0.63245	0.01637	0.20813	0.04431	0.01496	0.14219	0.63865	0.02497	0.02440	-0.00730	0.02290	0.07496	0.44864	0.02799
46	0.24642	0.07134	0.00435	0.15977	0.67911	0.00904	0.19787	0.05764	0.00860	0.14249	0.63205	0.01610	0.20813	0.04402	0.01494	0.14256	0.63825	0.02470	0.02441	-0.00766	0.02269	0.07454	0.44852	0.02787
47	0.24636	0.07102	0.00454	0.16029	0.67894	0.00900	0.19779	0.05732	0.00873	0.14283	0.63192	0.01597	0.20803	0.04372	0.01514	0.14295	0.63812	0.02458	0.02430	-0.00794	0.02245	0.07417	0.44865	0.02759
48	0.24633	0.07068	0.00475	0.16062	0.67907	0.00915	0.19776	0.05705	0.00902	0.14307	0.63210	0.01617	0.20796	0.04345	0.01548	0.14321	0.63826	0.02480	0.02413	-0.00797	0.02228	0.07401	0.44895	0.02731
49	0.24644	0.07032	0.00494	0.16065	0.67938	0.00953	0.19783	0.05682	0.00923	0.14311	0.63240	0.01651	0.20798	0.04319	0.01572	0.14329	0.63853	0.02516	0.02402	-0.00776	0.02221	0.07403	0.44924	0.02724
50	0.24668	0.07005	0.00513	0.16044	0.67969	0.00998	0.19803	0.05668	0.00930	0.14298	0.63265	0.01677	0.20814	0.04302	0.01578	0.14318	0.63875	0.02544	0.02403	-0.00744	0.02210	0.07415	0.44937	0.02727
