	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	-2.47232	-46.72310	212.80891	3.80531	50.81628	571.73517
2	-2.45387	-46.75691	212.94408	3.79017	50.81681	571.74353
3	-2.43544	-46.79084	213.07962	3.77502	50.81732	571.75171
4	-2.41702	-46.82504	213.21590	3.75986	50.81783	571.75946
5	-2.39863	-46.85962	213.35327	3.74468	50.81832	571.76685
6	-2.38027	-46.89470	213.49210	3.72949	50.81879	571.77350
7	-2.36196	-46.93042	213.63278	3.71428	50.81924	571.77942
8	-2.34370	-46.96692	213.77567	3.69903	50.81965	571.78424
9	-2.32551	-47.00430	213.92113	3.68376	50.82003	571.78796
10	-2.30739	-47.04271	214.06952	3.66845	50.82037	571.79034
11	-2.28935	-47.08223	214.22115	3.65310	50.82066	571.79126
12	-2.27141	-47.12286	214.37590	3.63771	50.82089	571.79071
13	-2.25358	-47.16456	214.53369	3.62229	50.82106	571.78857
14	-2.23589	-47.20728	214.69429	3.60684	50.82115	571.78503
15	-2.21834	-47.25098	214.85764	3.59137	50.82115	571.77991
16	-2.20095	-47.29561	215.02353	3.57588	50.82106	571.77332
17	-2.18373	-47.34114	215.19182	3.56037	50.82086	571.76514
18	-2.16672	-47.38753	215.36234	3.54485	50.82054	571.75537
19	-2.14991	-47.43473	215.53499	3.52933	50.82010	571.74408
20	-2.13333	-47.48270	215.70959	3.51381	50.81951	571.73126
21	-2.11698	-47.53143	215.88611	3.49828	50.81878	571.71680
22	-2.10088	-47.58091	216.06448	3.48274	50.81789	571.70068
23	-2.08504	-47.63113	216.24472	3.46719	50.81683	571.68286
24	-2.06947	-47.68209	216.42673	3.45164	50.81560	571.66327
25	-2.05418	-47.73377	216.61050	3.43607	50.81418	571.64185
26	-2.03918	-47.78616	216.79599	3.42048	50.81258	571.61865
27	-2.02449	-47.83925	216.98317	3.40488	50.81076	571.59357
28	-2.01010	-47.89304	217.17198	3.38925	50.80873	571.56659
29	-1.99604	-47.94751	217.36238	3.37360	50.80648	571.53760
30	-1.98231	-48.00264	217.55431	3.35792	50.80400	571.50659
31	-1.96893	-48.05839	217.74765	3.34221	50.80128	571.47357
32	-1.95590	-48.11474	217.94232	3.32647	50.79831	571.43854
33	-1.94323	-48.17166	218.13821	3.31069	50.79509	571.40137
34	-1.93094	-48.22912	218.33527	3.29487	50.79161	571.36212
35	-1.91903	-48.28708	218.53336	3.27900	50.78787	571.32074
36	-1.90752	-48.34553	218.73242	3.26308	50.78385	571.27722
37	-1.89641	-48.40443	218.93233	3.24712	50.77954	571.23151
38	-1.88571	-48.46376	219.13303	3.23109	50.77494	571.18359
39	-1.87544	-48.52348	219.33440	3.21501	50.77005	571.13342
40	-1.86559	-48.58356	219.53639	3.19887	50.76485	571.08105
41	-1.85619	-48.64398	219.73891	3.18267	50.75935	571.02643
42	-1.84724	-48.70471	219.94185	3.16640	50.75352	570.96948
43	-1.83875	-48.76572	220.14513	3.15006	50.74738	570.91022
44	-1.83072	-48.82698	220.34869	3.13366	50.74090	570.84863
45	-1.82317	-48.88847	220.55243	3.11718	50.73409	570.78479
46	-1.81611	-48.95016	220.75629	3.10063	50.72694	570.71857
47	-1.80954	-49.01201	220.96014	3.08400	50.71944	570.64996
48	-1.80348	-49.07399	221.16393	3.06729	50.71159	570.57898
49	-1.79792	-49.13607	221.36754	3.05050	50.70340	570.50562
50	-1.79287	-49.19822	221.57089	3.03365	50.69485	570.42987
51	-1.78833	-49.26040	221.77388	3.01671	50.68594	570.35175
52	-1.78433	-49.32258	221.97643	2.99971	50.67668	570.27124
53	-1.78085	-49.38472	222.17844	2.98263	50.66707	570.18829
54	-1.77790	-49.44679	222.37981	2.96548	50.65709	570.10303
55	-1.77550	-49.50876	222.58046	2.94826	50.64676	570.01532
56	-1.77364	-49.57059	222.78029	2.93096	50.63607	569.92523
57	-1.77233	-49.63225	222.97925	2.91360	50.62503	569.83270
58	-1.77157	-49.69371	223.17719	2.89618	50.61363	569.73785
59	-1.77137	-49.75492	223.37408	2.87869	50.60189	569.64075
60	-1.77172	-49.81587	223.56982	2.86115	50.58982	569.54120
61	-1.77263	-49.87651	223.76434	2.84354	50.57741	569.43945
62	-1.77409	-49.93683	223.95753	2.82589	50.56468	569.33545
63	-1.77612	-49.99677	224.14934	2.80818	50.55162	569.22925
64	-1.77872	-50.05632	224.33966	2.79042	50.53825	569.12085
65	-1.78188	-50.11543	224.52843	2.77262	50.52457	569.01025
66	-1.78560	-50.17407	224.71555	2.75478	50.51060	568.89758
67	-1.78988	-50.23223	224.90097	2.73690	50.49634	568.78278
68	-1.79472	-50.28985	225.08458	2.71899	50.48179	568.66602
69	-1.80011	-50.34692	225.26634	2.70106	50.46697	568.54718
70	-1.80605	-50.40341	225.44615	2.68310	50.45189	568.42639
71	-1.81253	-50.45928	225.62396	2.66513	50.43657	568.30371
72	-1.81956	-50.51451	225.79967	2.64715	50.42100	568.17926
73	-1.82712	-50.56906	225.97321	2.62916	50.40520	568.05292
74	-1.83522	-50.62291	226.14452	2.61118	50.38918	567.92480
75	-1.84385	-50.67602	226.31349	2.59320	50.37294	567.79510
76	-1.85300	-50.72837	226.48013	2.57525	50.35652	567.66364
77	-1.86266	-50.77995	226.64429	2.55732	50.33990	567.53064
78	-1.87282	-50.83072	226.80595	2.53943	50.32312	567.39612
79	-1.88349	-50.88064	226.96504	2.52160	50.30618	567.26019
80	-1.89464	-50.92971	227.12149	2.50382	50.28908	567.12292
81	-1.90628	-50.97789	227.27522	2.48610	50.27185	566.98438
82	-1.91839	-51.02515	227.42619	2.46847	50.25450	566.84454
83	-1.93096	-51.07148	227.57431	2.45093	50.23704	566.70361
84	-1.94400	-51.11686	227.71956	2.43349	50.21948	566.56152
85	-1.95748	-51.16127	227.86189	2.41617	50.20184	566.41846
86	-1.97139	-51.20470	228.00124	2.39899	50.18414	566.27454
87	-1.98573	-51.24712	228.13757	2.38196	50.16639	566.12982
88	-2.00048	-51.28854	228.27086	2.36510	50.14859	565.98431
89	-2.01564	-51.32892	228.40106	2.34843	50.13078	565.83826
90	-2.03118	-51.36826	228.52814	2.33195	50.11296	565.69171
91	-2.04711	-51.40655	228.65202	2.31569	50.09516	565.54462
92	-2.06341	-51.44376	228.77269	2.29967	50.07737	565.39722
93	-2.08007	-51.47989	228.89012	2.28390	50.05963	565.24957
94	-2.09707	-51.51493	229.00429	2.26839	50.04195	565.10181
95	-2.11440	-51.54888	229.11517	2.25317	50.02433	564.95392
96	-2.13206	-51.58173	229.22273	2.23826	50.00681	564.80615
97	-2.15002	-51.61348	229.32695	2.22367	49.98939	564.65851
98	-2.16828	-51.64412	229.42781	2.20943	49.97210	564.51111
99	-2.18682	-51.67364	229.52527	2.19554	49.95494	564.36407
100	-2.20564	-51.70203	229.61932	2.18203	49.93795	564.21747
101	-2.22471	-51.72931	229.70995	2.16892	49.92112	564.07141
102	-2.24402	-51.75545	229.79715	2.15622	49.90448	563.92609
103	-2.26356	-51.78047	229.88089	2.14395	49.88803	563.78143
104	-2.28332	-51.80438	229.96123	2.13213	49.87181	563.63776
105	-2.30327	-51.82718	230.03813	2.12079	49.85580	563.49500
106	-2.32341	-51.84887	230.11160	2.10993	49.84004	563.35345
107	-2.34372	-51.86945	230.18164	2.09958	49.82453	563.21313
108	-2.36418	-51.88893	230.24829	2.08976	49.80928	563.07410
109	-2.38477	-51.90732	230.31149	2.08048	49.79432	562.93658
110	-2.40549	-51.92462	230.37129	2.07176	49.77966	562.80060
111	-2.42632	-51.94084	230.42770	2.06363	49.76529	562.66638
112	-2.44724	-51.95600	230.48076	2.05608	49.75125	562.53387
113	-2.46824	-51.97012	230.53052	2.04915	49.73753	562.40332
114	-2.48930	-51.98322	230.57700	2.04285	49.72415	562.27478
115	-2.51041	-51.99530	230.62024	2.03719	49.71112	562.14832
116	-2.53155	-52.00638	230.66029	2.03218	49.69846	562.02405
117	-2.55270	-52.01649	230.69717	2.02786	49.68616	561.90216
118	-2.57386	-52.02563	230.73091	2.02422	49.67426	561.78265
119	-2.59501	-52.03383	230.76155	2.02129	49.66275	561.66571
120	-2.61613	-52.04111	230.78918	2.01908	49.65164	561.55133
121	-2.63722	-52.04747	230.81381	2.01760	49.64095	561.43976
122	-2.65827	-52.05296	230.83556	2.01686	49.63069	561.33093
123	-2.67927	-52.05757	230.85442	2.01688	49.62086	561.22504
124	-2.70020	-52.06134	230.87045	2.01767	49.61148	561.12207
125	-2.72107	-52.06427	230.88377	2.01924	49.60256	561.02222
126	-2.74186	-52.06641	230.89439	2.02160	49.59410	560.92554
127	-2.76256	-52.06775	230.90237	2.02477	49.58612	560.83209
128	-2.78316	-52.06833	230.90779	2.02876	49.57863	560.74194
129	-2.80366	-52.06816	230.91072	2.03357	49.57164	560.65527
130	-2.82406	-52.06728	230.91119	2.03921	49.56517	560.57208
131	-2.84435	-52.06570	230.90938	2.04569	49.55922	560.49243
132	-2.86452	-52.06345	230.90526	2.05302	49.55382	560.41632
133	-2.88458	-52.06054	230.89897	2.06120	49.54898	560.34393
134	-2.90453	-52.05701	230.89056	2.07024	49.54470	560.27533
135	-2.92435	-52.05287	230.88011	2.08014	49.54102	560.21051
136	-2.94404	-52.04816	230.86772	2.09091	49.53793	560.14960
137	-2.96361	-52.04289	230.85344	2.10257	49.53545	560.09259
138	-2.98305	-52.03709	230.83737	2.11510	49.53360	560.03961
139	-3.00236	-52.03079	230.81960	2.12850	49.53240	559.99054
140	-3.02154	-52.02401	230.80020	2.14279	49.53185	559.94556
141	-3.04060	-52.01680	230.77930	2.15795	49.53197	559.90466
142	-3.05953	-52.00916	230.75696	2.17399	49.53277	559.86792
143	-3.07834	-52.00112	230.73326	2.19090	49.53427	559.83521
144	-3.09701	-51.99273	230.70834	2.20868	49.53648	559.80664
145	-3.11556	-51.98399	230.68224	2.22734	49.53941	559.78235
146	-3.13399	-51.97495	230.65508	2.24687	49.54307	559.76221
147	-3.15229	-51.96561	230.62691	2.26726	49.54749	559.74634
148	-3.17047	-51.95602	230.59782	2.28850	49.55266	559.73462
149	-3.18854	-51.94619	230.56790	2.31058	49.55861	559.72717
150	-3.20648	-51.93613	230.53725	2.33350	49.56534	559.72400
151	-3.22431	-51.92589	230.50592	2.35722	49.57286	559.72498
152	-3.24202	-51.91548	230.47401	2.38176	49.58119	559.73029
153	-3.25963	-51.90492	230.44157	2.40709	49.59034	559.73975
154	-3.27712	-51.89424	230.40872	2.43320	49.60032	559.75354
155	-3.29451	-51.88346	230.37550	2.46009	49.61113	559.77155
156	-3.31179	-51.87260	230.34203	2.48773	49.62279	559.79382
157	-3.32897	-51.86169	230.30829	2.51611	49.63531	559.82019
158	-3.34605	-51.85072	230.27437	2.54521	49.64869	559.85083
159	-3.36304	-51.83975	230.24036	2.57500	49.66295	559.88556
160	-3.37993	-51.82876	230.20628	2.60547	49.67809	559.92438
161	-3.39673	-51.81780	230.17223	2.63661	49.69411	559.96741
162	-3.41345	-51.80687	230.13820	2.66839	49.71104	560.01440
163	-3.43008	-51.79600	230.10431	2.70079	49.72887	560.06543
164	-3.44663	-51.78520	230.07060	2.73379	49.74761	560.12048
165	-3.46310	-51.77448	230.03709	2.76738	49.76727	560.17944
166	-3.47949	-51.76387	230.00383	2.80153	49.78785	560.24231
167	-3.49580	-51.75336	229.97089	2.83621	49.80935	560.30896
168	-3.51202	-51.74297	229.93825	2.87141	49.83175	560.37933
169	-3.52816	-51.73273	229.90598	2.90710	49.85508	560.45337
170	-3.54422	-51.72262	229.87410	2.94326	49.87933	560.53107
171	-3.56020	-51.71267	229.84267	2.97986	49.90450	560.61230
172	-3.57610	-51.70289	229.81172	3.01688	49.93059	560.69708
173	-3.59191	-51.69329	229.78128	3.05430	49.95760	560.78522
174	-3.60764	-51.68388	229.75136	3.09210	49.98553	560.87677
175	-3.62327	-51.67465	229.72202	3.13025	50.01436	560.97156
176	-3.63882	-51.66562	229.69322	3.16873	50.04410	561.06964
177	-3.65427	-51.65678	229.66502	3.20751	50.07473	561.17078
178	-3.66963	-51.64814	229.63742	3.24658	50.10625	561.27502
179	-3.68488	-51.63970	229.61047	3.28590	50.13864	561.38220
180	-3.70004	-51.63147	229.58415	3.32546	50.17191	561.49231
181	-3.71509	-51.62345	229.55850	3.36522	50.20604	561.60535
182	-3.73002	-51.61565	229.53352	3.40517	50.24103	561.72113
183	-3.74485	-51.60806	229.50926	3.44528	50.27686	561.83954
184	-3.75956	-51.60068	229.48569	3.48553	50.31350	561.96063
185	-3.77416	-51.59351	229.46283	3.52588	50.35093	562.08423
186	-3.78862	-51.58656	229.44070	3.56632	50.38913	562.21033
187	-3.80296	-51.57983	229.41931	3.60681	50.42809	562.33881
188	-3.81717	-51.57331	229.39865	3.64733	50.46777	562.46967
189	-3.83124	-51.56699	229.37874	3.68786	50.50815	562.60266
190	-3.84518	-51.56090	229.35959	3.72836	50.54922	562.73785
191	-3.85897	-51.55501	229.34122	3.76882	50.59096	562.87512
192	-3.87261	-51.54933	229.32361	3.80920	50.63332	563.01440
193	-3.88611	-51.54386	229.30676	3.84948	50.67628	563.15564
194	-3.89945	-51.53859	229.29068	3.88964	50.71980	563.29871
195	-3.91264	-51.53352	229.27539	3.92966	50.76386	563.44354
196	-3.92567	-51.52863	229.26088	3.96950	50.80842	563.59009
197	-3.93854	-51.52393	229.24712	4.00914	50.85345	563.73828
198	-3.95125	-51.51942	229.23415	4.04855	50.89890	563.88800
199	-3.96379	-51.51509	229.22194	4.08772	50.94477	564.03918
200	-3.97617	-51.51094	229.21051	4.12662	50.99100	564.19177
201	-3.98837	-51.50695	229.19983	4.16522	51.03756	564.34570
202	-4.00041	-51.50314	229.18994	4.20350	51.08442	564.50079
203	-4.01227	-51.49949	229.18077	4.24145	51.13154	564.65710
204	-4.02396	-51.49600	229.17235	4.27903	51.17888	564.81451
205	-4.03547	-51.49267	229.16466	4.31623	51.22640	564.97302
206	-4.04681	-51.48950	229.15773	4.35303	51.27407	565.13245
207	-4.05797	-51.48648	229.15149	4.38941	51.32185	565.29272
208	-4.06895	-51.48360	229.14597	4.42533	51.36969	565.45380
209	-4.07975	-51.48088	229.14114	4.46079	51.41758	565.61560
210	-4.09037	-51.47829	229.13702	4.49576	51.46545	565.77814
211	-4.10082	-51.47585	229.13358	4.53021	51.51327	565.94128
212	-4.11108	-51.47355	229.13081	4.56414	51.56101	566.10492
213	-4.12115	-51.47138	229.12871	4.59751	51.60862	566.26898
214	-4.13105	-51.46936	229.12724	4.63031	51.65605	566.43347
