	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.02461	-0.00692	0.01174	0.07370	0.44941	0.02217
2	0.02470	-0.00682	0.01147	0.07345	0.44927	0.02226
3	0.02478	-0.00672	0.01135	0.07295	0.44933	0.02235
4	0.02470	-0.00671	0.01144	0.07250	0.44952	0.02230
5	0.02447	-0.00681	0.01166	0.07229	0.44972	0.02212
6	0.02426	-0.00701	0.01187	0.07224	0.44990	0.02197
7	0.02418	-0.00724	0.01202	0.07218	0.45009	0.02195
8	0.02421	-0.00740	0.01208	0.07214	0.45022	0.02201
9	0.02421	-0.00742	0.01205	0.07230	0.45020	0.02201
10	0.02418	-0.00735	0.01194	0.07270	0.45003	0.02189
11	0.02419	-0.00738	0.01181	0.07321	0.44977	0.02167
12	0.02430	-0.00758	0.01173	0.07367	0.44952	0.02150
13	0.02445	-0.00777	0.01172	0.07391	0.44936	0.02140
14	0.02451	-0.00770	0.01177	0.07395	0.44932	0.02132
15	0.02451	-0.00745	0.01184	0.07387	0.44934	0.02128
16	0.02449	-0.00729	0.01194	0.07375	0.44939	0.02137
17	0.02451	-0.00736	0.01203	0.07367	0.44948	0.02154
18	0.02453	-0.00762	0.01210	0.07372	0.44963	0.02163
19	0.02454	-0.00795	0.01213	0.07392	0.44978	0.02156
20	0.02451	-0.00821	0.01214	0.07421	0.44990	0.02138
21	0.02441	-0.00828	0.01212	0.07446	0.44996	0.02123
22	0.02426	-0.00817	0.01206	0.07463	0.44995	0.02122
23	0.02414	-0.00808	0.01206	0.07477	0.44979	0.02140
24	0.02412	-0.00814	0.01212	0.07495	0.44953	0.02155
25	0.02421	-0.00827	0.01212	0.07517	0.44936	0.02131
26	0.02438	-0.00837	0.01202	0.07541	0.44938	0.02073
27	0.02454	-0.00841	0.01193	0.07566	0.44949	0.02023
28	0.02457	-0.00840	0.01196	0.07589	0.44959	0.02007
29	0.02440	-0.00836	0.01213	0.07598	0.44955	0.02021
30	0.02415	-0.00833	0.01237	0.07581	0.44933	0.02041
31	0.02403	-0.00839	0.01255	0.07546	0.44899	0.02049
