Unnamed: 0_level_0,FullBody_CoG_vel,FullBody_CoG_vel,FullBody_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1331,0.03538,-0.09275,0.00501,0.11163,-0.26008,0.20375,0.06655,-0.15975,0.02008,0.08209,-0.10102,0.112,0.06148,-0.13993,0.0031,0.08302,-0.05468,0.04011,0.07002,-0.16793,-0.01544,0.09956,-0.19308,-0.00079,0.09727,-0.1945,0.0077,0.02622,-0.13772,0.00668,0.0167,-0.07169,-0.00445,0.0193,-0.06503,0.00683,0.03285,-0.0329,-0.01714,0.02106,-0.0331,0.01165,0.04276,0.01905,-0.00945,0.02862,0.00334,0.0199,0.01407,0.01104,0.00056,0.03157,0.00264,0.02144,0.01419,0.01168,0.0014
1332,0.03502,-0.08507,0.00122,0.08542,-0.26003,0.19265,0.0651,-0.16276,0.01796,0.07975,-0.1098,0.09373,0.0628,-0.14358,0.00208,0.08925,-0.05797,0.01733,0.07635,-0.16513,-0.01739,0.09748,-0.19104,-0.00372,0.09826,-0.19423,0.0061,0.02591,-0.12749,0.00755,0.0148,-0.05845,-0.00955,0.0171,-0.05545,0.00151,0.03384,-0.02135,-0.02212,0.01766,-0.03399,0.00176,0.04475,0.02437,-0.01408,0.02802,-0.00036,0.00939,0.01195,0.00931,-0.00603,0.0317,-0.00128,0.01097,0.01206,0.00993,-0.00554
1333,0.0358,-0.07884,-0.00206,0.07255,-0.24466,0.18409,0.06555,-0.1633,0.01518,0.08709,-0.11044,0.08554,0.06233,-0.14146,-0.0034,0.09829,-0.06399,0.00756,0.08046,-0.15394,-0.0243,0.08923,-0.19169,-0.00571,0.09777,-0.19877,0.00544,0.02578,-0.11987,0.00526,0.01637,-0.05052,-0.01362,0.0158,-0.04895,-0.00204,0.03836,-0.00921,-0.02421,0.01445,-0.03517,-0.00524,0.04659,0.03415,-0.01507,0.02419,-0.00369,0.00073,0.0086,0.0083,-0.00892,0.02794,-0.00463,0.00234,0.00866,0.00865,-0.00879
1334,0.03763,-0.0752,-0.00364,0.08392,-0.21528,0.17949,0.06985,-0.16167,0.01127,0.10316,-0.0972,0.09029,0.06159,-0.13509,-0.01247,0.10965,-0.067,0.01401,0.08232,-0.13717,-0.03497,0.07749,-0.19271,-0.00632,0.09571,-0.20418,0.00475,0.02664,-0.11657,0.00124,0.0203,-0.04967,-0.01478,0.01377,-0.04821,-0.0022,0.04546,0.00099,-0.02295,0.01087,-0.03716,-0.0077,0.04899,0.04657,-0.01203,0.01874,-0.00555,-0.00475,0.005,0.00814,-0.00729,0.02182,-0.00633,-0.00337,0.00497,0.00802,-0.00744
1335,0.04024,-0.0742,-0.00342,0.11783,-0.17826,0.18019,0.07878,-0.15992,0.00664,0.12368,-0.0695,0.10565,0.06137,-0.12833,-0.02279,0.12084,-0.06325,0.03428,0.08127,-0.12105,-0.04568,0.06747,-0.19188,-0.00649,0.09314,-0.20635,0.00288,0.02956,-0.11711,-0.00295,0.0247,-0.05493,-0.01312,0.0104,-0.05325,0.00085,0.05332,0.00736,-0.01971,0.00706,-0.0398,-0.00614,0.05221,0.05819,-0.00668,0.01374,-0.0056,-0.00776,0.00112,0.00862,-0.00318,0.01564,-0.00609,-0.0071,0.00102,0.00808,-0.00378
1336,0.0432,-0.0745,-0.00245,0.16097,-0.14225,0.18609,0.08983,-0.15946,0.00291,0.14321,-0.03326,0.12565,0.06148,-0.12365,-0.03154,0.12876,-0.05257,0.06119,0.07688,-0.11059,-0.05269,0.06374,-0.18757,-0.00802,0.09168,-0.20252,-0.00099,0.03518,-0.11868,-0.00661,0.02772,-0.0627,-0.01019,0.00547,-0.06196,0.00474,0.06006,0.00971,-0.01669,0.00313,-0.04238,-0.00311,0.05622,0.06539,-0.00168,0.01102,-0.00341,-0.00946,-0.0023,0.00932,0.00114,0.01164,-0.00362,-0.00982,-0.00245,0.00862,-0.00012
1337,0.04597,-0.07427,-0.00216,0.1963,-0.11629,0.19573,0.09838,-0.15956,0.00167,0.15758,0.00128,0.14253,0.06189,-0.12135,-0.0362,0.13216,-0.03817,0.08492,0.06983,-0.10699,-0.05435,0.06761,-0.17921,-0.01219,0.09227,-0.19219,-0.00717,0.04299,-0.11809,-0.0099,0.02826,-0.06862,-0.00766,-0.00103,-0.07118,0.00662,0.06459,0.0098,-0.01559,-0.00114,-0.04408,-0.00137,0.06113,0.06655,0.00099,0.01087,0.00084,-0.01049,-0.00343,0.00961,0.00465,0.01052,0.00084,-0.01175,-0.00355,0.00914,0.00276
1338,0.048,-0.07235,-0.00341,0.21223,-0.10672,0.20618,0.10074,-0.15803,0.00315,0.16565,0.02417,0.1492,0.06344,-0.12099,-0.0349,0.13269,-0.0246,0.09647,0.06206,-0.10843,-0.05091,0.07652,-0.16747,-0.01868,0.09433,-0.17696,-0.01493,0.05122,-0.11435,-0.01307,0.02628,-0.06988,-0.00663,-0.00833,-0.07802,0.0052,0.06692,0.01046,-0.01688,-0.00606,-0.04457,-0.00227,0.06713,0.06342,0.00084,0.01153,0.00575,-0.01125,-0.00088,0.00907,0.00713,0.01079,0.00582,-0.01297,-0.00093,0.00915,0.00484
1339,0.04892,-0.06892,-0.00607,0.20722,-0.11335,0.21283,0.09567,-0.15379,0.00684,0.16903,0.03044,0.14208,0.06748,-0.1224,-0.02702,0.13344,-0.01527,0.09137,0.05601,-0.11274,-0.04314,0.08582,-0.154,-0.02552,0.09608,-0.15973,-0.02258,0.05759,-0.10944,-0.01596,0.02224,-0.06625,-0.00759,-0.01483,-0.08087,0.00144,0.06759,0.01424,-0.02021,-0.01168,-0.04459,-0.0055,0.07378,0.06046,-0.00154,0.01026,0.0093,-0.01201,0.00466,0.00789,0.00832,0.00977,0.00929,-0.01378,0.0047,0.00855,0.00591
1340,0.04851,-0.06496,-0.00936,0.18891,-0.12899,0.2113,0.08397,-0.14814,0.0121,0.17002,0.02243,0.12339,0.07486,-0.12539,-0.01399,0.13643,-0.01079,0.07188,0.05383,-0.1191,-0.03181,0.09139,-0.14087,-0.03032,0.09574,-0.14364,-0.02802,0.06054,-0.10632,-0.01812,0.01654,-0.05915,-0.01025,-0.01903,-0.07965,-0.00217,0.06677,0.0222,-0.02544,-0.01768,-0.04563,-0.00969,0.08,0.06249,-0.00556,0.00519,0.01004,-0.01274,0.01084,0.00682,0.00776,0.00541,0.00983,-0.01438,0.01092,0.00778,0.00558
1341,0.04675,-0.06108,-0.01248,0.16981,-0.14382,0.20021,0.06843,-0.14263,0.01704,0.1697,0.00812,0.10092,0.08516,-0.12921,0.00083,0.14086,-0.0088,0.04632,0.05649,-0.12753,-0.0188,0.09136,-0.12987,-0.03187,0.09267,-0.13107,-0.02997,0.05953,-0.10611,-0.0193,0.00993,-0.05041,-0.01393,-0.02053,-0.07532,-0.00369,0.06458,0.03365,-0.03272,-0.02346,-0.04843,-0.0135,0.08476,0.07198,-0.01107,-0.00359,0.00793,-0.01344,0.01518,0.00675,0.00501,-0.00271,0.00752,-0.01504,0.01526,0.00754,0.00349
1342,0.04394,-0.05696,-0.01513,0.16143,-0.15131,0.18317,0.05356,-0.13612,0.01835,0.16822,-0.00288,0.08464,0.09668,-0.13206,0.01363,0.14345,-0.00551,0.0258,0.06327,-0.13648,-0.00752,0.08638,-0.1219,-0.03094,0.08771,-0.12314,-0.0289,0.05458,-0.10695,-0.01979,0.00405,-0.04159,-0.01819,-0.02005,-0.06912,-0.00315,0.06217,0.04678,-0.04172,-0.02832,-0.05195,-0.01635,0.08781,0.08766,-0.01769,-0.01431,0.00454,-0.01433,0.01641,0.0082,0.00027,-0.01324,0.00406,-0.01606,0.01643,0.00846,-0.00026
1343,0.04066,-0.0519,-0.01734,0.16938,-0.15091,0.16766,0.04407,-0.12581,0.01436,0.16605,-0.00359,0.08167,0.10705,-0.13107,0.02187,0.14085,0.0018,0.01928,0.07179,-0.14164,-0.00129,0.07911,-0.11683,-0.02978,0.08298,-0.11956,-0.02687,0.04601,-0.10567,-0.02013,0.00095,-0.03387,-0.02293,-0.01856,-0.06222,-0.00226,0.06143,0.05921,-0.05104,-0.03167,-0.05436,-0.01875,0.08969,0.10505,-0.0243,-0.02417,0.00243,-0.01555,0.01476,0.01138,-0.00496,-0.02346,0.00205,-0.01732,0.01471,0.01096,-0.00449
1344,0.03772,-0.04601,-0.01916,0.19221,-0.14569,0.1599,0.04356,-0.11079,0.00757,0.16442,0.00749,0.09306,0.114,-0.12351,0.02508,0.13245,0.01331,0.02919,0.07936,-0.13809,-0.00115,0.07325,-0.11406,-0.03068,0.08108,-0.11919,-0.02609,0.03511,-0.10086,-0.02074,0.0015,-0.02816,-0.02778,-0.01639,-0.0556,-0.00315,0.06325,0.06799,-0.05833,-0.03322,-0.05475,-0.02198,0.09129,0.11875,-0.02892,-0.03033,0.00382,-0.01692,0.01176,0.01638,-0.0079,-0.03028,0.00369,-0.01814,0.01163,0.01529,-0.00673
1345,0.03597,-0.04039,-0.02057,0.22288,-0.13817,0.16085,0.05331,-0.09291,0.00186,0.16482,0.02663,0.11403,0.11628,-0.10927,0.0242,0.12107,0.0273,0.05031,0.0847,-0.12457,-0.00551,0.07195,-0.11284,-0.03456,0.08383,-0.12063,-0.02772,0.02445,-0.09408,-0.02174,0.00497,-0.02506,-0.03201,-0.01346,-0.04993,-0.00704,0.06698,0.07095,-0.06149,-0.03329,-0.05332,-0.02713,0.09356,0.1257,-0.02965,-0.03134,0.00912,-0.01841,0.00927,0.02287,-0.00612,-0.032,0.00933,-0.01822,0.00906,0.0213,-0.00475
1346,0.03606,-0.03623,-0.02177,0.25108,-0.12857,0.16743,0.07093,-0.07591,-0.00137,0.16865,0.04786,0.13625,0.11424,-0.09225,0.02051,0.11174,0.04199,0.0726,0.0883,-0.10537,-0.01173,0.0762,-0.11242,-0.04064,0.09109,-0.12242,-0.0315,0.01699,-0.08824,-0.02337,0.00973,-0.02478,-0.03529,-0.0103,-0.04566,-0.01353,0.07162,0.06872,-0.06014,-0.03265,-0.05054,-0.03378,0.09698,0.12702,-0.02609,-0.02781,0.01633,-0.0202,0.00819,0.02975,0.00014,-0.02898,0.01688,-0.01806,0.00795,0.02801,0.00122
1347,0.03796,-0.034,-0.02333,0.26724,-0.11634,0.17615,0.09008,-0.06519,-0.00206,0.17712,0.06592,0.15158,0.10972,-0.07811,0.01491,0.10955,0.05607,0.08601,0.09115,-0.08801,-0.0178,0.08441,-0.11215,-0.04715,0.10062,-0.12334,-0.03646,0.0146,-0.08509,-0.02609,0.01382,-0.02715,-0.03816,-0.00842,-0.04309,-0.0209,0.07647,0.06441,-0.05627,-0.03196,-0.04695,-0.04001,0.10118,0.12622,-0.02013,-0.0213,0.02201,-0.02205,0.00818,0.03543,0.00791,-0.02263,0.02277,-0.01802,0.00793,0.03372,0.00838
1348,0.04077,-0.03343,-0.02588,0.26713,-0.10304,0.18512,0.10227,-0.06495,0.00083,0.1904,0.07719,0.15552,0.10518,-0.07001,0.00857,0.11734,0.0676,0.08527,0.09349,-0.07831,-0.02259,0.0936,-0.11195,-0.05263,0.10929,-0.12292,-0.04207,0.01708,-0.08438,-0.03016,0.01519,-0.03127,-0.04151,-0.00956,-0.04239,-0.02754,0.08071,0.06106,-0.05288,-0.03133,-0.04362,-0.04423,0.10542,0.12557,-0.01482,-0.01309,0.02317,-0.02337,0.0085,0.03827,0.01359,-0.01413,0.02396,-0.01798,0.00822,0.03653,0.01335
1349,0.04331,-0.03402,-0.02957,0.25353,-0.09297,0.193,0.10087,-0.07331,0.0081,0.20619,0.07916,0.14886,0.10247,-0.06642,0.00355,0.13357,0.07372,0.07215,0.09523,-0.07679,-0.02536,0.10099,-0.11256,-0.05663,0.11455,-0.12183,-0.04837,0.02254,-0.08472,-0.03508,0.01278,-0.03546,-0.04571,-0.01454,-0.04368,-0.03314,0.08379,0.05991,-0.05205,-0.03032,-0.04192,-0.04649,0.10939,0.1246,-0.01243,-0.00401,0.01887,-0.0243,0.00859,0.03722,0.0151,-0.00435,0.0195,-0.01816,0.00824,0.03523,0.01415
1350,0.04492,-0.03507,-0.03394,0.23322,-0.08985,0.19727,0.08467,-0.0826,0.0184,0.21952,0.07079,0.13647,0.10239,-0.06279,0.0021,0.15223,0.07231,0.05363,0.09699,-0.07871,-0.02594,0.10471,-0.11499,-0.05945,0.11512,-0.12141,-0.05541,0.02875,-0.08451,-0.03988,0.00775,-0.0381,-0.05038,-0.02239,-0.04677,-0.03837,0.08608,0.06067,-0.05394,-0.02814,-0.0422,-0.04795,0.11294,0.12155,-0.01329,0.00509,0.01051,-0.02584,0.00809,0.03251,0.01271,0.00562,0.01087,-0.01956,0.00766,0.03013,0.01108
1351,0.04575,-0.0357,-0.03836,0.21186,-0.09392,0.19629,0.05854,-0.0858,0.02877,0.22522,0.05436,0.12386,0.1049,-0.0554,0.00466,0.16556,0.06404,0.03734,0.10048,-0.07733,-0.02531,0.10355,-0.11948,-0.06154,0.1109,-0.12272,-0.06283,0.03437,-0.08224,-0.04418,0.00273,-0.03851,-0.05483,-0.03033,-0.05064,-0.04356,0.08839,0.06229,-0.05729,-0.02431,-0.04314,-0.04926,0.11557,0.11542,-0.01625,0.0128,0.00111,-0.02862,0.00706,0.02552,0.00867,0.01402,0.00121,-0.02276,0.00658,0.0229,0.00656
