Unnamed: 0_level_0,FP1,FP1,FP1,FP2,FP2,FP2
ITEM,X,Y,Z,X,Y,Z
2078,-0.17853,-0.21246,-0.31396,-13.41054,80.38633,853.80127
2079,-0.18293,-0.24741,-0.31404,-15.09942,80.40933,835.98083
2080,-0.18966,-0.2777,-0.29874,-16.87198,80.2897,819.78156
2081,-0.19424,-0.28891,-0.27966,-18.06701,80.70317,807.3208
2082,-0.19458,-0.27877,-0.26229,-18.29655,82.07037,799.40491
2083,-0.19083,-0.25181,-0.25262,-17.51511,84.50053,795.74884
2084,-0.18514,-0.22698,-0.25774,-15.95013,87.91437,795.42719
2085,-0.18174,-0.21227,-0.27756,-13.97226,92.12601,797.38745
2086,-0.18156,-0.2003,-0.3023,-11.91852,96.87384,800.86688
2087,-0.18482,-0.19241,-0.31758,-10.00704,101.88889,805.44788
2088,-0.18888,-0.19227,-0.31837,-8.35197,106.9855,810.92712
2089,-0.19278,-0.19892,-0.31,-7.04062,112.06968,817.19562
2090,-0.1976,-0.2124,-0.30793,-6.12422,117.09641,824.11853
2091,-0.20011,-0.23707,-0.32212,-5.52897,122.08146,831.5506
2092,-0.19482,-0.27437,-0.34538,-4.98135,127.10632,839.31482
2093,-0.17836,-0.32139,-0.35892,-4.1912,132.28354,847.04388
2094,-0.15538,-0.36812,-0.35273,-3.15262,137.66353,854.09082
2095,-0.13771,-0.40318,-0.33544,-2.21307,143.1709,859.62665
2096,-0.13298,-0.41899,-0.33118,-1.82488,148.62785,862.90143
2097,-0.13702,-0.41968,-0.36829,-2.24528,153.86948,863.51532
2098,-0.15233,-0.42476,-0.47357,-3.4627,158.74271,861.38873
2099,-0.18669,-0.44548,-0.66094,-5.28118,163.08072,856.67273
2100,-0.24561,-0.46546,-0.89979,-7.42326,166.69382,849.74921
2101,-0.33164,-0.43892,-1.1051,-9.61938,169.36206,841.07349
2102,-0.43642,-0.29129,-1.11533,-11.62469,170.87639,831.03351
2103,-0.5281,0.07408,-0.66208,-13.22156,171.11441,819.86163
2104,-0.54223,0.76287,0.64249,-14.28484,170.04674,807.60083
2105,-0.36914,1.84596,3.24066,-14.78256,167.69025,794.05573
2106,0.14242,3.25532,7.51339,-14.76603,164.10542,778.83051
2107,1.11751,4.76465,14.1992,-14.31408,159.39929,761.56702
2108,2.55499,6.11591,24.88258,-13.44394,153.74362,742.20807
2109,4.1975,7.0637,42.06837,-12.15551,147.41159,721.00659
2110,5.51445,7.25731,68.38641,-10.54443,140.67987,698.16876
2111,5.89323,6.21925,104.9413,-8.907,133.7168,673.53375
2112,5.08369,3.63639,149.64735,-7.62809,126.51391,646.62952
2113,3.54237,-0.03103,198.02605,-6.92207,118.94199,617.13428
2114,1.90642,-4.16329,244.80319,-6.75194,110.89017,585.32928
2115,0.3912,-8.90119,286.34787,-6.87491,102.3856,552.08679
2116,-1.09635,-14.95142,321.8183,-6.97438,93.59582,518.44165
2117,-2.57935,-22.69561,352.38214,-6.81358,84.77337,485.24545
2118,-3.77287,-31.68355,379.76334,-6.31888,76.18441,453.04773
2119,-4.22579,-41.04422,405.22534,-5.55236,68.06792,422.23462
2120,-3.6713,-50.1818,429.45471,-4.6287,60.65037,393.18726
2121,-2.19765,-59.01339,452.51767,-3.66651,54.10798,366.255
2122,-0.12099,-67.65584,473.94125,-2.81713,48.53553,341.70859
2123,2.21223,-76.07647,493.02942,-2.25614,43.92281,319.68817
2124,4.546,-84.07208,509.25101,-2.16837,40.19764,300.15723
2125,6.72535,-91.46826,522.41779,-2.72023,37.25749,282.93893
2126,8.6105,-97.99336,532.6507,-3.95337,34.96891,267.70782
2127,10.12865,-103.42078,540.32825,-5.68151,33.20111,254.0531
2128,11.29146,-107.59744,546.0415,-7.54382,31.82223,241.62444
2129,12.16656,-110.48585,550.59711,-9.15686,30.67804,230.19104
2130,12.83187,-112.23633,554.91888,-10.2249,29.63289,219.64697
2131,13.32307,-113.1189,559.87524,-10.62591,28.5967,209.99992
2132,13.61763,-113.4562,566.11328,-10.41366,27.53393,201.33401
2133,13.65579,-113.52522,573.9024,-9.76085,26.45269,193.74339
2134,13.36266,-113.48853,583.18933,-8.85356,25.39157,187.2679
2135,12.68425,-113.3777,593.81189,-7.82086,24.37876,181.83946
2136,11.64327,-113.09886,605.62,-6.72587,23.41284,177.2666
2137,10.35097,-112.49049,618.41608,-5.58311,22.48173,173.28938
2138,8.97048,-111.46269,631.80389,-4.38842,21.55426,169.63985
2139,7.69706,-110.07098,645.06561,-3.17976,20.58576,166.10695
2140,6.69155,-108.45193,657.24243,-2.06387,19.51819,162.59451
2141,6.02046,-106.74379,667.36426,-1.20374,18.31971,159.10019
2142,5.67197,-105.20073,674.86646,-0.74134,16.99755,155.64392
2143,5.61284,-104.0182,679.74719,-0.73704,15.58478,152.25218
2144,5.85345,-103.34332,682.52289,-1.1659,14.15341,148.97185
2145,6.38562,-103.23483,684.01184,-1.90489,12.79335,145.86426
2146,7.15436,-103.66106,684.96564,-2.78292,11.58346,142.97351
2147,8.08697,-104.47563,685.92773,-3.66553,10.57873,140.30939
2148,9.11021,-105.42678,687.23541,-4.48448,9.80811,137.85838
2149,10.16344,-106.19486,689.08783,-5.21788,9.27999,135.59526
2150,11.20984,-106.42243,691.61102,-5.86378,8.9858,133.47737
2151,12.2512,-105.77065,694.82153,-6.42324,8.90221,131.46017
2152,13.34816,-104.00555,698.51874,-6.90777,8.98812,129.54356
2153,14.59117,-101.09978,702.27026,-7.37009,9.17993,127.81194
2154,16.00771,-97.31304,705.56323,-7.91817,9.39593,126.40063
2155,17.54973,-93.13734,708.02289,-8.66757,9.57096,125.40195
2156,19.09754,-89.15596,709.46204,-9.6128,9.67939,124.79559
2157,20.51351,-85.83957,709.8728,-10.59493,9.7339,124.44404
2158,21.67742,-83.4389,709.38654,-11.42878,9.77154,124.15701
2159,22.54224,-81.95569,708.2879,-12.01172,9.82576,123.7718
2160,23.15444,-81.25241,706.98779,-12.36432,9.90073,123.21712
2161,23.5882,-81.08936,705.78595,-12.58837,9.96798,122.49654
2162,23.93471,-81.15009,704.72864,-12.8007,9.98078,121.6623
2163,24.28454,-81.12388,703.70551,-13.08041,9.89024,120.82032
2164,24.70682,-80.80927,702.61865,-13.44107,9.68345,120.10483
2165,25.23709,-80.16497,701.46313,-13.85697,9.40633,119.64991
2166,25.84658,-79.30705,700.29706,-14.29275,9.14218,119.56853
2167,26.45022,-78.39996,699.11279,-14.72224,8.96137,119.93764
2168,26.93979,-77.57889,697.72034,-15.12062,8.90441,120.81635
2169,27.23722,-76.91802,695.76624,-15.44578,8.99065,122.2674
2170,27.35476,-76.37225,692.88129,-15.64837,9.23022,124.384
2171,27.38577,-75.86799,688.8407,-15.69025,9.63423,127.29964
2172,27.40076,-75.40835,683.63275,-15.53474,10.22517,131.1819
2173,27.41837,-75.03751,677.44623,-15.16262,11.03915,136.22345
2174,27.42526,-74.81483,670.61914,-14.58267,12.11873,142.59375
2175,27.38704,-74.77137,663.46661,-13.82984,13.48849,150.37762
2176,27.27009,-74.87952,656.16083,-12.93482,15.14697,159.57065
2177,27.05238,-75.05634,648.7301,-11.91108,17.05557,170.05981
2178,26.71332,-75.17447,641.07281,-10.78543,19.12496,181.57129
2179,26.22984,-75.09525,632.94824,-9.64689,21.25686,193.70287
2180,25.58897,-74.70801,624.09222,-8.62502,23.36498,206.00764
2181,24.80215,-73.95726,614.3114,-7.87302,25.35852,218.10091
2182,23.91589,-72.81918,603.51648,-7.52113,27.15238,229.75812
2183,23.01355,-71.30972,591.69775,-7.60861,28.67657,240.95647
2184,22.1722,-69.49326,578.90283,-8.0745,29.91165,251.85167
2185,21.41263,-67.4781,565.22809,-8.76929,30.91086,262.66302
2186,20.70178,-65.40453,550.86395,-9.5041,31.79344,273.60138
2187,19.96329,-63.42535,536.17114,-10.13861,32.69525,284.85858
2188,19.133,-61.68828,521.6073,-10.63072,33.72901,296.56107
2189,18.19496,-60.26634,507.56445,-11.00276,34.96528,308.70135
2190,17.18903,-59.11483,494.18173,-11.28927,36.40915,321.14578
2191,16.19936,-58.13074,481.34769,-11.53283,38.02098,333.73795
2192,15.31332,-57.21025,468.85303,-11.76704,39.73164,346.35657
2193,14.59317,-56.26669,456.52161,-11.99755,41.46706,358.91226
2194,14.0461,-55.23449,444.26624,-12.19925,43.17258,371.31305
2195,13.61351,-54.06341,432.06134,-12.35683,44.78963,383.47791
2196,13.19896,-52.75615,419.92444,-12.49386,46.24022,395.37283
2197,12.71657,-51.37158,407.87808,-12.61462,47.46153,407.01617
2198,12.12075,-49.98183,395.9162,-12.68569,48.45629,418.50443
2199,11.38672,-48.64631,383.99667,-12.64711,49.27719,429.97452
2200,10.52579,-47.40954,372.06354,-12.44033,49.98064,441.52988
2201,9.58244,-46.29921,360.09198,-12.02645,50.61394,453.24438
2202,8.60663,-45.3069,348.08603,-11.41056,51.19608,465.17987
2203,7.64005,-44.38801,336.05521,-10.61757,51.72168,477.37595
2204,6.71686,-43.46737,324.0289,-9.68493,52.18988,489.82385
2205,5.87608,-42.4631,312.08173,-8.67781,52.62472,502.42502
2206,5.14196,-41.30407,300.29572,-7.6574,53.0548,515.01245
2207,4.50938,-39.94538,288.67148,-6.67108,53.50222,527.3963
2208,3.94135,-38.38332,277.11652,-5.73765,53.99273,539.40662
2209,3.39519,-36.63703,265.51886,-4.86076,54.55532,550.92474
2210,2.85472,-34.75082,253.86282,-4.04899,55.19824,561.89355
2211,2.30351,-32.79495,242.26129,-3.32593,55.88871,572.31567
2212,1.72664,-30.85179,230.9196,-2.71809,56.59,582.24463
2213,1.10988,-28.97915,220.04854,-2.22233,57.27266,591.76642
2214,0.46986,-27.17731,209.81395,-1.77048,57.91181,600.98535
2215,-0.14673,-25.42375,200.32349,-1.28127,58.4833,610.01233
2216,-0.69965,-23.70393,191.61398,-0.69855,58.96912,618.93225
2217,-1.17314,-22.03914,183.66945,-0.02143,59.36293,627.70782
2218,-1.55721,-20.48724,176.46245,0.6978,59.6783,636.15045
2219,-1.84374,-19.11914,169.97064,1.36362,59.93529,644.01825
2220,-2.03994,-17.97784,164.18527,1.9089,60.13085,651.17694
2221,-2.16802,-17.07206,159.11948,2.33587,60.25297,657.66364
2222,-2.24287,-16.38953,154.77405,2.71195,60.27543,663.64227
2223,-2.28095,-15.90485,151.1459,3.11084,60.15874,669.31354
2224,-2.32186,-15.58564,148.19756,3.53302,59.88503,674.77667
2225,-2.41539,-15.36777,145.7964,3.93404,59.46862,679.98853
2226,-2.59389,-15.16702,143.70712,4.26822,58.92743,684.85852
2227,-2.85614,-14.87884,141.67404,4.51617,58.26966,689.32928
2228,-3.17124,-14.39527,139.44423,4.6697,57.48287,693.35956
2229,-3.4737,-13.65795,136.82526,4.73884,56.55796,696.92542
2230,-3.68403,-12.6773,133.73625,4.78803,55.5255,700.07281
2231,-3.75109,-11.51944,130.17706,4.8917,54.46134,702.9577
2232,-3.68653,-10.28802,126.1785,5.07888,53.45087,705.73383
2233,-3.55522,-9.05804,121.78489,5.29758,52.58149,708.40509
2234,-3.45113,-7.84558,117.05213,5.41209,51.92891,710.85052
2235,-3.45959,-6.65521,112.04314,5.25507,51.49368,713.00391
2236,-3.58283,-5.49001,106.85302,4.73537,51.19716,714.94525
2237,-3.77766,-4.34264,101.60799,3.91097,50.94027,716.89374
2238,-4.00883,-3.22225,96.43481,2.9864,50.67667,719.16119
2239,-4.258,-2.15551,91.40321,2.20137,50.42492,722.0611
2240,-4.51424,-1.18188,86.5024,1.70915,50.20847,725.81628
2241,-4.76017,-0.33618,81.67253,1.57521,50.05819,730.4845
2242,-4.96759,0.37512,76.84113,1.78053,49.99801,735.95148
2243,-5.1029,0.9586,71.93718,2.2221,50.05375,741.89642
2244,-5.14631,1.43212,66.9323,2.74877,50.2428,747.79352
2245,-5.09252,1.81471,61.87637,3.21663,50.55885,753.00555
2246,-4.94932,2.11339,56.89701,3.50797,50.92439,756.95673
2247,-4.73538,2.3359,52.17443,3.55364,51.21582,759.36969
2248,-4.46945,2.48349,47.90563,3.3625,51.31305,760.30518
2249,-4.16791,2.52996,44.27057,2.99674,51.14289,760.07709
2250,-3.84802,2.42313,41.36433,2.52179,50.70697,759.13257
2251,-3.5229,2.13454,39.1703,2.01568,50.07796,757.91522
2252,-3.2056,1.67942,37.58897,1.5429,49.39014,756.82544
2253,-2.89179,1.10076,36.47438,1.14511,48.78681,756.12799
2254,-2.58228,0.47256,35.68341,0.81671,48.34205,755.92426
2255,-2.29937,-0.11808,35.10137,0.5161,48.0317,756.20789
2256,-2.07697,-0.60911,34.6703,0.16507,47.7709,756.9444
2257,-1.93864,-0.98802,34.40691,-0.31448,47.49211,758.11115
2258,-1.86529,-1.30857,34.36658,-0.93681,47.1737,759.73175
2259,-1.83155,-1.63619,34.61148,-1.62732,46.81168,761.89569
2260,-1.83812,-2.03191,35.15468,-2.2835,46.42617,764.66443
2261,-1.88824,-2.53183,35.90474,-2.8198,46.0896,767.99603
2262,-1.97834,-3.12576,36.67947,-3.1592,45.89651,771.73566
2263,-2.07642,-3.75312,37.25423,-3.25808,45.92111,775.72443
2264,-2.13268,-4.29817,37.36867,-3.12848,46.21235,779.89557
2265,-2.10743,-4.64349,36.76308,-2.82997,46.78833,784.21753
2266,-1.98376,-4.70802,35.20596,-2.47726,47.62328,788.55341
2267,-1.77718,-4.46256,32.52953,-2.22801,48.65334,792.63934
2268,-1.52267,-3.94411,28.74635,-2.20345,49.78164,796.21991
2269,-1.25981,-3.26084,24.09788,-2.40798,50.92682,799.14697
2270,-1.0142,-2.55025,18.9958,-2.79643,52.02534,801.41071
2271,-0.81262,-1.91462,13.91337,-3.30323,53.03078,803.11926
2272,-0.66464,-1.38739,9.30418,-3.87171,53.91765,804.46289
2273,-0.54762,-0.92292,5.539,-4.44395,54.67279,805.65057
2274,-0.44902,-0.49796,2.83039,-4.98496,55.29109,806.77118
2275,-0.38154,-0.13446,1.16966,-5.48709,55.79103,807.74701
2276,-0.34987,0.138,0.35707,-5.97317,56.20684,808.36609
2277,-0.35314,0.32108,0.11177,-6.49726,56.5634,808.37726
2278,-0.37605,0.42097,0.16523,-7.08954,56.85291,807.63391
2279,-0.40054,0.46406,0.31902,-7.68929,57.02682,806.23438
2280,-0.41662,0.46689,0.47317,-8.14749,57.05265,804.55646
2281,-0.42799,0.44236,0.59112,-8.31403,56.95656,803.0354
