	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.07646	0.03287	0.02170	0.11726	0.47728	0.00699
2	0.07672	0.03257	0.02202	0.11694	0.47733	0.00694
3	0.07697	0.03240	0.02222	0.11686	0.47733	0.00700
4	0.07718	0.03238	0.02225	0.11712	0.47723	0.00722
5	0.07734	0.03236	0.02227	0.11754	0.47708	0.00751
6	0.07748	0.03221	0.02225	0.11801	0.47695	0.00764
7	0.07764	0.03195	0.02201	0.11837	0.47692	0.00748
8	0.07779	0.03175	0.02161	0.11838	0.47698	0.00715
9	0.07779	0.03171	0.02124	0.11809	0.47710	0.00687
10	0.07755	0.03187	0.02103	0.11783	0.47722	0.00681
11	0.07717	0.03214	0.02092	0.11786	0.47731	0.00699
12	0.07682	0.03250	0.02076	0.11812	0.47739	0.00729
13	0.07660	0.03285	0.02050	0.11844	0.47743	0.00755
14	0.07649	0.03312	0.02026	0.11871	0.47745	0.00765
15	0.07640	0.03328	0.02007	0.11886	0.47748	0.00753
16	0.07632	0.03328	0.01992	0.11877	0.47756	0.00731
17	0.07625	0.03309	0.01988	0.11829	0.47765	0.00722
18	0.07623	0.03278	0.02002	0.11754	0.47772	0.00741
19	0.07625	0.03248	0.02024	0.11699	0.47776	0.00769
20	0.07628	0.03230	0.02033	0.11698	0.47773	0.00780
21	0.07625	0.03219	0.02019	0.11734	0.47767	0.00764
22	0.07618	0.03212	0.01986	0.11773	0.47764	0.00728
23	0.07619	0.03206	0.01941	0.11804	0.47768	0.00684
24	0.07632	0.03198	0.01892	0.11837	0.47776	0.00646
25	0.07651	0.03194	0.01854	0.11870	0.47785	0.00632
26	0.07663	0.03197	0.01837	0.11887	0.47791	0.00649
27	0.07667	0.03201	0.01840	0.11891	0.47791	0.00678
28	0.07671	0.03197	0.01850	0.11907	0.47783	0.00689
29	0.07678	0.03184	0.01856	0.11939	0.47769	0.00676
30	0.07682	0.03172	0.01866	0.11962	0.47753	0.00658
31	0.07674	0.03163	0.01885	0.11957	0.47742	0.00660
