	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d
7	0.01126	0.04013	-0.02420	-0.18362	0.06028	-0.01790	-0.06960	0.06628	0.01792	-0.07656	0.02583	-0.01056	-0.03421	0.09951	-0.00451	-0.00580	0.00129	-0.02740	-0.03396	0.10866	-0.03759	0.03431	0.03884	-0.03018	-0.03554	0.06781	-0.02689	0.04107	0.03764	-0.02952	0.01694	0.03314	-0.02378	0.00869	0.05135	-0.01155	0.01482	0.02919	-0.03489	-0.01517	0.04433	-0.00958	0.00581	0.01089	-0.02676	-0.00266	0.00377	0.00029	0.00710	-0.00452	-0.00003	-0.00352	0.00309	-0.00269	0.00858	-0.00176	0.00523
8	0.00885	0.04009	-0.02950	-0.17751	0.05462	-0.04669	-0.12030	0.06851	0.02659	-0.07582	0.00496	-0.02099	-0.04621	0.10841	0.00040	-0.02832	-0.02193	-0.01339	-0.04098	0.15794	-0.05222	0.04459	0.03805	-0.03061	-0.03069	0.06682	-0.02598	0.03431	0.03545	-0.02729	0.02826	0.02918	-0.03725	0.00849	0.04687	-0.02244	0.01630	0.03453	-0.04514	-0.01303	0.04853	-0.01797	-0.00955	0.01888	-0.03897	-0.01212	0.00808	-0.01090	0.00396	-0.00577	-0.02198	-0.01147	0.00848	-0.01051	0.00445	-0.00487	-0.01504
9	0.00092	0.03620	-0.02643	-0.13178	0.05137	-0.06243	-0.12874	0.06227	0.01789	-0.06224	0.01133	-0.03338	-0.04197	0.10318	-0.00556	-0.04555	-0.02123	0.00149	-0.01312	0.15492	-0.05334	0.05078	0.03306	-0.03417	-0.03284	0.06362	-0.02914	0.01371	0.03828	-0.01920	0.02002	0.01777	-0.03660	0.00316	0.02562	-0.02151	0.01160	0.03486	-0.04123	0.00755	0.03653	-0.01439	-0.01771	0.02431	-0.03719	-0.00827	0.00932	-0.01778	-0.00937	-0.00390	-0.03301	-0.00701	0.01025	-0.01474	-0.01016	-0.00537	-0.02770
10	-0.00752	0.03003	-0.01612	-0.08722	0.03696	-0.04140	-0.09623	0.04783	-0.00592	-0.04706	0.04289	-0.03713	-0.02092	0.07250	-0.01562	-0.04702	0.00638	0.00248	0.02158	0.09537	-0.04040	0.03996	0.03347	-0.03174	-0.03938	0.06266	-0.02860	-0.00484	0.03722	-0.00715	-0.00300	0.00723	-0.02268	-0.00169	0.00601	-0.00888	-0.00023	0.03157	-0.02910	0.03285	0.01953	-0.00103	-0.01974	0.03223	-0.02724	0.00508	0.01093	-0.01321	-0.02496	0.00002	-0.02463	0.00558	0.01142	-0.00994	-0.02666	-0.00315	-0.02104
11	-0.00887	0.02337	-0.00450	-0.07371	0.00236	0.00416	-0.05674	0.03041	-0.01998	-0.04799	0.06052	-0.02956	-0.00347	0.03134	-0.01319	-0.03500	0.03702	-0.01331	0.03566	0.02302	-0.01528	0.02187	0.03461	-0.01869	-0.04082	0.06030	-0.01990	-0.00935	0.02806	0.00276	-0.01739	0.00366	-0.00580	0.00047	0.00604	0.00816	-0.00636	0.02229	-0.01922	0.04775	0.01467	0.01506	-0.01217	0.03462	-0.01877	0.01715	0.01265	0.00077	-0.02992	0.00637	-0.00630	0.01634	0.01231	0.00323	-0.03195	0.00261	-0.00350
12	-0.00174	0.01947	0.00073	-0.08091	-0.02221	0.03839	-0.03695	0.02331	-0.01076	-0.06956	0.03774	-0.01280	-0.00651	0.01270	0.00237	-0.01958	0.04486	-0.03253	0.02819	-0.00879	0.01093	0.01584	0.02557	-0.00240	-0.03058	0.04803	-0.00745	-0.00193	0.01584	0.00340	-0.00846	0.01028	0.00121	0.01001	0.02557	0.01931	0.00175	0.01335	-0.01854	0.04459	0.02598	0.02444	0.00200	0.02573	-0.01744	0.02076	0.01139	0.01250	-0.02151	0.01205	0.00153	0.01919	0.01054	0.01370	-0.02343	0.00851	0.00374
13	0.00842	0.01999	-0.00325	-0.09010	-0.00298	0.03229	-0.03406	0.04392	0.01066	-0.08901	-0.00420	0.00095	-0.02377	0.03793	0.01798	-0.00880	0.02783	-0.04189	0.01500	0.01810	0.02476	0.02476	0.01115	0.00270	-0.01287	0.02729	0.00033	0.01099	0.00806	-0.00647	0.01230	0.02267	-0.00543	0.02007	0.04522	0.01834	0.01549	0.01441	-0.02420	0.02832	0.03986	0.02176	0.01095	0.01063	-0.02028	0.01524	0.00792	0.01429	-0.01008	0.01322	-0.00857	0.01377	0.00702	0.01346	-0.01161	0.01039	-0.00781
14	0.01494	0.02171	-0.01162	-0.09856	0.03682	-0.00678	-0.03066	0.08156	0.02800	-0.08520	-0.02879	-0.00238	-0.03382	0.08714	0.02503	-0.00690	0.00157	-0.03737	0.00980	0.07064	0.02426	0.03508	0.00638	-0.00818	0.00128	0.01119	-0.00061	0.02404	0.00825	-0.01949	0.02360	0.02812	-0.01759	0.02346	0.04778	0.00673	0.02066	0.01992	-0.02698	0.01265	0.04233	0.00985	0.00702	-0.00351	-0.02017	0.00536	0.00586	0.01046	-0.00581	0.01131	-0.02117	0.00443	0.00520	0.00836	-0.00669	0.00966	-0.02242
15	0.01511	0.02006	-0.01772	-0.10258	0.04321	-0.04574	-0.02645	0.09616	0.02998	-0.06515	-0.03109	-0.02286	-0.02278	0.11095	0.02092	-0.01551	-0.02386	-0.02262	0.01778	0.09656	0.01677	0.03697	0.01218	-0.02241	0.00486	0.00775	-0.00622	0.03123	0.01248	-0.02667	0.01962	0.02096	-0.02549	0.01968	0.03680	-0.00750	0.01377	0.01791	-0.02387	0.00800	0.03677	-0.00246	-0.00555	-0.01136	-0.01686	-0.00525	0.00600	0.00476	-0.00898	0.00763	-0.02397	-0.00544	0.00586	0.00408	-0.00904	0.00747	-0.02584
16	0.01194	0.01441	-0.01866	-0.10186	0.00671	-0.06504	-0.03366	0.06938	0.01197	-0.04317	-0.02823	-0.04692	0.00387	0.08444	0.00681	-0.02725	-0.04539	-0.00913	0.03450	0.07790	0.00879	0.03178	0.01485	-0.02629	-0.00020	0.00972	-0.00970	0.03004	0.01162	-0.02519	0.01176	0.01056	-0.02480	0.01542	0.02759	-0.01486	0.00314	0.00966	-0.01878	0.01508	0.03674	-0.00652	-0.01512	-0.00896	-0.01481	-0.01704	0.00583	-0.00670	-0.01330	-0.00039	-0.02386	-0.01604	0.00654	-0.00424	-0.01262	0.00085	-0.02434
