	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.28814	0.11811	0.00705	0.16298	0.70486	0.00547	0.24270	0.10291	0.01414	0.15584	0.65713	0.00945	0.25196	0.09328	0.02088	0.14345	0.66441	0.01593	0.07676	0.03357	0.03098	0.11667	0.47732	0.01494
2	0.28841	0.11791	0.00716	0.16314	0.70486	0.00585	0.24292	0.10265	0.01368	0.15594	0.65709	0.00919	0.25220	0.09306	0.02044	0.14360	0.66441	0.01572	0.07704	0.03332	0.03130	0.11639	0.47738	0.01489
3	0.28869	0.11779	0.00729	0.16333	0.70484	0.00618	0.24313	0.10246	0.01320	0.15609	0.65704	0.00902	0.25243	0.09289	0.01996	0.14376	0.66438	0.01554	0.07731	0.03317	0.03149	0.11630	0.47739	0.01495
4	0.28889	0.11787	0.00738	0.16344	0.70478	0.00627	0.24332	0.10247	0.01299	0.15624	0.65697	0.00904	0.25264	0.09287	0.01969	0.14387	0.66431	0.01550	0.07756	0.03311	0.03152	0.11653	0.47731	0.01517
5	0.28892	0.11815	0.00734	0.16345	0.70470	0.00611	0.24339	0.10268	0.01307	0.15632	0.65690	0.00911	0.25274	0.09304	0.01966	0.14392	0.66423	0.01552	0.07775	0.03303	0.03155	0.11693	0.47717	0.01546
6	0.28880	0.11848	0.00708	0.16337	0.70466	0.00583	0.24337	0.10294	0.01334	0.15631	0.65687	0.00924	0.25274	0.09328	0.01987	0.14386	0.66418	0.01557	0.07789	0.03282	0.03153	0.11736	0.47705	0.01558
7	0.28870	0.11870	0.00670	0.16325	0.70468	0.00561	0.24338	0.10311	0.01368	0.15623	0.65692	0.00948	0.25276	0.09346	0.02022	0.14371	0.66419	0.01571	0.07802	0.03255	0.03130	0.11765	0.47700	0.01542
8	0.28870	0.11873	0.00639	0.16320	0.70473	0.00558	0.24345	0.10314	0.01382	0.15615	0.65700	0.00968	0.25282	0.09353	0.02043	0.14359	0.66426	0.01584	0.07813	0.03237	0.03090	0.11761	0.47706	0.01509
9	0.28876	0.11859	0.00633	0.16326	0.70479	0.00566	0.24349	0.10304	0.01365	0.15615	0.65705	0.00964	0.25283	0.09345	0.02032	0.14360	0.66432	0.01583	0.07810	0.03237	0.03053	0.11733	0.47716	0.01481
