	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
86	0.00880	0.20792	0.01622	-0.04433	0.49647	0.00708
87	0.00876	0.20774	0.01611	-0.04454	0.49645	0.00704
88	0.00876	0.20764	0.01603	-0.04472	0.49644	0.00699
89	0.00879	0.20765	0.01599	-0.04484	0.49643	0.00693
90	0.00887	0.20775	0.01598	-0.04485	0.49643	0.00686
91	0.00897	0.20788	0.01596	-0.04480	0.49643	0.00678
92	0.00905	0.20800	0.01595	-0.04471	0.49639	0.00672
93	0.00908	0.20807	0.01593	-0.04460	0.49630	0.00672
94	0.00905	0.20807	0.01594	-0.04446	0.49617	0.00680
95	0.00895	0.20799	0.01598	-0.04430	0.49601	0.00694
96	0.00883	0.20783	0.01608	-0.04412	0.49586	0.00711
97	0.00870	0.20763	0.01620	-0.04396	0.49574	0.00727
98	0.00863	0.20741	0.01629	-0.04383	0.49566	0.00733
99	0.00863	0.20723	0.01630	-0.04374	0.49564	0.00728
100	0.00870	0.20709	0.01621	-0.04367	0.49566	0.00712
101	0.00880	0.20700	0.01602	-0.04363	0.49572	0.00692
102	0.00887	0.20696	0.01577	-0.04361	0.49580	0.00678
103	0.00890	0.20694	0.01546	-0.04363	0.49589	0.00675
104	0.00887	0.20695	0.01513	-0.04367	0.49596	0.00680
105	0.00882	0.20697	0.01479	-0.04369	0.49599	0.00690
106	0.00880	0.20698	0.01446	-0.04368	0.49597	0.00701
107	0.00885	0.20691	0.01420	-0.04364	0.49589	0.00714
108	0.00898	0.20678	0.01399	-0.04359	0.49579	0.00728
109	0.00921	0.20662	0.01383	-0.04353	0.49568	0.00743
110	0.00950	0.20648	0.01365	-0.04345	0.49561	0.00758
111	0.00980	0.20642	0.01344	-0.04335	0.49557	0.00769
112	0.01006	0.20640	0.01321	-0.04322	0.49554	0.00775
113	0.01027	0.20637	0.01299	-0.04308	0.49549	0.00778
114	0.01043	0.20631	0.01280	-0.04293	0.49542	0.00779
115	0.01054	0.20618	0.01263	-0.04280	0.49532	0.00778
116	0.01059	0.20602	0.01248	-0.04273	0.49523	0.00778
117	0.01058	0.20587	0.01231	-0.04277	0.49516	0.00778
118	0.01052	0.20577	0.01213	-0.04292	0.49513	0.00779
119	0.01042	0.20573	0.01193	-0.04313	0.49514	0.00780
120	0.01031	0.20572	0.01173	-0.04332	0.49516	0.00780
121	0.01021	0.20568	0.01158	-0.04346	0.49517	0.00779
122	0.01012	0.20555	0.01149	-0.04354	0.49517	0.00777
123	0.01006	0.20531	0.01148	-0.04357	0.49517	0.00772
124	0.01001	0.20503	0.01153	-0.04356	0.49517	0.00764
125	0.00997	0.20479	0.01156	-0.04350	0.49514	0.00754
126	0.00992	0.20463	0.01156	-0.04342	0.49508	0.00748
127	0.00981	0.20456	0.01153	-0.04334	0.49495	0.00749
128	0.00962	0.20455	0.01150	-0.04329	0.49480	0.00757
129	0.00939	0.20457	0.01149	-0.04328	0.49465	0.00767
130	0.00914	0.20458	0.01150	-0.04330	0.49455	0.00777
131	0.00896	0.20453	0.01155	-0.04331	0.49452	0.00782
132	0.00889	0.20438	0.01163	-0.04328	0.49455	0.00783
133	0.00895	0.20412	0.01172	-0.04318	0.49462	0.00780
134	0.00911	0.20375	0.01181	-0.04305	0.49470	0.00775
135	0.00929	0.20332	0.01189	-0.04290	0.49477	0.00773
136	0.00947	0.20289	0.01195	-0.04278	0.49480	0.00775
137	0.00961	0.20249	0.01200	-0.04270	0.49481	0.00782
138	0.00972	0.20219	0.01202	-0.04262	0.49478	0.00795
139	0.00980	0.20201	0.01200	-0.04256	0.49475	0.00810
140	0.00988	0.20196	0.01195	-0.04253	0.49473	0.00827
141	0.00995	0.20201	0.01187	-0.04256	0.49474	0.00844
142	0.00999	0.20212	0.01179	-0.04264	0.49475	0.00862
143	0.01002	0.20223	0.01172	-0.04274	0.49476	0.00878
144	0.01003	0.20232	0.01163	-0.04283	0.49475	0.00890
145	0.01006	0.20237	0.01153	-0.04284	0.49472	0.00897
146	0.01008	0.20238	0.01145	-0.04279	0.49463	0.00903
147	0.01010	0.20237	0.01143	-0.04270	0.49451	0.00910
148	0.01008	0.20237	0.01148	-0.04263	0.49437	0.00923
149	0.01000	0.20239	0.01156	-0.04262	0.49424	0.00940
150	0.00985	0.20249	0.01157	-0.04266	0.49412	0.00959
151	0.00965	0.20267	0.01146	-0.04270	0.49402	0.00974
152	0.00943	0.20294	0.01121	-0.04271	0.49394	0.00980
153	0.00924	0.20319	0.01089	-0.04267	0.49389	0.00979
154	0.00912	0.20332	0.01067	-0.04263	0.49386	0.00976
155	0.00911	0.20324	0.01066	-0.04264	0.49385	0.00978
156	0.00925	0.20296	0.01089	-0.04273	0.49385	0.00990
157	0.00949	0.20261	0.01126	-0.04286	0.49385	0.01008
158	0.00980	0.20231	0.01163	-0.04294	0.49382	0.01023
159	0.01009	0.20218	0.01186	-0.04292	0.49379	0.01028
160	0.01031	0.20221	0.01193	-0.04279	0.49378	0.01017
161	0.01045	0.20237	0.01185	-0.04259	0.49377	0.00997
162	0.01049	0.20263	0.01170	-0.04235	0.49378	0.00975
163	0.01046	0.20292	0.01152	-0.04213	0.49379	0.00959
164	0.01040	0.20320	0.01136	-0.04201	0.49381	0.00955
165	0.01034	0.20341	0.01124	-0.04201	0.49385	0.00961
166	0.01031	0.20356	0.01118	-0.04209	0.49389	0.00974
167	0.01030	0.20363	0.01116	-0.04217	0.49392	0.00987
168	0.01028	0.20365	0.01121	-0.04216	0.49392	0.01001
169	0.01022	0.20361	0.01132	-0.04205	0.49390	0.01016
170	0.01013	0.20351	0.01146	-0.04186	0.49386	0.01032
171	0.01002	0.20337	0.01163	-0.04165	0.49383	0.01051
172	0.00993	0.20322	0.01180	-0.04147	0.49379	0.01070
173	0.00987	0.20308	0.01196	-0.04136	0.49375	0.01090
174	0.00986	0.20297	0.01208	-0.04132	0.49372	0.01108
175	0.00989	0.20290	0.01215	-0.04131	0.49370	0.01121
176	0.00995	0.20286	0.01215	-0.04128	0.49372	0.01128
177	0.01004	0.20282	0.01208	-0.04124	0.49377	0.01127
178	0.01014	0.20276	0.01198	-0.04120	0.49383	0.01120
179	0.01025	0.20268	0.01185	-0.04119	0.49388	0.01109
180	0.01036	0.20259	0.01172	-0.04121	0.49391	0.01098
181	0.01045	0.20254	0.01158	-0.04125	0.49392	0.01087
182	0.01050	0.20255	0.01144	-0.04130	0.49389	0.01081
183	0.01048	0.20262	0.01135	-0.04135	0.49382	0.01082
184	0.01041	0.20270	0.01134	-0.04142	0.49370	0.01092
185	0.01028	0.20277	0.01142	-0.04150	0.49356	0.01107
