	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
7	-6.22113	4.02655	-28.06662	2.32057	8.53571	-75.47798	1.33733	-0.03030	-28.33071	3.98170	2.11099	-75.63235	1.33733	-0.03030	-28.33071	3.98170	2.11099	-75.63235	6.68936	3.50794	-39.10714	-4.24063	7.84609	-60.30626	12.13978	-0.94605	-39.22866	-0.66803	3.19125	-60.69101	-4.96784	4.39601	-46.50324	1.91264	-0.88958	-39.70567	-0.86777	-8.35971	-28.34234	-20.88377	2.77877	-29.33147	34.10963	7.97946	-31.27406	38.09764	-34.46724	8.06063	166.73845	-28.64254	-90.12959	152.00528	23.51445	137.56380	152.99060	-23.53164	-95.71409	158.06511	12.27084	135.25539
8	-6.19768	3.90957	-28.14757	2.36652	8.46109	-75.56907	1.27704	-0.11470	-28.39557	3.98375	2.16581	-75.71907	1.27704	-0.11470	-28.39557	3.98374	2.16582	-75.71907	6.61408	3.52210	-39.09552	-4.35517	7.86465	-60.38169	12.08380	-0.98541	-39.21428	-0.68206	3.14436	-60.77936	-4.92032	4.39576	-46.49594	1.94116	-0.87463	-39.64717	-0.73306	-8.42119	-28.28177	-20.75960	2.70050	-29.29618	34.20775	7.93710	-31.28663	38.70183	-34.65842	8.37448	166.84529	-28.62657	-89.79266	152.46849	23.86215	138.96419	153.23561	-23.35355	-95.27250	158.67122	12.45560	136.54617
9	-6.05480	3.72847	-28.24883	2.41808	8.28925	-75.66290	1.17273	-0.17715	-28.47322	3.95812	2.25500	-75.80462	1.17273	-0.17715	-28.47322	3.95812	2.25501	-75.80462	6.54381	3.54187	-39.03201	-4.47541	7.87938	-60.51715	12.02430	-1.02633	-39.14691	-0.69784	3.09878	-60.92868	-4.86596	4.39100	-46.49491	1.97516	-0.85373	-39.60999	-0.61798	-8.48431	-28.22489	-20.65432	2.62192	-29.26491	34.29053	7.90114	-31.31348	39.32236	-34.87561	8.72237	166.98889	-28.61281	-89.28957	152.89035	24.23088	139.97484	153.36809	-23.25780	-94.74244	159.34830	12.52987	137.41284
10	-5.79721	3.51096	-28.35803	2.44114	8.00338	-75.73631	1.04343	-0.20007	-28.55599	3.87264	2.36629	-75.86584	1.04343	-0.20007	-28.55599	3.87263	2.36630	-75.86584	6.46869	3.56639	-38.92288	-4.59486	7.89281	-60.68564	11.97110	-1.07129	-39.03381	-0.71865	3.05147	-61.11028	-4.82353	4.38532	-46.49549	2.01454	-0.83813	-39.59735	-0.56656	-8.56234	-28.19906	-20.60661	2.53986	-29.26765	34.35588	7.86556	-31.34344	39.94724	-35.10232	9.06695	167.13937	-28.59509	-88.74318	153.29010	24.58886	140.38776	153.34880	-23.27560	-94.25908	160.11639	12.52313	137.65721
11	-5.48025	3.29732	-28.45722	2.41771	7.64428	-75.78098	0.91915	-0.18655	-28.63118	3.72674	2.47455	-75.89655	0.91915	-0.18655	-28.63118	3.72674	2.47455	-75.89655	6.37883	3.59293	-38.81552	-4.70639	7.90769	-60.82854	11.92962	-1.11779	-38.92397	-0.74848	3.00197	-61.26357	-4.79517	4.37391	-46.49883	2.05747	-0.83590	-39.60408	-0.59839	-8.66494	-28.21413	-20.63404	2.44858	-29.31684	34.39717	7.82413	-31.37288	40.56900	-35.31371	9.38638	167.27541	-28.57044	-88.30512	153.68874	24.91386	140.27901	153.18811	-23.39889	-93.96210	160.96420	12.47548	137.36938
12	-5.20795	3.13391	-28.52597	2.34104	7.31855	-75.79752	0.83068	-0.16146	-28.68281	3.54902	2.54342	-75.90144	0.83068	-0.16146	-28.68281	3.54902	2.54343	-75.90144	6.26932	3.61650	-38.77210	-4.80736	7.92617	-60.89741	11.89793	-1.15854	-38.88092	-0.78967	2.95248	-61.33929	-4.77186	4.35291	-46.50935	2.10195	-0.84976	-39.62233	-0.70459	-8.78722	-28.26961	-20.72791	2.35248	-29.41033	34.40297	7.77659	-31.40811	41.18445	-35.48626	9.67753	167.39401	-28.54182	-88.03510	154.10306	25.19876	139.95824	152.95607	-23.56498	-93.86885	161.84312	12.41073	136.87387
13	-5.06015	3.04623	-28.55109	2.21191	7.12350	-75.78702	0.79158	-0.14974	-28.69917	3.37072	2.54682	-75.88477	0.79158	-0.14974	-28.69917	3.37072	2.54683	-75.88477	6.14309	3.63138	-38.82642	-4.90011	7.94785	-60.89303	11.86802	-1.18535	-38.93898	-0.84081	2.90584	-61.33889	-4.74588	4.32884	-46.53313	2.14543	-0.87777	-39.64690	-0.85616	-8.90912	-28.36331	-20.85987	2.26963	-29.53915	34.36437	7.72883	-31.45791	41.79171	-35.60637	9.94971	167.50737	-28.51454	-87.88096	154.53986	25.44887	139.79184	152.75165	-23.68836	-93.87086	162.69400	12.33163	136.54604
14	-5.05474	3.02950	-28.53400	2.04640	7.09340	-75.75525	0.79464	-0.16283	-28.68050	3.21587	2.48503	-75.85297	0.79464	-0.16283	-28.68050	3.21587	2.48503	-75.85297	6.00887	3.63429	-38.97666	-4.98832	7.96946	-60.84538	11.82933	-1.19360	-39.09565	-0.89747	2.86303	-61.29369	-4.71203	4.31364	-46.57925	2.18351	-0.91575	-39.67714	-1.01865	-9.00726	-28.49367	-20.99601	2.22142	-29.69383	34.28331	7.68744	-31.52278	42.38658	-35.67263	10.21427	167.63095	-28.48941	-87.76637	154.99298	25.67346	139.95044	152.65187	-23.71319	-93.85119	163.49080	12.23442	136.55579
15	-5.15463	3.05969	-28.49319	1.87590	7.19246	-75.71423	0.82108	-0.19640	-28.64268	3.10024	2.38141	-75.81650	0.82108	-0.19641	-28.64268	3.10024	2.38142	-75.81650	5.87576	3.62737	-39.19187	-5.07433	7.98606	-60.78937	11.77543	-1.18525	-39.31859	-0.95426	2.82305	-61.23981	-4.66523	4.31409	-46.65617	2.21084	-0.95971	-39.71481	-1.16621	-9.06938	-28.65609	-21.11138	2.21779	-29.86593	34.17547	7.65296	-31.59122	42.96004	-35.69231	10.47639	167.77083	-28.45999	-87.63787	155.44586	25.87837	140.30260	152.67876	-23.64505	-93.74934	164.26180	12.11952	136.76274
16	-5.26923	3.10154	-28.45855	1.73983	7.31809	-75.67610	0.84780	-0.22721	-28.61218	3.02686	2.27372	-75.78381	0.84780	-0.22721	-28.61218	3.02685	2.27373	-75.78381	5.74895	3.61715	-39.41354	-5.15958	7.99152	-60.76656	11.70895	-1.16802	-39.54784	-1.00705	2.78641	-61.21980	-4.60045	4.32671	-46.76336	2.22415	-1.00719	-39.76074	-1.28886	-9.09854	-28.83843	-21.19824	2.25174	-30.04528	34.06635	7.61735	-31.64846	43.50108	-35.67715	10.73517	167.91827	-28.41831	-87.45326	155.87970	26.06605	140.59056	152.80260	-23.54394	-93.54520	165.05746	11.98822	136.89819
