	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
7	-0.02439	0.10973	0.00996	-0.03006	0.10410	0.06975	-0.16584	-0.02194	0.32332	0.00247	0.15141	0.03458	-0.04207	0.19777	0.26906	-0.00465	0.14508	0.01516	-0.00552	0.22951	0.14665	-0.05035	0.08040	-0.00831	-0.05869	0.07440	0.00489	-0.04384	0.11123	-0.00508	-0.02368	0.12431	0.00088	-0.01182	0.10760	0.00440	-0.00492	0.12399	-0.00538	0.00483	0.05058	-0.00423	0.01251	0.07459	-0.00246	0.01609	0.00386	-0.00730	-0.00050	0.01341	-0.00106	0.01760	0.00337	-0.00746	-0.00097	0.01054	-0.00265
8	-0.02448	0.11523	0.00837	-0.01511	0.11039	0.06032	-0.17263	-0.01323	0.31313	0.00786	0.16109	0.03167	-0.05566	0.20428	0.26492	0.00124	0.16755	0.01215	-0.01671	0.22853	0.14533	-0.04496	0.08684	-0.01071	-0.05471	0.08125	0.00268	-0.04870	0.11633	-0.00957	-0.02079	0.13014	0.00141	-0.00684	0.11302	0.00643	-0.00343	0.12923	-0.00518	0.00762	0.05536	-0.00239	0.01429	0.07697	-0.00214	0.01603	0.00524	-0.01073	-0.00080	0.01032	-0.00493	0.01795	0.00466	-0.01232	-0.00139	0.00708	-0.00793
9	-0.02462	0.11789	0.00697	-0.00229	0.11906	0.03960	-0.16345	-0.01336	0.30884	0.00721	0.16143	0.02328	-0.05960	0.20736	0.26070	0.00163	0.17599	0.00484	-0.02335	0.22692	0.14206	-0.04198	0.09390	-0.01045	-0.05071	0.09027	-0.00041	-0.05198	0.11905	-0.01304	-0.01985	0.13288	0.00266	-0.00398	0.11642	0.00698	-0.00263	0.12989	-0.00301	0.00994	0.05948	-0.00144	0.01617	0.07493	0.00009	0.01280	0.00456	-0.01494	-0.00166	0.00304	-0.00686	0.01495	0.00392	-0.01772	-0.00224	0.00030	-0.01069
10	-0.02442	0.11845	0.00541	0.00564	0.12539	0.01277	-0.14482	-0.01924	0.30906	0.00122	0.15131	0.01114	-0.05624	0.20926	0.25658	-0.00386	0.16922	-0.00468	-0.02449	0.22667	0.13786	-0.03951	0.10067	-0.00863	-0.04631	0.10030	-0.00418	-0.05170	0.12005	-0.01476	-0.02093	0.13354	0.00279	-0.00344	0.11947	0.00505	-0.00298	0.12673	-0.00069	0.01064	0.06335	-0.00263	0.01682	0.06978	0.00240	0.00685	0.00244	-0.01968	-0.00303	-0.00477	-0.00736	0.00897	0.00181	-0.02305	-0.00348	-0.00653	-0.01116
11	-0.02303	0.11931	0.00348	0.00565	0.12287	-0.01179	-0.12435	-0.02408	0.31048	-0.00773	0.13346	-0.00243	-0.05021	0.21229	0.25247	-0.01313	0.15394	-0.01365	-0.02117	0.22919	0.13366	-0.03717	0.10715	-0.00644	-0.04178	0.11019	-0.00792	-0.04640	0.12199	-0.01434	-0.02219	0.13494	0.00042	-0.00406	0.12440	0.00081	-0.00378	0.12297	-0.00040	0.00910	0.06718	-0.00639	0.01563	0.06424	0.00269	0.00087	0.00128	-0.02347	-0.00346	-0.00895	-0.00638	0.00257	0.00077	-0.02650	-0.00371	-0.00977	-0.00900
12	-0.01979	0.12261	0.00147	-0.00293	0.10859	-0.02631	-0.10788	-0.02284	0.30971	-0.01596	0.11372	-0.01494	-0.04639	0.21687	0.24771	-0.02187	0.14003	-0.01997	-0.01633	0.23404	0.12992	-0.03620	0.11435	-0.00451	-0.03789	0.11955	-0.01064	-0.03631	0.12727	-0.01201	-0.02113	0.13959	-0.00392	-0.00426	0.13200	-0.00427	-0.00386	0.12191	-0.00312	0.00600	0.07078	-0.01175	0.01351	0.06124	0.00007	-0.00230	0.00299	-0.02530	-0.00107	-0.00737	-0.00421	-0.00139	0.00271	-0.02718	-0.00110	-0.00742	-0.00462
13	-0.01508	0.12842	-0.00001	-0.01633	0.08592	-0.02772	-0.09884	-0.01607	0.30447	-0.01993	0.09809	-0.02417	-0.04804	0.22142	0.24114	-0.02545	0.13408	-0.02300	-0.01374	0.23876	0.12622	-0.03794	0.12334	-0.00288	-0.03536	0.12858	-0.01156	-0.02394	0.13551	-0.00845	-0.01690	0.14768	-0.00819	-0.00276	0.14110	-0.00803	-0.00308	0.12432	-0.00798	0.00298	0.07339	-0.01671	0.01195	0.06204	-0.00467	-0.00144	0.00730	-0.02516	0.00459	-0.00051	-0.00204	-0.00147	0.00732	-0.02564	0.00478	0.00004	0.00011
14	-0.01036	0.13436	-0.00038	-0.02801	0.06224	-0.01908	-0.09781	-0.00927	0.29413	-0.01796	0.08942	-0.02891	-0.05587	0.22375	0.23132	-0.02158	0.13556	-0.02374	-0.01623	0.24038	0.12163	-0.04228	0.13394	-0.00128	-0.03448	0.13727	-0.01040	-0.01334	0.14309	-0.00451	-0.01109	0.15649	-0.01047	0.00095	0.14924	-0.00869	-0.00248	0.12784	-0.01296	0.00170	0.07411	-0.01912	0.01179	0.06537	-0.00968	0.00273	0.01201	-0.02318	0.01233	0.00918	-0.00087	0.00197	0.01225	-0.02258	0.01266	0.01007	0.00323
15	-0.00711	0.13701	0.00050	-0.03194	0.04469	-0.00750	-0.10227	-0.00747	0.27933	-0.01097	0.08678	-0.02960	-0.06793	0.22262	0.21768	-0.01206	0.13828	-0.02399	-0.02400	0.23737	0.11560	-0.04748	0.14433	0.00065	-0.03491	0.14492	-0.00753	-0.00779	0.14514	-0.00098	-0.00588	0.16164	-0.01009	0.00647	0.15382	-0.00576	-0.00298	0.12907	-0.01612	0.00308	0.07303	-0.01768	0.01276	0.06814	-0.01316	0.00787	0.01456	-0.01985	0.02015	0.01778	-0.00124	0.00695	0.01484	-0.01885	0.02052	0.01873	0.00354
16	-0.00584	0.13433	0.00221	-0.02491	0.03755	-0.00010	-0.10778	-0.00980	0.26127	-0.00168	0.08766	-0.02771	-0.08020	0.21814	0.20154	-0.00199	0.13592	-0.02481	-0.03402	0.23051	0.10850	-0.05130	0.15213	0.00318	-0.03589	0.15059	-0.00381	-0.00787	0.13882	0.00148	-0.00217	0.16022	-0.00770	0.01265	0.15339	-0.00022	-0.00457	0.12637	-0.01664	0.00701	0.07120	-0.01260	0.01367	0.06767	-0.01426	0.01109	0.01371	-0.01645	0.02627	0.02150	-0.00350	0.01070	0.01383	-0.01589	0.02658	0.02233	0.00045
