	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
7	-8.57292	0.00000	-0.00000	-6.63398	0.00000	0.00000	-1.93759	-6.11457	10.51034	9.02300	4.32097	-14.95153	-7.03671	0.00812	-0.00000	-5.80171	-0.80501	-0.00001	15.70342	8.72053	6.58910	3.82307	2.29130	-13.97962	20.28868	26.99387	5.56417	47.25406	-6.68647	38.86121	130.93152	0.00051	-105.45406	122.15224	-0.00486	110.47056	-4.46637	-12.59505	-0.00268	-11.93347	4.16838	-0.00019	2.66773	-7.50975	11.76314	-20.16505	-11.47516	7.94610	8.56413	1.36753	6.90615
8	-8.48421	-0.00000	-0.00000	-6.49776	0.00000	0.00000	-1.86497	-6.18149	10.44037	9.04250	4.45218	-14.95843	-7.08547	0.03898	-0.00008	-5.90672	-0.86856	0.00010	15.65992	8.61707	6.60477	3.81517	2.21409	-14.07835	20.41453	26.97011	5.46316	47.76871	-6.66016	38.87635	130.92114	-0.00034	-105.15689	122.22318	-0.00296	111.82138	-4.71905	-12.45894	-0.00219	-12.03697	4.48319	-0.00068	2.79064	-7.50342	11.76563	-20.04150	-11.47029	7.95092	8.54020	1.36306	6.95828
9	-8.21100	0.00000	0.00000	-6.22588	0.00000	0.00000	-1.84680	-6.26478	10.29984	9.01274	4.59228	-14.90247	-7.13206	0.08738	-0.00015	-6.00798	-0.94472	0.00016	15.60620	8.50979	6.67977	3.79688	2.13507	-14.23217	20.51028	26.94210	5.37963	48.30963	-6.64245	38.93808	130.95758	-0.00110	-104.72375	122.26249	-0.00089	112.75501	-4.91271	-12.43535	-0.00196	-12.33357	4.74617	0.00007	2.90207	-7.51809	11.78740	-19.93003	-11.49219	7.96541	8.50760	1.36572	6.99494
10	-7.77885	0.00000	0.00000	-5.81442	0.00000	0.00000	-1.87159	-6.33207	10.10379	8.92970	4.69570	-14.78774	-7.19262	0.14139	-0.00017	-6.10590	-1.01964	0.00014	15.56739	8.41381	6.79924	3.78386	2.06061	-14.41651	20.57107	26.91323	5.32342	48.85191	-6.61565	39.00902	131.01584	-0.00129	-104.26071	122.27935	0.00030	113.06948	-4.98487	-12.54261	-0.00248	-12.80472	4.86659	0.00262	2.97023	-7.58287	11.80719	-19.86592	-11.55949	7.95821	8.49005	1.37818	7.00795
11	-7.28332	-0.00000	-0.00000	-5.33153	0.00000	0.00000	-1.90250	-6.36009	9.91614	8.81919	4.73272	-14.66793	-7.27582	0.18145	-0.00010	-6.19897	-1.07568	0.00005	15.54349	8.33978	6.91379	3.77164	1.99242	-14.56994	20.59527	26.87979	5.28961	49.37286	-6.56001	39.06000	131.08102	-0.00089	-103.91397	122.28269	0.00057	112.86151	-4.91220	-12.76835	-0.00333	-13.38278	4.82455	0.00532	2.98202	-7.71033	11.81145	-19.86407	-11.67861	7.91167	8.49011	1.39855	7.00294
12	-6.87676	-0.00000	0.00000	-4.92437	0.00000	0.00000	-1.89180	-6.34428	9.82027	8.73200	4.70021	-14.59848	-7.37659	0.18811	0.00002	-6.28587	-1.10301	-0.00004	15.51818	8.28867	6.96558	3.74792	1.92671	-14.63917	20.57704	26.83517	5.26527	49.85762	-6.45986	39.08002	131.15939	-0.00023	-103.75162	122.28093	0.00035	112.46721	-4.75278	-13.05605	-0.00345	-13.97353	4.69982	0.00591	2.93992	-7.88816	11.79182	-19.92161	-11.83492	7.82282	8.49930	1.42026	6.99205
13	-6.66529	-0.00000	-0.00000	-4.72001	0.00000	0.00000	-1.81528	-6.29417	9.86465	8.70700	4.61578	-14.58477	-7.47786	0.15264	0.00014	-6.36576	-1.10619	-0.00009	15.47815	8.25222	6.93022	3.71084	1.85675	-14.61942	20.51027	26.77711	5.24022	50.30142	-6.30773	39.07501	131.27040	0.00032	-103.73353	122.28025	0.00002	112.27319	-4.61495	-13.32660	-0.00252	-14.50148	4.62448	0.00422	2.85570	-8.08275	11.74213	-20.02445	-11.99509	7.69919	8.51369	1.43365	6.98749
14	-6.66152	0.00000	0.00000	-4.75337	0.00000	0.00000	-1.68090	-6.22553	10.04661	8.75178	4.51008	-14.60331	-7.55938	0.08090	0.00016	-6.43823	-1.09751	-0.00010	15.41606	8.21676	6.82360	3.66758	1.77498	-14.53242	20.39864	26.71131	5.21487	50.70728	-6.10449	39.05832	131.42860	0.00048	-103.78596	122.28215	-0.00022	112.45677	-4.57750	-13.52076	-0.00136	-14.94898	4.67047	0.00224	2.74645	-8.25480	11.65940	-20.15236	-12.12173	7.55362	8.53209	1.42782	7.00050
15	-6.80289	-0.00000	0.00000	-4.96325	0.00000	-0.00000	-1.51574	-6.15224	10.31622	8.84729	4.41769	-14.62835	-7.61124	-0.01015	0.00010	-6.50287	-1.08952	-0.00007	15.32893	8.17028	6.68871	3.62388	1.67678	-14.40560	20.26172	26.64832	5.19833	51.07965	-5.85812	39.04113	131.62791	0.00007	-103.84292	122.28381	-0.00026	112.88010	-4.64193	-13.61936	-0.00077	-15.36169	4.78448	0.00173	2.63079	-8.37813	11.54746	-20.28415	-12.19223	7.40014	8.54920	1.39463	7.03882
16	-6.96165	-0.00000	0.00000	-5.20475	0.00000	0.00000	-1.35906	-6.07702	10.58407	8.95411	4.36999	-14.62506	-7.64020	-0.09982	0.00004	-6.55579	-1.09510	-0.00004	15.21849	8.10762	6.58371	3.57649	1.56410	-14.28228	20.13127	26.59722	5.19693	51.42091	-5.58206	39.02939	131.83749	-0.00069	-103.84123	122.28172	-0.00012	113.27196	-4.74733	-13.63405	-0.00078	-15.81023	4.85490	0.00273	2.52240	-8.44856	11.41893	-20.40498	-12.20758	7.25226	8.55522	1.33200	7.10110
