	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
10	0.34931	0.25169	0.00391	0.00477	0.63333	0.00581	0.31900	0.21029	0.00851	0.01015	0.58229	0.01030	0.35282	0.19686	0.01531	-0.01660	0.58676	0.01767	0.23517	0.03636	0.02839	0.00478	0.38555	0.02168
11	0.34931	0.25152	0.00400	0.00478	0.63317	0.00594	0.31891	0.21017	0.00841	0.01015	0.58213	0.01039	0.35269	0.19665	0.01524	-0.01659	0.58664	0.01777	0.23473	0.03633	0.02761	0.00473	0.38545	0.02288
12	0.34921	0.25108	0.00425	0.00456	0.63298	0.00596	0.31876	0.20973	0.00839	0.00996	0.58193	0.01030	0.35251	0.19619	0.01531	-0.01678	0.58650	0.01764	0.23442	0.03592	0.02710	0.00462	0.38537	0.02457
13	0.34894	0.25041	0.00452	0.00417	0.63279	0.00589	0.31852	0.20903	0.00843	0.00965	0.58175	0.01026	0.35226	0.19551	0.01546	-0.01711	0.58635	0.01745	0.23428	0.03513	0.02681	0.00460	0.38534	0.02646
14	0.34856	0.24983	0.00452	0.00374	0.63257	0.00562	0.31821	0.20841	0.00862	0.00937	0.58160	0.01055	0.35196	0.19493	0.01565	-0.01746	0.58616	0.01752	0.23423	0.03433	0.02652	0.00490	0.38530	0.02823
15	0.34825	0.24951	0.00414	0.00331	0.63240	0.00520	0.31800	0.20809	0.00893	0.00912	0.58157	0.01119	0.35177	0.19461	0.01589	-0.01778	0.58604	0.01798	0.23420	0.03385	0.02604	0.00545	0.38534	0.02989
16	0.34820	0.24936	0.00367	0.00285	0.63240	0.00494	0.31801	0.20798	0.00912	0.00882	0.58169	0.01182	0.35178	0.19447	0.01600	-0.01810	0.58610	0.01857	0.23418	0.03368	0.02544	0.00587	0.38557	0.03172
17	0.34833	0.24925	0.00346	0.00244	0.63254	0.00505	0.31813	0.20787	0.00894	0.00854	0.58188	0.01209	0.35190	0.19434	0.01581	-0.01835	0.58631	0.01892	0.23424	0.03357	0.02494	0.00604	0.38596	0.03392
18	0.34838	0.24912	0.00355	0.00227	0.63268	0.00540	0.31817	0.20768	0.00846	0.00845	0.58197	0.01210	0.35195	0.19418	0.01529	-0.01841	0.58649	0.01900	0.23441	0.03334	0.02476	0.00609	0.38635	0.03649
19	0.34823	0.24897	0.00375	0.00238	0.63272	0.00574	0.31804	0.20746	0.00812	0.00858	0.58200	0.01232	0.35188	0.19399	0.01474	-0.01827	0.58662	0.01920	0.23460	0.03301	0.02481	0.00620	0.38673	0.03930
20	0.34797	0.24885	0.00389	0.00263	0.63286	0.00593	0.31785	0.20730	0.00835	0.00883	0.58222	0.01306	0.35176	0.19380	0.01455	-0.01804	0.58690	0.01981	0.23464	0.03271	0.02478	0.00646	0.38726	0.04224
21	0.34778	0.24875	0.00399	0.00285	0.63322	0.00593	0.31774	0.20720	0.00898	0.00905	0.58273	0.01405	0.35170	0.19363	0.01474	-0.01786	0.58744	0.02060	0.23462	0.03248	0.02451	0.00678	0.38809	0.04531
22	0.34765	0.24868	0.00415	0.00298	0.63363	0.00568	0.31771	0.20709	0.00941	0.00918	0.58329	0.01469	0.35169	0.19352	0.01499	-0.01777	0.58807	0.02105	0.23476	0.03223	0.02416	0.00689	0.38908	0.04854
23	0.34759	0.24858	0.00431	0.00318	0.63381	0.00515	0.31768	0.20694	0.00941	0.00928	0.58359	0.01487	0.35167	0.19343	0.01513	-0.01768	0.58851	0.02106	0.23496	0.03195	0.02392	0.00661	0.38995	0.05181
24	0.34761	0.24845	0.00437	0.00365	0.63372	0.00444	0.31769	0.20679	0.00923	0.00952	0.58364	0.01496	0.35165	0.19333	0.01521	-0.01746	0.58875	0.02094	0.23502	0.03179	0.02382	0.00591	0.39063	0.05497
