	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
84	0.16252	-0.01704	0.00733	0.11198	0.38554	0.04482
85	0.16274	-0.01712	0.00699	0.11292	0.38592	0.04345
86	0.16295	-0.01713	0.00668	0.11414	0.38629	0.04218
87	0.16297	-0.01703	0.00638	0.11558	0.38650	0.04105
88	0.16280	-0.01695	0.00609	0.11690	0.38647	0.04007
89	0.16259	-0.01704	0.00585	0.11768	0.38626	0.03927
90	0.16244	-0.01727	0.00576	0.11794	0.38603	0.03863
91	0.16227	-0.01751	0.00580	0.11810	0.38593	0.03803
92	0.16202	-0.01755	0.00582	0.11853	0.38595	0.03744
93	0.16174	-0.01735	0.00569	0.11906	0.38594	0.03700
94	0.16162	-0.01709	0.00550	0.11934	0.38576	0.03679
95	0.16175	-0.01699	0.00542	0.11931	0.38538	0.03666
96	0.16203	-0.01707	0.00544	0.11913	0.38498	0.03649
97	0.16223	-0.01720	0.00541	0.11889	0.38478	0.03639
98	0.16226	-0.01729	0.00530	0.11844	0.38483	0.03653
99	0.16218	-0.01733	0.00527	0.11752	0.38490	0.03692
100	0.16202	-0.01728	0.00538	0.11611	0.38476	0.03724
101	0.16181	-0.01708	0.00541	0.11456	0.38445	0.03727
102	0.16160	-0.01682	0.00523	0.11323	0.38417	0.03711
103	0.16146	-0.01664	0.00498	0.11216	0.38411	0.03693
104	0.16149	-0.01648	0.00477	0.11121	0.38440	0.03663
105	0.16167	-0.01626	0.00460	0.11033	0.38496	0.03615
106	0.16188	-0.01602	0.00446	0.10942	0.38553	0.03568
107	0.16201	-0.01586	0.00442	0.10824	0.38593	0.03544
108	0.16206	-0.01587	0.00452	0.10665	0.38618	0.03549
109	0.16206	-0.01605	0.00465	0.10477	0.38638	0.03567
110	0.16206	-0.01627	0.00471	0.10290	0.38654	0.03583
111	0.16206	-0.01643	0.00472	0.10122	0.38677	0.03593
112	0.16207	-0.01644	0.00470	0.09968	0.38723	0.03583
113	0.16203	-0.01636	0.00465	0.09807	0.38805	0.03534
114	0.16187	-0.01628	0.00459	0.09637	0.38907	0.03449
115	0.16168	-0.01628	0.00455	0.09479	0.39001	0.03355
116	0.16154	-0.01630	0.00452	0.09352	0.39080	0.03277
117	0.16141	-0.01627	0.00453	0.09246	0.39159	0.03220
118	0.16121	-0.01620	0.00462	0.09126	0.39251	0.03176
119	0.16099	-0.01614	0.00476	0.08973	0.39351	0.03130
120	0.16093	-0.01611	0.00484	0.08802	0.39449	0.03069
121	0.16110	-0.01609	0.00478	0.08639	0.39541	0.02993
122	0.16132	-0.01613	0.00459	0.08501	0.39631	0.02916
123	0.16139	-0.01618	0.00432	0.08391	0.39723	0.02839
124	0.16122	-0.01620	0.00409	0.08305	0.39811	0.02752
125	0.16092	-0.01620	0.00398	0.08233	0.39882	0.02649
126	0.16068	-0.01627	0.00399	0.08169	0.39935	0.02537
127	0.16057	-0.01641	0.00403	0.08118	0.39977	0.02422
128	0.16049	-0.01652	0.00411	0.08086	0.40021	0.02308
129	0.16038	-0.01652	0.00425	0.08070	0.40067	0.02187
130	0.16033	-0.01640	0.00440	0.08068	0.40111	0.02053
131	0.16043	-0.01625	0.00444	0.08078	0.40149	0.01905
132	0.16071	-0.01613	0.00435	0.08092	0.40181	0.01749
133	0.16094	-0.01604	0.00420	0.08099	0.40206	0.01605
134	0.16090	-0.01598	0.00410	0.08086	0.40221	0.01491
135	0.16065	-0.01594	0.00408	0.08055	0.40231	0.01404
136	0.16045	-0.01596	0.00414	0.08026	0.40252	0.01327
137	0.16048	-0.01603	0.00434	0.08023	0.40296	0.01255
138	0.16071	-0.01615	0.00470	0.08045	0.40357	0.01188
139	0.16094	-0.01626	0.00510	0.08083	0.40415	0.01127
140	0.16105	-0.01630	0.00531	0.08131	0.40457	0.01067
141	0.16106	-0.01627	0.00527	0.08175	0.40485	0.00997
142	0.16102	-0.01625	0.00528	0.08186	0.40507	0.00919
143	0.16092	-0.01626	0.00563	0.08164	0.40531	0.00851
144	0.16078	-0.01626	0.00619	0.08141	0.40555	0.00810
145	0.16065	-0.01623	0.00665	0.08149	0.40572	0.00797
146	0.16057	-0.01621	0.00685	0.08185	0.40580	0.00790
147	0.16054	-0.01628	0.00689	0.08220	0.40587	0.00768
148	0.16055	-0.01652	0.00701	0.08228	0.40598	0.00737
149	0.16054	-0.01682	0.00739	0.08220	0.40610	0.00719
150	0.16045	-0.01691	0.00799	0.08226	0.40616	0.00719
151	0.16036	-0.01667	0.00868	0.08261	0.40609	0.00721
152	0.16041	-0.01622	0.00932	0.08313	0.40599	0.00712
153	0.16059	-0.01579	0.00980	0.08362	0.40598	0.00692
154	0.16069	-0.01557	0.01028	0.08393	0.40611	0.00676
155	0.16059	-0.01556	0.01097	0.08397	0.40638	0.00676
156	0.16043	-0.01561	0.01186	0.08368	0.40671	0.00691
157	0.16044	-0.01559	0.01270	0.08308	0.40693	0.00704
158	0.16067	-0.01548	0.01336	0.08241	0.40686	0.00699
159	0.16102	-0.01533	0.01395	0.08203	0.40651	0.00682
160	0.16138	-0.01519	0.01470	0.08212	0.40611	0.00671
161	0.16163	-0.01511	0.01565	0.08247	0.40588	0.00673
162	0.16178	-0.01506	0.01672	0.08276	0.40592	0.00674
163	0.16187	-0.01497	0.01776	0.08284	0.40615	0.00664
164	0.16201	-0.01484	0.01873	0.08267	0.40638	0.00659
165	0.16234	-0.01485	0.01973	0.08225	0.40648	0.00675
166	0.16292	-0.01506	0.02089	0.08177	0.40650	0.00705
167	0.16366	-0.01532	0.02228	0.08147	0.40652	0.00730
168	0.16437	-0.01548	0.02383	0.08139	0.40659	0.00740
169	0.16500	-0.01557	0.02540	0.08140	0.40668	0.00745
170	0.16563	-0.01568	0.02692	0.08135	0.40676	0.00760
171	0.16637	-0.01585	0.02839	0.08122	0.40678	0.00779
172	0.16724	-0.01605	0.02985	0.08107	0.40679	0.00781
173	0.16820	-0.01628	0.03126	0.08101	0.40686	0.00753
174	0.16917	-0.01660	0.03261	0.08111	0.40699	0.00713
175	0.17014	-0.01700	0.03391	0.08122	0.40711	0.00693
176	0.17112	-0.01741	0.03528	0.08109	0.40719	0.00702
177	0.17215	-0.01779	0.03684	0.08074	0.40721	0.00714
178	0.17338	-0.01825	0.03854	0.08050	0.40722	0.00700
179	0.17495	-0.01885	0.04017	0.08055	0.40725	0.00661
180	0.17681	-0.01947	0.04157	0.08074	0.40735	0.00616
181	0.17870	-0.01999	0.04271	0.08089	0.40750	0.00583
182	0.18051	-0.02045	0.04367	0.08104	0.40764	0.00564
183	0.18230	-0.02102	0.04458	0.08126	0.40767	0.00555
184	0.18407	-0.02175	0.04547	0.08137	0.40749	0.00553
185	0.18571	-0.02255	0.04640	0.08112	0.40716	0.00568
186	0.18729	-0.02333	0.04731	0.08064	0.40685	0.00601
187	0.18898	-0.02410	0.04810	0.08043	0.40675	0.00637
188	0.19081	-0.02494	0.04874	0.08077	0.40687	0.00653
189	0.19257	-0.02589	0.04935	0.08139	0.40714	0.00648
190	0.19404	-0.02691	0.05004	0.08185	0.40743	0.00640
191	0.19526	-0.02798	0.05082	0.08202	0.40764	0.00643
192	0.19647	-0.02908	0.05167	0.08196	0.40777	0.00650
193	0.19776	-0.03022	0.05248	0.08171	0.40794	0.00653
194	0.19906	-0.03148	0.05311	0.08136	0.40816	0.00653
195	0.20034	-0.03290	0.05350	0.08111	0.40836	0.00661
196	0.20170	-0.03445	0.05385	0.08107	0.40851	0.00677
197	0.20324	-0.03603	0.05437	0.08121	0.40863	0.00699
198	0.20490	-0.03768	0.05506	0.08140	0.40875	0.00724
199	0.20643	-0.03942	0.05574	0.08159	0.40878	0.00752
200	0.20768	-0.04114	0.05618	0.08166	0.40869	0.00786
201	0.20875	-0.04265	0.05618	0.08152	0.40854	0.00817
202	0.20993	-0.04384	0.05563	0.08119	0.40842	0.00834
203	0.21132	-0.04474	0.05457	0.08091	0.40834	0.00837
204	0.21283	-0.04536	0.05317	0.08085	0.40820	0.00838
205	0.21423	-0.04579	0.05174	0.08100	0.40799	0.00849
206	0.21530	-0.04618	0.05044	0.08117	0.40782	0.00862
207	0.21604	-0.04675	0.04928	0.08101	0.40779	0.00863
208	0.21655	-0.04762	0.04817	0.08042	0.40789	0.00850
209	0.21686	-0.04857	0.04704	0.07975	0.40797	0.00836
210	0.21691	-0.04931	0.04586	0.07944	0.40792	0.00829
211	0.21674	-0.04973	0.04470	0.07961	0.40774	0.00830
212	0.21658	-0.04996	0.04367	0.08001	0.40755	0.00835
213	0.21670	-0.05020	0.04270	0.08026	0.40743	0.00844
214	0.21710	-0.05060	0.04164	0.08029	0.40741	0.00858
215	0.21748	-0.05112	0.04046	0.08030	0.40748	0.00866
