	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
85	0.00000	0.00000	-0.31823	0.00000	0.00000	0.12576
86	0.00000	0.00000	-0.33044	0.00000	0.00000	0.12571
87	0.00000	0.00000	-0.34257	0.00000	0.00000	0.12560
88	0.00000	0.00000	-0.35462	0.00000	0.00000	0.12545
89	0.00000	0.00000	-0.36659	0.00000	0.00000	0.12524
90	0.00000	0.00000	-0.37848	0.00000	0.00000	0.12498
91	0.00000	0.00000	-0.39029	0.00000	0.00000	0.12468
92	0.00000	0.00000	-0.40200	0.00000	0.00000	0.12433
93	0.00000	0.00000	-0.41362	0.00000	0.00000	0.12394
94	0.00000	0.00000	-0.42514	0.00000	0.00000	0.12350
95	0.00000	0.00000	-0.43657	0.00000	0.00000	0.12302
96	0.00000	0.00000	-0.44789	0.00000	0.00000	0.12250
97	0.00000	0.00000	-0.45911	0.00000	0.00000	0.12193
98	0.00000	0.00000	-0.47022	0.00000	0.00000	0.12133
99	0.00000	0.00000	-0.48122	0.00000	0.00000	0.12068
100	0.00000	0.00000	-0.49211	0.00000	0.00000	0.12000
101	0.00000	0.00000	-0.50288	0.00000	0.00000	0.11928
102	0.00000	0.00000	-0.51353	0.00000	0.00000	0.11853
103	0.00000	0.00000	-0.52407	0.00000	0.00000	0.11773
104	0.00000	0.00000	-0.53448	0.00000	0.00000	0.11690
105	0.00000	0.00000	-0.54477	0.00000	0.00000	0.11603
106	0.00000	0.00000	-0.55494	0.00000	0.00000	0.11512
107	0.00000	0.00000	-0.56497	0.00000	0.00000	0.11417
108	0.00000	0.00000	-0.57488	0.00000	0.00000	0.11318
109	0.00000	0.00000	-0.58466	0.00000	0.00000	0.11216
