	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
85	0.23573	0.03608	0.02336	-0.02186	0.39202	0.01164
86	0.23553	0.03680	0.02498	-0.02205	0.39190	0.01151
87	0.23546	0.03738	0.02663	-0.02215	0.39194	0.01100
88	0.23553	0.03785	0.02850	-0.02221	0.39216	0.01034
89	0.23561	0.03833	0.03072	-0.02229	0.39240	0.00990
90	0.23559	0.03891	0.03327	-0.02229	0.39243	0.00982
91	0.23560	0.03960	0.03603	-0.02209	0.39226	0.00999
92	0.23593	0.04030	0.03883	-0.02178	0.39202	0.01023
93	0.23662	0.04093	0.04158	-0.02157	0.39179	0.01044
94	0.23736	0.04148	0.04426	-0.02160	0.39155	0.01057
95	0.23798	0.04197	0.04699	-0.02175	0.39144	0.01051
96	0.23865	0.04245	0.04997	-0.02187	0.39165	0.01028
97	0.23952	0.04301	0.05332	-0.02186	0.39220	0.01008
98	0.24051	0.04368	0.05697	-0.02173	0.39289	0.01000
99	0.24135	0.04451	0.06070	-0.02146	0.39349	0.00983
100	0.24193	0.04550	0.06436	-0.02120	0.39383	0.00944
101	0.24245	0.04659	0.06801	-0.02120	0.39391	0.00897
102	0.24321	0.04774	0.07169	-0.02139	0.39392	0.00856
103	0.24436	0.04896	0.07538	-0.02145	0.39402	0.00823
104	0.24576	0.05032	0.07903	-0.02124	0.39423	0.00805
105	0.24716	0.05175	0.08267	-0.02093	0.39441	0.00809
106	0.24833	0.05315	0.08624	-0.02062	0.39458	0.00826
107	0.24915	0.05446	0.08954	-0.02024	0.39481	0.00832
108	0.24967	0.05568	0.09244	-0.01978	0.39501	0.00806
109	0.25012	0.05671	0.09498	-0.01933	0.39499	0.00760
110	0.25064	0.05750	0.09723	-0.01904	0.39475	0.00720
111	0.25121	0.05816	0.09921	-0.01896	0.39449	0.00704
112	0.25165	0.05887	0.10087	-0.01905	0.39431	0.00718
113	0.25177	0.05970	0.10219	-0.01920	0.39414	0.00749
114	0.25143	0.06059	0.10316	-0.01927	0.39387	0.00773
115	0.25070	0.06142	0.10374	-0.01912	0.39357	0.00775
116	0.24975	0.06217	0.10382	-0.01882	0.39339	0.00761
117	0.24860	0.06285	0.10329	-0.01850	0.39336	0.00746
118	0.24717	0.06350	0.10213	-0.01820	0.39342	0.00739
119	0.24557	0.06419	0.10044	-0.01796	0.39349	0.00735
120	0.24404	0.06501	0.09835	-0.01780	0.39348	0.00736
121	0.24261	0.06601	0.09584	-0.01777	0.39338	0.00742
122	0.24098	0.06713	0.09283	-0.01782	0.39321	0.00747
123	0.23879	0.06822	0.08942	-0.01778	0.39300	0.00738
124	0.23597	0.06913	0.08590	-0.01756	0.39274	0.00710
125	0.23282	0.06971	0.08264	-0.01729	0.39245	0.00684
126	0.22975	0.06985	0.07980	-0.01718	0.39218	0.00685
127	0.22695	0.06966	0.07728	-0.01733	0.39189	0.00715
128	0.22430	0.06953	0.07470	-0.01764	0.39157	0.00755
129	0.22147	0.06974	0.07182	-0.01802	0.39132	0.00784
130	0.21841	0.07015	0.06868	-0.01849	0.39132	0.00787
131	0.21550	0.07045	0.06539	-0.01893	0.39164	0.00764
132	0.21329	0.07049	0.06196	-0.01914	0.39220	0.00734
133	0.21188	0.07037	0.05843	-0.01911	0.39276	0.00727
134	0.21099	0.07015	0.05496	-0.01913	0.39309	0.00763
135	0.21050	0.06969	0.05172	-0.01942	0.39314	0.00837
136	0.21059	0.06871	0.04876	-0.01994	0.39309	0.00914
137	0.21140	0.06722	0.04596	-0.02041	0.39319	0.00955
138	0.21276	0.06550	0.04321	-0.02055	0.39354	0.00966
139	0.21440	0.06379	0.04058	-0.02044	0.39394	0.00995
140	0.21616	0.06206	0.03815	-0.02055	0.39413	0.01088
141	0.21794	0.06022	0.03595	-0.02114	0.39417	0.01244
142	0.21955	0.05834	0.03394	-0.02208	0.39429	0.01434
143	0.22091	0.05662	0.03207	-0.02307	0.39469	0.01639
144	0.22206	0.05522	0.03041	-0.02399	0.39532	0.01874
145	0.22298	0.05421	0.02899	-0.02486	0.39600	0.02175
146	0.22343	0.05361	0.02775	-0.02571	0.39668	0.02569
147	0.22300	0.05346	0.02666	-0.02661	0.39755	0.03052
148	0.22147	0.05383	0.02583	-0.02784	0.39899	0.03588
149	0.21916	0.05466	0.02534	-0.02968	0.40120	0.04139
150	0.21677	0.05582	0.02511	-0.03208	0.40402	0.04697
151	0.21487	0.05710	0.02493	-0.03467	0.40714	0.05288
152	0.21356	0.05818	0.02469	-0.03710	0.41029	0.05919
153	0.21242	0.05892	0.02445	-0.03940	0.41347	0.06544
154	0.21111	0.05944	0.02436	-0.04167	0.41694	0.07087
155	0.20970	0.05986	0.02431	-0.04391	0.42111	0.07498
156	0.20839	0.06015	0.02397	-0.04608	0.42622	0.07777
157	0.20726	0.06028	0.02315	-0.04828	0.43213	0.07952
158	0.20635	0.06031	0.02203	-0.05050	0.43818	0.08065
159	0.20573	0.06032	0.02085	-0.05259	0.44336	0.08162
160	0.20537	0.06034	0.01964	-0.05442	0.44679	0.08271
161	0.20512	0.06033	0.01839	-0.05615	0.44834	0.08392
162	0.20491	0.06031	0.01710	-0.05792	0.44866	0.08502
163	0.20482	0.06035	0.01583	-0.05961	0.44872	0.08576
164	0.20491	0.06044	0.01469	-0.06086	0.44909	0.08612
165	0.20503	0.06043	0.01376	-0.06151	0.44978	0.08628
166	0.20494	0.06009	0.01301	-0.06181	0.45059	0.08645
167	0.20451	0.05932	0.01238	-0.06208	0.45142	0.08668
168	0.20392	0.05820	0.01199	-0.06234	0.45231	0.08706
169	0.20347	0.05699	0.01195	-0.06246	0.45321	0.08772
170	0.20330	0.05606	0.01216	-0.06246	0.45413	0.08872
171	0.20327	0.05557	0.01241	-0.06261	0.45512	0.09000
172	0.20329	0.05537	0.01262	-0.06322	0.45627	0.09155
173	0.20335	0.05524	0.01278	-0.06441	0.45755	0.09335
174	0.20345	0.05510	0.01285	-0.06598	0.45889	0.09533
175	0.20358	0.05505	0.01273	-0.06748	0.46023	0.09737
176	0.20373	0.05514	0.01238	-0.06850	0.46151	0.09934
177	0.20391	0.05526	0.01195	-0.06906	0.46262	0.10117
178	0.20411	0.05529	0.01174	-0.06962	0.46351	0.10285
179	0.20429	0.05530	0.01184	-0.07048	0.46424	0.10432
180	0.20438	0.05539	0.01209	-0.07152	0.46497	0.10542
181	0.20432	0.05561	0.01227	-0.07242	0.46566	0.10606
182	0.20410	0.05590	0.01218	-0.07302	0.46602	0.10636
183	0.20373	0.05621	0.01167	-0.07334	0.46585	0.10640
184	0.20336	0.05650	0.01083	-0.07334	0.46526	0.10614
185	0.20323	0.05668	0.01002	-0.07281	0.46447	0.10567
186	0.20358	0.05668	0.00964	-0.07171	0.46355	0.10520
187	0.20432	0.05656	0.00978	-0.07040	0.46261	0.10470
188	0.20510	0.05649	0.01011	-0.06929	0.46179	0.10386
189	0.20548	0.05657	0.01024	-0.06844	0.46113	0.10246
190	0.20529	0.05679	0.01008	-0.06772	0.46051	0.10070
191	0.20475	0.05703	0.00987	-0.06722	0.45987	0.09900
192	0.20428	0.05726	0.00986	-0.06710	0.45937	0.09766
193	0.20409	0.05762	0.01005	-0.06736	0.45919	0.09680
194	0.20407	0.05812	0.01032	-0.06780	0.45933	0.09639
195	0.20409	0.05854	0.01064	-0.06811	0.45952	0.09631
196	0.20415	0.05871	0.01101	-0.06811	0.45948	0.09643
197	0.20424	0.05872	0.01130	-0.06780	0.45921	0.09682
198	0.20432	0.05881	0.01133	-0.06722	0.45894	0.09752
199	0.20447	0.05906	0.01108	-0.06640	0.45880	0.09827
200	0.20473	0.05933	0.01076	-0.06542	0.45866	0.09870
201	0.20494	0.05947	0.01070	-0.06458	0.45836	0.09883
202	0.20500	0.05940	0.01109	-0.06422	0.45791	0.09897
203	0.20516	0.05914	0.01182	-0.06433	0.45747	0.09928
204	0.20575	0.05881	0.01256	-0.06448	0.45718	0.09965
205	0.20670	0.05846	0.01303	-0.06432	0.45697	0.09997
206	0.20756	0.05807	0.01316	-0.06383	0.45663	0.10020
207	0.20801	0.05773	0.01307	-0.06304	0.45589	0.10045
208	0.20804	0.05760	0.01293	-0.06190	0.45473	0.10066
209	0.20784	0.05772	0.01291	-0.06061	0.45345	0.10042
210	0.20758	0.05792	0.01307	-0.05942	0.45235	0.09933
211	0.20747	0.05796	0.01336	-0.05838	0.45142	0.09728
212	0.20754	0.05769	0.01364	-0.05731	0.45039	0.09431
213	0.20764	0.05728	0.01380	-0.05608	0.44909	0.09060
214	0.20764	0.05694	0.01383	-0.05468	0.44744	0.08658
215	0.20763	0.05665	0.01388	-0.05310	0.44540	0.08282
216	0.20773	0.05631	0.01400	-0.05134	0.44307	0.07963
217	0.20785	0.05595	0.01414	-0.04959	0.44077	0.07684
218	0.20789	0.05563	0.01422	-0.04814	0.43892	0.07419
219	0.20795	0.05534	0.01421	-0.04695	0.43770	0.07168
220	0.20814	0.05504	0.01413	-0.04560	0.43691	0.06940
221	0.20839	0.05479	0.01394	-0.04379	0.43609	0.06726
222	0.20854	0.05466	0.01360	-0.04161	0.43491	0.06506
223	0.20853	0.05461	0.01316	-0.03936	0.43338	0.06266
224	0.20842	0.05458	0.01279	-0.03731	0.43173	0.06001
225	0.20831	0.05448	0.01264	-0.03547	0.43020	0.05726
226	0.20824	0.05422	0.01272	-0.03373	0.42890	0.05480
227	0.20821	0.05383	0.01297	-0.03208	0.42788	0.05294
228	0.20822	0.05355	0.01314	-0.03069	0.42714	0.05158
229	0.20828	0.05356	0.01303	-0.02969	0.42661	0.05041
230	0.20841	0.05376	0.01267	-0.02905	0.42623	0.04940
231	0.20867	0.05391	0.01231	-0.02872	0.42601	0.04888
232	0.20904	0.05387	0.01216	-0.02872	0.42602	0.04913
233	0.20941	0.05371	0.01219	-0.02911	0.42616	0.05015
234	0.20965	0.05358	0.01226	-0.02986	0.42624	0.05185
235	0.20968	0.05357	0.01215	-0.03068	0.42628	0.05409
236	0.20958	0.05367	0.01181	-0.03129	0.42646	0.05656
237	0.20954	0.05373	0.01144	-0.03162	0.42688	0.05886
238	0.20967	0.05360	0.01131	-0.03184	0.42751	0.06081
239	0.20993	0.05332	0.01152	-0.03196	0.42813	0.06253
240	0.21017	0.05306	0.01190	-0.03177	0.42853	0.06422
241	0.21032	0.05281	0.01222	-0.03114	0.42861	0.06597
242	0.21053	0.05241	0.01236	-0.03027	0.42841	0.06764
243	0.21094	0.05189	0.01231	-0.02942	0.42801	0.06894
244	0.21137	0.05150	0.01224	-0.02867	0.42747	0.06966
245	0.21160	0.05140	0.01235	-0.02790	0.42672	0.06982
246	0.21154	0.05151	0.01253	-0.02680	0.42562	0.06951
247	0.21137	0.05161	0.01252	-0.02512	0.42422	0.06869
