Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1173,12.43222,-6.97498,4.66624,93.38978,40.3189,13.13231,44.36018,-27.10505,23.25403,94.59587,-0.84251,8.32909,3.284,-1.15375,1.49512,25.33514,38.30024,6.81451,116.4993,-62.1133,13.79786,11.5292,-34.38101,31.52165,10.19673,7.52291,14.873,10.77238,-7.5208,18.94573,-0.98535,-2.61385,1.51622,3.27552,-3.01756,6.85429,0.21137,0.3186,0.25224,0.19921,-0.5541,1.3932
1174,7.33783,-4.50075,2.44178,89.89094,38.59643,10.554,14.49768,-16.64005,5.91558,90.04571,9.19516,5.11848,2.41411,-0.91916,1.01826,23.1592,31.68705,5.86258,85.20231,-28.36226,4.96235,-0.40818,15.87185,18.35908,7.04967,3.33713,5.91088,-4.47826,-8.99071,36.00901,-0.34927,-0.06962,3.63398,-0.68946,-3.58642,10.13358,0.36524,0.29711,0.59169,-0.44631,-0.47706,1.78336
1175,-10.49925,4.95353,-4.34534,87.54529,37.02754,7.97215,-31.85699,5.18156,-13.01298,85.83736,19.73086,3.28483,-1.33982,0.62583,-0.44549,21.26361,24.49759,4.79707,35.48877,19.95638,-8.21418,-15.03205,28.04346,5.2661,3.96021,0.81824,2.2719,0.68026,-8.60874,29.1683,-0.16381,0.7999,4.34719,0.24613,-2.80239,8.45017,0.37038,0.15445,0.69926,-0.40874,-0.24371,1.31776
1176,-27.67382,15.67299,-8.19786,87.04168,35.6887,5.49084,-55.49832,20.51479,-13.73479,79.64614,28.59116,2.93188,-4.78119,2.42738,-1.04422,19.75363,17.11431,3.61403,0.70225,48.73986,-8.92051,-22.27404,-8.72654,-3.48661,4.06818,3.57279,7.43326,4.95431,-1.41603,3.67144,-0.41239,-0.19172,3.33574,1.37367,-0.72863,2.68626,0.36734,0.28433,0.56717,-0.03049,0.00778,0.49611
1177,-24.73515,16.21728,-4.64985,86.75967,32.57949,3.28988,-37.25051,17.74705,0.61031,70.47031,30.28228,2.53749,-4.13739,2.40018,-0.44538,18.51637,9.80252,2.30665,2.98996,35.84794,4.01,4.13356,-57.66663,9.99917,5.74759,8.9217,16.19149,1.53543,5.01954,-12.40287,-0.90512,-2.36838,1.54556,1.19153,0.72312,-1.62578,0.29749,0.45201,0.21787,0.28345,0.12946,-0.22975
1178,-8.64417,10.29517,3.07924,86.33118,26.90989,1.44813,-9.33091,6.6205,13.90607,64.66646,25.64004,0.91952,-1.22819,1.23197,0.59448,17.52854,2.70276,0.96204,23.50762,4.99237,19.89399,50.80643,-65.52902,30.48926,4.17727,9.30068,16.70389,1.56908,3.71127,-10.32529,-1.07728,-3.74054,-0.31983,1.98193,0.67061,-2.57687,0.04009,0.22989,-0.1577,0.50451,0.16847,-0.78931
1179,0.82813,5.23559,5.32007,86.89761,19.94796,-0.11094,4.20207,-1.49135,12.5703,68.70637,22.49676,-1.19386,0.3869,0.43885,0.91515,16.81369,-4.17534,-0.30478,46.7794,-9.98734,21.14961,71.51324,-22.36298,24.24673,-2.47219,0.82197,3.56299,6.21229,-2.05222,-3.10761,-0.32287,-2.08072,-1.89617,3.7927,-0.00651,-1.62682,-0.2184,-0.28425,-0.1622,0.7443,0.17647,-0.94091
1180,-0.55006,-1.69819,-1.7141,88.59807,13.51196,-1.43355,13.18544,-5.45242,-7.17661,78.67953,25.27766,-1.94128,0.34645,-0.2243,0.16458,16.27222,-10.70947,-1.38856,73.14961,-3.3677,-2.48996,46.75448,28.02283,-0.50398,-8.18344,-9.86823,-11.54531,6.64656,-6.81208,3.74321,0.71865,1.12581,-2.00444,3.72258,-0.94725,1.14482,-0.14623,-0.75399,0.41648,0.73544,0.05577,-0.30746
1181,-2.6129,-8.2641,-7.10238,89.07569,8.83769,-2.54681,14.03256,-5.55425,-23.15706,79.16421,29.68107,-0.67717,0.26118,-0.9463,-0.44812,15.84126,-16.58027,-2.19665,73.50907,13.83908,-23.67627,9.02015,49.29699,-6.20667,-6.8808,-11.72731,-13.19519,-0.76377,-8.42591,13.08543,0.98827,2.05856,-0.45221,0.29206,-2.22439,5.19773,0.17728,-0.86827,1.03319,0.19067,-0.20888,0.81484
