Unnamed: 0_level_0,L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
577,-7.35102,0.0,-0.0,-5.8434,0.0,-0.0,-6.22669,-4.33029,23.00415,15.49238,4.75913,-17.93099,-13.39761,-3.20084,9e-05,-7.11749,0.00858,1e-05,33.24393,10.80744,17.77132,2.67886,-0.56594,-11.75732,33.01525,14.15108,-33.33291,40.87342,-12.67134,39.7125,107.47815,-0.0004,-87.64591,100.42758,-0.00024,80.64429,-7.25307,8.80866,0.00946,-6.77256,-6.54955,-0.00044,5.49212,-1.81867,11.98544,-16.37621,-6.19693,10.43715,-0.12535,0.95266,7.24668
578,-7.03415,0.0,-0.0,-6.04958,-0.0,-0.0,-6.15555,-4.37378,23.14293,15.47728,4.89477,-17.7989,-13.42503,-3.35587,4e-05,-7.06778,-0.10716,4e-05,33.1923,10.98349,17.65386,2.66012,-0.47534,-11.81059,33.21373,14.01375,-33.51831,41.1442,-12.84132,40.0524,107.46482,-8e-05,-88.214,100.46522,-0.00111,81.2466,-8.20414,8.24527,0.00675,-7.14066,-6.21566,-0.00121,5.45987,-1.71974,11.82034,-16.41585,-6.04365,10.32019,-0.20758,1.07719,7.25248
579,-7.10958,0.0,-0.0,-6.37513,-0.0,0.0,-6.12947,-4.3826,23.36962,15.4822,4.8938,-17.74103,-13.44233,-3.45576,-1e-05,-7.01976,-0.15463,4e-05,33.11831,11.09189,17.54674,2.61439,-0.44454,-11.8565,33.46113,13.93861,-33.65417,41.41259,-12.9521,40.28333,107.4602,9e-05,-87.97937,100.5333,-0.0013,82.10094,-8.82071,7.92757,0.0003,-7.22746,-5.76172,0.00042,5.55231,-1.61281,11.73052,-16.32534,-5.91096,10.27648,-0.37899,1.1411,7.31093
580,-7.66384,0.0,0.0,-6.83155,-0.0,-0.0,-6.08539,-4.32285,23.60119,15.52876,4.86826,-17.7352,-13.45761,-3.51225,-2e-05,-6.98449,-0.15537,1e-05,33.02685,11.11963,17.54775,2.54544,-0.48705,-11.87461,33.67935,13.96342,-33.67904,41.60689,-13.00133,40.39161,107.47375,0.00039,-87.68894,100.59386,-0.00067,82.61635,-8.95847,7.96867,-0.0019,-6.92272,-5.39866,0.0018,5.72589,-1.55612,11.85369,-16.14116,-5.90422,10.41258,-0.5859,1.16167,7.39488
581,-8.41513,0.0,0.0,-7.33504,0.0,0.0,-5.98977,-4.22849,23.7776,15.60039,4.83374,-17.72191,-13.47445,-3.57183,-1e-05,-6.96836,-0.12695,-2e-05,32.97088,11.10847,17.61937,2.51599,-0.57889,-11.85637,33.79667,14.08853,-33.59078,41.72356,-13.04482,40.49192,107.5089,0.00091,-88.0377,100.64985,0.00018,82.51833,-8.77577,8.22713,-0.00075,-6.49541,-5.35835,0.00166,5.86654,-1.55825,12.20423,-15.97611,-6.03663,10.73878,-0.71297,1.17453,7.42331
582,-8.67104,0.0,0.0,-7.55294,0.0,-0.0,-5.97034,-4.19578,23.87786,15.57729,4.70834,-17.62344,-13.49063,-3.65837,1e-05,-6.96191,-0.07592,-2e-05,33.00009,11.11221,17.65405,2.57783,-0.67851,-11.85163,33.82725,14.24697,-33.42904,41.81727,-13.15896,40.64513,107.53944,0.00093,-88.77243,100.73025,0.00126,81.85275,-8.35149,8.51169,0.00056,-6.29399,-5.68507,0.0024,5.88665,-1.58956,12.61653,-15.9275,-6.21895,11.11187,-0.71287,1.20085,7.38399
583,-8.20441,0.0,0.0,-7.27318,0.0,-0.0,-6.09151,-4.25833,23.96671,15.38955,4.4886,-17.47921,-13.50716,-3.75576,3e-05,-6.94265,-0.00255,4e-05,33.10361,11.16113,17.58728,2.70675,-0.75008,-11.84428,33.83685,14.34531,-33.24767,41.92161,-13.35013,40.78285,107.5443,0.00045,-88.90071,100.83306,0.00164,80.8286,-7.72874,8.71951,0.00073,-6.27555,-6.13674,0.00259,5.82604,-1.67736,12.86988,-15.97295,-6.39454,11.31561,-0.64681,1.25827,7.35389
584,-7.64978,0.0,0.0,-6.74933,0.0,-0.0,-6.19962,-4.31871,24.1196,15.14414,4.32443,-17.37188,-13.53147,-3.81758,2e-05,-6.90168,0.08801,0.00011,33.21394,11.23251,17.4738,2.82134,-0.79708,-11.77822,33.85388,14.36457,-33.12148,42.03214,-13.54832,40.82125,107.55257,-0.0007,-87.8629,100.91325,0.00079,80.02499,-7.12513,8.86495,0.00038,-6.10227,-6.36388,0.00233,5.79397,-1.8504,12.85923,-16.0131,-6.55126,11.24098,-0.60759,1.35247,7.38788
585,-7.53007,0.0,-0.0,-6.29721,-0.0,0.0,-6.14801,-4.28695,24.27212,14.96581,4.35062,-17.23218,-13.57255,-3.78668,-7e-05,-6.84109,0.16269,0.00011,33.25761,11.26202,17.48299,2.8483,-0.85837,-11.72373,33.87572,14.39872,-33.12297,42.15472,-13.6872,40.79311,107.60599,-0.00164,-86.33025,100.93775,0.00032,80.08106,-6.80205,9.03003,-3e-05,-5.69183,-6.22855,0.00277,5.83177,-2.00673,12.67215,-15.99576,-6.6269,11.00776,-0.64578,1.441,7.451
586,-7.68415,0.0,-0.0,-5.95606,0.0,-0.0,-5.98006,-4.17766,24.3047,14.8586,4.51354,-16.95101,-13.63529,-3.65087,-0.00018,-6.72884,0.17534,-4e-05,33.22604,11.19807,17.70067,2.76672,-0.95642,-11.81089,33.92574,14.55392,-33.23802,42.31774,-13.75368,40.83305,107.69434,-0.00062,-85.56571,100.92291,0.00056,80.85023,-6.79146,9.27184,-0.00045,-5.38417,-5.87466,0.00142,5.88899,-2.00059,12.49828,-15.95084,-6.55658,10.84769,-0.74489,1.45701,7.46121
