L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-6.477243962897387,0.0,0.0,-4.066891314703613,0.0,0.0,-5.918053769243993,-7.419663337972341,7.0832182636783605,13.202556859204979,0.4189066879734556,-17.48494917602337,-24.60969088813668,-1.6500526769852468,-0.00012032333159395707,-14.525555513850957,-2.954515958441984,6.962586116547072e-05,28.45307868141375,14.184920687153625,7.400647326757695,7.747517083679048,6.031320242477429,-16.307972785578162,26.470340219626966,22.662402965404812,-2.429259321877313,44.68370511952506,-11.554464589418048,35.372190671915654,130.86478555687276,-0.0005758247083267991,-107.77013930267168,118.36268739761844,-0.000505220713094459,106.91951772324387,-2.4298423878442694,-15.568814900850121,0.0003272104933327539,-4.783211403598076,5.755229889228123,-0.005016638983524566,-7.922851737879892,-12.787970407787816,12.24642132829332,-31.24778101483587,-16.51783235708468,6.265488291871607,0.07246390725336577,-1.200269405897024,8.886734712208895
-6.5704866542047204,0.0,0.0,-4.758175763871423,0.0,0.0,-6.116895051215769,-6.964913074685621,7.194509031532729,14.37588262572423,0.33561794853057525,-18.296906404820263,-25.4550699563195,-1.4649662754999488,-0.0017450560799429622,-16.171731971278522,-3.0135811443151064,0.0004827601282005624,28.482989128350876,13.837223559314914,7.044930091407778,8.04285807398239,5.75751799814125,-15.942744604525698,27.53284842641388,23.165377501699645,-3.3611681077652675,45.740172780630175,-11.160260593468578,35.95965737484915,131.2589312110453,0.002101092464567616,-105.53835229321577,118.52517756052933,0.000629705830885457,107.51940157954687,-2.5440112412240965,-15.53842167858044,0.0006773817009087369,-5.003818261152846,7.108081060978462,-0.0017497383420179364,-7.4031855629313625,-12.829029370874485,12.484479421471098,-30.722259546222688,-16.647440426297262,6.470941575779147,0.13657891913084455,-0.7810666554443955,8.332714900464984
-6.5438786938248334,0.0,0.0,-4.883958213900473,0.0,0.0,-6.700648186818391,-7.234090007290349,8.057284900503609,15.30001204073643,0.14860148418352268,-19.04636639554413,-28.484913741426535,-1.8657491744567225,0.004735669542079128,-17.954260619987377,-2.7325095084485556,-0.0005008900292058199,29.751310267475212,13.942964269573698,7.30522563045236,8.287282634087369,5.204320179918043,-15.538354507092448,29.496725459406527,23.655616728168063,-4.716054777413606,47.51494302601612,-10.734124984442804,35.7623372353684,132.17473895106778,-0.005182611386039626,-106.57596659175798,118.31513325400665,0.0018479161132826986,106.51938698880875,-2.188716818767494,-16.34528138157838,-0.007976186279114424,-3.223929209106636,6.338463810610718,-0.00025004614570650743,-6.78181016343211,-13.172518051252803,11.775403418739376,-30.172046542851714,-16.688905056540047,5.666691916773853,-0.14809408799532045,-0.2922093882779715,8.151083319516918
-5.108523128406672,0.0,0.0,-4.049666378874945,0.0,0.0,-6.367112809973089,-7.497873131562687,9.293815872088892,16.04627610375887,-0.40239540836579374,-18.990878798352348,-36.325106720217754,-2.462447965058867,-0.006107224170660884,-19.742200505709775,-2.1784317832319164,-3.860655653853254e-05,33.317925187569415,14.702825838056171,8.511040580864636,8.274702318853457,4.122166858425436,-15.717075799005412,32.23279861476841,23.85313381163167,-6.22048951049337,49.37520004587154,-11.367306084845852,35.69140397177732,132.90236303048044,0.00471871225592101,-108.47887423789622,118.58491745568624,-0.0016751394985584963,110.10618720978951,-0.36498948827841543,-18.26504041447347,0.001085914176467689,-3.4251721115874383,5.526294613878222,0.001690621849376017,-6.309144140528828,-12.994056332551985,10.755964422859067,-29.716129266200756,-16.130773590835517,4.790560317400791,-0.7455442828664237,0.2354222466652258,8.006231562891067
-1.339522199909949,0.0,0.0,-2.152466950237136,0.0,0.0,-4.053748824409981,-6.4516493280011336,9.494672019239209,16.756896533528145,0.6861948694337872,-18.062986346924827,-48.546148228025444,-2.199785801496658,0.0012041179020390465,-21.934611931377383,-1.8018203603897212,-0.0005173660414921157,38.62271448745358,15.279038898009741,10.51180766015128,8.145592322304072,1.8373039228260306,-16.621993008341434,34.61082013301358,24.1783120736383,-7.702745703672977,51.394256914423615,-12.34350742071366,35.99033050704837,133.75535491217073,-0.0035804877317331223,-110.89481848346054,119.41805560311923,0.0009666059502990328,111.62911014714358,-0.04620907018386837,-18.701621831301747,-0.003402109352688318,-2.475724360750143,6.255273567662563,0.001192055148042109,-5.4821443738920905,-13.529936617651597,9.993848963429272,-28.97444752142946,-16.327199735895682,3.859692351170662,-1.4500961359769668,-0.12503521557449299,7.557917209295287
1.0697523548470007,0.0,0.0,-2.2698566339107273,0.0,0.0,-0.17380590852779199,-4.901762652764204,10.141277658240508,18.251965303409104,0.7838917047953017,-17.710213311353016,-62.338224597581224,-2.9609090280514025,0.00755409304199572,-25.081425560219763,-1.5665895278958981,0.002269753460156731,44.82893428571033,16.173588348672034,11.216215624195016,8.399179878706835,-1.3202945639573556,-16.733300737298528,37.35088855640361,25.12917455731366,-9.58829581091032,53.769224883871935,-13.624385397585058,36.21552584345571,134.18982794710266,0.0034775783199543346,-102.40905697366573,119.64935785410877,-0.0014474477027541957,109.49630053878236,-4.038490480344086,-18.07828185092747,-0.008880424428379488,-2.7517044545045417,6.177992291283238,0.006966295469217809,-4.944474680305339,-13.478437485514123,9.275528262281076,-28.448751265827504,-16.001476326281573,3.2141621279643764,-2.0711875894857688,-1.2580399321395384,7.610850586932491
3.975268152105535,0.0,0.0,-2.4069903032580098,0.0,0.0,4.038889740279132,-3.9966236798376524,9.839749291788658,20.148241757828245,1.0660793456394637,-17.822435527564497,-75.85875523019068,-2.597202628295971,-0.0005785487300896384,-28.113798683014675,-1.0675649180537596,-0.0029840524995908553,52.0755481580537,17.5018157625749,11.786963698515832,8.032206900300991,-4.589696291606362,-16.56361232767198,41.132678763796534,25.70133194351544,-11.709308236282185,56.8944116191633,-13.972311288343684,36.153459998732494,134.19189070191877,-0.00036402205769804294,-94.92925315871233,120.29690769347124,0.00311031562647812,106.68343813193603,-6.356094738409938,-19.001697955188977,-0.00429896437311068,-0.42658523557270006,9.323383565876053,0.01453160190958231,-4.284729186396095,-13.286471325442356,9.008694732984122,-27.77313393029912,-15.721925698451624,3.046243100941743,-3.440404382467542,-2.0460346050098788,7.233356209528975
4.12594204126933,0.0,0.0,-1.5438583047167003,0.0,0.0,8.282078617688818,-2.352335151371894,11.779279895367935,21.823060429462735,1.119590129242752,-17.90029325099445,-86.42047285442521,-1.814454743759714,-0.003879214232406066,-30.780082746750693,-0.5352082152149074,0.0016693277697499736,58.44306694455457,19.637556583814405,13.075072872578026,6.201299491693077,-8.294812543995251,-15.491675328444341,44.46314589926758,25.772198347922398,-13.81509742341195,60.12341871977968,-14.833214922186585,36.85831516474641,134.41719759040282,2.615452462454236e-07,-92.1826563536214,120.85317722357394,-0.0014651831962969905,105.61741141621548,-6.9992025018436275,-17.00221344032188,-0.0036892035899127196,-1.7899357286476827,11.121826886597162,-0.0026852838082175733,-3.5906889301690073,-13.37966836646651,8.955176153216355,-27.09071443762644,-15.786637227242137,2.958014289329796,-6.020899375192238,-3.3351907540459345,7.161395633183013
2.1365577516231715,0.0,0.0,-0.3379683171406739,0.0,0.0,12.726259691475471,-1.522098026971669,13.870740140037666,23.415734291055127,2.253267757829659,-18.312680577933925,-93.22300538043567,0.8617235213482616,-0.01073775895761525,-33.01763794827223,-0.1670666296437838,-0.0004039066764953652,64.2576070267423,22.844906792038792,15.005662940860528,2.831544449634955,-11.67806285659842,-14.093158420518574,47.25767455421422,26.009220983745642,-16.075796052229908,63.12909680187949,-16.082994202652756,37.77052139348904,134.6524434350548,0.002296001147723028,-92.005593239293,120.56678322415898,0.001190628633474081,106.62105241488817,-6.992694941667351,-16.70531775197509,-0.005585316253884273,-2.7147193745272302,11.200437095481865,-0.0004847462822549694,-3.6400684399549585,-13.309633667925354,8.78257436790875,-27.135752307297377,-15.655454997988011,2.827031222117128,-9.533613947336809,-4.527217779257382,7.44785776981276
5.664422115307108,0.0,0.0,-0.1301921549952213,0.0,0.0,14.627858934381756,-1.7411870508489382,14.21963493535942,24.992791918237707,2.900993777472146,-18.92125187341854,-95.48736457799981,2.525799913555949,0.01361588260634189,-35.32215460203361,0.4458765090499466,-0.000239465214339732,70.12981349801649,26.816504840714682,15.46601241713504,-0.2548227784081247,-15.923216694204312,-11.924007679074704,49.60260799566298,26.777640157875403,-18.02300171245465,65.85307917388671,-17.889704778524166,38.98712005230148,135.18155401637352,0.0006775880137756153,-94.18311877677974,120.33591414506186,0.0018236905815799914,105.94257730686445,-8.269125928222271,-17.641696806875135,-0.0007917239945455496,-4.772304508909721,10.343461064686025,0.006153577287300082,-4.482221806644714,-13.044753173764827,7.995576724740826,-27.96278685378503,-15.107106329800649,2.2076277021066404,-12.640774733304209,-6.679961221211025,7.878393963550569
