	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
86	0.11822	0.08483	0.00978	0.02928	0.51631	0.00179
87	0.11821	0.08487	0.00993	0.02934	0.51638	0.00174
88	0.11806	0.08485	0.01027	0.02925	0.51658	0.00158
89	0.11799	0.08473	0.01060	0.02909	0.51668	0.00153
90	0.11808	0.08457	0.01071	0.02900	0.51657	0.00159
91	0.11819	0.08451	0.01058	0.02899	0.51628	0.00166
92	0.11816	0.08462	0.01042	0.02896	0.51601	0.00172
93	0.11803	0.08478	0.01043	0.02891	0.51588	0.00183
94	0.11800	0.08482	0.01068	0.02897	0.51591	0.00199
95	0.11812	0.08476	0.01098	0.02912	0.51608	0.00216
96	0.11825	0.08476	0.01105	0.02926	0.51626	0.00226
97	0.11827	0.08486	0.01081	0.02933	0.51637	0.00227
98	0.11830	0.08493	0.01044	0.02937	0.51636	0.00217
99	0.11843	0.08486	0.01014	0.02945	0.51630	0.00201
100	0.11855	0.08472	0.01004	0.02942	0.51629	0.00189
101	0.11851	0.08462	0.01019	0.02915	0.51636	0.00187
102	0.11833	0.08459	0.01046	0.02883	0.51645	0.00189
103	0.11823	0.08460	0.01060	0.02880	0.51646	0.00185
104	0.11828	0.08469	0.01050	0.02906	0.51634	0.00178
105	0.11836	0.08480	0.01033	0.02934	0.51615	0.00180
106	0.11836	0.08483	0.01029	0.02957	0.51601	0.00186
107	0.11832	0.08481	0.01033	0.02986	0.51603	0.00178
108	0.11828	0.08484	0.01034	0.03015	0.51618	0.00161
109	0.11819	0.08497	0.01034	0.03018	0.51637	0.00155
110	0.11803	0.08508	0.01036	0.02987	0.51643	0.00167
111	0.11786	0.08512	0.01036	0.02948	0.51631	0.00186
