	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d
7	0.13354	0.48874	1.41608	0.04608	0.56844	0.06779	0.16674	0.12492	0.07105	0.04825	0.58479	0.45658	0.23263	0.25888	0.43105	0.00367	0.41149	0.80906	0.15471	0.30756	0.81910	-0.03637	0.53277	1.34359	0.27289	0.40004	1.34617	-0.08558	0.71330	1.14309	0.40460	0.56498	1.15821	0.07344	0.75902	1.33135	0.31089	0.69168	1.34479
8	0.13347	0.48882	1.41605	0.04601	0.56837	0.06783	0.16676	0.12498	0.07130	0.04828	0.58468	0.45662	0.23208	0.25910	0.43135	0.00347	0.41171	0.80924	0.15456	0.30785	0.81947	-0.03664	0.53242	1.34400	0.27293	0.39973	1.34660	-0.08582	0.71262	1.14319	0.40437	0.56441	1.15824	0.07371	0.75858	1.33097	0.31050	0.69151	1.34447
9	0.13360	0.48873	1.41602	0.04621	0.56806	0.06780	0.16683	0.12510	0.07140	0.04829	0.58441	0.45658	0.23162	0.25913	0.43158	0.00337	0.41191	0.80941	0.15451	0.30814	0.81975	-0.03704	0.53215	1.34432	0.27283	0.39949	1.34703	-0.08618	0.71204	1.14324	0.40409	0.56391	1.15831	0.07367	0.75805	1.33072	0.30969	0.69135	1.34403
10	0.13371	0.48843	1.41615	0.04664	0.56761	0.06777	0.16694	0.12516	0.07136	0.04829	0.58404	0.45655	0.23113	0.25903	0.43170	0.00348	0.41204	0.80964	0.15465	0.30832	0.81996	-0.03739	0.53217	1.34455	0.27271	0.39929	1.34738	-0.08655	0.71173	1.14318	0.40391	0.56360	1.15853	0.07346	0.75778	1.33052	0.30919	0.69110	1.34406
11	0.13375	0.48798	1.41653	0.04705	0.56730	0.06780	0.16699	0.12512	0.07125	0.04822	0.58370	0.45659	0.23054	0.25897	0.43172	0.00370	0.41208	0.80990	0.15490	0.30837	0.82013	-0.03762	0.53236	1.34487	0.27274	0.39900	1.34758	-0.08669	0.71151	1.14310	0.40390	0.56355	1.15892	0.07337	0.75793	1.33031	0.30928	0.69077	1.34468
12	0.13378	0.48754	1.41704	0.04722	0.56731	0.06783	0.16695	0.12500	0.07113	0.04812	0.58344	0.45663	0.22990	0.25897	0.43166	0.00391	0.41207	0.81010	0.15513	0.30839	0.82024	-0.03768	0.53245	1.34532	0.27293	0.39865	1.34766	-0.08641	0.71125	1.14316	0.40406	0.56370	1.15941	0.07347	0.75827	1.33037	0.30954	0.69049	1.34552
13	0.13389	0.48727	1.41746	0.04718	0.56750	0.06777	0.16691	0.12482	0.07101	0.04809	0.58329	0.45659	0.22930	0.25893	0.43159	0.00410	0.41212	0.81018	0.15529	0.30841	0.82030	-0.03762	0.53230	1.34564	0.27313	0.39850	1.34780	-0.08581	0.71116	1.14341	0.40431	0.56394	1.15993	0.07360	0.75847	1.33095	0.30953	0.69027	1.34622
14	0.13401	0.48719	1.41763	0.04701	0.56765	0.06769	0.16697	0.12466	0.07092	0.04820	0.58322	0.45651	0.22882	0.25878	0.43159	0.00425	0.41222	0.81019	0.15537	0.30841	0.82039	-0.03748	0.53203	1.34563	0.27324	0.39866	1.34815	-0.08525	0.71142	1.14376	0.40462	0.56417	1.16048	0.07359	0.75846	1.33185	0.30937	0.68999	1.34687
15	0.13402	0.48722	1.41761	0.04674	0.56771	0.06768	0.16706	0.12460	0.07093	0.04835	0.58308	0.45651	0.22851	0.25851	0.43174	0.00430	0.41226	0.81027	0.15534	0.30835	0.82057	-0.03732	0.53183	1.34538	0.27328	0.39883	1.34864	-0.08510	0.71189	1.14411	0.40492	0.56428	1.16110	0.07349	0.75840	1.33254	0.30945	0.68961	1.34771
16	0.13382	0.48727	1.41754	0.04644	0.56775	0.06778	0.16706	0.12461	0.07100	0.04840	0.58271	0.45662	0.22833	0.25816	0.43198	0.00419	0.41218	0.81049	0.15520	0.30821	0.82078	-0.03723	0.53179	1.34521	0.27327	0.39858	1.34908	-0.08542	0.71228	1.14443	0.40515	0.56420	1.16185	0.07339	0.75839	1.33278	0.30982	0.68927	1.34871
