	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
86	0.14854	0.00170	0.01612	0.10357	0.47674	0.00931
87	0.14867	0.00163	0.01611	0.10356	0.47684	0.00920
88	0.14866	0.00172	0.01608	0.10353	0.47686	0.00919
89	0.14856	0.00188	0.01607	0.10332	0.47675	0.00929
90	0.14850	0.00198	0.01604	0.10306	0.47661	0.00932
91	0.14857	0.00199	0.01596	0.10300	0.47657	0.00915
92	0.14875	0.00192	0.01589	0.10321	0.47665	0.00888
93	0.14894	0.00175	0.01592	0.10349	0.47676	0.00874
94	0.14903	0.00152	0.01603	0.10363	0.47682	0.00881
95	0.14899	0.00124	0.01609	0.10363	0.47681	0.00900
96	0.14891	0.00106	0.01606	0.10355	0.47677	0.00919
97	0.14883	0.00109	0.01600	0.10339	0.47673	0.00934
98	0.14876	0.00136	0.01598	0.10315	0.47670	0.00946
99	0.14872	0.00163	0.01601	0.10299	0.47667	0.00955
100	0.14869	0.00167	0.01609	0.10300	0.47667	0.00956
101	0.14859	0.00146	0.01628	0.10303	0.47669	0.00944
102	0.14837	0.00123	0.01646	0.10293	0.47672	0.00920
103	0.14822	0.00115	0.01646	0.10278	0.47671	0.00900
104	0.14831	0.00118	0.01630	0.10275	0.47666	0.00897
105	0.14856	0.00126	0.01617	0.10271	0.47664	0.00911
106	0.14874	0.00139	0.01620	0.10254	0.47669	0.00930
107	0.14879	0.00153	0.01632	0.10232	0.47675	0.00947
108	0.14877	0.00168	0.01633	0.10229	0.47675	0.00949
109	0.14874	0.00180	0.01614	0.10248	0.47669	0.00920
110	0.14869	0.00189	0.01590	0.10262	0.47661	0.00873
111	0.14863	0.00190	0.01580	0.10257	0.47650	0.00840
112	0.14859	0.00183	0.01591	0.10249	0.47640	0.00844
113	0.14856	0.00170	0.01612	0.10245	0.47637	0.00872
114	0.14850	0.00154	0.01633	0.10240	0.47637	0.00905
115	0.14846	0.00142	0.01648	0.10247	0.47637	0.00925
116	0.14851	0.00133	0.01648	0.10275	0.47637	0.00925
117	0.14866	0.00130	0.01626	0.10300	0.47637	0.00905
118	0.14875	0.00137	0.01589	0.10312	0.47642	0.00879
119	0.14872	0.00155	0.01554	0.10323	0.47650	0.00868
120	0.14868	0.00173	0.01530	0.10342	0.47656	0.00879
121	0.14872	0.00179	0.01516	0.10358	0.47657	0.00903
122	0.14881	0.00173	0.01509	0.10365	0.47656	0.00922
123	0.14882	0.00166	0.01510	0.10365	0.47656	0.00927
124	0.14875	0.00163	0.01516	0.10360	0.47659	0.00919
125	0.14864	0.00163	0.01520	0.10351	0.47665	0.00903
126	0.14850	0.00157	0.01519	0.10346	0.47673	0.00890
