	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
81	0.00000	0.00000	-0.79648	0.00000	0.00000	-1.84326
82	0.00000	0.00000	-0.79625	0.00000	0.00000	-1.84346
83	0.00000	0.00000	-0.79602	0.00000	0.00000	-1.84367
84	0.00000	0.00000	-0.79578	0.00000	0.00000	-1.84390
85	0.00000	0.00000	-0.79554	0.00000	0.00000	-1.84415
86	0.00000	0.00000	-0.79529	0.00000	0.00000	-1.84440
87	0.00000	0.00000	-0.79503	0.00000	0.00000	-1.84468
88	0.00000	0.00000	-0.79477	0.00000	0.00000	-1.84496
89	0.00000	0.00000	-0.79450	0.00000	0.00000	-1.84525
90	0.00000	0.00000	-0.79422	0.00000	0.00000	-1.84556
91	0.00000	0.00000	-0.79393	0.00000	0.00000	-1.84587
92	0.00000	0.00000	-0.79364	0.00000	0.00000	-1.84620
93	0.00000	0.00000	-0.79334	0.00000	0.00000	-1.84653
94	0.00000	0.00000	-0.79303	0.00000	0.00000	-1.84687
95	0.00000	0.00000	-0.79272	0.00000	0.00000	-1.84721
96	0.00000	0.00000	-0.79239	0.00000	0.00000	-1.84755
97	0.00000	0.00000	-0.79206	0.00000	0.00000	-1.84790
