	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
10	0.28164	0.14595	0.00782	0.15691	0.70574	0.00779	0.23319	0.14254	0.01255	0.14372	0.65883	0.01022	0.23877	0.13779	0.01919	0.15357	0.66194	0.02007	0.05299	0.12465	0.02397	0.10241	0.47695	0.01524
11	0.28149	0.14608	0.00745	0.15691	0.70569	0.00783	0.23307	0.14262	0.01246	0.14375	0.65877	0.01036	0.23867	0.13786	0.01909	0.15360	0.66190	0.02021	0.05291	0.12455	0.02423	0.10257	0.47687	0.01545
12	0.28144	0.14609	0.00723	0.15702	0.70566	0.00783	0.23304	0.14263	0.01243	0.14390	0.65874	0.01055	0.23864	0.13787	0.01905	0.15372	0.66189	0.02041	0.05290	0.12453	0.02437	0.10292	0.47680	0.01573
13	0.28158	0.14610	0.00727	0.15736	0.70573	0.00795	0.23317	0.14262	0.01228	0.14422	0.65882	0.01067	0.23877	0.13786	0.01890	0.15400	0.66198	0.02057	0.05303	0.12447	0.02430	0.10319	0.47689	0.01586
14	0.28187	0.14615	0.00745	0.15808	0.70590	0.00838	0.23341	0.14263	0.01191	0.14479	0.65901	0.01078	0.23902	0.13789	0.01853	0.15458	0.66212	0.02070	0.05329	0.12433	0.02406	0.10315	0.47721	0.01575
15	0.28213	0.14623	0.00758	0.15911	0.70597	0.00909	0.23362	0.14265	0.01150	0.14556	0.65913	0.01109	0.23925	0.13793	0.01812	0.15538	0.66216	0.02100	0.05354	0.12417	0.02377	0.10287	0.47756	0.01552
16	0.28219	0.14619	0.00758	0.16001	0.70583	0.00977	0.23368	0.14261	0.01134	0.14622	0.65906	0.01157	0.23929	0.13790	0.01797	0.15606	0.66199	0.02149	0.05359	0.12415	0.02357	0.10259	0.47770	0.01532
17	0.28202	0.14594	0.00751	0.16040	0.70555	0.01009	0.23351	0.14246	0.01145	0.14649	0.65882	0.01199	0.23912	0.13774	0.01809	0.15634	0.66170	0.02190	0.05338	0.12431	0.02350	0.10239	0.47757	0.01522
18	0.28176	0.14560	0.00749	0.16020	0.70531	0.00993	0.23326	0.14223	0.01174	0.14631	0.65859	0.01207	0.23885	0.13749	0.01838	0.15617	0.66146	0.02198	0.05307	0.12454	0.02350	0.10233	0.47730	0.01520
19	0.28161	0.14535	0.00760	0.15957	0.70524	0.00939	0.23313	0.14207	0.01210	0.14585	0.65848	0.01179	0.23869	0.13729	0.01873	0.15572	0.66141	0.02168	0.05288	0.12471	0.02351	0.10260	0.47702	0.01525
20	0.28167	0.14532	0.00776	0.15890	0.70530	0.00872	0.23320	0.14206	0.01239	0.14543	0.65847	0.01127	0.23875	0.13723	0.01899	0.15527	0.66149	0.02116	0.05292	0.12480	0.02350	0.10314	0.47680	0.01535
21	0.28189	0.14545	0.00783	0.15865	0.70536	0.00823	0.23343	0.14217	0.01252	0.14529	0.65851	0.01093	0.23897	0.13733	0.01912	0.15511	0.66158	0.02082	0.05314	0.12483	0.02347	0.10344	0.47675	0.01541
22	0.28209	0.14559	0.00769	0.15880	0.70537	0.00810	0.23366	0.14228	0.01264	0.14537	0.65856	0.01112	0.23921	0.13745	0.01926	0.15518	0.66160	0.02103	0.05338	0.12482	0.02340	0.10329	0.47684	0.01536
23	0.28216	0.14560	0.00743	0.15885	0.70533	0.00820	0.23378	0.14231	0.01285	0.14533	0.65857	0.01166	0.23931	0.13751	0.01949	0.15514	0.66158	0.02159	0.05348	0.12487	0.02328	0.10304	0.47689	0.01536
24	0.28208	0.14555	0.00725	0.15844	0.70529	0.00828	0.23373	0.14231	0.01295	0.14501	0.65852	0.01187	0.23925	0.13752	0.01961	0.15478	0.66155	0.02183	0.05340	0.12499	0.02321	0.10309	0.47675	0.01551
25	0.28195	0.14556	0.00730	0.15777	0.70526	0.00827	0.23357	0.14233	0.01276	0.14454	0.65840	0.01154	0.23910	0.13756	0.01943	0.15427	0.66151	0.02151	0.05326	0.12505	0.02324	0.10334	0.47648	0.01571
26	0.28185	0.14564	0.00748	0.15726	0.70518	0.00820	0.23342	0.14237	0.01250	0.14418	0.65826	0.01112	0.23896	0.13762	0.01917	0.15389	0.66142	0.02109	0.05314	0.12495	0.02327	0.10346	0.47624	0.01573
27	0.28177	0.14576	0.00759	0.15711	0.70504	0.00813	0.23334	0.14241	0.01248	0.14402	0.65812	0.01108	0.23888	0.13768	0.01917	0.15374	0.66127	0.02105	0.05308	0.12469	0.02318	0.10331	0.47610	0.01556
28	0.28170	0.14591	0.00753	0.15729	0.70488	0.00812	0.23329	0.14247	0.01262	0.14409	0.65802	0.01133	0.23883	0.13776	0.01932	0.15383	0.66112	0.02129	0.05305	0.12440	0.02302	0.10300	0.47607	0.01535
29	0.28162	0.14611	0.00742	0.15780	0.70478	0.00826	0.23323	0.14259	0.01257	0.14442	0.65797	0.01145	0.23877	0.13789	0.01927	0.15420	0.66101	0.02140	0.05301	0.12421	0.02290	0.10265	0.47617	0.01519
30	0.28157	0.14632	0.00739	0.15850	0.70479	0.00859	0.23315	0.14272	0.01221	0.14493	0.65801	0.01137	0.23871	0.13801	0.01889	0.15474	0.66100	0.02129	0.05297	0.12410	0.02289	0.10230	0.47641	0.01510
31	0.28157	0.14647	0.00742	0.15906	0.70490	0.00892	0.23311	0.14281	0.01181	0.14535	0.65814	0.01137	0.23870	0.13807	0.01844	0.15519	0.66108	0.02127	0.05299	0.12401	0.02294	0.10210	0.47668	0.01504
32	0.28162	0.14649	0.00738	0.15928	0.70509	0.00913	0.23315	0.14280	0.01156	0.14553	0.65834	0.01160	0.23876	0.13802	0.01816	0.15539	0.66127	0.02150	0.05305	0.12395	0.02306	0.10217	0.47691	0.01504
33	0.28164	0.14634	0.00731	0.15923	0.70530	0.00922	0.23316	0.14269	0.01143	0.14553	0.65854	0.01176	0.23878	0.13788	0.01799	0.15541	0.66147	0.02164	0.05307	0.12397	0.02331	0.10233	0.47707	0.01514
34	0.28159	0.14607	0.00731	0.15912	0.70540	0.00932	0.23308	0.14249	0.01128	0.14545	0.65862	0.01161	0.23871	0.13766	0.01782	0.15538	0.66155	0.02144	0.05300	0.12406	0.02365	0.10231	0.47714	0.01529
35	0.28153	0.14578	0.00733	0.15911	0.70533	0.00947	0.23301	0.14228	0.01114	0.14541	0.65853	0.01135	0.23865	0.13745	0.01767	0.15539	0.66146	0.02112	0.05292	0.12413	0.02383	0.10202	0.47712	0.01533
36	0.28160	0.14564	0.00734	0.15936	0.70519	0.00971	0.23307	0.14216	0.01112	0.14553	0.65842	0.01131	0.23870	0.13734	0.01767	0.15556	0.66130	0.02105	0.05297	0.12408	0.02369	0.10166	0.47712	0.01518
37	0.28175	0.14573	0.00733	0.15978	0.70514	0.00992	0.23324	0.14220	0.01124	0.14583	0.65841	0.01150	0.23885	0.13740	0.01782	0.15588	0.66124	0.02123	0.05312	0.12396	0.02331	0.10144	0.47723	0.01499
38	0.28186	0.14600	0.00729	0.16017	0.70522	0.00996	0.23337	0.14240	0.01141	0.14611	0.65853	0.01167	0.23897	0.13762	0.01801	0.15618	0.66132	0.02140	0.05324	0.12386	0.02290	0.10134	0.47744	0.01490
39	0.28182	0.14625	0.00720	0.16039	0.70537	0.00984	0.23336	0.14260	0.01152	0.14627	0.65870	0.01166	0.23895	0.13782	0.01813	0.15633	0.66148	0.02139	0.05323	0.12385	0.02263	0.10127	0.47766	0.01488
40	0.28169	0.14632	0.00711	0.16045	0.70549	0.00973	0.23323	0.14266	0.01154	0.14630	0.65883	0.01154	0.23882	0.13786	0.01813	0.15636	0.66160	0.02128	0.05309	0.12393	0.02251	0.10120	0.47782	0.01486
41	0.28156	0.14621	0.00712	0.16050	0.70544	0.00974	0.23309	0.14259	0.01147	0.14633	0.65878	0.01141	0.23868	0.13775	0.01804	0.15639	0.66156	0.02115	0.05293	0.12403	0.02251	0.10110	0.47780	0.01488
42	0.28145	0.14610	0.00727	0.16060	0.70514	0.00983	0.23296	0.14250	0.01135	0.14639	0.65848	0.01124	0.23855	0.13766	0.01791	0.15646	0.66127	0.02096	0.05281	0.12399	0.02265	0.10097	0.47756	0.01502
43	0.28130	0.14611	0.00755	0.16066	0.70473	0.00984	0.23278	0.14246	0.01128	0.14642	0.65807	0.01097	0.23839	0.13767	0.01787	0.15649	0.66087	0.02070	0.05268	0.12374	0.02290	0.10087	0.47719	0.01524
44	0.28113	0.14623	0.00785	0.16063	0.70443	0.00977	0.23261	0.14249	0.01139	0.14641	0.65776	0.01074	0.23823	0.13776	0.01800	0.15643	0.66061	0.02050	0.05256	0.12342	0.02317	0.10091	0.47688	0.01545
45	0.28112	0.14632	0.00803	0.16064	0.70439	0.00968	0.23261	0.14252	0.01160	0.14645	0.65772	0.01071	0.23823	0.13780	0.01822	0.15642	0.66059	0.02052	0.05257	0.12325	0.02337	0.10103	0.47682	0.01553
46	0.28138	0.14621	0.00805	0.16083	0.70455	0.00960	0.23288	0.14246	0.01182	0.14660	0.65789	0.01095	0.23849	0.13771	0.01843	0.15657	0.66073	0.02075	0.05281	0.12335	0.02340	0.10109	0.47701	0.01541
47	0.28183	0.14590	0.00799	0.16116	0.70472	0.00955	0.23334	0.14227	0.01205	0.14684	0.65810	0.01135	0.23893	0.13748	0.01865	0.15686	0.66088	0.02113	0.05320	0.12365	0.02320	0.10110	0.47726	0.01510
48	0.28224	0.14556	0.00796	0.16148	0.70478	0.00956	0.23376	0.14208	0.01227	0.14708	0.65821	0.01175	0.23931	0.13725	0.01887	0.15712	0.66093	0.02153	0.05352	0.12400	0.02288	0.10110	0.47742	0.01469
49	0.28239	0.14542	0.00800	0.16166	0.70478	0.00964	0.23391	0.14203	0.01238	0.14719	0.65824	0.01199	0.23945	0.13718	0.01899	0.15721	0.66092	0.02180	0.05363	0.12429	0.02267	0.10099	0.47749	0.01434
50	0.28223	0.14555	0.00807	0.16169	0.70480	0.00972	0.23374	0.14216	0.01230	0.14716	0.65827	0.01200	0.23928	0.13731	0.01890	0.15715	0.66093	0.02184	0.05346	0.12443	0.02273	0.10071	0.47758	0.01417
51	0.28187	0.14579	0.00810	0.16161	0.70484	0.00974	0.23335	0.14234	0.01198	0.14705	0.65832	0.01183	0.23892	0.13750	0.01857	0.15706	0.66098	0.02165	0.05313	0.12441	0.02302	0.10041	0.47768	0.01425
52	0.28159	0.14596	0.00803	0.16140	0.70491	0.00969	0.23306	0.14245	0.01163	0.14686	0.65837	0.01171	0.23865	0.13763	0.01821	0.15689	0.66106	0.02150	0.05290	0.12426	0.02327	0.10030	0.47773	0.01455
53	0.28158	0.14605	0.00792	0.16098	0.70500	0.00958	0.23305	0.14249	0.01153	0.14654	0.65845	0.01189	0.23865	0.13769	0.01812	0.15658	0.66116	0.02167	0.05292	0.12409	0.02325	0.10039	0.47770	0.01485
54	0.28169	0.14614	0.00784	0.16046	0.70507	0.00951	0.23318	0.14252	0.01165	0.14615	0.65849	0.01218	0.23878	0.13774	0.01826	0.15618	0.66123	0.02196	0.05305	0.12393	0.02305	0.10055	0.47760	0.01499
55	0.28167	0.14618	0.00783	0.16002	0.70506	0.00953	0.23316	0.14253	0.01172	0.14584	0.65845	0.01219	0.23876	0.13777	0.01834	0.15583	0.66121	0.02200	0.05304	0.12380	0.02295	0.10073	0.47743	0.01499
56	0.28138	0.14608	0.00784	0.15966	0.70497	0.00952	0.23287	0.14245	0.01167	0.14561	0.65830	0.01183	0.23847	0.13770	0.01829	0.15555	0.66114	0.02168	0.05275	0.12380	0.02309	0.10103	0.47716	0.01507
57	0.28096	0.14585	0.00783	0.15917	0.70488	0.00931	0.23244	0.14231	0.01167	0.14534	0.65813	0.01132	0.23804	0.13755	0.01829	0.15518	0.66108	0.02123	0.05231	0.12402	0.02345	0.10153	0.47682	0.01539
58	0.28067	0.14560	0.00779	0.15857	0.70487	0.00889	0.23217	0.14218	0.01184	0.14498	0.65805	0.01092	0.23776	0.13741	0.01845	0.15473	0.66111	0.02088	0.05200	0.12428	0.02381	0.10211	0.47654	0.01593
59	0.28073	0.14548	0.00776	0.15813	0.70498	0.00850	0.23225	0.14210	0.01210	0.14470	0.65813	0.01084	0.23783	0.13733	0.01872	0.15441	0.66127	0.02083	0.05206	0.12434	0.02389	0.10252	0.47648	0.01641
