	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.05301	0.12530	0.01518	0.10261	0.47777	0.00900
2	0.05297	0.12514	0.01509	0.10304	0.47787	0.00879
3	0.05289	0.12503	0.01517	0.10348	0.47776	0.00873
4	0.05272	0.12489	0.01549	0.10368	0.47741	0.00884
5	0.05259	0.12475	0.01583	0.10358	0.47706	0.00900
6	0.05260	0.12470	0.01590	0.10332	0.47693	0.00907
7	0.05272	0.12475	0.01567	0.10311	0.47698	0.00899
8	0.05283	0.12479	0.01538	0.10298	0.47704	0.00879
9	0.05285	0.12473	0.01531	0.10287	0.47705	0.00860
10	0.05278	0.12459	0.01549	0.10283	0.47701	0.00859
11	0.05268	0.12451	0.01575	0.10298	0.47693	0.00881
12	0.05266	0.12449	0.01589	0.10335	0.47684	0.00909
13	0.05279	0.12443	0.01582	0.10365	0.47693	0.00921
14	0.05304	0.12428	0.01558	0.10362	0.47726	0.00911
15	0.05329	0.12411	0.01529	0.10333	0.47763	0.00888
16	0.05334	0.12408	0.01509	0.10304	0.47779	0.00868
17	0.05314	0.12423	0.01502	0.10283	0.47768	0.00858
18	0.05284	0.12447	0.01502	0.10276	0.47742	0.00856
19	0.05266	0.12468	0.01503	0.10303	0.47713	0.00861
20	0.05272	0.12482	0.01502	0.10357	0.47689	0.00871
21	0.05294	0.12487	0.01499	0.10389	0.47682	0.00876
22	0.05319	0.12485	0.01492	0.10374	0.47692	0.00872
23	0.05331	0.12487	0.01480	0.10350	0.47699	0.00872
24	0.05324	0.12495	0.01473	0.10357	0.47684	0.00887
25	0.05309	0.12499	0.01476	0.10383	0.47656	0.00907
26	0.05295	0.12488	0.01479	0.10396	0.47630	0.00909
27	0.05290	0.12460	0.01470	0.10381	0.47616	0.00892
28	0.05289	0.12430	0.01453	0.10349	0.47615	0.00871
29	0.05285	0.12411	0.01442	0.10312	0.47626	0.00855
30	0.05280	0.12403	0.01441	0.10276	0.47650	0.00846
31	0.05278	0.12398	0.01446	0.10255	0.47678	0.00840
