	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	0.82037	0.00000	0.00000	-1.21847
2	0.00000	0.00000	0.82238	0.00000	0.00000	-1.21697
3	0.00000	0.00000	0.82438	0.00000	0.00000	-1.21548
4	0.00000	0.00000	0.82638	0.00000	0.00000	-1.21399
5	0.00000	0.00000	0.82836	0.00000	0.00000	-1.21250
6	0.00000	0.00000	0.83032	0.00000	0.00000	-1.21103
7	0.00000	0.00000	0.83225	0.00000	0.00000	-1.20956
8	0.00000	0.00000	0.83414	0.00000	0.00000	-1.20811
9	0.00000	0.00000	0.83600	0.00000	0.00000	-1.20668
10	0.00000	0.00000	0.83781	0.00000	0.00000	-1.20526
11	0.00000	0.00000	0.83957	0.00000	0.00000	-1.20386
12	0.00000	0.00000	0.84128	0.00000	0.00000	-1.20248
13	0.00000	0.00000	0.84293	0.00000	0.00000	-1.20112
14	0.00000	0.00000	0.84453	0.00000	0.00000	-1.19977
15	0.00000	0.00000	0.84607	0.00000	0.00000	-1.19845
16	0.00000	0.00000	0.84756	0.00000	0.00000	-1.19714
17	0.00000	0.00000	0.84899	0.00000	0.00000	-1.19585
18	0.00000	0.00000	0.85036	0.00000	0.00000	-1.19458
19	0.00000	0.00000	0.85168	0.00000	0.00000	-1.19333
20	0.00000	0.00000	0.85294	0.00000	0.00000	-1.19209
21	0.00000	0.00000	0.85413	0.00000	0.00000	-1.19087
22	0.00000	0.00000	0.85526	0.00000	0.00000	-1.18967
23	0.00000	0.00000	0.85633	0.00000	0.00000	-1.18849
24	0.00000	0.00000	0.85733	0.00000	0.00000	-1.18732
25	0.00000	0.00000	0.85826	0.00000	0.00000	-1.18617
26	0.00000	0.00000	0.85911	0.00000	0.00000	-1.18504
27	0.00000	0.00000	0.85990	0.00000	0.00000	-1.18393
28	0.00000	0.00000	0.86060	0.00000	0.00000	-1.18284
29	0.00000	0.00000	0.86123	0.00000	0.00000	-1.18176
30	0.00000	0.00000	0.86178	0.00000	0.00000	-1.18071
