Unnamed: 0_level_0,FP1,FP1,FP1,FP2,FP2,FP2
ITEM,X,Y,Z,X,Y,Z
366,10.24872,-35.49506,240.05977,-9.42759,38.46462,466.66568
367,10.2511,-35.50501,240.09244,-9.42255,38.46165,466.6246
368,10.25362,-35.51498,240.12518,-9.41739,38.45865,466.58325
369,10.25627,-35.52499,240.15796,-9.4121,38.45563,466.54163
370,10.25904,-35.53503,240.19078,-9.40669,38.45259,466.49966
371,10.26194,-35.54509,240.22365,-9.40113,38.44955,466.45746
372,10.26496,-35.55518,240.25658,-9.39544,38.4465,466.41498
373,10.26809,-35.56529,240.28951,-9.38961,38.44345,466.37225
374,10.27132,-35.57543,240.32248,-9.38362,38.44039,466.32932
375,10.27465,-35.58558,240.35547,-9.37749,38.43734,466.28616
376,10.27809,-35.59575,240.38849,-9.37121,38.43429,466.24283
377,10.28161,-35.60593,240.42152,-9.36477,38.43125,466.19931
378,10.28522,-35.61612,240.45457,-9.35817,38.42822,466.15564
379,10.28891,-35.62632,240.48764,-9.35141,38.4252,466.11185
380,10.29268,-35.63652,240.52069,-9.34449,38.42219,466.0679
381,10.29651,-35.64672,240.55374,-9.33739,38.41921,466.02386
382,10.30042,-35.65693,240.58681,-9.33014,38.41624,465.97977
383,10.30439,-35.66712,240.61984,-9.32271,38.4133,465.93558
384,10.30843,-35.67731,240.65286,-9.31513,38.41039,465.89133
385,10.31252,-35.68748,240.68588,-9.30738,38.40751,465.84705
386,10.31666,-35.69763,240.71887,-9.29946,38.40466,465.80276
387,10.32085,-35.70776,240.75182,-9.29138,38.40186,465.75845
388,10.32509,-35.71786,240.78473,-9.28314,38.39909,465.71417
389,10.32938,-35.72794,240.81761,-9.27473,38.39636,465.66992
390,10.3337,-35.73798,240.85045,-9.26616,38.39368,465.62573
391,10.33805,-35.74799,240.88322,-9.25744,38.39106,465.5816
392,10.34244,-35.75797,240.91597,-9.24856,38.38848,465.5376
393,10.34686,-35.7679,240.94862,-9.23953,38.38597,465.49362
394,10.3513,-35.7778,240.98122,-9.23035,38.38351,465.4498
395,10.35576,-35.78766,241.01375,-9.22102,38.38113,465.40616
396,10.36023,-35.79748,241.04617,-9.21156,38.37881,465.36261
397,10.36472,-35.80725,241.07854,-9.20195,38.37656,465.31924
398,10.36922,-35.81698,241.11079,-9.1922,38.37439,465.27606
399,10.37372,-35.82666,241.14294,-9.18233,38.3723,465.23309
400,10.37821,-35.8363,241.17499,-9.17232,38.37029,465.19031
401,10.3827,-35.84589,241.20689,-9.16219,38.36835,465.14777
402,10.38718,-35.85545,241.23869,-9.15194,38.3665,465.10553
