Unnamed: 0_level_0,Neck_Joint_Position,Neck_Joint_Position,Neck_Joint_Position,L_ANKLE_POSITION,L_ANKLE_POSITION,L_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,L_HIP_POSITION,L_HIP_POSITION,L_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1989,0.21065,0.37951,1.38305,0.11595,0.53887,0.06617,0.09881,0.09983,0.0768,0.13029,0.48699,0.43181,0.12586,0.17422,0.437,0.10679,0.41518,0.80128,0.12318,0.24578,0.8126,0.14874,0.52459,1.28818,0.17562,0.21493,1.33042,0.12466,0.59804,1.02159,0.08219,0.10859,1.08795,0.32994,0.66529,1.13371,0.24262,0.08231,0.91828
1990,0.20977,0.37801,1.38266,0.11581,0.5389,0.06612,0.09825,0.09977,0.07621,0.13158,0.48726,0.43174,0.12508,0.17368,0.43653,0.10635,0.41383,0.80078,0.12209,0.24438,0.8123,0.14846,0.52272,1.28766,0.17507,0.21301,1.33037,0.12529,0.59853,1.02164,0.08187,0.10544,1.08836,0.32812,0.66559,1.13825,0.24286,0.07908,0.91923
1991,0.20902,0.37633,1.38228,0.11583,0.53881,0.06622,0.09776,0.09975,0.07567,0.13283,0.48747,0.43182,0.1244,0.17303,0.43613,0.10585,0.41254,0.80043,0.12095,0.24304,0.81202,0.14822,0.52123,1.28741,0.17461,0.21104,1.33038,0.12628,0.59893,1.02184,0.08149,0.10217,1.08892,0.32674,0.66541,1.1428,0.24255,0.07528,0.91994
1992,0.20857,0.37445,1.38189,0.116,0.53868,0.06635,0.09742,0.09991,0.07509,0.13392,0.48754,0.43194,0.12383,0.17224,0.43576,0.10529,0.4111,0.80011,0.11979,0.24155,0.81177,0.14828,0.51995,1.28739,0.17428,0.20908,1.33028,0.12751,0.5993,1.02221,0.0809,0.09883,1.08955,0.32563,0.66466,1.14755,0.24177,0.07104,0.92054
1993,0.20849,0.37239,1.38146,0.11622,0.53866,0.0665,0.09714,0.10029,0.07451,0.13485,0.48744,0.43203,0.12329,0.17127,0.43546,0.10463,0.40926,0.79972,0.1186,0.23968,0.81163,0.1486,0.51858,1.28752,0.17409,0.207,1.32998,0.12857,0.59968,1.02281,0.08007,0.09537,1.09013,0.32438,0.66356,1.15248,0.24091,0.06674,0.92123
1994,0.20874,0.3702,1.38099,0.11642,0.53877,0.06665,0.09689,0.10076,0.07405,0.13571,0.48715,0.43209,0.12265,0.1702,0.43534,0.10382,0.40708,0.79923,0.11743,0.23751,0.8117,0.14895,0.51695,1.28764,0.17385,0.20482,1.32959,0.12937,0.60011,1.02354,0.07914,0.09177,1.09068,0.32284,0.66239,1.15743,0.24027,0.06272,0.92213
1995,0.20911,0.368,1.38053,0.11655,0.53885,0.06674,0.09683,0.1011,0.07377,0.13658,0.48677,0.43208,0.12177,0.16917,0.43537,0.10289,0.40487,0.79865,0.11631,0.23535,0.81193,0.14912,0.51508,1.28752,0.17328,0.20269,1.32934,0.13018,0.60053,1.02411,0.07822,0.08817,1.09127,0.32106,0.66142,1.16227,0.23986,0.05892,0.92325
1996,0.20936,0.36604,1.38009,0.11665,0.53871,0.06666,0.09703,0.10117,0.0735,0.1374,0.48638,0.43193,0.12071,0.16832,0.43535,0.10178,0.40286,0.79795,0.11522,0.23341,0.8121,0.14908,0.51309,1.28702,0.17217,0.20072,1.32937,0.13112,0.6009,1.02432,0.07727,0.08483,1.0919,0.31914,0.66071,1.16682,0.23946,0.05501,0.92452
1997,0.20942,0.36441,1.37967,0.11678,0.53833,0.06642,0.09732,0.10111,0.07304,0.13807,0.48603,0.43166,0.1197,0.16767,0.43509,0.10042,0.40098,0.79713,0.11411,0.23161,0.81203,0.14904,0.51106,1.28624,0.17077,0.19891,1.32955,0.13198,0.60136,1.02432,0.07622,0.08176,1.09256,0.31712,0.6602,1.17093,0.23885,0.05078,0.92581
1998,0.20937,0.36296,1.37928,0.11696,0.53794,0.06621,0.09753,0.10114,0.0724,0.13853,0.48574,0.43145,0.11894,0.16711,0.43461,0.09894,0.39906,0.79633,0.113,0.22977,0.81177,0.14928,0.50907,1.28542,0.1696,0.19718,1.32966,0.13247,0.60216,1.02447,0.07511,0.07862,1.09335,0.31512,0.6597,1.17468,0.23787,0.04625,0.92699
1999,0.2092,0.36154,1.3789,0.11718,0.53783,0.06624,0.09759,0.10127,0.0718,0.13882,0.48561,0.43147,0.11832,0.16648,0.43419,0.09771,0.39706,0.79573,0.11203,0.22783,0.81156,0.14987,0.50718,1.28475,0.16903,0.19538,1.32966,0.13262,0.60344,1.02498,0.0739,0.07518,1.09444,0.31336,0.65893,1.17824,0.23646,0.04158,0.92813
2000,0.20892,0.36018,1.37849,0.11739,0.53802,0.06653,0.0975,0.1013,0.07143,0.13905,0.48574,0.43175,0.11766,0.16568,0.43401,0.09692,0.39507,0.79537,0.11125,0.22588,0.81156,0.1505,0.50536,1.28431,0.16904,0.19344,1.32967,0.13264,0.60513,1.02591,0.07253,0.07166,1.09583,0.31214,0.65758,1.18168,0.23477,0.03695,0.92944
2001,0.20863,0.35894,1.37804,0.11754,0.53826,0.06688,0.09737,0.10118,0.07127,0.13932,0.48608,0.43211,0.11695,0.16474,0.43402,0.09631,0.39318,0.79507,0.11049,0.22402,0.81171,0.15073,0.50347,1.28408,0.16933,0.19144,1.32972,0.13272,0.60696,1.02715,0.07102,0.06846,1.09726,0.31154,0.65565,1.18491,0.23321,0.03241,0.93109
