FP1,FP1,FP1,FP2,FP2,FP2
X,Y,Z,X,Y,Z
0.0,0.0,-0.9829700000000001,0.0,0.0,1.1419400000000002
0.0,0.0,-0.9836407437055475,0.0,0.0,1.1376907619963195
0.0,0.0,-0.984259543540325,0.0,0.0,1.1335757141683174
0.0,0.0,-0.9848052656870951,0.0,0.0,1.1296069653608947
0.0,0.0,-0.9852564483263613,0.0,0.0,1.125804051967216
0.0,0.0,-0.9856143253518747,0.0,0.0,1.1221997416505358
0.0,0.0,-0.9858473755552664,0.0,0.0,1.118804938002044
0.0,0.0,-0.9859435770864226,0.0,0.0,1.1156461834522284
0.0,0.0,-0.9858978579189812,0.0,0.0,1.1127285017739912
0.0,0.0,-0.9857014382792962,0.0,0.0,1.1100608424542175
0.0,0.0,-0.9853393642203885,0.0,0.0,1.107661997869662
0.0,0.0,-0.9848236087427888,0.0,0.0,1.105543226193493
0.0,0.0,-0.984140861561204,0.0,0.0,1.103707938350399
0.0,0.0,-0.9833086445549375,0.0,0.0,1.10215020267815
0.0,0.0,-0.9823186698244215,0.0,0.0,1.1008871174423804
0.0,0.0,-0.9811970481438953,0.0,0.0,1.0999143014104875
0.0,0.0,-0.9799341979003996,0.0,0.0,1.0992266614293842
0.0,0.0,-0.9785479034158431,0.0,0.0,1.0988060611384018
0.0,0.0,-0.977036866298287,0.0,0.0,1.0986509657557755
0.0,0.0,-0.9754201136778283,0.0,0.0,1.0987477892017026
0.0,0.0,-0.9736872981030842,0.0,0.0,1.099074233644367
0.0,0.0,-0.971870749889706,0.0,0.0,1.0996406932387124
0.0,0.0,-0.9699588555693988,0.0,0.0,1.100414509185499
0.0,0.0,-0.9679764817430713,0.0,0.0,1.1013998254474349
0.0,0.0,-0.9659176732550029,0.0,0.0,1.1025785145788989
0.0,0.0,-0.9638085680158216,0.0,0.0,1.1039455895472812
0.0,0.0,-0.961645391435207,0.0,0.0,1.105478971779908
0.0,0.0,-0.9594406606766577,0.0,0.0,1.1071978293612919
0.0,0.0,-0.9572054920486636,0.0,0.0,1.1090736318110175
0.0,0.0,-0.9549481205366724,0.0,0.0,1.1110941881826404
0.0,0.0,-0.9526705342787435,0.0,0.0,1.1132390743070213
0.0,0.0,-0.9503828049012689,0.0,0.0,1.1154876153571553
0.0,0.0,-0.948085139262456,0.0,0.0,1.1178177966827674
0.0,0.0,-0.9457970539268304,0.0,0.0,1.1202095016878124
0.0,0.0,-0.9435200129505347,0.0,0.0,1.1226426462229866
0.0,0.0,-0.9412435562523296,0.0,0.0,1.1250914938017882
0.0,0.0,-0.9389881276621557,0.0,0.0,1.1275308891605225
0.0,0.0,-0.9367514323164225,0.0,0.0,1.129934724817989
0.0,0.0,-0.9345274479042656,0.0,0.0,1.1322629636457713
0.0,0.0,-0.9323241123626702,0.0,0.0,1.1344925319861714
0.0,0.0,-0.9301451447690291,0.0,0.0,1.1365937798678345
0.0,0.0,-0.9279817815146985,0.0,0.0,1.1385012462109696
0.0,0.0,-0.9258364336773884,0.0,0.0,1.1402144586327256
0.0,0.0,-0.9237022699437578,0.0,0.0,1.1416786496458495
0.0,0.0,-0.9215670928400008,0.0,0.0,1.1428636551343005
0.0,0.0,-0.9194323443492362,0.0,0.0,1.1437392685921992
0.0,0.0,-0.9172759738964393,0.0,0.0,1.1442807022783512
0.0,0.0,-0.9150960097867076,0.0,0.0,1.144440444974315
0.0,0.0,-0.912859841494402,0.0,0.0,1.144212482000888
0.0,0.0,-0.9105736779556292,0.0,0.0,1.1435665002699213
0.0,0.0,-0.9082196624052024,0.0,0.0,1.14248360706256
0.0,0.0,-0.9057704299891015,0.0,0.0,1.1409272896304166
0.0,0.0,-0.9032323392268945,0.0,0.0,1.1388960786587916
0.0,0.0,-0.9005913118839898,0.0,0.0,1.1363641488782137
0.0,0.0,-0.8978358915041657,0.0,0.0,1.13330344599539
0.0,0.0,-0.8949496578217613,0.0,0.0,1.1297181595973136
0.0,0.0,-0.8919380141090557,0.0,0.0,1.1255949826478586
0.0,0.0,-0.8888021501857002,0.0,0.0,1.1209341721330792
0.0,0.0,-0.8855329775210901,0.0,0.0,1.1157358001269337
0.0,0.0,-0.8821286603139441,0.0,0.0,1.110009559002689
0.0,0.0,-0.8786002222020916,0.0,0.0,1.1037461269690105
0.0,0.0,-0.8749380248869679,0.0,0.0,1.096965909965299
0.0,0.0,-0.8711615362966656,0.0,0.0,1.0896893269328023
0.0,0.0,-0.8672617283431707,0.0,0.0,1.0819272830321447
0.0,0.0,-0.8632589269345241,0.0,0.0,1.073670517842294
0.0,0.0,-0.8591538289448561,0.0,0.0,1.064946106949476
0.0,0.0,-0.8549648152099221,0.0,0.0,1.0557394940284195
0.0,0.0,-0.8506849699590723,0.0,0.0,1.0460654473315614
0.0,0.0,-0.8463235312205861,0.0,0.0,1.035917862499239
0.0,0.0,-0.8419118950728366,0.0,0.0,1.0253139816571224
0.0,0.0,-0.8374523888350698,0.0,0.0,1.014236182334052
0.0,0.0,-0.8329415439853511,0.0,0.0,1.0027007005427238
0.0,0.0,-0.8284233866137612,0.0,0.0,0.9907036961283376
0.0,0.0,-0.8239071596305428,0.0,0.0,0.9782471142687884
0.0,0.0,-0.8194245310865835,0.0,0.0,0.9653263148441938
0.0,0.0,-0.8150163435236445,0.0,0.0,0.9519341154785241
0.0,0.0,-0.8107062197854009,0.0,0.0,0.9380762177026402
0.0,0.0,-0.8065368345221259,0.0,0.0,0.9237410760853272
0.0,0.0,-0.802535769680106,0.0,0.0,0.9089456809155003
0.0,0.0,-0.7987143408051286,0.0,0.0,0.8936711447968995
0.0,0.0,-0.7951182176219652,0.0,0.0,0.8779372446946683
0.0,0.0,-0.7917678449725146,0.0,0.0,0.861733584380377
0.0,0.0,-0.7886717108957371,0.0,0.0,0.8450680755769641
0.0,0.0,-0.7858637786546964,0.0,0.0,0.8279532726779735
0.0,0.0,-0.7833527633297104,0.0,0.0,0.8103846745667452
0.0,0.0,-0.7811431040406418,0.0,0.0,0.7923725454842702
0.0,0.0,-0.7792620354883548,0.0,0.0,0.7739133457457051
0.0,0.0,-0.7777211239264887,0.0,0.0,0.7550401866625548
0.0,0.0,-0.7765305806585207,0.0,0.0,0.7357330607741037
0.0,0.0,-0.7757026439958815,0.0,0.0,0.7160322650901834
0.0,0.0,-0.7752467237984345,0.0,0.0,0.6959182571617148
0.0,0.0,-0.7751940802737526,0.0,0.0,0.6754112167190716
0.0,0.0,-0.7755241676392601,0.0,0.0,0.6545218893132096
0.0,0.0,-0.7762680319205161,0.0,0.0,0.6332401174200778
0.0,0.0,-0.7774353080226394,0.0,0.0,0.6115864414066509
0.0,0.0,-0.7790078818110256,0.0,0.0,0.5895602949798823
0.0,0.0,-0.7810136496940199,0.0,0.0,0.567174799157127
0.0,0.0,-0.7834346338375554,0.0,0.0,0.5444398447381229
0.0,0.0,-0.7862788390795102,0.0,0.0,0.5213626836946477
0.0,0.0,-0.7895561045701353,0.0,0.0,0.4979691708181325
0.0,0.0,-0.7932494519284481,0.0,0.0,0.47428172887879405
0.0,0.0,-0.7973629705259051,0.0,0.0,0.4503402692346422
0.0,0.0,-0.801889511091387,0.0,0.0,0.4261681607128304
0.0,0.0,-0.8068421063496407,0.0,0.0,0.40180409664479105
0.0,0.0,-0.8121895327863964,0.0,0.0,0.3772890138248608
0.0,0.0,-0.817954168814026,0.0,0.0,0.3526714132950761
0.0,0.0,-0.8241162753344875,0.0,0.0,0.3279858469739847
0.0,0.0,-0.8306636864967196,0.0,0.0,0.30328524029554554
0.0,0.0,-0.8376055855046517,0.0,0.0,0.2786196585914848
0.0,0.0,-0.8449162917756075,0.0,0.0,0.2540235899074714
0.0,0.0,-0.8525977521517975,0.0,0.0,0.22954853459699126
0.0,0.0,-0.8606208222554705,0.0,0.0,0.20524021929363753
0.0,0.0,-0.868981032641071,0.0,0.0,0.1811449525537738
0.0,0.0,-0.8776546883361716,0.0,0.0,0.15727412222896986
0.0,0.0,-0.8866181051023979,0.0,0.0,0.13370843570622332
0.0,0.0,-0.8958325965294012,0.0,0.0,0.11074094442566981
0.0,0.0,-0.9052753990990086,0.0,0.0,0.09149309900052381
0.0,0.0,-0.914918494600571,0.0,0.0,-0.0010577365000122305
0.0,0.0,-0.9247268275196657,0.0,0.0,-3.860323698879989e-05
0.0,0.0,-0.93465,0.0,0.0,0.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
