	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
86	0.11801	0.06172	0.01062	0.12632	0.46548	0.01047
87	0.11825	0.06134	0.01066	0.12645	0.46534	0.01054
88	0.11832	0.06115	0.01067	0.12651	0.46514	0.01065
89	0.11823	0.06125	0.01062	0.12648	0.46505	0.01076
90	0.11816	0.06155	0.01048	0.12639	0.46512	0.01081
91	0.11818	0.06184	0.01031	0.12629	0.46525	0.01073
92	0.11823	0.06198	0.01026	0.12622	0.46531	0.01056
93	0.11827	0.06200	0.01031	0.12618	0.46531	0.01042
94	0.11836	0.06200	0.01026	0.12623	0.46529	0.01037
95	0.11853	0.06198	0.01008	0.12636	0.46529	0.01036
96	0.11870	0.06186	0.00996	0.12645	0.46527	0.01039
97	0.11876	0.06161	0.01004	0.12641	0.46518	0.01050
98	0.11868	0.06135	0.01028	0.12628	0.46502	0.01068
99	0.11854	0.06122	0.01048	0.12620	0.46488	0.01083
100	0.11845	0.06120	0.01054	0.12628	0.46480	0.01080
101	0.11847	0.06122	0.01049	0.12644	0.46480	0.01058
102	0.11857	0.06126	0.01040	0.12654	0.46482	0.01031
103	0.11866	0.06131	0.01036	0.12652	0.46482	0.01017
104	0.11874	0.06133	0.01037	0.12646	0.46483	0.01026
105	0.11880	0.06140	0.01035	0.12649	0.46488	0.01045
106	0.11882	0.06158	0.01023	0.12666	0.46496	0.01054
107	0.11877	0.06183	0.01006	0.12695	0.46506	0.01045
108	0.11873	0.06201	0.00994	0.12725	0.46516	0.01029
109	0.11881	0.06200	0.00995	0.12742	0.46525	0.01022
110	0.11898	0.06183	0.01008	0.12734	0.46531	0.01025
111	0.11906	0.06160	0.01025	0.12699	0.46534	0.01024
112	0.11895	0.06140	0.01039	0.12659	0.46534	0.01008
113	0.11869	0.06128	0.01042	0.12636	0.46532	0.00984
114	0.11843	0.06128	0.01036	0.12635	0.46528	0.00975
115	0.11831	0.06136	0.01029	0.12647	0.46529	0.00987
116	0.11828	0.06144	0.01032	0.12663	0.46532	0.01011
117	0.11826	0.06144	0.01046	0.12675	0.46536	0.01029
118	0.11824	0.06136	0.01061	0.12683	0.46537	0.01023
119	0.11833	0.06123	0.01063	0.12690	0.46537	0.01001
120	0.11850	0.06116	0.01054	0.12695	0.46539	0.00987
121	0.11868	0.06120	0.01044	0.12692	0.46544	0.00992
122	0.11879	0.06131	0.01037	0.12681	0.46549	0.01007
123	0.11887	0.06137	0.01028	0.12671	0.46546	0.01023
124	0.11892	0.06131	0.01017	0.12667	0.46535	0.01038
125	0.11894	0.06122	0.01010	0.12669	0.46523	0.01051
126	0.11894	0.06116	0.01013	0.12674	0.46515	0.01057
127	0.11893	0.06114	0.01016	0.12683	0.46513	0.01049
128	0.11893	0.06110	0.01011	0.12690	0.46517	0.01028
129	0.11891	0.06106	0.01002	0.12688	0.46520	0.01002
130	0.11886	0.06109	0.01005	0.12672	0.46512	0.00989
131	0.11887	0.06120	0.01023	0.12656	0.46496	0.00996
132	0.11909	0.06129	0.01043	0.12659	0.46486	0.01011
133	0.11950	0.06124	0.01045	0.12678	0.46492	0.01015
134	0.11987	0.06103	0.01027	0.12695	0.46508	0.01006
135	0.12001	0.06079	0.01002	0.12699	0.46523	0.00994
136	0.11993	0.06066	0.00989	0.12692	0.46531	0.00994
137	0.11983	0.06061	0.00992	0.12682	0.46535	0.01012
138	0.11990	0.06049	0.00999	0.12678	0.46531	0.01036
139	0.12011	0.06032	0.00996	0.12694	0.46521	0.01055
140	0.12031	0.06023	0.00978	0.12724	0.46509	0.01060
141	0.12041	0.06032	0.00954	0.12751	0.46503	0.01050
142	0.12046	0.06047	0.00938	0.12764	0.46502	0.01036
143	0.12052	0.06050	0.00939	0.12763	0.46494	0.01032
144	0.12063	0.06036	0.00958	0.12750	0.46478	0.01045
145	0.12077	0.06013	0.00981	0.12726	0.46465	0.01064
146	0.12092	0.05989	0.00994	0.12698	0.46466	0.01073
147	0.12102	0.05974	0.00991	0.12682	0.46481	0.01066
148	0.12102	0.05972	0.00974	0.12687	0.46501	0.01044
149	0.12095	0.05979	0.00956	0.12702	0.46516	0.01012
150	0.12093	0.05985	0.00948	0.12715	0.46527	0.00985
151	0.12102	0.05987	0.00950	0.12719	0.46532	0.00978
152	0.12110	0.05985	0.00958	0.12705	0.46526	0.01001
153	0.12107	0.05980	0.00970	0.12672	0.46513	0.01038
154	0.12102	0.05974	0.00977	0.12631	0.46509	0.01069
155	0.12106	0.05966	0.00973	0.12591	0.46524	0.01085
156	0.12125	0.05955	0.00964	0.12557	0.46549	0.01095
157	0.12145	0.05946	0.00960	0.12533	0.46562	0.01099
158	0.12157	0.05945	0.00957	0.12523	0.46554	0.01093
159	0.12158	0.05953	0.00953	0.12523	0.46533	0.01076
160	0.12157	0.05960	0.00947	0.12528	0.46512	0.01051
161	0.12159	0.05959	0.00951	0.12533	0.46503	0.01039
162	0.12157	0.05953	0.00966	0.12525	0.46508	0.01054
163	0.12145	0.05956	0.00980	0.12498	0.46525	0.01088
164	0.12124	0.05973	0.00968	0.12468	0.46548	0.01116
165	0.12106	0.05997	0.00930	0.12459	0.46563	0.01128
166	0.12098	0.06011	0.00896	0.12463	0.46564	0.01137
167	0.12098	0.06003	0.00888	0.12458	0.46559	0.01147
168	0.12098	0.05978	0.00901	0.12441	0.46564	0.01147
169	0.12086	0.05958	0.00912	0.12429	0.46586	0.01135
170	0.12060	0.05964	0.00905	0.12431	0.46621	0.01118
171	0.12029	0.05995	0.00888	0.12448	0.46658	0.01111
172	0.11999	0.06026	0.00886	0.12466	0.46678	0.01122
173	0.11965	0.06040	0.00911	0.12471	0.46674	0.01144
174	0.11924	0.06038	0.00953	0.12457	0.46656	0.01162
175	0.11890	0.06031	0.00989	0.12434	0.46642	0.01162
176	0.11874	0.06038	0.00999	0.12423	0.46644	0.01143
177	0.11865	0.06065	0.00988	0.12435	0.46662	0.01120
178	0.11853	0.06105	0.00974	0.12466	0.46689	0.01106
179	0.11836	0.06150	0.00968	0.12497	0.46713	0.01095
180	0.11817	0.06196	0.00976	0.12510	0.46726	0.01085
181	0.11795	0.06237	0.00999	0.12499	0.46725	0.01079
182	0.11768	0.06270	0.01025	0.12483	0.46722	0.01074
183	0.11746	0.06304	0.01029	0.12489	0.46743	0.01058
184	0.11739	0.06344	0.01009	0.12503	0.46794	0.01037
185	0.11740	0.06385	0.00992	0.12488	0.46852	0.01037
186	0.11741	0.06416	0.01002	0.12448	0.46900	0.01059
187	0.11739	0.06435	0.01030	0.12419	0.46932	0.01077
188	0.11719	0.06453	0.01069	0.12409	0.46945	0.01083
189	0.11670	0.06478	0.01129	0.12393	0.46944	0.01092
190	0.11596	0.06507	0.01215	0.12366	0.46940	0.01109
191	0.11526	0.06536	0.01310	0.12347	0.46938	0.01123
192	0.11486	0.06561	0.01391	0.12356	0.46932	0.01132
193	0.11470	0.06587	0.01453	0.12393	0.46910	0.01146
194	0.11461	0.06612	0.01507	0.12449	0.46872	0.01161
195	0.11459	0.06620	0.01576	0.12517	0.46837	0.01166
196	0.11470	0.06610	0.01687	0.12581	0.46820	0.01163
197	0.11488	0.06606	0.01854	0.12627	0.46816	0.01173
198	0.11507	0.06628	0.02061	0.12648	0.46815	0.01207
199	0.11532	0.06684	0.02275	0.12656	0.46816	0.01262
200	0.11549	0.06771	0.02471	0.12663	0.46827	0.01334
201	0.11538	0.06876	0.02647	0.12674	0.46848	0.01407
202	0.11510	0.06975	0.02810	0.12699	0.46864	0.01458
203	0.11503	0.07051	0.02959	0.12741	0.46861	0.01482
204	0.11543	0.07116	0.03083	0.12788	0.46842	0.01503
205	0.11628	0.07171	0.03181	0.12832	0.46821	0.01545
206	0.11746	0.07187	0.03267	0.12875	0.46810	0.01604
207	0.11899	0.07135	0.03355	0.12926	0.46810	0.01665
208	0.12107	0.07012	0.03450	0.12989	0.46817	0.01709
209	0.12383	0.06833	0.03548	0.13068	0.46818	0.01715
210	0.12716	0.06624	0.03643	0.13149	0.46808	0.01678
211	0.13080	0.06406	0.03734	0.13201	0.46792	0.01618
212	0.13454	0.06194	0.03835	0.13213	0.46774	0.01566
213	0.13809	0.06003	0.03958	0.13207	0.46755	0.01548
214	0.14100	0.05860	0.04092	0.13210	0.46739	0.01563
215	0.14277	0.05790	0.04204	0.13224	0.46733	0.01592
216	0.14324	0.05795	0.04280	0.13247	0.46745	0.01612
217	0.14270	0.05853	0.04345	0.13272	0.46775	0.01621
218	0.14155	0.05952	0.04423	0.13286	0.46804	0.01631
219	0.14007	0.06081	0.04502	0.13277	0.46815	0.01652
220	0.13848	0.06225	0.04557	0.13254	0.46810	0.01679
221	0.13696	0.06360	0.04598	0.13228	0.46810	0.01701
222	0.13571	0.06470	0.04666	0.13215	0.46821	0.01717
223	0.13485	0.06554	0.04781	0.13226	0.46842	0.01734
224	0.13439	0.06620	0.04932	0.13252	0.46866	0.01756
225	0.13431	0.06679	0.05104	0.13274	0.46884	0.01775
226	0.13459	0.06737	0.05303	0.13278	0.46895	0.01784
227	0.13523	0.06793	0.05536	0.13270	0.46901	0.01788
228	0.13618	0.06839	0.05779	0.13268	0.46910	0.01801
229	0.13727	0.06869	0.05992	0.13280	0.46924	0.01827
230	0.13833	0.06883	0.06166	0.13295	0.46944	0.01858
231	0.13926	0.06890	0.06320	0.13299	0.46965	0.01881
232	0.14010	0.06895	0.06466	0.13283	0.46981	0.01892
233	0.14094	0.06891	0.06598	0.13256	0.46993	0.01897
234	0.14186	0.06875	0.06717	0.13236	0.47003	0.01900
235	0.14275	0.06851	0.06825	0.13235	0.47010	0.01901
236	0.14350	0.06831	0.06917	0.13251	0.47011	0.01900
237	0.14403	0.06821	0.06984	0.13267	0.47004	0.01902
238	0.14431	0.06824	0.07027	0.13266	0.46988	0.01916
239	0.14434	0.06837	0.07055	0.13246	0.46967	0.01938
240	0.14419	0.06846	0.07070	0.13225	0.46946	0.01949
241	0.14394	0.06841	0.07066	0.13226	0.46927	0.01939
242	0.14374	0.06819	0.07041	0.13254	0.46909	0.01915
243	0.14363	0.06786	0.07003	0.13297	0.46892	0.01889
244	0.14354	0.06754	0.06959	0.13330	0.46879	0.01863
245	0.14339	0.06731	0.06917	0.13338	0.46873	0.01842
246	0.14322	0.06719	0.06883	0.13320	0.46868	0.01838
247	0.14316	0.06710	0.06859	0.13289	0.46859	0.01847
248	0.14315	0.06700	0.06829	0.13267	0.46849	0.01843
249	0.14300	0.06686	0.06774	0.13256	0.46839	0.01814
250	0.14268	0.06667	0.06697	0.13247	0.46832	0.01773
251	0.14229	0.06640	0.06611	0.13245	0.46832	0.01741
252	0.14191	0.06608	0.06524	0.13255	0.46838	0.01726
253	0.14151	0.06573	0.06436	0.13271	0.46845	0.01723
254	0.14109	0.06528	0.06349	0.13275	0.46847	0.01724
255	0.14073	0.06474	0.06256	0.13257	0.46848	0.01714
256	0.14041	0.06425	0.06147	0.13217	0.46851	0.01688
257	0.14010	0.06396	0.06021	0.13171	0.46853	0.01649
258	0.13986	0.06385	0.05876	0.13148	0.46845	0.01606
259	0.13977	0.06377	0.05720	0.13168	0.46826	0.01566
260	0.13973	0.06368	0.05568	0.13212	0.46806	0.01534
261	0.13945	0.06365	0.05432	0.13239	0.46797	0.01510
