	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d
7	-11.36702	0.00000	0.00000	-6.96420	0.00000	-0.00000	5.22490	-3.03386	10.28268	19.75400	7.73551	-6.04685	-29.35778	-6.11104	0.00001	-16.55907	-0.34384	-0.00004	35.51326	13.97434	5.70945	5.42821	2.24849	-11.27831	54.03711	11.01603	-31.54254	55.50896	-7.14162	32.32096	106.30457	0.00150	-84.80251	102.74195	0.00105	83.59814	-17.23669	12.72663	0.00064	-6.06561	-12.07609	-0.00165	3.96743	1.18433	1.99334	-20.18824	0.26457	2.30337	-0.04289	4.52381	7.64932
8	-11.82280	0.00000	0.00000	-7.00693	0.00000	-0.00000	5.33546	-3.13317	10.58158	19.70099	7.72036	-5.94662	-29.32248	-6.22609	-0.00005	-16.53709	-0.40063	-0.00002	35.45652	14.01967	5.39821	5.38288	2.31667	-11.24930	54.06762	11.03235	-31.65536	55.47425	-7.08660	32.33990	106.22503	0.00070	-83.52814	102.67209	0.00019	84.48661	-17.12042	13.33974	0.00122	-6.57927	-12.06416	0.00649	3.94392	1.24022	2.02059	-20.21140	0.30441	2.35111	-0.12667	4.61622	7.69795
9	-11.48387	-0.00000	-0.00000	-6.74641	-0.00000	-0.00000	5.23289	-3.15191	10.61273	19.56580	7.67835	-5.70404	-29.27699	-6.27112	-0.00001	-16.52996	-0.48776	0.00002	35.34581	14.10247	5.20284	5.27783	2.44299	-11.34682	54.11895	11.05049	-31.80643	55.38682	-7.08628	32.29411	106.20473	-0.00021	-82.67335	102.65978	0.00027	84.44529	-16.98729	13.65415	0.00045	-7.35026	-12.70196	0.01297	3.95626	1.26215	1.92676	-20.20067	0.36281	2.27448	-0.27787	4.73100	7.80522
10	-10.70905	0.00000	-0.00000	-6.43460	0.00000	0.00000	4.99801	-3.06083	10.41850	19.44370	7.65851	-5.47615	-29.24424	-6.22672	0.00005	-16.53887	-0.55048	0.00003	35.26583	14.15012	5.20126	5.19009	2.53342	-11.52660	54.19575	11.09613	-31.95389	55.27313	-7.11019	32.20573	106.23855	0.00006	-82.57906	102.68952	0.00076	83.75935	-16.98433	13.58357	0.00099	-8.08819	-13.62277	0.00773	4.01756	1.24416	1.76473	-20.14186	0.41269	2.11931	-0.39314	4.80673	7.89538
11	-10.03537	0.00000	-0.00000	-6.21980	0.00000	0.00000	4.76443	-2.98175	10.17488	19.35840	7.64383	-5.33409	-29.22939	-6.12395	0.00005	-16.54738	-0.55509	0.00000	35.27485	14.13008	5.35746	5.18141	2.52619	-11.73293	54.27924	11.16693	-32.03043	55.20942	-7.09250	32.16045	106.30611	0.00072	-83.05971	102.70647	0.00064	82.77231	-17.27444	13.23706	0.00330	-8.37617	-14.28503	-0.00060	4.09865	1.23062	1.67033	-20.06213	0.43897	2.02765	-0.39925	4.81191	7.88728
12	-9.74395	0.00000	0.00000	-6.19438	0.00000	-0.00000	4.62077	-3.00484	10.00251	19.34537	7.56371	-5.27850	-29.24484	-6.00683	-0.00001	-16.56178	-0.51089	-0.00002	35.37576	14.05556	5.55997	5.25598	2.44154	-11.91057	54.35203	11.22442	-32.04574	55.26629	-7.05167	32.20100	106.36697	0.00058	-83.71431	102.69559	0.00037	81.55762	-17.83542	12.85521	0.00330	-8.04405	-14.38358	0.00098	4.16451	1.25824	1.71198	-19.99575	0.44713	2.07696	-0.31881	4.76221	7.77637
13	-9.43187	0.00000	0.00000	-6.17508	0.00000	-0.00000	4.50791	-3.04257	9.84321	19.40704	7.38672	-5.26212	-29.29239	-5.88088	-0.00008	-16.60339	-0.46910	0.00000	35.51221	13.96476	5.79467	5.37536	2.34490	-12.02365	54.39727	11.24236	-32.04980	55.44363	-7.04854	32.27970	106.38641	0.00000	-84.03384	102.67120	0.00009	80.23032	-18.27880	12.77956	0.00210	-7.21670	-13.94739	0.00735	4.19729	1.32615	1.86138	-19.96088	0.44796	2.24104	-0.22641	4.68504	7.63979
14	-8.72968	0.00000	0.00000	-5.90127	0.00000	0.00000	4.37082	-2.98033	9.63398	19.47041	7.20108	-5.23645	-29.33647	-5.75547	-0.00007	-16.67094	-0.47525	0.00007	35.62381	13.90539	6.08244	5.51459	2.28580	-12.06533	54.40547	11.22677	-32.04791	55.66068	-7.07730	32.32594	106.37068	-0.00025	-83.73528	102.63123	-0.00009	79.35937	-18.17429	13.08450	0.00437	-6.31956	-13.25784	0.00574	4.18989	1.39944	2.02888	-19.96573	0.44630	2.42381	-0.15236	4.59829	7.56568
15	-8.11837	0.00000	-0.00000	-5.55776	0.00000	-0.00000	4.32101	-2.86573	9.49441	19.48856	7.15250	-5.22351	-29.33186	-5.69604	-0.00007	-16.73168	-0.51072	0.00007	35.69059	13.90080	6.29061	5.65432	2.27010	-12.06428	54.40965	11.18240	-32.03208	55.80782	-7.09488	32.30423	106.33050	-0.00048	-83.16874	102.58641	-0.00007	79.47595	-17.63689	13.42719	0.00480	-5.75402	-12.65408	-0.00168	4.14430	1.42993	2.06854	-20.01072	0.45790	2.47248	-0.08178	4.52278	7.57709
16	-8.28154	-0.00000	-0.00000	-5.55461	0.00000	-0.00000	4.47778	-2.83832	9.59786	19.48216	7.28628	-5.29175	-29.27819	-5.75879	-0.00014	-16.75463	-0.51868	0.00004	35.69128	13.93118	6.24127	5.72281	2.27756	-12.05268	54.46386	11.10432	-32.03236	55.83920	-7.09871	32.22161	106.24281	-0.00108	-82.95739	102.56963	-0.00029	80.27051	-17.26805	13.51198	0.00259	-5.43511	-12.33168	-0.00555	4.08781	1.40460	1.86855	-20.07051	0.51660	2.27968	-0.04650	4.48513	7.62627
