Unnamed: 0_level_0,RTOES_DIST,RTOES_DIST,RTOES_DIST,LTOES_DIST,LTOES_DIST,LTOES_DIST,RTOES_PROX,RTOES_PROX,RTOES_PROX,LTOES_PROX,LTOES_PROX,LTOES_PROX,RFTS_DIST,RFTS_DIST,RFTS_DIST,LFTS_DIST,LFTS_DIST,LFTS_DIST,RFTS_PROX,RFTS_PROX,RFTS_PROX,LFTS_PROX,LFTS_PROX,LFTS_PROX
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
665,0.26138,0.20222,0.00576,0.05384,0.70654,0.01049,0.22967,0.16268,0.00937,0.05494,0.65599,0.01539,0.26609,0.14477,0.015,0.0388,0.66133,0.02392,0.14319,-0.00743,0.01405,0.04479,0.459,0.01298
666,0.26108,0.2021,0.00595,0.05376,0.70677,0.01057,0.22942,0.16255,0.00981,0.05493,0.6562,0.01538,0.26583,0.14469,0.01564,0.03882,0.66154,0.02398,0.14311,-0.00765,0.01437,0.04494,0.45921,0.01307
667,0.26081,0.20205,0.00616,0.05374,0.70695,0.01081,0.22922,0.16247,0.01023,0.05492,0.65638,0.01549,0.26564,0.14466,0.01622,0.03884,0.66171,0.02414,0.14315,-0.00786,0.01458,0.04486,0.45939,0.01306
668,0.26067,0.20198,0.00634,0.0537,0.707,0.01104,0.22913,0.16236,0.01045,0.05488,0.65641,0.01555,0.26555,0.14459,0.01649,0.03879,0.66173,0.02419,0.14325,-0.00807,0.01468,0.04483,0.45942,0.01284
669,0.2607,0.20187,0.00653,0.05357,0.70686,0.01118,0.22915,0.16224,0.01041,0.05479,0.65624,0.01535,0.26558,0.14448,0.01642,0.03866,0.66155,0.02392,0.1433,-0.00821,0.01468,0.04495,0.45925,0.01261
670,0.26078,0.20182,0.0067,0.05332,0.70659,0.01127,0.22918,0.16219,0.01029,0.05464,0.65594,0.01497,0.2656,0.1444,0.01622,0.03848,0.66124,0.02349,0.14318,-0.00818,0.01453,0.0451,0.45892,0.01262
671,0.26072,0.20186,0.00674,0.05312,0.70632,0.01123,0.2291,0.16226,0.01036,0.05451,0.65565,0.01472,0.26552,0.14441,0.01619,0.03836,0.66096,0.02324,0.14295,-0.00804,0.01431,0.04517,0.45862,0.01288
672,0.26054,0.20193,0.00657,0.05309,0.70613,0.01081,0.22895,0.16235,0.01059,0.05448,0.65549,0.01466,0.26536,0.14449,0.01641,0.03834,0.66082,0.0232,0.14276,-0.00794,0.01419,0.04515,0.45846,0.01323
673,0.2604,0.20191,0.0063,0.0532,0.70604,0.01004,0.22885,0.16233,0.0107,0.05452,0.65545,0.01457,0.26526,0.14448,0.01654,0.03837,0.6608,0.02307,0.14272,-0.00799,0.01429,0.0451,0.45842,0.01352
674,0.2604,0.20175,0.00611,0.05326,0.70603,0.00932,0.22884,0.16217,0.01046,0.05454,0.65548,0.01428,0.26527,0.14434,0.01626,0.03836,0.66086,0.02271,0.14275,-0.00816,0.01459,0.04509,0.45845,0.01375
675,0.26052,0.20154,0.00612,0.0532,0.7061,0.00899,0.22892,0.16196,0.01008,0.05453,0.65556,0.01396,0.26537,0.14412,0.01572,0.03832,0.66095,0.02232,0.14277,-0.00833,0.01494,0.04525,0.45852,0.01408
676,0.26069,0.20136,0.00622,0.05313,0.70622,0.00902,0.22904,0.16179,0.0099,0.05454,0.65567,0.01387,0.26551,0.14393,0.01538,0.0383,0.66106,0.02217,0.14282,-0.00845,0.01513,0.04557,0.45861,0.01463
677,0.26082,0.20123,0.00628,0.05307,0.70633,0.00917,0.22917,0.16166,0.01001,0.05456,0.65579,0.0141,0.26564,0.14378,0.01544,0.03829,0.66117,0.02233,0.1429,-0.00855,0.01503,0.04597,0.45872,0.01538
678,0.26086,0.20113,0.0062,0.05299,0.70637,0.00918,0.22924,0.16156,0.01022,0.05457,0.65587,0.01452,0.26568,0.14367,0.01571,0.03826,0.66123,0.02269,0.14294,-0.00865,0.01475,0.04644,0.45878,0.01625
679,0.26088,0.20108,0.00599,0.05282,0.70633,0.00896,0.22927,0.16153,0.0103,0.05452,0.65591,0.01495,0.2657,0.14363,0.01588,0.03818,0.66124,0.02309,0.14291,-0.00865,0.0145,0.04701,0.4588,0.01729
680,0.26101,0.20111,0.00575,0.0525,0.70626,0.00861,0.22938,0.16161,0.01027,0.05436,0.65594,0.01535,0.26578,0.14368,0.01597,0.03801,0.66125,0.02348,0.14286,-0.0085,0.0144,0.04762,0.45882,0.01868
681,0.2613,0.20114,0.00568,0.05202,0.70622,0.00839,0.2296,0.1617,0.01027,0.0541,0.65598,0.01569,0.26595,0.14373,0.01616,0.03773,0.66129,0.02379,0.14281,-0.00826,0.01448,0.04823,0.45887,0.02059
682,0.26164,0.20104,0.00585,0.0515,0.70621,0.00846,0.22983,0.16168,0.01032,0.05385,0.65601,0.0159,0.26612,0.14365,0.01641,0.03746,0.66133,0.02394,0.14268,-0.0081,0.01466,0.04893,0.45894,0.02301
683,0.26185,0.20081,0.00619,0.05117,0.70627,0.00879,0.22994,0.1615,0.01029,0.05385,0.65605,0.01599,0.26619,0.14342,0.01646,0.03743,0.66139,0.02396,0.14248,-0.00812,0.01494,0.04995,0.45907,0.02573
684,0.26185,0.20059,0.00655,0.0512,0.70639,0.00919,0.22987,0.16127,0.01007,0.05419,0.65616,0.01619,0.26612,0.14319,0.01616,0.03775,0.66153,0.02411,0.14233,-0.00829,0.01535,0.05122,0.45931,0.02855
685,0.26162,0.20057,0.00677,0.05151,0.70655,0.00945,0.22965,0.1612,0.00974,0.05471,0.65636,0.01668,0.26596,0.14317,0.01567,0.03829,0.66177,0.02459,0.14233,-0.00844,0.01586,0.05247,0.45967,0.03145
686,0.26126,0.20079,0.00678,0.05187,0.70665,0.00946,0.22937,0.16133,0.00944,0.05521,0.65658,0.01739,0.26574,0.14341,0.01529,0.03879,0.66204,0.02526,0.14251,-0.00852,0.01639,0.0535,0.46007,0.03446
687,0.26092,0.20102,0.00664,0.0522,0.70667,0.00933,0.22913,0.16148,0.00927,0.05564,0.65673,0.018,0.26557,0.14369,0.01516,0.03919,0.66225,0.02579,0.14279,-0.0086,0.01694,0.05433,0.46045,0.03757
688,0.26077,0.20106,0.00647,0.05262,0.70676,0.00932,0.22904,0.16147,0.00921,0.05612,0.65687,0.01829,0.26551,0.14376,0.01513,0.03965,0.66248,0.02597,0.14296,-0.00871,0.01748,0.05501,0.46088,0.04065
689,0.26083,0.20086,0.00642,0.05339,0.70712,0.00954,0.22907,0.1613,0.00915,0.05688,0.65721,0.01834,0.26554,0.14358,0.01507,0.04041,0.66295,0.02591,0.1429,-0.00881,0.01794,0.05549,0.46157,0.04357
690,0.261,0.20058,0.00661,0.05484,0.70794,0.01,0.22916,0.16108,0.00914,0.05813,0.65796,0.01849,0.26558,0.1433,0.0151,0.04168,0.66389,0.02597,0.14265,-0.00884,0.01826,0.05569,0.46267,0.04621
691,0.26113,0.20037,0.00703,0.05698,0.70928,0.01072,0.22919,0.16092,0.0093,0.05987,0.65924,0.01899,0.26558,0.14309,0.01539,0.04348,0.66538,0.02643,0.14239,-0.00884,0.01848,0.05567,0.46424,0.04851
692,0.26104,0.20033,0.00753,0.05949,0.71114,0.01168,0.22909,0.16089,0.00962,0.06186,0.66105,0.01984,0.26545,0.14305,0.01582,0.04554,0.66741,0.02724,0.14222,-0.00885,0.0187,0.05558,0.46628,0.05047
693,0.2607,0.20042,0.00782,0.06181,0.71353,0.01287,0.22878,0.16095,0.00993,0.06374,0.66339,0.02086,0.26517,0.14314,0.01603,0.04747,0.66992,0.02821,0.14207,-0.00887,0.01907,0.05568,0.46879,0.05215
694,0.26025,0.20052,0.00772,0.06358,0.71651,0.01422,0.22837,0.16102,0.01002,0.06526,0.66633,0.022,0.26481,0.14324,0.0159,0.04897,0.67295,0.02925,0.14184,-0.00886,0.01962,0.05613,0.47182,0.05355
695,0.25993,0.20056,0.00732,0.06486,0.72018,0.01574,0.22805,0.16108,0.00982,0.06644,0.66996,0.02328,0.26452,0.1433,0.01553,0.05011,0.67659,0.03041,0.14155,-0.00877,0.02025,0.05686,0.47543,0.05457
