	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d
7	-10.32768	-0.00000	0.00000	-8.74972	0.00000	0.00000	-3.24351	-7.43296	13.56351	11.65434	3.35316	-16.55086	-4.26255	-1.20054	0.00000	-2.65158	0.60915	-0.00000	17.96917	13.06364	5.19953	0.03940	1.94592	-16.80953	36.72027	20.71318	-0.22840	38.75805	0.97334	34.98372	123.78121	-0.00000	-112.82771	115.68144	0.00000	115.17161	-10.82755	-18.75379	0.00000	-15.34157	7.69902	0.00000	1.36648	-5.07117	10.05983	-20.72976	-8.48693	7.41805	12.71573	3.41119	7.74632
8	-8.92287	0.00000	-0.00000	-8.43569	0.00000	0.00000	-3.72630	-7.66421	13.25188	11.43358	2.83316	-16.30203	-4.04687	-1.05258	0.00000	-2.49030	0.77844	0.00000	17.51475	12.99135	5.50025	-0.31491	1.83206	-16.66582	36.86098	20.89555	-0.38432	39.01656	1.03725	34.66777	123.72925	-0.00000	-112.24603	115.58165	0.00000	114.23298	-11.68216	-18.05999	0.00000	-15.75913	7.57660	0.00000	1.42619	-4.92124	10.20829	-20.65426	-8.40362	7.61359	12.41929	3.26824	8.08903
9	-11.09687	0.00000	-0.00000	-10.21212	0.00000	0.00000	-3.22267	-8.27237	14.30497	11.98612	2.28502	-17.19978	-4.06423	-1.05311	0.00000	-2.37686	0.97069	-0.00000	17.51199	12.92167	4.83660	-0.46067	1.79324	-15.71404	36.88390	21.09481	-0.55440	39.11285	0.79346	34.53722	123.59427	0.00000	-110.99061	115.63126	0.00000	114.51663	-13.30993	-17.57147	0.00000	-15.58070	8.02920	0.00000	1.32513	-4.90902	10.20113	-20.75500	-8.38961	7.61155	12.40586	3.19216	8.07389
10	-9.32264	-0.00000	0.00000	-7.29549	0.00000	0.00000	-3.65948	-7.59649	13.26377	11.32003	2.66794	-16.86691	-4.11412	-1.15983	-0.00000	-2.31120	0.77614	0.00000	17.36523	12.88113	5.37790	-0.72379	1.80654	-16.21812	37.00086	21.04054	-0.22046	38.97278	0.82565	34.67366	123.44145	0.00000	-107.91595	115.78612	0.00000	113.80250	-12.53540	-17.30663	0.00000	-14.23752	8.18498	-0.00000	1.44872	-5.07149	10.25044	-20.63802	-8.55864	7.59582	12.20540	3.20985	7.93665
11	-9.28457	0.00000	-0.00000	-6.07107	0.00000	-0.00000	-3.66424	-7.13396	13.39341	11.00188	3.22476	-17.01859	-4.04946	-1.21131	0.00000	-2.22715	0.61517	-0.00000	16.97869	12.72778	5.46691	-1.06205	1.65459	-16.07447	37.26625	20.70012	-0.25738	38.90230	0.79896	34.84951	123.20735	0.00000	-109.82853	115.89386	0.00000	114.63514	-11.92330	-16.43232	-0.00000	-13.69849	7.71383	0.00000	1.82590	-4.76088	10.25644	-20.24326	-8.27304	7.71944	11.82672	3.06862	8.17558
12	-9.72904	0.00000	-0.00000	-6.66035	0.00000	0.00000	-3.53640	-6.97696	13.45197	11.27441	3.17859	-16.78289	-4.06803	-1.24373	-0.00000	-2.25496	0.61157	-0.00000	17.29143	12.71464	5.64567	-0.67205	1.56510	-16.04436	37.03155	20.83037	-0.28969	38.82728	0.61896	34.85147	123.45998	-0.00000	-111.21558	115.97833	0.00000	113.76865	-11.60954	-16.37932	-0.00000	-14.25529	7.71215	0.00000	1.71525	-4.41044	10.35112	-20.33020	-7.98370	7.94073	12.20184	2.95038	8.45568
13	-8.31401	0.00000	-0.00000	-5.90912	0.00000	0.00000	-3.65841	-7.21857	13.43168	11.03971	3.02006	-16.80397	-3.97460	-1.35434	0.00000	-2.23953	0.56758	0.00000	17.16921	12.96727	5.63304	-0.73981	1.81331	-16.28394	36.85067	21.01674	-0.44378	38.91698	0.61575	34.95306	123.45455	0.00000	-113.17671	115.83312	0.00000	113.05007	-11.46826	-16.82168	0.00000	-14.77756	7.94022	0.00000	1.66247	-4.50189	10.54017	-20.37778	-8.13920	8.08252	12.23559	3.08715	8.33703
14	-9.77223	0.00000	-0.00000	-6.18528	0.00000	0.00000	-3.12148	-8.35536	14.78442	11.32497	3.34566	-17.57254	-3.80277	-1.33162	-0.00000	-2.44758	0.61234	-0.00000	16.72740	12.76589	4.84193	-0.96738	1.55127	-15.61279	37.01628	20.79007	-0.65063	39.17735	0.99925	34.98695	123.17921	0.00000	-114.88332	115.50105	0.00000	113.73542	-12.21777	-16.68722	-0.00000	-14.55615	8.14818	0.00000	1.55537	-5.03909	10.37452	-20.52322	-8.57508	7.72396	11.92459	2.98585	8.44456
15	-9.36074	-0.00000	-0.00000	-6.32530	0.00000	-0.00000	-3.56585	-8.02336	14.05145	11.26702	3.63053	-17.01831	-3.94142	-1.21012	0.00000	-2.55317	0.40408	-0.00000	17.55645	12.83816	5.20625	-0.25017	1.77405	-16.31109	37.46220	20.60829	-1.04217	39.34131	0.77456	34.86410	123.05412	0.00000	-112.44662	115.38074	0.00000	113.30098	-13.30901	-17.41011	-0.00000	-14.57248	8.23688	0.00000	1.33386	-5.34882	10.07920	-20.77726	-8.75144	7.33046	12.44946	3.19122	8.53511
16	-7.95775	-0.00000	0.00000	-5.80954	0.00000	-0.00000	-4.15381	-7.62315	13.23322	10.95321	3.62248	-16.67311	-3.92529	-1.19505	-0.00000	-2.41486	0.42799	-0.00000	17.55883	12.76206	5.57086	-0.39944	1.76292	-16.68828	37.49779	20.59788	-0.99851	39.19317	0.45260	34.95660	123.01971	0.00000	-115.01528	115.35532	0.00000	115.97506	-13.27991	-17.90860	0.00000	-15.07002	8.58926	0.00000	1.34499	-5.32587	10.14993	-20.76134	-8.75668	7.40521	12.36965	3.16107	8.43640
