L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-1.5543700000000005,0.0,0.0,-0.5423600000000001,0.0,0.0,-2.8870100000000005,-7.888390000000003,5.200640000000001,15.835549999999998,6.436020000000001,-12.740800000000004,-19.719210000000004,0.45809000000000005,0.00019,-24.323840000000004,-1.0190700000000001,-0.0008000000000000001,32.949860000000015,3.791770000000002,3.73942,4.13315,-6.0652800000000004,-13.718940000000002,33.75357000000002,7.249440000000001,-12.81406,27.687790000000003,-17.554580000000005,12.012980000000002,117.34692000000001,0.044550000000000006,-92.62137000000001,135.70638000000002,-0.00046000000000000007,77.77734000000001,-8.555710000000001,6.589430000000001,-0.02757000000000001,-2.0622700000000003,-0.7696700000000001,-0.00295,-17.612550000000002,1.0802800000000001,-3.7103900000000007,-39.31659,2.3767699999999996,-3.04773,0.9278100000000002,-6.698710000000002,9.080770000000001
-3.5532170027585974,0.0,0.0,-1.3643050816928457,0.0,0.0,-1.8115977605466436,-8.380963975091506,6.799201859384301,17.209527591561066,5.292125331019305,-13.348842382333098,-20.628592502638305,0.3036116831423255,-2.651421075314836e-05,-22.1917517827009,-1.051489925705274,8.186198653115192e-05,32.86083927887208,4.595602131249688,3.81859514595377,2.7887202181709276,-5.376883030132479,-13.208306140036912,32.91153592593249,7.128128765468035,-10.692985475576021,26.351182179072314,-16.456238279010726,11.639487843557479,121.10368496098936,-0.014831508039546963,-90.51313660400747,135.66405645991517,-0.00044382343793299763,76.67072973431868,-2.431259893271864,4.954908084135503,-0.069489131600439,0.03216938945608314,-2.5938288590491516,0.0023223272141676336,-18.043255031693718,1.867321194197258,-4.177778535384136,-39.7522417857335,3.2808010451105205,-3.1909323806702563,0.6371759725579875,-6.593616593234802,9.584626219578587
-3.58565702000223,0.0,0.0,-1.6249680337413106,0.0,0.0,-2.2208472259014282,-8.031269072933544,7.157787132454454,17.821827333746075,5.999610936706917,-13.12473096592775,-20.408390194623095,-0.09401580908939054,-0.00051042636772651,-20.496026910727817,-1.1987988304164032,0.000404946612145548,32.47548259436438,5.521276767343159,3.6297489636110747,1.8275247053827355,-4.8514859032056,-13.864998494342784,32.805403889400644,6.571520064648246,-11.159085370348931,24.947648756832603,-16.200803698007782,12.660660835633825,122.85977736529647,0.01661181206088513,-83.70980363414674,135.112295863208,0.0010611104329279909,78.88368406109339,-4.246236843452927,12.113569738960944,0.052992117485458685,-1.609910107499066,-2.7310654324713277,-0.002279292753549839,-18.770605789871553,1.2634350311778193,-2.3137818821768263,-40.49860064002645,2.0302538530251253,-1.6817398603201292,0.49546816852698433,-5.877555752792536,9.738658256192357
-5.657632622298211,0.0,0.0,-1.4365847248892072,0.0,0.0,-2.675604665979054,-7.745716762862213,8.765943373687886,18.0063979111937,5.855817678375738,-13.271382247703547,-19.34577452992191,-0.3897058668644971,0.00037799588954706405,-18.18977344772736,-1.1748577900740071,-0.00018180192962321995,31.59072476180341,6.612088040594522,3.100102388706828,0.6482089392061517,-4.02242601745804,-13.576906383260148,31.76423671500949,6.548409069183657,-7.722992843101164,24.031977698909806,-16.218332885997643,13.76181179493572,127.53227772824381,-0.04468578400787774,-74.47032883864152,134.23879041878553,-0.0010993525810593324,81.91946543299011,6.473022083755842,5.693923503293094,-0.087343693644795,-1.287966370267195,-2.542160368141704,0.0013670721848276248,-19.48881826012433,1.4416160908149278,-2.68781793970972,-41.21491765389717,2.334193141417612,-1.9633552959530192,0.253415426461918,-4.992994570931557,9.901070305928931
-3.7123288075574274,0.0,0.0,-1.8148781285054092,0.0,0.0,-4.321965204932788,-7.746549327955326,9.187006131901045,18.21991054309515,6.609964164217466,-12.043332174018781,-18.322579706486756,-0.2554968640592996,-0.0002630269566919383,-16.46115904233705,-1.5980567230524223,0.0001943680168496075,31.15507500399999,7.514029604254367,3.3115981078711076,0.2734725403600014,-3.5502861543309385,-14.370081081255375,31.201914557592325,6.393800762720241,-4.863699757861474,23.27984072835821,-16.07289094014467,14.310931499630207,132.43207992003454,0.02609753220218204,-75.65492110089619,133.9657624285508,-0.002599034910747044,80.5235906738125,11.851154201741517,0.2862265525177796,0.02627850393648146,-1.0746546312114293,-2.451910724679361,0.011688301837350468,-19.194380835407074,1.6577616804219848,-2.432626696170066,-40.926791401663365,2.4405351323486917,-1.6460868638047759,0.27708156167393816,-4.644566015287138,10.216742052066277
-3.3928981653115975,0.0,0.0,-1.3316323097385254,0.0,0.0,-5.270386738787642,-7.063915498239706,9.153200337916143,17.29550616843916,6.346828542533648,-11.570154327236681,-17.634344946968685,-0.41810282372655533,2.4751127695035665e-05,-14.744666595561425,-1.0196329832414075,-6.0191083352894125e-06,30.79243291443445,8.575327804227737,2.914494806619185,-0.3037914751758608,-3.004836203150158,-14.222417085563642,30.795085636824478,6.944746438014687,-4.156129040145995,22.689612466684427,-15.631515549827531,14.949450882403205,135.10838170945462,-0.006865601942643094,-81.87743742325708,134.43428765388907,0.007570534036534794,82.96447706315735,12.850097419131732,-1.762101453884009,-0.005965767679391119,-1.1507429404267486,-2.0214940625980735,0.02211996600034642,-19.080126130917403,0.8535950915433699,-1.2070470087061982,-40.812687828413786,1.2398374467759068,-0.8052133101582734,0.019844001566162964,-4.080339247634605,9.871274519969548
-5.168353158237713,0.0,0.0,-2.1353536258002945,0.0,0.0,-6.251791038785448,-8.200629524229987,9.086630076297476,17.14770117366702,6.0859021526761845,-11.048234839935171,-17.17789220062381,-0.18646650100836623,-7.426462005732541e-05,-13.017522064487917,-0.5926038703022468,-1.5008887401402008e-05,31.077950294470515,9.593560343929804,2.989744343166879,-0.5642933917471535,-2.4054211381076205,-14.282370692148088,30.07620786626186,7.7925458226985285,-3.5548866034475703,22.04837023935908,-15.892273708015162,13.91252224040962,135.3013356501875,-0.00015015098744774888,-78.24402893331198,135.9341537933013,-0.010108860982224832,78.07150941525546,9.826098356216942,-0.6728409418114472,-0.00046167596890600235,0.8480709347995246,-0.4594145952216426,-0.00471040514011626,-19.152670918543475,-0.353991281732016,-0.70324994905073,-40.883253634399395,-0.06845074319811482,-0.7843345306736077,0.256150500167894,-3.433658902730091,9.749084149804219
-8.202596217865754,0.0,0.0,-2.941795582415494,0.0,0.0,-8.229218389076607,-8.207281004970433,8.342763074338857,16.82695906438361,5.444644921657625,-10.033787812504048,-16.582632637507963,-0.1820479268347976,-4.2691831124077935e-05,-11.236261005733798,-0.26942941658764236,-0.0003122614464328329,31.93827656648615,10.456319443908628,3.3482398233011588,-0.43858601907312716,-2.0398268148024994,-13.61842346425701,30.178174521614384,8.02799663857769,-2.8580833495332163,21.820483401517752,-15.626615249853943,13.300910735141423,134.46601242861968,-0.009323159871194569,-79.6968529429652,137.24469659032448,0.0024643195153203007,78.94142320983178,10.567513112723516,-0.5138111884134312,-0.0025154291975004487,0.288202420512208,-3.034357901292789,-0.0018431637935484393,-18.689501971174316,-0.8481682445902852,-0.2202093014155401,-40.4233529171959,-0.7063449693542775,-0.5186246088935478,0.2614827964118848,-3.2305217718983146,9.5714054828712
-7.052280234288983,0.0,0.0,-3.716543302360484,0.0,0.0,-11.786200645802198,-8.236037084774921,6.597828423753936,16.37787446445569,6.610044766605861,-8.013291985911724,-17.1869683912185,-0.29542348305920535,-0.00021756882101408697,-10.162152649057933,-0.37169482810642324,8.964538133367529e-05,33.2164291439696,11.747230831956166,3.0095445412853383,-0.21883036489503888,-1.4385624020096692,-14.414197035801205,29.18067639941617,8.589958178762284,-2.9971681355572675,21.759645917962402,-15.80133256639347,13.875172474361735,132.17755642244202,0.00401235045251374,-84.04669390669012,138.45772463750083,-0.00048066208482995326,76.02641238043391,6.9858540557251185,1.8265431171712163,-0.004469352482368471,-0.3613333821444319,-1.2842046621526606,-0.006132737410506536,-18.949807017338983,-0.8111598918838283,-0.5695341148845954,-40.681988896657714,-0.5426285389943863,-0.8293972714291314,0.2282721145866744,-2.6507175905592044,9.496820917159877
