Unnamed: 0_level_0,Neck_Joint_Position,Neck_Joint_Position,Neck_Joint_Position,L_ANKLE_POSITION,L_ANKLE_POSITION,L_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,L_HIP_POSITION,L_HIP_POSITION,L_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2606,0.10135,0.31419,1.53199,0.00325,0.60392,0.09683,0.06618,0.24256,0.0827,0.05096,0.57095,0.51375,0.17519,0.30982,0.48001,0.00912,0.39709,0.8977,0.15044,0.25747,0.89731,-0.0666,0.40135,1.47272,0.21025,0.18147,1.46806,-0.09019,0.53188,1.2188,0.37643,0.29775,1.25811,0.06247,0.59261,1.41743,0.30375,0.44599,1.46212
2607,0.10296,0.31145,1.53119,0.00357,0.60684,0.10093,0.06609,0.2427,0.08252,0.05415,0.57903,0.51789,0.17595,0.30985,0.47962,0.00926,0.39761,0.89798,0.15007,0.25748,0.89685,-0.06538,0.39902,1.4732,0.21119,0.17844,1.46731,-0.08714,0.53555,1.22228,0.37895,0.29874,1.2609,0.06495,0.58872,1.42349,0.30372,0.44451,1.46576
2608,0.10453,0.30863,1.53038,0.00427,0.61062,0.10626,0.06593,0.24277,0.08231,0.0579,0.5885,0.52319,0.17651,0.30969,0.47925,0.0093,0.39813,0.89841,0.14957,0.25746,0.89643,-0.06398,0.39638,1.47373,0.21236,0.17529,1.46654,-0.08405,0.53921,1.2262,0.38158,0.29978,1.26384,0.06724,0.58453,1.42993,0.30374,0.44303,1.4695
2609,0.10606,0.30572,1.52958,0.00533,0.61525,0.11298,0.06571,0.24277,0.08209,0.06227,0.59928,0.52975,0.17687,0.30948,0.4789,0.00925,0.39866,0.89899,0.14894,0.25745,0.89604,-0.06245,0.39347,1.47432,0.21378,0.17211,1.46573,-0.08078,0.5429,1.23058,0.38437,0.3009,1.26691,0.06934,0.58016,1.43679,0.30381,0.44156,1.4733
2610,0.1075,0.30274,1.5288,0.00669,0.62053,0.12121,0.06546,0.24268,0.08187,0.06731,0.61117,0.53766,0.17704,0.30934,0.47857,0.0091,0.39923,0.89971,0.1482,0.25746,0.89567,-0.06083,0.3903,1.47488,0.21544,0.16904,1.46486,-0.07728,0.54664,1.23538,0.38735,0.30213,1.27006,0.07122,0.57569,1.44407,0.30385,0.4401,1.4771
2611,0.10883,0.29973,1.528,0.00825,0.62615,0.13103,0.06525,0.24257,0.08165,0.07305,0.6239,0.54695,0.1771,0.30936,0.47825,0.00885,0.39986,0.90061,0.14735,0.25754,0.8953,-0.05923,0.38683,1.47533,0.2173,0.16622,1.46391,-0.07362,0.55037,1.24056,0.39048,0.30349,1.27317,0.07284,0.57105,1.45168,0.30381,0.43857,1.48082
2612,0.10999,0.29674,1.52714,0.00988,0.63172,0.14247,0.06512,0.24247,0.08147,0.0794,0.63715,0.5576,0.17719,0.30959,0.47795,0.00849,0.40059,0.90169,0.14636,0.25773,0.89491,-0.05773,0.38306,1.47562,0.21925,0.1637,1.46281,-0.07,0.55402,1.24606,0.39366,0.30494,1.27613,0.07415,0.56607,1.45942,0.30363,0.43694,1.48433
2613,0.11091,0.29381,1.52612,0.01144,0.63684,0.15552,0.06514,0.2424,0.08134,0.08622,0.65066,0.56953,0.17749,0.31006,0.47765,0.00802,0.4015,0.90299,0.14521,0.25808,0.89449,-0.05637,0.379,1.47572,0.22124,0.16149,1.4615,-0.06662,0.55745,1.25184,0.3968,0.30644,1.27879,0.07521,0.5606,1.46706,0.30337,0.43517,1.48754
2614,0.11163,0.291,1.52486,0.01287,0.64124,0.17009,0.06532,0.24234,0.08132,0.09328,0.66423,0.58264,0.17818,0.31079,0.47736,0.00746,0.40261,0.90448,0.14397,0.25868,0.89402,-0.05517,0.37473,1.47571,0.2232,0.15951,1.45994,-0.06356,0.56055,1.25783,0.39983,0.30788,1.28103,0.07612,0.55459,1.4744,0.3032,0.43319,1.49041
2615,0.11222,0.28834,1.52331,0.01417,0.64486,0.18606,0.06567,0.24229,0.08145,0.10033,0.67772,0.59678,0.17939,0.31176,0.47706,0.00685,0.40398,0.90616,0.14275,0.25964,0.89351,-0.05407,0.37035,1.47565,0.22511,0.15767,1.45811,-0.06077,0.56327,1.26397,0.40273,0.30914,1.28283,0.07703,0.54816,1.48129,0.30331,0.43096,1.49295
