RTOES_DIST,RTOES_DIST,RTOES_DIST,LTOES_DIST,LTOES_DIST,LTOES_DIST,RTOES_PROX,RTOES_PROX,RTOES_PROX,LTOES_PROX,LTOES_PROX,LTOES_PROX,RFTS_DIST,RFTS_DIST,RFTS_DIST,LFTS_DIST,LFTS_DIST,LFTS_DIST,RFTS_PROX,RFTS_PROX,RFTS_PROX,LFTS_PROX,LFTS_PROX,LFTS_PROX
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.23221000000000003,0.29327,0.011700000000000002,0.11363000000000002,0.7732600000000001,0.008319999999999998,0.18413000000000004,0.2824,0.01413,0.09422000000000001,0.72887,0.01768,0.19549,0.26392000000000004,0.02237,0.09051000000000001,0.7372800000000002,0.025990000000000003,0.013740000000000004,0.22278000000000006,0.024630000000000003,0.012190000000000003,0.5576200000000001,0.03715000000000001
0.2325743042270005,0.29243478049602295,0.010225045612768291,0.11409488769185168,0.7732458326597316,0.007155848566728789,0.1844842876632225,0.2816517584890868,0.012848954914765075,0.0944747249619782,0.7289422082055512,0.016518265882149018,0.19585387055008344,0.26315749995926185,0.021030483170759683,0.09094210814331612,0.7375755287762911,0.02467718473507446,0.014038550692267386,0.22236361165057444,0.02419059621698189,0.01185216353901549,0.5586995494993882,0.04141824837964737
0.23276359341877673,0.2915452850149801,0.009068819575868744,0.11416201487597276,0.7737777136387429,0.005388401076017271,0.18465220973547725,0.2809111698138997,0.011921156984271866,0.09479733733631626,0.7296946283123275,0.01620807965588579,0.19601105469846797,0.26229761745714364,0.019858631594805963,0.09139254988646336,0.7386538136188503,0.024056089792726217,0.014086100865645828,0.2221150635848452,0.023968831214486286,0.013180919599413737,0.5604658857354481,0.049836712082296994
0.2329204373714512,0.290613397951043,0.0085636356941535,0.11400173736004147,0.7736460619328186,0.003456971735822542,0.18479975244125563,0.28009768830804466,0.011578999276681094,0.09520108919730208,0.7302256001782139,0.01748109371301909,0.19613694725798836,0.26137174343582925,0.019255393250148713,0.09193506901656875,0.7396601323356539,0.02481436896175266,0.014104009263041506,0.221725276065059,0.0238921964803628,0.01563059662461616,0.5631243510804146,0.06414185734279086
0.2331885145242309,0.2896618479480777,0.008499445381456139,0.11354720795679699,0.7705728847161728,0.004190454710018217,0.18505336844617548,0.27922074441915734,0.011579537894888496,0.09541608121617298,0.7287104024747831,0.022989759714168313,0.19635047745394574,0.26047197908724956,0.01924711220003793,0.09234290277471681,0.7386919322101775,0.02964884471770941,0.014245641353061752,0.22111653846281823,0.023669292043174802,0.017726048695330128,0.5658253901565413,0.08517086600238798
0.23353877992148384,0.2887786923440783,0.008509351005225164,0.11259205191710599,0.7639086384664513,0.012872125237428873,0.18537263008313162,0.2784862690152501,0.011575901555193502,0.09503391467335458,0.7242730130607941,0.03645552669940794,0.19659664259984355,0.25974567819543054,0.01939879783679709,0.0922755846766705,0.7347153369115983,0.0425133893201046,0.014374797514151204,0.22090982357644237,0.023442826316316417,0.01813295220660423,0.5668370819742564,0.11216343754379227
0.233850633132723,0.2882846466847264,0.008728230255908326,0.11163161836753481,0.7568950527827123,0.033171666794281456,0.18562921762250964,0.278169797367698,0.011525445625810066,0.09424868032559292,0.7186527452989935,0.05907846199127203,0.1967805590571217,0.259471659320957,0.019531404319415756,0.0917980401801806,0.7293937735414382,0.06474501131835937,0.014429025445020956,0.2212296958613491,0.023578614661123317,0.017405590312440957,0.5657661026776929,0.14363855882291338
0.2338815887816717,0.2886477261505852,0.009158121725564078,0.11151281829956484,0.7540494716027812,0.0641012227941035,0.18565137596487322,0.27851330505192456,0.011661804235634487,0.09399551483927077,0.7154540092356976,0.08936935959476502,0.19681352783845826,0.2598679251517003,0.01978735985099117,0.09162439914209755,0.7263100639560801,0.09484832691911632,0.014499874963820165,0.22152581808808888,0.024174731414953448,0.018095739345805637,0.5644320085722518,0.1780513073444348
0.23370365534634285,0.28965359923912887,0.009342950855300524,0.1127260602528176,0.7577375530607133,0.10257562134883848,0.18550075801764934,0.27936169685410556,0.011865740579142902,0.0953397042021351,0.7177098662598296,0.12561319971209048,0.19675652157543808,0.260760638187484,0.019989706409155657,0.09278408623075021,0.7285171871367249,0.131095040595171,0.014569006583785057,0.2218393801053935,0.024949378561532225,0.021879915285028875,0.5653779252390785,0.21411435028777195
0.2334517315603375,0.29066344384055265,0.009152213158886056,0.1162011804556588,0.7687297544082824,0.14626601416237792,0.18527183126606503,0.2803131352114764,0.01177176037465522,0.09917743545518723,0.7269336931073316,0.16622230388339151,0.1965817625719799,0.26171335774112,0.019812191562258177,0.09634981560895324,0.7375459894628378,0.17193940123234902,0.014461844780919192,0.2225625016664416,0.025408548897528804,0.028496134516205314,0.5709712213803907,0.2505537751275093
0.23339538916474353,0.2912104836758631,0.008978828663808369,0.12218716472365995,0.7884495236726884,0.19332295354907736,0.18518391836076226,0.28095843928619935,0.011518967738494389,0.10586163645052482,0.7449355610456563,0.2099245905520936,0.19645978970795544,0.26233711117389774,0.019549931283844458,0.10271403696561476,0.7551733543743717,0.2161514610970282,0.014253289767487206,0.22360788387358135,0.025303381327101793,0.03821627787559558,0.5831531889178482,0.285306185496218
