Unnamed: 0_level_0,FullBody_CoG_pos,FullBody_CoG_pos,FullBody_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_CoG_pos,Head_CoG_pos,Head_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2005,0.10413,0.35299,0.9907,0.11884,0.57484,1.5232,0.32838,0.44869,1.4953,0.00846,0.55055,1.34528,0.3626,0.32338,1.32457,-0.04831,0.47447,1.34049,0.31808,0.21039,1.32321,0.14578,0.36812,1.62217,0.12154,0.3173,1.60551,0.08604,0.29151,1.23903,0.06223,0.30348,0.9275,0.05216,0.4922,0.76213,0.1646,0.2769,0.71882,0.09132,0.62676,0.38201,0.13583,0.28243,0.30224,0.08116,0.63975,0.06983,0.11624,0.24948,0.02204,0.08539,0.65147,0.0646,0.13498,0.24572,0.0217
2006,0.10483,0.35391,0.99156,0.1198,0.57056,1.52482,0.3288,0.4468,1.49631,0.00919,0.54915,1.34674,0.36431,0.32255,1.32497,-0.04747,0.47378,1.34102,0.31973,0.20983,1.32243,0.14643,0.36589,1.62095,0.12222,0.31514,1.60405,0.08609,0.2904,1.23826,0.06206,0.30443,0.92723,0.05411,0.49805,0.76692,0.16517,0.2781,0.71801,0.09464,0.63572,0.39322,0.13678,0.28306,0.30187,0.08112,0.64128,0.0805,0.11628,0.24942,0.02216,0.08533,0.65277,0.07478,0.13502,0.24562,0.02184
2007,0.10552,0.35492,0.99256,0.12087,0.56617,1.52642,0.32903,0.44509,1.49744,0.00998,0.54774,1.34824,0.36613,0.32193,1.32554,-0.04654,0.4731,1.34159,0.32142,0.20948,1.32171,0.14714,0.36367,1.61959,0.1229,0.313,1.60247,0.0861,0.28927,1.23745,0.06186,0.30558,0.92704,0.05607,0.50409,0.77221,0.16575,0.27955,0.71726,0.09784,0.64459,0.40557,0.1378,0.28385,0.30158,0.08088,0.64292,0.09279,0.11636,0.24942,0.02235,0.08506,0.65423,0.08669,0.13509,0.24559,0.02204
2008,0.10619,0.35606,0.99371,0.1221,0.5617,1.52795,0.32899,0.44351,1.49882,0.01088,0.54637,1.34976,0.36792,0.3216,1.32633,-0.04559,0.47249,1.3422,0.32312,0.20934,1.32111,0.14787,0.36145,1.61811,0.12357,0.31087,1.60081,0.08607,0.2882,1.23659,0.06159,0.30695,0.92692,0.05798,0.51028,0.77799,0.16633,0.28129,0.71656,0.10093,0.6533,0.41904,0.13889,0.2848,0.30138,0.08051,0.64484,0.10662,0.11648,0.24946,0.02257,0.08463,0.65602,0.10025,0.1352,0.24558,0.02224
2009,0.10682,0.35733,0.995,0.12354,0.55717,1.52939,0.32865,0.44194,1.50052,0.01188,0.54509,1.35127,0.36959,0.32155,1.32736,-0.04467,0.47201,1.34286,0.32482,0.2094,1.32067,0.1486,0.35924,1.61656,0.12418,0.30877,1.59911,0.08603,0.28724,1.2357,0.06122,0.30856,0.92688,0.05982,0.51657,0.78423,0.16687,0.28332,0.7159,0.10395,0.66185,0.43355,0.14005,0.28592,0.30124,0.08013,0.64721,0.12187,0.11659,0.24949,0.0228,0.08414,0.65833,0.11533,0.1353,0.24558,0.02242
2010,0.10741,0.35876,0.9964,0.12518,0.55256,1.53069,0.32805,0.44026,1.50255,0.01298,0.54393,1.35274,0.37108,0.32173,1.32858,-0.0438,0.4717,1.34354,0.32655,0.20961,1.32036,0.1493,0.35703,1.61498,0.12474,0.30666,1.59742,0.08597,0.28646,1.23477,0.06077,0.31039,0.92685,0.06157,0.5229,0.79087,0.16736,0.28563,0.71522,0.10695,0.67028,0.44899,0.14122,0.28717,0.30111,0.07988,0.65021,0.13834,0.11668,0.24952,0.02299,0.08373,0.66135,0.13173,0.13538,0.24558,0.02255
2011,0.10799,0.36034,0.99787,0.127,0.54785,1.53186,0.32724,0.43839,1.50482,0.01416,0.54292,1.35418,0.37242,0.32201,1.32994,-0.04298,0.47157,1.34421,0.32833,0.20991,1.32013,0.14995,0.35484,1.61338,0.12524,0.30457,1.59576,0.08596,0.28589,1.23382,0.06028,0.31243,0.9268,0.06322,0.52924,0.79783,0.16781,0.28817,0.71447,0.10995,0.67865,0.46522,0.14235,0.28852,0.30092,0.07987,0.65404,0.15582,0.11669,0.24956,0.02312,0.08352,0.66525,0.14921,0.13539,0.2456,0.02259
2012,0.10858,0.36205,0.99936,0.12896,0.54306,1.53295,0.32632,0.43631,1.50714,0.0154,0.5421,1.35562,0.3737,0.32227,1.33133,-0.04216,0.47159,1.34487,0.33019,0.21026,1.3199,0.15056,0.35268,1.61178,0.12569,0.30251,1.59411,0.08602,0.28551,1.2328,0.05982,0.31468,0.92667,0.06477,0.53555,0.80502,0.16824,0.29092,0.7136,0.11294,0.68705,0.48207,0.14339,0.28996,0.30061,0.08018,0.65894,0.17406,0.11665,0.24963,0.02315,0.08361,0.67028,0.16756,0.13534,0.24567,0.02255
2013,0.10921,0.3639,1.00083,0.13103,0.53828,1.53399,0.32538,0.43414,1.50933,0.01669,0.54147,1.35713,0.37497,0.32243,1.33268,-0.0413,0.47174,1.34553,0.33213,0.21065,1.31961,0.15118,0.35057,1.61016,0.12611,0.3005,1.59246,0.08617,0.28529,1.23172,0.05945,0.31712,0.92644,0.06624,0.54184,0.81239,0.16871,0.29385,0.7126,0.11592,0.69559,0.49938,0.14436,0.29146,0.30016,0.08085,0.6652,0.19286,0.11655,0.24974,0.0231,0.08406,0.6767,0.18655,0.13524,0.24579,0.02245
2014,0.10989,0.36585,1.00228,0.1332,0.53365,1.53503,0.32446,0.432,1.51127,0.01804,0.54101,1.35875,0.37628,0.32248,1.33396,-0.04038,0.47198,1.34625,0.33413,0.21104,1.31922,0.15185,0.34852,1.6085,0.12654,0.29857,1.5908,0.0864,0.28513,1.23055,0.05918,0.31976,0.9261,0.06766,0.54811,0.81989,0.16924,0.29694,0.71146,0.1189,0.7044,0.51702,0.14533,0.29302,0.29961,0.08192,0.67307,0.21202,0.11645,0.24987,0.02301,0.0849,0.6848,0.206,0.13514,0.24593,0.02232
