	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d
7	0.18559	0.32976	1.48175	0.13334	0.53893	0.07800	0.15642	0.08947	0.07670	0.12038	0.45878	0.47388	0.22029	0.16795	0.46546	0.09769	0.31826	0.86895	0.24698	0.21524	0.87609	0.01730	0.36909	1.40505	0.32344	0.19863	1.41379	-0.07880	0.42747	1.10847	0.44934	0.15623	1.14545	0.12618	0.53051	1.22846	0.40188	0.39511	1.23775
8	0.18537	0.32975	1.48185	0.13332	0.53900	0.07810	0.15631	0.08978	0.07667	0.12021	0.45885	0.47397	0.22012	0.16756	0.46558	0.09767	0.31817	0.86900	0.24696	0.21515	0.87617	0.01680	0.36886	1.40494	0.32334	0.19873	1.41388	-0.07866	0.42795	1.10830	0.44933	0.15661	1.14554	0.12617	0.53096	1.22856	0.40165	0.39555	1.23754
9	0.18535	0.32982	1.48183	0.13332	0.53900	0.07816	0.15605	0.08988	0.07674	0.12008	0.45885	0.47403	0.22020	0.16718	0.46568	0.09780	0.31803	0.86902	0.24702	0.21491	0.87626	0.01638	0.36876	1.40483	0.32344	0.19891	1.41410	-0.07862	0.42842	1.10815	0.44931	0.15691	1.14569	0.12620	0.53122	1.22860	0.40166	0.39597	1.23742
10	0.18553	0.33001	1.48166	0.13330	0.53884	0.07814	0.15578	0.08970	0.07690	0.11999	0.45872	0.47401	0.22021	0.16701	0.46580	0.09793	0.31785	0.86900	0.24711	0.21468	0.87638	0.01608	0.36903	1.40478	0.32360	0.19909	1.41433	-0.07890	0.42872	1.10810	0.44935	0.15714	1.14585	0.12609	0.53121	1.22854	0.40183	0.39627	1.23748
11	0.18568	0.33035	1.48146	0.13329	0.53860	0.07806	0.15561	0.08937	0.07703	0.11997	0.45840	0.47391	0.21997	0.16698	0.46587	0.09789	0.31770	0.86896	0.24714	0.21463	0.87644	0.01590	0.36952	1.40477	0.32365	0.19920	1.41444	-0.07941	0.42888	1.10814	0.44945	0.15733	1.14598	0.12585	0.53105	1.22838	0.40198	0.39644	1.23766
12	0.18562	0.33071	1.48139	0.13332	0.53847	0.07799	0.15553	0.08909	0.07700	0.11997	0.45794	0.47377	0.21961	0.16687	0.46586	0.09765	0.31763	0.86894	0.24701	0.21471	0.87639	0.01584	0.36989	1.40474	0.32360	0.19937	1.41442	-0.07990	0.42902	1.10819	0.44960	0.15746	1.14605	0.12565	0.53094	1.22814	0.40203	0.39650	1.23788
13	0.18539	0.33094	1.48151	0.13340	0.53845	0.07793	0.15548	0.08897	0.07686	0.11990	0.45750	0.47363	0.21931	0.16663	0.46579	0.09735	0.31762	0.86894	0.24673	0.21474	0.87628	0.01589	0.37006	1.40470	0.32360	0.19966	1.41434	-0.08018	0.42919	1.10827	0.44975	0.15755	1.14608	0.12558	0.53099	1.22795	0.40208	0.39649	1.23809
14	0.18514	0.33106	1.48169	0.13352	0.53843	0.07789	0.15546	0.08897	0.07674	0.11970	0.45725	0.47353	0.21913	0.16640	0.46574	0.09716	0.31765	0.86893	0.24645	0.21462	0.87622	0.01597	0.37019	1.40472	0.32365	0.20001	1.41431	-0.08029	0.42945	1.10836	0.44989	0.15759	1.14614	0.12559	0.53116	1.22793	0.40218	0.39650	1.23822
15	0.18496	0.33124	1.48179	0.13359	0.53833	0.07787	0.15548	0.08904	0.07671	0.11945	0.45715	0.47350	0.21899	0.16624	0.46578	0.09710	0.31771	0.86897	0.24625	0.21449	0.87627	0.01597	0.37049	1.40478	0.32362	0.20026	1.41440	-0.08034	0.42979	1.10845	0.44992	0.15757	1.14629	0.12556	0.53143	1.22804	0.40231	0.39656	1.23823
16	0.18485	0.33157	1.48177	0.13353	0.53822	0.07792	0.15547	0.08913	0.07677	0.11924	0.45707	0.47355	0.21878	0.16611	0.46592	0.09705	0.31776	0.86908	0.24612	0.21444	0.87639	0.01583	0.37094	1.40487	0.32340	0.20031	1.41452	-0.08046	0.43004	1.10850	0.44976	0.15748	1.14647	0.12539	0.53179	1.22808	0.40239	0.39662	1.23813
