	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.28650	0.20997	0.00571	0.20628	0.71991	0.00688	0.24546	0.17999	0.01321	0.19098	0.67125	0.01300	0.26816	0.16041	0.01828	0.17369	0.68358	0.02047	0.11113	0.04710	0.02093	0.11649	0.49242	0.01508
2	0.28654	0.20988	0.00578	0.20628	0.71998	0.00690	0.24549	0.17993	0.01335	0.19099	0.67134	0.01321	0.26818	0.16033	0.01841	0.17371	0.68365	0.02074	0.11106	0.04713	0.02088	0.11655	0.49249	0.01516
3	0.28659	0.20989	0.00586	0.20634	0.72005	0.00698	0.24556	0.17994	0.01354	0.19103	0.67144	0.01346	0.26824	0.16033	0.01856	0.17379	0.68374	0.02107	0.11111	0.04714	0.02076	0.11654	0.49261	0.01511
4	0.28644	0.21001	0.00595	0.20637	0.72004	0.00713	0.24543	0.17998	0.01341	0.19107	0.67138	0.01329	0.26815	0.16039	0.01837	0.17385	0.68369	0.02094	0.11117	0.04700	0.02076	0.11647	0.49260	0.01518
5	0.28617	0.21018	0.00598	0.20634	0.71985	0.00724	0.24514	0.18005	0.01294	0.19105	0.67111	0.01272	0.26792	0.16051	0.01783	0.17384	0.68347	0.02030	0.11119	0.04680	0.02097	0.11635	0.49238	0.01545
6	0.28600	0.21034	0.00594	0.20630	0.71959	0.00725	0.24495	0.18014	0.01244	0.19102	0.67078	0.01217	0.26777	0.16064	0.01729	0.17379	0.68319	0.01965	0.11120	0.04673	0.02124	0.11621	0.49211	0.01575
7	0.28604	0.21045	0.00590	0.20630	0.71938	0.00722	0.24494	0.18025	0.01208	0.19100	0.67055	0.01180	0.26777	0.16077	0.01695	0.17379	0.68300	0.01924	0.11119	0.04687	0.02139	0.11601	0.49197	0.01600
8	0.28618	0.21044	0.00600	0.20638	0.71927	0.00722	0.24500	0.18029	0.01192	0.19103	0.67044	0.01158	0.26780	0.16080	0.01687	0.17386	0.68293	0.01904	0.11110	0.04709	0.02142	0.11578	0.49198	0.01621
9	0.28628	0.21029	0.00624	0.20647	0.71923	0.00722	0.24505	0.18021	0.01215	0.19109	0.67041	0.01164	0.26781	0.16069	0.01719	0.17393	0.68291	0.01911	0.11095	0.04719	0.02140	0.11568	0.49202	0.01627
