	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d
7	0.17876	0.29702	0.94924	0.17914	0.56249	1.26122	0.39571	0.45904	1.26563	0.01496	0.47460	1.16335	0.42763	0.26550	1.18767	-0.03817	0.40279	1.23387	0.39611	0.17416	1.25891	0.21810	0.36480	1.59716	0.17932	0.33713	1.57605	0.18040	0.28456	1.20569	0.15991	0.25119	0.90762	0.10698	0.37581	0.70717	0.23605	0.19588	0.70794	0.12608	0.49401	0.29989	0.19222	0.13346	0.29460	0.15635	0.59551	0.01861	0.19247	0.11903	0.01942	0.14992	0.60410	0.01790	0.20591	0.11577	0.01871
8	0.17866	0.29708	0.94927	0.17922	0.56327	1.26087	0.39594	0.45938	1.26574	0.01503	0.47507	1.16331	0.42752	0.26590	1.18762	-0.03830	0.40296	1.23372	0.39606	0.17442	1.25900	0.21792	0.36491	1.59721	0.17914	0.33719	1.57615	0.18027	0.28476	1.20568	0.15988	0.25108	0.90766	0.10690	0.37578	0.70723	0.23597	0.19566	0.70803	0.12597	0.49408	0.29998	0.19208	0.13338	0.29465	0.15628	0.59546	0.01857	0.19245	0.11914	0.01936	0.14987	0.60406	0.01787	0.20589	0.11588	0.01867
9	0.17863	0.29710	0.94931	0.17927	0.56375	1.26065	0.39620	0.45971	1.26586	0.01506	0.47544	1.16324	0.42752	0.26626	1.18765	-0.03845	0.40320	1.23359	0.39610	0.17467	1.25918	0.21778	0.36507	1.59720	0.17909	0.33725	1.57613	0.18016	0.28493	1.20572	0.15994	0.25088	0.90771	0.10692	0.37569	0.70727	0.23604	0.19536	0.70813	0.12590	0.49407	0.30004	0.19201	0.13321	0.29474	0.15628	0.59546	0.01863	0.19240	0.11914	0.01949	0.14987	0.60406	0.01794	0.20584	0.11585	0.01885
10	0.17860	0.29706	0.94935	0.17912	0.56388	1.26052	0.39633	0.45999	1.26596	0.01486	0.47560	1.16319	0.42762	0.26652	1.18776	-0.03874	0.40348	1.23354	0.39618	0.17488	1.25936	0.21766	0.36529	1.59711	0.17912	0.33732	1.57596	0.18006	0.28498	1.20574	0.16001	0.25069	0.90774	0.10697	0.37554	0.70725	0.23610	0.19516	0.70824	0.12584	0.49393	0.30002	0.19189	0.13303	0.29487	0.15630	0.59546	0.01879	0.19237	0.11900	0.01983	0.14989	0.60407	0.01811	0.20581	0.11570	0.01923
11	0.17851	0.29702	0.94934	0.17878	0.56377	1.26046	0.39627	0.46019	1.26604	0.01448	0.47561	1.16313	0.42774	0.26670	1.18792	-0.03911	0.40378	1.23355	0.39626	0.17503	1.25949	0.21752	0.36558	1.59700	0.17911	0.33751	1.57575	0.17996	0.28496	1.20572	0.15999	0.25058	0.90775	0.10693	0.37532	0.70718	0.23601	0.19512	0.70831	0.12582	0.49365	0.29993	0.19169	0.13287	0.29498	0.15632	0.59548	0.01895	0.19237	0.11883	0.02015	0.14990	0.60408	0.01830	0.20581	0.11552	0.01958
12	0.17836	0.29702	0.94931	0.17841	0.56372	1.26046	0.39616	0.46029	1.26614	0.01412	0.47564	1.16306	0.42784	0.26680	1.18806	-0.03942	0.40402	1.23357	0.39633	0.17518	1.25952	0.21737	0.36593	1.59696	0.17897	0.33786	1.57568	0.17982	0.28501	1.20569	0.15983	0.25057	0.90771	0.10679	0.37509	0.70712	0.23579	0.19512	0.70828	0.12584	0.49333	0.29982	0.19144	0.13269	0.29496	0.15633	0.59554	0.01906	0.19235	0.11874	0.02026	0.14991	0.60414	0.01843	0.20578	0.11543	0.01969
13	0.17821	0.29706	0.94929	0.17807	0.56398	1.26049	0.39617	0.46034	1.26620	0.01394	0.47575	1.16301	0.42795	0.26684	1.18816	-0.03956	0.40419	1.23360	0.39642	0.17535	1.25950	0.21725	0.36627	1.59701	0.17876	0.33829	1.57579	0.17971	0.28517	1.20569	0.15959	0.25060	0.90769	0.10659	0.37490	0.70706	0.23550	0.19504	0.70818	0.12583	0.49308	0.29972	0.19125	0.13250	0.29485	0.15636	0.59566	0.01913	0.19225	0.11876	0.02017	0.14994	0.60425	0.01852	0.20569	0.11546	0.01958
14	0.17810	0.29712	0.94929	0.17786	0.56446	1.26051	0.39620	0.46041	1.26618	0.01388	0.47597	1.16305	0.42807	0.26687	1.18826	-0.03959	0.40440	1.23366	0.39652	0.17552	1.25952	0.21717	0.36651	1.59711	0.17854	0.33867	1.57595	0.17967	0.28539	1.20574	0.15941	0.25066	0.90772	0.10639	0.37481	0.70701	0.23526	0.19488	0.70813	0.12577	0.49293	0.29964	0.19115	0.13237	0.29477	0.15637	0.59579	0.01919	0.19215	0.11883	0.02003	0.14995	0.60439	0.01863	0.20559	0.11553	0.01942
15	0.17805	0.29719	0.94935	0.17782	0.56484	1.26051	0.39603	0.46048	1.26609	0.01384	0.47628	1.16315	0.42814	0.26688	1.18834	-0.03962	0.40472	1.23374	0.39652	0.17562	1.25965	0.21712	0.36668	1.59718	0.17836	0.33901	1.57604	0.17971	0.28555	1.20581	0.15933	0.25075	0.90784	0.10625	0.37481	0.70703	0.23509	0.19473	0.70818	0.12566	0.49283	0.29962	0.19108	0.13231	0.29479	0.15633	0.59586	0.01930	0.19216	0.11885	0.01997	0.14992	0.60447	0.01878	0.20560	0.11555	0.01936
16	0.17799	0.29725	0.94943	0.17788	0.56486	1.26054	0.39569	0.46050	1.26599	0.01370	0.47658	1.16320	0.42809	0.26686	1.18839	-0.03975	0.40505	1.23381	0.39633	0.17559	1.25980	0.21703	0.36688	1.59719	0.17821	0.33933	1.57601	0.17975	0.28568	1.20586	0.15927	0.25083	0.90800	0.10613	0.37481	0.70711	0.23493	0.19465	0.70831	0.12552	0.49274	0.29967	0.19096	0.13228	0.29489	0.15628	0.59582	0.01942	0.19228	0.11883	0.02005	0.14988	0.60445	0.01893	0.20572	0.11551	0.01947
17	0.17788	0.29731	0.94950	0.17781	0.56462	1.26060	0.39537	0.46051	1.26592	0.01343	0.47672	1.16315	0.42793	0.26685	1.18839	-0.03996	0.40522	1.23387	0.39608	0.17552	1.25988	0.21695	0.36715	1.59716	0.17811	0.33964	1.57595	0.17975	0.28586	1.20587	0.15914	0.25081	0.90812	0.10594	0.37471	0.70718	0.23475	0.19464	0.70846	0.12534	0.49269	0.29975	0.19080	0.13228	0.29503	0.15625	0.59577	0.01946	0.19245	0.11876	0.02020	0.14986	0.60440	0.01895	0.20588	0.11543	0.01966
18	0.17774	0.29740	0.94952	0.17750	0.56456	1.26057	0.39511	0.46065	1.26586	0.01308	0.47670	1.16310	0.42772	0.26699	1.18833	-0.04024	0.40520	1.23396	0.39597	0.17562	1.25985	0.21692	0.36746	1.59715	0.17808	0.33995	1.57594	0.17969	0.28616	1.20587	0.15892	0.25068	0.90815	0.10569	0.37453	0.70716	0.23457	0.19469	0.70861	0.12513	0.49275	0.29979	0.19068	0.13233	0.29516	0.15629	0.59583	0.01937	0.19261	0.11865	0.02032	0.14988	0.60445	0.01878	0.20604	0.11532	0.01980
19	0.17760	0.29752	0.94951	0.17702	0.56509	1.26032	0.39484	0.46103	1.26581	0.01274	0.47668	1.16314	0.42755	0.26738	1.18829	-0.04051	0.40515	1.23409	0.39607	0.17601	1.25979	0.21695	0.36778	1.59713	0.17812	0.34022	1.57596	0.17957	0.28645	1.20589	0.15868	0.25055	0.90808	0.10546	0.37441	0.70706	0.23442	0.19475	0.70868	0.12493	0.49290	0.29974	0.19067	0.13238	0.29522	0.15634	0.59602	0.01918	0.19272	0.11853	0.02029	0.14993	0.60462	0.01851	0.20615	0.11522	0.01976
20	0.17747	0.29764	0.94947	0.17655	0.56603	1.25996	0.39454	0.46158	1.26567	0.01249	0.47684	1.16324	0.42745	0.26791	1.18827	-0.04073	0.40526	1.23416	0.39620	0.17658	1.25979	0.21697	0.36810	1.59710	0.17816	0.34048	1.57598	0.17941	0.28661	1.20592	0.15851	0.25050	0.90797	0.10530	0.37441	0.70692	0.23432	0.19475	0.70866	0.12478	0.49304	0.29963	0.19076	0.13234	0.29518	0.15639	0.59622	0.01900	0.19274	0.11845	0.02012	0.14998	0.60482	0.01830	0.20618	0.11516	0.01954
