FP1,FP1,FP1,FP2,FP2,FP2
X,Y,Z,X,Y,Z
0.0,0.0,-0.11996000000000001,0.0,0.0,-1.53335
0.0,0.0,-0.11134512588717933,0.0,0.0,-1.5163876506426708
0.0,0.0,-0.10199262717047701,0.0,0.0,-1.5004619167389461
0.0,0.0,-0.09192243545700099,0.0,0.0,-1.4854836569906211
0.0,0.0,-0.08126350437543998,0.0,0.0,-1.4712835712898695
0.0,0.0,-0.0701744468977943,0.0,0.0,-1.4577316661272115
0.0,0.0,-0.058844950315325495,0.0,0.0,-1.4447777085979518
0.0,0.0,-0.04746384676317291,0.0,0.0,-1.432392049404201
0.0,0.0,-0.03618985568627145,0.0,0.0,-1.420643820281909
0.0,0.0,-0.025222361583670805,0.0,0.0,-1.4096113518371969
0.0,0.0,-0.01473182906348934,0.0,0.0,-1.3994144851483767
0.0,0.0,-0.004788690238687059,0.0,0.0,-1.3900936420167995
0.0,0.0,0.004556497920424457,0.0,0.0,-1.3816997967591338
0.0,0.0,0.013305460380718476,0.0,0.0,-1.3742135676100455
0.0,0.0,0.021465385886503686,0.0,0.0,-1.3676526275022798
0.0,0.0,0.02903627691069379,0.0,0.0,-1.362096816599525
0.0,0.0,0.03604748149465319,0.0,0.0,-1.3575776890402407
0.0,0.0,0.042608394785862126,0.0,0.0,-1.354114630144165
0.0,0.0,0.048797965937272376,0.0,0.0,-1.3517164536216353
0.0,0.0,0.05469547142036476,0.0,0.0,-1.3503564887397623
0.0,0.0,0.06036271478780056,0.0,0.0,-1.3499756539143581
0.0,0.0,0.06586721159309336,0.0,0.0,-1.3504965060410665
0.0,0.0,0.07130940860735992,0.0,0.0,-1.351891108810429
0.0,0.0,0.07673951102949356,0.0,0.0,-1.3541640702181348
0.0,0.0,0.08222598281207681,0.0,0.0,-1.3572952738552821
0.0,0.0,0.08782002711876585,0.0,0.0,-1.3612561523320033
0.0,0.0,0.09358425289985939,0.0,0.0,-1.3660250464691968
0.0,0.0,0.09957137129183238,0.0,0.0,-1.371524662400136
0.0,0.0,0.10583715638263233,0.0,0.0,-1.3776680233044267
0.0,0.0,0.11242944850861092,0.0,0.0,-1.3842150912337905
0.0,0.0,0.1193782531957018,0.0,0.0,-1.39086816672757
0.0,0.0,0.12667102329361157,0.0,0.0,-1.3972792115353816
0.0,0.0,0.13425553395076475,0.0,0.0,-1.4031078131758703
0.0,0.0,0.14205179519119707,0.0,0.0,-1.4079840037716806
0.0,0.0,0.14996669960929518,0.0,0.0,-1.4116503867486414
0.0,0.0,0.15784952172096967,0.0,0.0,-1.4139954660359826
0.0,0.0,0.16560441168094694,0.0,0.0,-1.4149463626317047
0.0,0.0,0.1731739702545899,0.0,0.0,-1.4144680276049417
0.0,0.0,0.1805342608851564,0.0,0.0,-1.4124526065026568
0.0,0.0,0.18772118232777182,0.0,0.0,-1.4087987566691225
0.0,0.0,0.19486558680323401,0.0,0.0,-1.403524048747905
0.0,0.0,0.20215584817578547,0.0,0.0,-1.3967027808728656
0.0,0.0,0.20981031553710158,0.0,0.0,-1.3885492852253742
0.0,0.0,0.21801291965349667,0.0,0.0,-1.3793206170455203
0.0,0.0,0.22688563418000854,0.0,0.0,-1.3693296905669319
0.0,0.0,0.23649045082082015,0.0,0.0,-1.3589172818497852
0.0,0.0,0.2468457587671134,0.0,0.0,-1.3484427889531831
0.0,0.0,0.25802840687430084,0.0,0.0,-1.3382542259463894
0.0,0.0,0.2701298531570901,0.0,0.0,-1.3286934535590043
0.0,0.0,0.28317042236668466,0.0,0.0,-1.3200968820091021
0.0,0.0,0.2971355375923871,0.0,0.0,-1.3127458018071
0.0,0.0,0.3119590584311562,0.0,0.0,-1.306930285840122
0.0,0.0,0.3274966189542171,0.0,0.0,-1.3028921957611086
0.0,0.0,0.34353583087727196,0.0,0.0,-1.300812053505206
0.0,0.0,0.3598618296341504,0.0,0.0,-1.300874398363049
0.0,0.0,0.37624476930872686,0.0,0.0,-1.3031946299201678
0.0,0.0,0.39250335458125485,0.0,0.0,-1.3078973910440297
0.0,0.0,0.40841808361459003,0.0,0.0,-1.315058302456948
0.0,0.0,0.42373677467659365,0.0,0.0,-1.3247556214070384
0.0,0.0,0.4381428902083733,0.0,0.0,-1.3370533706153027
0.0,0.0,0.45130183126263596,0.0,0.0,-1.351978499072389
