Unnamed: 0_level_0,L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2883,-6.43509,0.0,-0.0,-2.27009,0.0,-0.0,-17.19584,-6.82824,2.46882,16.55281,0.01972,-22.50371,-34.5224,-1.42793,0.0028,-23.48489,-2.85952,-0.00196,34.97485,12.57693,9.48669,9.90047,1.40905,-13.98478,32.42856,19.55169,-11.09802,45.08394,-10.96046,34.4262,131.68642,-0.02015,-97.01214,119.89948,-0.00159,107.30277,-3.42649,-14.99218,0.00075,-7.13566,6.64498,0.00479,-8.98817,-10.54825,7.21089,-32.23824,-12.51072,2.50097,0.18062,1.58471,6.44492
2884,-7.33415,0.0,-0.0,-2.32153,0.0,0.0,-17.77651,-6.6077,1.83731,16.72081,-0.21869,-22.41079,-38.23823,-1.50603,0.00188,-23.9193,-2.7156,-0.00174,36.95827,12.78273,9.5131,10.00787,0.8259,-13.89932,33.29428,19.94976,-11.52144,45.7899,-11.01543,34.82934,132.0506,-0.01856,-95.07255,119.89173,-0.00182,107.64524,-3.53542,-15.06174,0.00057,-7.31187,6.34919,0.00512,-8.78932,-10.69227,7.24568,-32.05148,-12.65653,2.4749,0.02838,1.24403,6.54361
2885,-8.03717,-0.0,-0.0,-2.2876,0.0,0.0,-17.86246,-6.24886,1.21441,16.87542,-0.46416,-22.3132,-42.23418,-1.56795,0.00263,-24.3983,-2.61123,-0.00095,39.0408,12.93737,9.46155,10.12697,0.2029,-13.88242,34.19091,20.33196,-12.00124,46.5709,-11.08855,35.25277,132.40346,-0.01244,-93.43291,119.87087,-0.00197,107.85914,-3.50657,-15.38839,-0.0031,-7.48583,6.10298,0.00363,-8.68658,-10.83333,7.23662,-31.96148,-12.7826,2.40939,-0.14054,0.86572,6.60125
2886,-8.21499,-0.0,0.0,-2.14371,-0.0,0.0,-17.47741,-5.86251,0.66088,17.0271,-0.67134,-22.1741,-46.40182,-1.62196,0.00514,-24.92111,-2.56741,5e-05,41.1529,13.04301,9.35746,10.23216,-0.45366,-13.95319,35.14256,20.67812,-12.51708,47.41612,-11.20143,35.66132,132.70775,-0.00396,-92.33119,119.84509,-0.00195,107.97649,-3.27451,-15.97541,-0.01079,-7.507,5.95505,0.00116,-8.70363,-10.953,7.14455,-31.99078,-12.85679,2.27571,-0.35197,0.45809,6.65106
2887,-7.72244,-0.0,-0.0,-1.92001,0.0,-0.0,-16.70082,-5.55684,0.24249,17.19997,-0.81243,-21.98044,-50.62946,-1.67342,0.00833,-25.49497,-2.58246,0.00075,43.24837,13.09902,9.23001,10.31044,-1.14635,-14.09477,36.15855,20.98026,-13.06577,48.29327,-11.38044,35.99826,132.94138,0.00324,-92.09197,119.83838,-0.0012,107.90232,-2.7778,-16.74571,-0.01852,-7.22909,5.90419,-0.00074,-8.83105,-11.03222,6.93811,-32.12846,-12.84943,2.05266,-0.61678,0.02266,6.71704
2888,-6.69882,-0.0,-0.0,-1.6926,0.0,-0.0,-15.60836,-5.39623,0.02234,17.4222,-0.87723,-21.77186,-54.83057,-1.72159,0.00973,-26.1302,-2.63048,0.00077,45.3151,13.10113,9.0986,10.36145,-1.87791,-14.24839,37.22676,21.24659,-13.65701,49.16188,-11.64649,36.21593,133.09578,0.0059,-92.88034,119.87941,0.00101,107.48958,-2.04124,-17.53372,-0.01959,-6.57997,5.91716,-0.00066,-9.03047,-11.05828,6.60935,-32.33456,-12.74573,1.73819,-0.92747,-0.44101,6.79657
2889,-5.40852,0.0,-0.0,-1.528,-0.0,0.0,-14.26378,-5.39014,0.03238,17.70763,-0.86534,-21.61824,-58.95235,-1.74987,0.00651,-26.82966,-2.68246,0.00032,47.36524,13.04344,8.98275,10.38898,-2.64546,-14.35146,38.31708,21.49884,-14.29176,49.99259,-12.0044,36.30739,133.17358,0.00394,-94.46206,119.98812,0.00453,106.68913,-1.224,-18.13722,-0.01191,-5.58874,5.98363,0.0024,-9.24931,-11.03379,6.18307,-32.55579,-12.55771,1.35431,-1.26773,-0.93083,6.85853
2890,-4.02885,-0.0,-0.0,-1.43929,-0.0,-0.0,-12.73278,-5.49156,0.24857,18.04786,-0.77206,-21.56663,-62.96515,-1.72425,-0.00169,-27.57865,-2.7311,-5e-05,49.41359,12.92257,8.91591,10.38871,-3.44178,-14.38812,39.39342,21.76385,-14.94184,50.78254,-12.44123,36.31765,133.18802,0.00065,-96.1908,120.16611,0.00786,105.61678,-0.56474,-18.40855,-0.00206,-4.37792,6.14374,0.00761,-9.44003,-10.97851,5.71285,-32.74544,-12.32432,0.9426,-1.62705,-1.44151,6.85843
2891,-2.63564,0.0,0.0,-1.39537,0.0,-0.0,-11.06933,-5.61738,0.60842,18.42149,-0.59409,-21.62182,-66.84598,-1.61782,-0.01061,-28.34589,-2.78924,-8e-05,51.4604,12.74754,8.93439,10.34402,-4.25775,-14.38266,40.42953,22.06475,-15.55443,51.55814,-12.9343,36.32748,133.15991,-0.00069,-97.24661,120.39434,0.0091,104.46787,-0.27044,-18.31288,0.00112,-3.15785,6.44701,0.01137,-9.57666,-10.91931,5.26287,-32.87934,-12.09518,0.55143,-2.0087,-1.96651,6.76607
2892,-1.32097,0.0,0.0,-1.36225,-0.0,0.0,-9.29081,-5.69415,1.06175,18.80901,-0.35434,-21.77045,-70.56786,-1.44128,-0.01435,-29.09731,-2.8667,6e-05,53.49136,12.549,9.05036,10.23769,-5.08216,-14.34519,41.42094,22.41565,-16.08144,52.36219,-13.45942,36.41635,133.1109,0.00039,-96.99647,120.64156,0.00719,103.45509,-0.42289,-17.90897,-0.00479,-2.16406,6.911,0.01039,-9.6636,-10.87538,4.88328,-32.96359,-11.90738,0.2192,-2.42341,-2.49939,6.58829
