Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2001,-0.79422,6.97568,-3.67586,-80.92642,24.45043,6.81782,-6.43559,8.24859,-4.70206,-135.40128,65.98615,11.78352,-0.54532,14.06085,-4.83206,-54.29762,33.25475,6.38733,-171.47209,84.96957,8.12998,-6.17159,-16.59788,1.08931,1.49468,-1.12029,-1.52699,-0.5269,-0.60786,-0.1404,0.70299,-0.20051,-1.03479,-0.00861,-1.90347,0.4728,0.09463,0.10421,-0.21964,-0.0567,-0.12521,0.02435
2002,-0.81656,6.16933,-3.82482,-80.65834,24.38484,6.94749,-4.44369,7.04268,-4.99448,-142.23178,71.93501,12.63059,-0.93646,13.33398,-4.92711,-53.33569,32.37665,6.3584,-176.25606,92.43153,10.94486,-6.48676,-17.63212,3.55942,1.92873,-1.10576,0.20983,-0.9535,-1.48711,0.52721,-0.30731,-0.75332,0.40901,-0.0659,-1.87878,0.42527,-0.08075,0.08317,-0.00762,-0.05315,-0.1894,0.05928
2003,-2.00415,6.41397,-4.02339,-79.63931,24.08809,6.83143,-5.10734,9.86328,-5.01047,-143.04582,73.63898,12.3835,-1.31831,12.68328,-5.0728,-52.80022,31.621,6.26442,-176.08812,95.56107,11.19709,-9.69031,-10.37212,4.67338,3.35144,-1.36995,0.82725,-1.82977,-1.07253,0.87329,-0.56155,-1.22333,0.99643,-0.13723,-1.52498,0.3482,-0.07994,0.03072,0.07143,-0.05264,-0.18289,0.08207
2004,-3.4558,6.53935,-4.09465,-79.41868,23.89054,6.54321,-6.13978,12.09552,-4.53716,-141.04715,71.23798,10.72059,-1.61638,12.04238,-5.17047,-52.50995,30.94445,6.05435,-172.7373,91.51979,8.75128,-14.81722,-7.44845,5.83228,4.2229,-0.90161,0.47439,-2.51237,-0.05996,0.81677,0.0214,-1.23854,0.52118,-0.16578,-1.30696,0.38102,0.079,0.01904,-0.00027,-0.03517,-0.16664,0.13323
2005,-4.56782,6.5526,-4.07028,-79.99149,23.60132,6.08382,-8.6713,12.13916,-3.46622,-137.03334,67.81289,8.58563,-1.85452,11.44795,-5.21735,-52.30949,30.22663,5.70173,-169.01204,84.60133,5.62857,-11.43902,-16.95009,6.54231,3.98099,0.39126,0.66624,-3.60103,1.17201,0.42639,0.63089,-1.47143,0.06289,-0.31332,-1.43182,0.30672,0.19993,-0.06511,-0.01444,-0.03464,-0.18447,0.15745
2006,-5.31144,6.91519,-4.17556,-80.15488,23.52135,5.68244,-12.83996,12.54491,-3.03041,-132.11182,68.42119,8.60195,-2.12158,10.99331,-5.28084,-52.24831,29.5318,5.28733,-166.2435,86.0639,4.96873,-4.1754,-25.50891,6.34654,3.37293,1.31353,1.50158,-4.71681,1.767,0.05477,0.6195,-1.88912,0.27966,-0.55045,-1.78952,0.07901,0.14794,-0.19786,0.11716,-0.08789,-0.21079,0.08015
2007,-5.87586,7.25464,-4.47507,-80.04227,24.11398,5.55598,-15.87409,14.21421,-4.27839,-132.27901,73.88991,11.37258,-2.41713,10.68867,-5.38147,-52.47752,28.97253,4.85106,-169.1368,98.2783,7.08354,-4.05027,-19.47148,5.93093,3.03461,0.97147,1.54043,-4.56755,1.02476,0.01624,0.30123,-1.81705,0.50377,-0.6809,-2.07164,-0.06331,0.03598,-0.22728,0.19139,-0.18876,-0.21797,-0.06394
2008,-6.38539,7.14074,-4.79474,-80.894,24.08794,5.32649,-16.61752,15.87567,-6.35908,-142.53114,77.47642,13.34309,-2.63415,10.46285,-5.48451,-53.00909,28.49213,4.27371,-183.9164,108.72009,7.78672,-4.18014,-6.98896,5.05669,2.55809,-0.18611,0.23082,-3.20802,-0.31553,0.22734,0.19941,-1.11906,0.0156,-0.63301,-1.88615,-0.08413,0.01735,-0.10907,0.03172,-0.25681,-0.20244,-0.15798
2009,-7.36666,6.61228,-4.97315,-81.96833,22.22032,4.57384,-18.84524,16.05429,-7.64971,-156.77174,74.7826,11.90368,-2.78086,10.23918,-5.606,-53.58398,27.99651,3.54808,-206.99626,107.33995,5.0901,7.41515,-1.01113,3.54089,1.50036,-1.21733,-1.26869,-2.05711,-1.16533,0.66979,0.12947,-0.17515,-0.664,-0.39144,-1.18159,-0.1052,0.0289,0.09865,-0.21273,-0.16417,-0.15419,-0.10833
2010,-8.27157,6.16409,-5.04787,-82.04619,19.61737,3.50009,-21.99332,14.36157,-7.63063,-164.16933,69.24517,8.85234,-2.96947,10.01643,-5.72925,-53.96504,27.44895,2.79879,-219.95613,97.6655,2.21755,21.59309,-0.60037,3.39439,0.93694,-1.73297,-1.38851,-1.46015,-1.16568,1.24486,-0.14193,0.01744,-0.53142,0.117,-0.27277,-0.04729,-0.00366,0.20716,-0.25201,0.10998,-0.00952,0.03807
2011,-7.72358,6.53794,-5.18716,-81.2699,18.2532,2.5554,-19.58774,12.72303,-7.1199,-158.90471,64.4312,7.10748,-3.22603,9.88389,-5.78403,-54.18602,26.85411,2.07876,-204.43141,87.4401,1.10105,18.00328,-1.71553,5.60054,2.17471,-1.54273,0.10736,-0.65656,-0.54038,1.3233,-0.49476,-0.89363,0.48795,0.66146,0.18576,0.2289,-0.05369,0.10659,-0.02791,0.3266,0.16616,0.11987
2012,-6.4029,7.83014,-5.45359,-79.79901,18.31928,1.81546,-12.40323,13.06119,-6.94604,-143.95621,59.88271,6.64142,-3.43994,9.89848,-5.80014,-54.34179,26.22895,1.39873,-169.05331,79.22308,-0.34946,-4.17687,-7.33169,8.23901,4.39827,-0.44894,1.8857,-0.15067,0.05204,0.72124,-0.84855,-1.80072,1.45847,0.65952,-0.35577,0.56189,-0.12096,-0.03698,0.20768,0.22096,0.15558,0.07185
2013,-6.53206,8.65718,-5.63969,-78.04342,18.25165,1.03591,-9.67772,13.21779,-6.78322,-131.539,56.15787,5.36653,-3.46662,9.91275,-5.87577,-54.37077,25.50668,0.78495,-147.18051,73.07159,-2.62995,-22.21004,-17.55997,9.5673,5.31327,0.98486,2.43691,-0.67117,-0.01327,0.31985,-0.82643,-1.9819,1.29452,0.14718,-1.36514,0.74313,-0.12339,-0.10979,0.18619,-0.06863,-0.04844,0.01702
2014,-8.37078,7.85703,-5.58058,-76.74289,17.71654,0.27718,-14.81831,10.9117,-6.17697,-130.42805,56.96434,3.62441,-3.31408,9.69096,-6.01106,-54.12322,24.63232,0.25232,-154.46213,73.32296,-2.65792,-19.89739,-22.7306,9.29384,4.22329,1.59298,1.49624,-1.12257,-0.86381,0.87129,-0.28176,-1.55837,0.18862,-0.04076,-1.97055,0.97358,-0.01857,-0.13821,-0.02817,-0.17825,-0.26205,0.10979
2015,-9.94508,7.06268,-5.53535,-75.59408,17.71012,-0.16166,-21.52739,10.06354,-5.82731,-135.44376,61.3744,3.63759,-3.16042,9.27919,-6.10872,-53.56252,23.76672,-0.2341,-171.81081,82.25616,-0.38647,-7.38186,-16.6335,8.44558,3.01642,0.93251,0.52105,-0.66949,-1.62176,1.72655,-0.08445,-1.03398,-0.2011,0.33661,-1.90064,1.25872,0.00511,-0.17837,-0.07234,-0.06091,-0.34133,0.2631
