Unnamed: 0_level_0,FP1,FP1,FP1,FP2,FP2,FP2
ITEM,X,Y,Z,X,Y,Z
1796,0.0,0.0,-0.55307,0.0,0.0,-1.98026
1797,0.0,0.0,-0.5539,0.0,0.0,-1.97933
1798,0.0,0.0,-0.55478,0.0,0.0,-1.97843
1799,0.0,0.0,-0.55569,0.0,0.0,-1.97757
1800,0.0,0.0,-0.55663,0.0,0.0,-1.97673
1801,0.0,0.0,-0.5576,0.0,0.0,-1.97593
1802,0.0,0.0,-0.55861,0.0,0.0,-1.97516
1803,0.0,0.0,-0.55965,0.0,0.0,-1.97442
1804,0.0,0.0,-0.56072,0.0,0.0,-1.97372
1805,0.0,0.0,-0.56182,0.0,0.0,-1.97304
1806,0.0,0.0,-0.56294,0.0,0.0,-1.97239
1807,0.0,0.0,-0.5641,0.0,0.0,-1.97177
1808,0.0,0.0,-0.56528,0.0,0.0,-1.97118
1809,0.0,0.0,-0.56649,0.0,0.0,-1.97061
1810,0.0,0.0,-0.56772,0.0,0.0,-1.97007
1811,0.0,0.0,-0.56898,0.0,0.0,-1.96956
1812,0.0,0.0,-0.57026,0.0,0.0,-1.96906
1813,0.0,0.0,-0.57157,0.0,0.0,-1.96859
1814,0.0,0.0,-0.5729,0.0,0.0,-1.96813
1815,0.0,0.0,-0.57424,0.0,0.0,-1.96769
1816,0.0,0.0,-0.57561,0.0,0.0,-1.96727
1817,0.0,0.0,-0.57699,0.0,0.0,-1.96685
1818,0.0,0.0,-0.5784,0.0,0.0,-1.96645
1819,0.0,0.0,-0.57981,0.0,0.0,-1.96606
1820,0.0,0.0,-0.58125,0.0,0.0,-1.96567
1821,0.0,0.0,-0.58269,0.0,0.0,-1.96529
1822,0.0,0.0,-0.58415,0.0,0.0,-1.96491
1823,0.0,0.0,-0.58562,0.0,0.0,-1.96453
1824,0.0,0.0,-0.58711,0.0,0.0,-1.96416
1825,0.0,0.0,-0.5886,0.0,0.0,-1.96378
1826,0.0,0.0,-0.59009,0.0,0.0,-1.9634
1827,0.0,0.0,-0.5916,0.0,0.0,-1.96301
1828,0.0,0.0,-0.5931,0.0,0.0,-1.96262
1829,0.0,0.0,-0.59462,0.0,0.0,-1.96222
1830,0.0,0.0,-0.59613,0.0,0.0,-1.96182
1831,0.0,0.0,-0.59765,0.0,0.0,-1.9614
1832,0.0,0.0,-0.59916,0.0,0.0,-1.96098
1833,0.0,0.0,-0.60067,0.0,0.0,-1.96055
1834,0.0,0.0,-0.60217,0.0,0.0,-1.96011
1835,0.0,0.0,-0.60367,0.0,0.0,-1.95966
1836,0.0,0.0,-0.60516,0.0,0.0,-1.9592
1837,0.0,0.0,-0.60664,0.0,0.0,-1.95873
1838,0.0,0.0,-0.60811,0.0,0.0,-1.95824
1839,0.0,0.0,-0.60957,0.0,0.0,-1.95775
1840,0.0,0.0,-0.61101,0.0,0.0,-1.95725
1841,0.0,0.0,-0.61243,0.0,0.0,-1.95673
1842,0.0,0.0,-0.61383,0.0,0.0,-1.95621
1843,0.0,0.0,-0.61521,0.0,0.0,-1.95568
1844,0.0,0.0,-0.61657,0.0,0.0,-1.95514
1845,0.0,0.0,-0.6179,0.0,0.0,-1.95459
1846,0.0,0.0,-0.61921,0.0,0.0,-1.95403
1847,0.0,0.0,-0.62048,0.0,0.0,-1.95346
1848,0.0,0.0,-0.62173,0.0,0.0,-1.95288
1849,0.0,0.0,-0.62295,0.0,0.0,-1.9523
1850,0.0,0.0,-0.62413,0.0,0.0,-1.95171
1851,0.0,0.0,-0.62527,0.0,0.0,-1.95112
1852,0.0,0.0,-0.62638,0.0,0.0,-1.95052
1853,0.0,0.0,-0.62746,0.0,0.0,-1.94992
1854,0.0,0.0,-0.62849,0.0,0.0,-1.94931
1855,0.0,0.0,-0.62948,0.0,0.0,-1.9487
1856,0.0,0.0,-0.63042,0.0,0.0,-1.94809
1857,0.0,0.0,-0.63132,0.0,0.0,-1.94748
1858,0.0,0.0,-0.63218,0.0,0.0,-1.94686
1859,0.0,0.0,-0.63299,0.0,0.0,-1.94624
1860,0.0,0.0,-0.63376,0.0,0.0,-1.94562
1861,0.0,0.0,-0.63448,0.0,0.0,-1.94499
1862,0.0,0.0,-0.63516,0.0,0.0,-1.94437
1863,0.0,0.0,-0.63578,0.0,0.0,-1.94373
1864,0.0,0.0,-0.63636,0.0,0.0,-1.9431
1865,0.0,0.0,-0.6369,0.0,0.0,-1.94246
1866,0.0,0.0,-0.63738,0.0,0.0,-1.94182
1867,0.0,0.0,-0.63782,0.0,0.0,-1.94117
1868,0.0,0.0,-0.6382,0.0,0.0,-1.94052
1869,0.0,0.0,-0.63854,0.0,0.0,-1.93987
1870,0.0,0.0,-0.63883,0.0,0.0,-1.93921
1871,0.0,0.0,-0.63907,0.0,0.0,-1.93855
1872,0.0,0.0,-0.63926,0.0,0.0,-1.93788
1873,0.0,0.0,-0.6394,0.0,0.0,-1.93721
1874,0.0,0.0,-0.63949,0.0,0.0,-1.93654
1875,0.0,0.0,-0.63953,0.0,0.0,-1.93586
1876,0.0,0.0,-0.63952,0.0,0.0,-1.93518
1877,0.0,0.0,-0.63946,0.0,0.0,-1.9345
1878,0.0,0.0,-0.63936,0.0,0.0,-1.93381
1879,0.0,0.0,-0.6392,0.0,0.0,-1.93312
1880,0.0,0.0,-0.639,0.0,0.0,-1.93242
1881,0.0,0.0,-0.63876,0.0,0.0,-1.93173
1882,0.0,0.0,-0.63847,0.0,0.0,-1.93103
1883,0.0,0.0,-0.63814,0.0,0.0,-1.93032
1884,0.0,0.0,-0.63776,0.0,0.0,-1.92962
1885,0.0,0.0,-0.63734,0.0,0.0,-1.92891
1886,0.0,0.0,-0.63688,0.0,0.0,-1.9282
1887,0.0,0.0,-0.63638,0.0,0.0,-1.92748
1888,0.0,0.0,-0.63584,0.0,0.0,-1.92677
1889,0.0,0.0,-0.63527,0.0,0.0,-1.92605
1890,0.0,0.0,-0.63465,0.0,0.0,-1.92532
1891,0.0,0.0,-0.634,0.0,0.0,-1.92459
1892,0.0,0.0,-0.63331,0.0,0.0,-1.92386
1893,0.0,0.0,-0.63258,0.0,0.0,-1.92312
1894,0.0,0.0,-0.63183,0.0,0.0,-1.92238
1895,0.0,0.0,-0.63104,0.0,0.0,-1.92163
1896,0.0,0.0,-0.63021,0.0,0.0,-1.92088
1897,0.0,0.0,-0.62936,0.0,0.0,-1.92012
1898,0.0,0.0,-0.62848,0.0,0.0,-1.91935
1899,0.0,0.0,-0.62756,0.0,0.0,-1.91858
1900,0.0,0.0,-0.62662,0.0,0.0,-1.91781
1901,0.0,0.0,-0.62565,0.0,0.0,-1.91702
1902,0.0,0.0,-0.62466,0.0,0.0,-1.91623
1903,0.0,0.0,-0.62364,0.0,0.0,-1.91543
1904,0.0,0.0,-0.62259,0.0,0.0,-1.91463
1905,0.0,0.0,-0.62152,0.0,0.0,-1.91381
1906,0.0,0.0,-0.62043,0.0,0.0,-1.91299
1907,0.0,0.0,-0.61932,0.0,0.0,-1.91216
1908,0.0,0.0,-0.61819,0.0,0.0,-1.91132
1909,0.0,0.0,-0.61704,0.0,0.0,-1.91048
1910,0.0,0.0,-0.61587,0.0,0.0,-1.90962
1911,0.0,0.0,-0.61469,0.0,0.0,-1.90876
1912,0.0,0.0,-0.61349,0.0,0.0,-1.90789
1913,0.0,0.0,-0.61228,0.0,0.0,-1.90701
1914,0.0,0.0,-0.61106,0.0,0.0,-1.90612
1915,0.0,0.0,-0.60983,0.0,0.0,-1.90523
1916,0.0,0.0,-0.60859,0.0,0.0,-1.90433
1917,0.0,0.0,-0.60735,0.0,0.0,-1.90342
1918,0.0,0.0,-0.6061,0.0,0.0,-1.90251
1919,0.0,0.0,-0.60485,0.0,0.0,-1.90159
1920,0.0,0.0,-0.6036,0.0,0.0,-1.90066
1921,0.0,0.0,-0.60234,0.0,0.0,-1.89973
1922,0.0,0.0,-0.6011,0.0,0.0,-1.8988
1923,0.0,0.0,-0.59985,0.0,0.0,-1.89785
1924,0.0,0.0,-0.59861,0.0,0.0,-1.8969
1925,0.0,0.0,-0.59738,0.0,0.0,-1.89595
1926,0.0,0.0,-0.59616,0.0,0.0,-1.89499
1927,0.0,0.0,-0.59495,0.0,0.0,-1.89402
1928,0.0,0.0,-0.59375,0.0,0.0,-1.89304
1929,0.0,0.0,-0.59257,0.0,0.0,-1.89207
1930,0.0,0.0,-0.5914,0.0,0.0,-1.89108
1931,0.0,0.0,-0.59025,0.0,0.0,-1.89009
1932,0.0,0.0,-0.58911,0.0,0.0,-1.88911
1933,0.0,0.0,-0.58799,0.0,0.0,-1.88811
1934,0.0,0.0,-0.58689,0.0,0.0,-1.88712
1935,0.0,0.0,-0.58581,0.0,0.0,-1.88613
1936,0.0,0.0,-0.58474,0.0,0.0,-1.88513
1937,0.0,0.0,-0.5837,0.0,0.0,-1.88414
1938,0.0,0.0,-0.58267,0.0,0.0,-1.88315
1939,0.0,0.0,-0.58167,0.0,0.0,-1.88217
1940,0.0,0.0,-0.58068,0.0,0.0,-1.88119
