	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
86	0.05684	0.07187	0.01103	0.13811	0.42575	0.01254
87	0.05683	0.07182	0.01091	0.13811	0.42582	0.01259
88	0.05699	0.07175	0.01064	0.13787	0.42610	0.01260
89	0.05718	0.07168	0.01041	0.13761	0.42646	0.01254
90	0.05725	0.07163	0.01043	0.13761	0.42664	0.01248
91	0.05715	0.07173	0.01063	0.13786	0.42652	0.01253
92	0.05698	0.07202	0.01075	0.13809	0.42622	0.01271
93	0.05690	0.07230	0.01060	0.13810	0.42592	0.01296
94	0.05692	0.07235	0.01028	0.13802	0.42573	0.01322
95	0.05698	0.07220	0.00999	0.13802	0.42564	0.01341
96	0.05700	0.07211	0.00984	0.13806	0.42561	0.01345
97	0.05695	0.07221	0.00977	0.13807	0.42561	0.01330
98	0.05690	0.07237	0.00970	0.13797	0.42567	0.01299
99	0.05688	0.07240	0.00962	0.13778	0.42580	0.01269
100	0.05686	0.07228	0.00962	0.13756	0.42593	0.01258
101	0.05682	0.07210	0.00977	0.13747	0.42599	0.01272
102	0.05678	0.07193	0.00999	0.13768	0.42599	0.01292
103	0.05673	0.07184	0.01012	0.13813	0.42592	0.01306
104	0.05664	0.07191	0.01005	0.13839	0.42576	0.01314
105	0.05658	0.07205	0.00988	0.13817	0.42558	0.01325
106	0.05662	0.07209	0.00980	0.13764	0.42551	0.01342
107	0.05677	0.07196	0.00988	0.13714	0.42560	0.01357
108	0.05695	0.07179	0.01005	0.13686	0.42573	0.01362
109	0.05709	0.07171	0.01015	0.13675	0.42578	0.01359
110	0.05718	0.07169	0.01013	0.13670	0.42567	0.01363
111	0.05721	0.07162	0.01001	0.13676	0.42544	0.01383
112	0.05725	0.07150	0.00989	0.13697	0.42527	0.01412
113	0.05734	0.07145	0.00982	0.13721	0.42534	0.01431
114	0.05744	0.07156	0.00975	0.13734	0.42567	0.01432
115	0.05751	0.07175	0.00968	0.13738	0.42609	0.01425
116	0.05752	0.07189	0.00967	0.13736	0.42634	0.01426
117	0.05745	0.07195	0.00976	0.13731	0.42630	0.01436
118	0.05730	0.07198	0.00990	0.13724	0.42607	0.01444
119	0.05711	0.07206	0.01004	0.13726	0.42587	0.01448
120	0.05698	0.07215	0.01015	0.13754	0.42579	0.01460
121	0.05691	0.07222	0.01024	0.13808	0.42584	0.01488
122	0.05675	0.07228	0.01038	0.13847	0.42597	0.01528
