	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.27710	0.15176	0.00961	0.11831	0.67289	0.00889	0.22859	0.13781	0.01321	0.12265	0.62257	0.01210	0.23862	0.12462	0.01946	0.11858	0.62758	0.01979	0.05524	0.07240	0.02267	0.13677	0.42626	0.02026
2	0.27715	0.15212	0.00967	0.11874	0.67290	0.00904	0.22866	0.13810	0.01319	0.12304	0.62258	0.01231	0.23872	0.12497	0.01950	0.11894	0.62758	0.01999	0.05545	0.07242	0.02328	0.13708	0.42625	0.02030
3	0.27732	0.15244	0.00954	0.11900	0.67284	0.00901	0.22884	0.13837	0.01312	0.12325	0.62254	0.01258	0.23893	0.12530	0.01952	0.11913	0.62753	0.02025	0.05573	0.07248	0.02356	0.13722	0.42620	0.02032
4	0.27747	0.15246	0.00931	0.11895	0.67284	0.00888	0.22900	0.13839	0.01303	0.12313	0.62256	0.01286	0.23907	0.12535	0.01950	0.11901	0.62754	0.02054	0.05588	0.07253	0.02336	0.13705	0.42620	0.02023
5	0.27748	0.15209	0.00914	0.11854	0.67294	0.00882	0.22898	0.13811	0.01286	0.12271	0.62268	0.01302	0.23902	0.12505	0.01936	0.11857	0.62765	0.02070	0.05573	0.07253	0.02290	0.13665	0.42632	0.02006
6	0.27732	0.15161	0.00914	0.11800	0.67308	0.00890	0.22878	0.13773	0.01266	0.12219	0.62281	0.01302	0.23879	0.12464	0.01914	0.11803	0.62777	0.02070	0.05538	0.07252	0.02260	0.13628	0.42645	0.01991
7	0.27717	0.15136	0.00923	0.11772	0.67314	0.00899	0.22861	0.13754	0.01262	0.12194	0.62287	0.01300	0.23861	0.12441	0.01902	0.11774	0.62782	0.02067	0.05514	0.07253	0.02273	0.13613	0.42651	0.01986
8	0.27713	0.15147	0.00921	0.11793	0.67312	0.00897	0.22859	0.13761	0.01276	0.12211	0.62285	0.01304	0.23862	0.12446	0.01907	0.11789	0.62780	0.02069	0.05519	0.07247	0.02320	0.13618	0.42649	0.01992
9	0.27708	0.15177	0.00906	0.11838	0.67308	0.00894	0.22859	0.13780	0.01288	0.12249	0.62280	0.01296	0.23868	0.12464	0.01912	0.11829	0.62777	0.02061	0.05536	0.07230	0.02368	0.13620	0.42642	0.02000
