Unnamed: 0_level_0,R_HEEL,R_HEEL,R_HEEL,L_HEEL,L_HEEL,L_HEEL
ITEM,X,Y,Z,X,Y,Z
2090,0.01081,0.23115,0.01066,0.05331,0.8982,0.25895
2091,0.01084,0.23083,0.01068,0.0489,0.87122,0.25116
2092,0.01092,0.23051,0.0108,0.04458,0.84615,0.24362
2093,0.01107,0.23022,0.01097,0.04051,0.82289,0.23589
2094,0.01127,0.22995,0.01116,0.03689,0.8011,0.22769
2095,0.01151,0.22971,0.01136,0.03385,0.7804,0.21892
2096,0.01176,0.22944,0.01156,0.03147,0.76051,0.20971
2097,0.01199,0.22909,0.01175,0.02971,0.74128,0.20028
2098,0.0122,0.22862,0.01194,0.02846,0.72273,0.19086
2099,0.01238,0.22808,0.01213,0.02754,0.70493,0.18166
2100,0.01255,0.22755,0.01235,0.02676,0.688,0.17277
2101,0.01268,0.22712,0.01261,0.02598,0.67204,0.1642
2102,0.01278,0.22684,0.01293,0.02517,0.65708,0.15586
2103,0.01286,0.22671,0.01332,0.0244,0.64313,0.14757
2104,0.01292,0.22666,0.01375,0.02379,0.63018,0.13916
2105,0.01293,0.22666,0.01418,0.02346,0.61826,0.13047
2106,0.01292,0.22673,0.01456,0.02348,0.60742,0.12147
2107,0.0129,0.22686,0.01486,0.02386,0.59775,0.11218
2108,0.01288,0.22701,0.01509,0.02454,0.58929,0.1027
2109,0.01288,0.22712,0.01528,0.02543,0.58207,0.09319
2110,0.0129,0.22716,0.01547,0.02641,0.57605,0.08382
2111,0.01296,0.22709,0.01567,0.02739,0.57116,0.07479
2112,0.01305,0.22692,0.0159,0.02827,0.56733,0.06633
2113,0.01312,0.22671,0.01615,0.02895,0.56446,0.05868
2114,0.01316,0.2265,0.01644,0.02934,0.56245,0.05201
2115,0.01312,0.22636,0.0168,0.0294,0.56115,0.04643
2116,0.01298,0.2263,0.0172,0.02911,0.56042,0.04189
2117,0.01277,0.22635,0.01762,0.02845,0.56015,0.0383
2118,0.01253,0.22649,0.018,0.02749,0.56023,0.03545
2119,0.01231,0.22669,0.01826,0.02632,0.56057,0.03313
2120,0.01216,0.22692,0.01839,0.02508,0.56108,0.0312
2121,0.01208,0.22712,0.01842,0.02391,0.56166,0.02955
2122,0.01207,0.22728,0.01843,0.0229,0.56222,0.02813
2123,0.01212,0.22736,0.01851,0.02205,0.56272,0.02693
2124,0.0122,0.22734,0.01872,0.02135,0.56313,0.02594
2125,0.01229,0.22723,0.01903,0.02077,0.56345,0.02512
2126,0.01238,0.22707,0.01937,0.02028,0.56371,0.02445
2127,0.01245,0.22689,0.0197,0.0199,0.5639,0.02391
2128,0.01248,0.22676,0.02001,0.01963,0.56401,0.02346
2129,0.01248,0.22669,0.0203,0.01945,0.56404,0.02304
2130,0.01245,0.2267,0.02056,0.01938,0.56398,0.02259
2131,0.01242,0.22676,0.0208,0.01939,0.56385,0.02209
2132,0.0124,0.22684,0.02102,0.01945,0.5637,0.02154
2133,0.01237,0.22691,0.02126,0.0195,0.5636,0.02098
2134,0.0123,0.22694,0.02159,0.01951,0.5636,0.02045
2135,0.01219,0.22692,0.02204,0.01952,0.56369,0.01998
2136,0.01205,0.22685,0.02259,0.01958,0.56381,0.01955
2137,0.0119,0.22676,0.02319,0.01974,0.56389,0.01915
2138,0.01178,0.22666,0.02376,0.01997,0.56392,0.01878
2139,0.0117,0.22659,0.02421,0.02022,0.56391,0.01842
2140,0.01167,0.22658,0.02452,0.02042,0.56391,0.01812
2141,0.01169,0.22663,0.0247,0.02056,0.56391,0.01785
2142,0.01174,0.22674,0.02477,0.02064,0.56392,0.01762
2143,0.01179,0.2269,0.02479,0.02064,0.5639,0.01739
2144,0.01182,0.22708,0.02479,0.02056,0.56385,0.01715
2145,0.01183,0.22725,0.0248,0.02041,0.56376,0.01692
2146,0.01181,0.22734,0.02479,0.02023,0.56365,0.01672
2147,0.01179,0.22733,0.02478,0.02006,0.56354,0.01655
2148,0.01179,0.22721,0.02475,0.01996,0.56345,0.01642
2149,0.01182,0.22701,0.02471,0.01993,0.56337,0.01631
2150,0.01188,0.22675,0.02467,0.01998,0.56328,0.01621
2151,0.01199,0.22648,0.0246,0.02008,0.56315,0.01611
2152,0.01213,0.22622,0.02454,0.02017,0.56296,0.01599
2153,0.0123,0.22598,0.0245,0.02023,0.56272,0.01588
2154,0.01249,0.22576,0.0245,0.02022,0.56247,0.01579
2155,0.01269,0.22554,0.02458,0.02015,0.56226,0.01573
2156,0.01285,0.22533,0.02476,0.02003,0.56211,0.01571
2157,0.01296,0.22514,0.02503,0.01988,0.56206,0.0157
2158,0.01301,0.22497,0.02537,0.01971,0.56211,0.0157
2159,0.01301,0.22483,0.02573,0.01953,0.56223,0.01571
2160,0.01301,0.22473,0.02605,0.01934,0.56237,0.01572
2161,0.01304,0.22465,0.02629,0.01915,0.56248,0.01573
2162,0.01312,0.22458,0.02641,0.01896,0.56251,0.01575
2163,0.01327,0.22451,0.02643,0.01878,0.56249,0.01576
2164,0.01347,0.22441,0.02639,0.01861,0.56243,0.01579
2165,0.01367,0.22427,0.02634,0.01847,0.56235,0.01584
2166,0.01384,0.2241,0.02631,0.01836,0.56228,0.01593
2167,0.01396,0.22391,0.02632,0.01824,0.56221,0.01607
2168,0.014,0.22374,0.02635,0.0181,0.56216,0.01623
2169,0.01397,0.2236,0.02639,0.01795,0.56213,0.01639
2170,0.01389,0.2235,0.02638,0.0178,0.56209,0.01651
2171,0.01378,0.22343,0.02628,0.01769,0.56201,0.01657
2172,0.01366,0.22338,0.02605,0.01761,0.5619,0.01658
2173,0.01357,0.22333,0.02567,0.01756,0.56176,0.01658
2174,0.01352,0.22328,0.0252,0.01749,0.56162,0.0166
2175,0.01351,0.2232,0.02468,0.01739,0.56147,0.01662
2176,0.01353,0.22307,0.02417,0.01728,0.56132,0.01666
2177,0.01352,0.22288,0.02372,0.01714,0.56119,0.0167
2178,0.01348,0.22264,0.02331,0.017,0.56109,0.01675
2179,0.0134,0.22236,0.0229,0.01691,0.561,0.01678
2180,0.01329,0.22206,0.02246,0.01692,0.56093,0.0168
2181,0.01316,0.22177,0.022,0.01702,0.56085,0.01679
2182,0.013,0.22151,0.02155,0.01719,0.56077,0.0168
2183,0.01283,0.22131,0.02118,0.01733,0.56067,0.01683
2184,0.01266,0.22119,0.02093,0.01742,0.56057,0.0169
2185,0.01251,0.22115,0.02082,0.01742,0.56047,0.01701
2186,0.0124,0.22114,0.02082,0.01737,0.56036,0.01714
2187,0.01234,0.2211,0.0209,0.01726,0.56027,0.01726
2188,0.01233,0.22097,0.02099,0.01713,0.56021,0.01738
2189,0.01235,0.2207,0.02102,0.01698,0.56017,0.01747
2190,0.01241,0.22032,0.02095,0.01685,0.56017,0.01752
2191,0.0125,0.21991,0.02074,0.01677,0.5602,0.01749
2192,0.0126,0.21953,0.02041,0.01676,0.56023,0.01736
2193,0.01273,0.21924,0.02003,0.01679,0.56026,0.01715
2194,0.0129,0.21904,0.01967,0.01685,0.56024,0.01691
2195,0.0131,0.21893,0.01936,0.01693,0.56017,0.01665
2196,0.01331,0.21886,0.0191,0.01703,0.56004,0.01642
2197,0.01352,0.21876,0.01885,0.01716,0.55987,0.01623
2198,0.01368,0.2186,0.01856,0.0173,0.55969,0.01609
2199,0.0138,0.21837,0.01822,0.01745,0.55954,0.01597
2200,0.01388,0.21812,0.01784,0.01758,0.55942,0.01586
2201,0.01391,0.2179,0.01742,0.0177,0.55935,0.01576
2202,0.01389,0.21779,0.01698,0.01779,0.55933,0.01566
2203,0.01383,0.2178,0.01654,0.01788,0.55934,0.01556
2204,0.01374,0.21791,0.01609,0.01801,0.55936,0.01544
2205,0.01363,0.21804,0.01569,0.01817,0.55937,0.01531
2206,0.01349,0.21814,0.01538,0.01833,0.55932,0.0152
2207,0.01332,0.2182,0.01518,0.01845,0.55922,0.01514
2208,0.01312,0.21824,0.01508,0.0185,0.55904,0.01514
2209,0.01291,0.21829,0.01501,0.01851,0.5588,0.01521
2210,0.01274,0.21834,0.01494,0.01849,0.55856,0.01536
2211,0.01265,0.21835,0.01483,0.01847,0.55832,0.01555
2212,0.01263,0.2183,0.01467,0.01847,0.55814,0.01577
2213,0.01269,0.21819,0.01449,0.0185,0.558,0.01599
2214,0.01278,0.218,0.01429,0.01859,0.5579,0.01618
2215,0.01286,0.21779,0.01408,0.01872,0.55778,0.01633
2216,0.0129,0.21761,0.01383,0.01888,0.55765,0.01644
2217,0.01291,0.2175,0.01351,0.01906,0.55751,0.01652
2218,0.01292,0.21748,0.01312,0.01921,0.5574,0.0166
2219,0.01296,0.21752,0.01272,0.01932,0.55733,0.01674
2220,0.01302,0.21758,0.01238,0.01936,0.55733,0.01697
2221,0.01308,0.2176,0.01217,0.01934,0.55734,0.01734
2222,0.01311,0.21755,0.01211,0.01926,0.55734,0.01784
2223,0.0131,0.21742,0.01218,0.0192,0.55729,0.01842
2224,0.01307,0.21724,0.01231,0.01921,0.55722,0.019
2225,0.01303,0.21704,0.01243,0.0193,0.55718,0.01952
2226,0.01299,0.21689,0.01253,0.01942,0.55721,0.02
2227,0.01295,0.2168,0.01261,0.01949,0.55732,0.02047
2228,0.01293,0.21677,0.01265,0.01951,0.55747,0.02095
2229,0.01293,0.2168,0.01262,0.01953,0.55761,0.02146
2230,0.01294,0.21684,0.01254,0.01958,0.55771,0.022
2231,0.01294,0.21689,0.01244,0.01967,0.55776,0.02264
2232,0.01293,0.21696,0.01236,0.01978,0.55777,0.02342
2233,0.0129,0.21705,0.01232,0.01988,0.55777,0.02438
2234,0.01286,0.21718,0.01232,0.01997,0.55778,0.02552
2235,0.01282,0.21734,0.01237,0.02004,0.55784,0.02677
2236,0.01279,0.21748,0.01244,0.02007,0.55795,0.0281
2237,0.01276,0.21757,0.01254,0.02006,0.5581,0.02946
2238,0.01274,0.21762,0.01262,0.02002,0.55829,0.03078
2239,0.01273,0.21766,0.01267,0.01997,0.55849,0.03204
2240,0.01273,0.21771,0.01267,0.01991,0.55868,0.03328
2241,0.01274,0.21776,0.01268,0.01985,0.55886,0.03457
2242,0.01274,0.21777,0.01273,0.01976,0.55903,0.03598
2243,0.01274,0.21776,0.01286,0.01965,0.55922,0.03752
2244,0.01275,0.21772,0.01304,0.01955,0.55945,0.03913
2245,0.01278,0.21768,0.01323,0.01947,0.55971,0.04076
2246,0.01284,0.21765,0.01341,0.01938,0.56,0.04235
2247,0.01291,0.21764,0.01354,0.01925,0.56032,0.04387
2248,0.01298,0.21766,0.01361,0.01903,0.56068,0.04528
2249,0.01305,0.21768,0.01362,0.01867,0.56111,0.04659
2250,0.01312,0.21771,0.01361,0.01815,0.56161,0.04782
2251,0.01318,0.21774,0.0136,0.0175,0.56219,0.04899
2252,0.01323,0.21777,0.01359,0.01681,0.56283,0.0501
2253,0.01326,0.2178,0.0136,0.01614,0.5635,0.05115
2254,0.01327,0.21782,0.01362,0.01554,0.56419,0.05215
2255,0.01325,0.21782,0.01364,0.01499,0.56487,0.0531
2256,0.01324,0.21783,0.01365,0.01445,0.56555,0.05399
2257,0.01323,0.21787,0.01364,0.01387,0.56625,0.05484
2258,0.01324,0.21799,0.01359,0.01323,0.56697,0.05567
2259,0.01324,0.21817,0.0135,0.01254,0.56773,0.05648
2260,0.01322,0.21838,0.01342,0.0118,0.56852,0.05725
2261,0.01314,0.21857,0.01338,0.01099,0.56936,0.05799
2262,0.01302,0.2187,0.0134,0.01012,0.57021,0.05868
