R_HEEL,R_HEEL,R_HEEL,L_HEEL,L_HEEL,L_HEEL
X,Y,Z,X,Y,Z
0.028100000000000007,-0.004910000000000002,0.01179,0.07792000000000002,0.44956000000000007,0.017720000000000007
0.02812508637309171,-0.004534326628578844,0.01270530903104233,0.07780119828654497,0.4489935100591876,0.018624578095208087
0.027723416703158067,-0.00471575592582886,0.01245564546062574,0.07969024196727226,0.4488690155852175,0.019391312278503946
0.027982290543595256,-0.005091623624580688,0.012468061079941582,0.08027738818818092,0.44914051299115865,0.01945045140337529
0.028072046407971004,-0.005393292407035888,0.011593003777072555,0.07896357431857397,0.44956466866911393,0.018794109165101866
0.027427247465310108,-0.005877227411765461,0.011764170455211673,0.07915714450789105,0.44925662588757803,0.019121246546793393
0.026933419006685843,-0.00543285679369066,0.012092243264149642,0.0796989059279463,0.45017883766580385,0.01913637342482158
0.02683049262479126,-0.004739314735719524,0.012421849520955793,0.08029442339097055,0.4496148019789673,0.01966823611393987
0.02608111770407715,-0.005813751232187768,0.013359516281327043,0.08170343856308611,0.4501294027636049,0.020598176778671262
0.02687290764583514,-0.006346661421810088,0.013960412406207188,0.08111861328614633,0.4501729506927123,0.020585777199114457
0.026355358549363578,-0.0054038370722240565,0.016191031453689865,0.08083889071249827,0.45052880963976066,0.01987964910542713
0.02664527748396816,-0.005061932948069612,0.019097603631239395,0.08129739174030154,0.45006915414657983,0.017723188843968046
0.026887776900836824,-0.004926925012050382,0.023646010931246637,0.08121793644712456,0.4499436943108507,0.014979753802877796
0.027694424307921944,-0.006004432545375318,0.03162955266849715,0.08215753120833043,0.4498318868916213,0.013758535549739662
0.03110832806260161,-0.008971653322226346,0.04418770808189206,0.08228879906897525,0.44888900454428643,0.014028744246972879
0.036929491365552174,-0.011225556352510426,0.060258355905776946,0.08200213618124912,0.4487652187315474,0.013216734707804127
0.044483078606768825,-0.008769986365893776,0.08154442631658487,0.080322746866848,0.44917861822222566,0.012454433073346139
0.05659999999999999,0.0042699999999999995,0.11114999999999998,0.08121,0.44914,0.013830000000000002
0.07605208336091762,0.02731169370639315,0.14658637534275296,0.0813220492843886,0.45029411560243765,0.012383023961256304
0.10017589102978307,0.06508176501508066,0.18149475414898536,0.08197082970934773,0.4495985588872647,0.011206586352261771
0.1248036250339528,0.1096016567979382,0.20495721688080218,0.08168267129145534,0.44881651898913,0.012547138681711261
0.14711151930156202,0.1688822040477695,0.226441973454575,0.08140608944950191,0.44823833205915065,0.013825661804523902
0.16955758829972284,0.2393515039217786,0.2401481851998482,0.08173716922037563,0.44776641431926384,0.013725801881626974
0.1898151928873312,0.3208518085287537,0.2513582615963894,0.08292401335520924,0.44831120739472424,0.012732486066812166
0.2033906179310703,0.4081388148141474,0.27073148716905093,0.0845746861035514,0.4482667717608505,0.012838477749799734
0.2146444885065053,0.5084135610820976,0.2885523409897336,0.08580237003193364,0.4481024752812067,0.012274135007994553
0.2186315669582368,0.6203397309422066,0.3144550877799973,0.08572751937825154,0.44791111763739194,0.010659713391233658
0.22135493804148748,0.7350292233238674,0.34937710531903376,0.08593821301656962,0.44812774925825705,0.009049307684627536
0.21856571333009367,0.8518911667407377,0.39777005373338237,0.08651576537354558,0.4482345095394385,0.009340351291802294
0.2155865071962149,0.9590857727562432,0.4574777527625762,0.08672695907925772,0.44887236388365875,0.007702415354259283
0.2083627945860049,1.059210730955278,0.5272184361199247,0.08686704861370928,0.44859393438540796,0.007438228120767409
