FP1,FP1,FP1,FP2,FP2,FP2
X,Y,Z,X,Y,Z
0.0,0.0,-1.1010550000000001,0.0,0.0,-1.5475475000000007
0.0,0.0,-1.0818475238680783,0.0,0.0,-1.5580095351244845
0.0,0.0,-1.060486091609616,0.0,0.0,-1.556122496965481
0.0,0.0,-1.036162563249324,0.0,0.0,-1.545131254753983
0.0,0.0,-1.0116906655227151,0.0,0.0,-1.5305448705786255
0.0,0.0,-0.989913452095767,0.0,0.0,-1.5163878100294879
0.0,0.0,-0.9673077365844774,0.0,0.0,-1.5037478371114055
0.0,0.0,-0.9390745288205679,0.0,0.0,-1.4912085435477573
0.0,0.0,-0.9068584433387803,0.0,0.0,-1.477072992008792
0.0,0.0,-0.8751141503288039,0.0,0.0,-1.462418055171694
0.0,0.0,-0.8471045948618243,0.0,0.0,-1.4379842218323005
0.0,0.0,-0.8246190786890337,0.0,0.0,-1.4255340373072098
0.0,0.0,-0.8061878550524596,0.0,0.0,-1.4035601845916883
0.0,0.0,-0.7892497142927135,0.0,0.0,-1.376078054175813
0.0,0.0,-0.7722458186882184,0.0,0.0,-1.338326632211048
0.0,0.0,-0.7558552155715966,0.0,0.0,-1.3222218771993448
0.0,0.0,-0.7431229671770156,0.0,0.0,-1.268332879271134
0.0,0.0,-0.7348555452256467,0.0,0.0,-2.0338545033731212
0.0,0.0,-0.7315181331763991,0.0,0.0,-1.185502284300429
0.0,0.0,-0.7320391178171664,0.0,0.0,-1.2565844922593468
0.0,0.0,-0.735777973116581,0.0,0.0,-1.2280369041939008
0.0,0.0,-0.7449559410066471,0.0,0.0,-1.2615150999439588
0.0,0.0,-0.7619248678515546,0.0,0.0,-1.1410268465616087
0.0,0.0,-0.7870490694787915,0.0,0.0,-1.095909877768378
0.0,0.0,-0.8184061079696351,0.0,0.0,-1.3242056020289905
0.0,0.0,-0.8536767669279152,0.0,0.0,-1.2545933006170726
0.0,0.0,-0.8898349538747108,0.0,0.0,-1.2742676419279337
0.0,0.0,-0.9274658412021762,0.0,0.0,-1.2771803174042726
0.0,0.0,-0.9687361538134243,0.0,0.0,-1.2755028123917704
0.0,0.0,-1.0140967717891662,0.0,0.0,-1.2888822979949923
0.0,0.0,-1.0609020482640568,0.0,0.0,-1.313509139248232
0.0,0.0,-1.1054162479174403,0.0,0.0,-1.3484759195687344
0.0,0.0,-1.1435405866940962,0.0,0.0,-1.387868110521444
0.0,0.0,-1.1715619606810515,0.0,0.0,-1.4240995710294448
0.0,0.0,-1.1888475162362186,0.0,0.0,-1.451613139887765
0.0,0.0,-1.1949182355620027,0.0,0.0,-1.4648963229627965
0.0,0.0,-1.1859334723786992,0.0,0.0,-1.4581426873558834
0.0,0.0,-1.1588869621053686,0.0,0.0,-1.4315004701301548
0.0,0.0,-1.1152661798662906,0.0,0.0,-1.3936435656078312
0.0,0.0,-1.0632645258513689,0.0,0.0,-1.3622718318201326
0.0,0.0,-1.0139231268308047,0.0,0.0,-1.3561505163979248
0.0,0.0,-0.9741966309816951,0.0,0.0,-1.387953357841654
0.0,0.0,-0.9441040172222549,0.0,0.0,-1.4565595181027882
0.0,0.0,-0.9159682335188921,0.0,0.0,-1.5415213588193715
0.0,0.0,-0.8804532072749638,0.0,0.0,-1.6099693755402866
0.0,0.0,-0.8329829854901449,0.0,0.0,-1.6293574480180784
0.0,0.0,-0.7714387414792139,0.0,0.0,-1.5835490987810141
0.0,0.0,-0.6939147606175518,0.0,0.0,-1.4769349030917325
0.0,0.0,-0.6189991300965743,0.0,0.0,-1.3246901380323266
0.0,0.0,-0.58729375,0.0,0.0,-1.14336875
0.0,0.0,-0.37449375000000007,0.0,0.0,-0.8132875000000002
0.0,0.0,-0.5830126991079279,0.0,0.0,-0.6151376662096708
0.0,0.0,-0.5902770992957369,0.0,0.0,-0.42606955446499883
0.0,0.0,-0.5780688103918856,0.0,0.0,-0.2518022672790745
0.0,0.0,-0.5807800882924263,0.0,0.0,-0.09809058379407183
0.0,0.0,-0.5714452192603781,0.0,0.0,0.030278118362209255
0.0,0.0,-0.6293597581135253,0.0,0.0,0.12959248784273608
0.0,0.0,-0.6216449723121442,0.0,0.0,0.1974310294381783
0.0,0.0,-0.5189167013421245,0.0,0.0,0.2316243792670905
0.0,0.0,-0.23478844951174144,0.0,0.0,0.23069495304726242
0.0,0.0,-0.04423975924794235,0.0,0.0,0.19499494432498138
0.0,0.0,-0.13580581067247094,0.0,0.0,0.1279083229996787
0.0,0.0,-0.2538005015959247,0.0,0.0,0.03527479189074584
0.0,0.0,-0.28803107156826047,0.0,0.0,-0.07690639227661353
0.0,0.0,-0.28197052670223405,0.0,0.0,-0.20270881148833164
