Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2659,-20.96854,-10.52345,0.11095,-2.66911,-0.29252,0.04688,-36.42313,-45.42307,2.45028,21.4607,-6.48747,-1.56735,-29.12606,59.28258,-7.74178,-3.14373,0.50999,0.1681,26.61199,6.19295,-7.9149,-4.54653,-3.54135,9.36331,6.71609,0.02796,0.39876,8.50099,-2.36362,1.92408,0.61186,-1.77206,0.11666,0.66041,0.92934,-0.6575,0.23873,-0.19806,-0.03633,0.00066,0.17172,-0.20952
2660,-21.7365,-9.48794,-0.23612,-3.02565,-1.23785,0.29217,-34.88513,-45.66808,1.07884,23.53869,-11.29791,-1.07039,-29.23695,59.01401,-7.93135,-2.89046,0.40843,0.26847,32.06931,-2.77834,-9.01576,-9.84,-4.2565,3.40843,6.75844,1.21542,0.35496,8.52351,-4.06836,0.2691,0.4249,-0.83274,0.05451,0.99399,1.16624,-0.85228,0.16992,0.02666,-0.08025,-0.00306,0.0384,-0.2156
2661,-22.38639,-10.2936,-0.06879,1.78586,-0.89152,0.35792,-36.77668,-46.864,2.26326,28.07314,-8.64073,0.88564,-29.11612,58.39052,-8.08752,0.14904,-0.02698,0.18141,32.16797,-0.39743,-3.87158,-16.31169,-5.02362,0.35759,7.27583,1.19475,-0.06637,9.02053,-4.77349,0.1754,0.38822,-0.28541,0.17431,1.34507,0.97876,-0.59634,0.13164,0.13697,-0.02797,0.09073,-0.2236,-0.08239
2662,-22.8824,-11.11249,0.27405,0.60303,-0.45094,0.16375,-40.49714,-45.16223,4.7347,16.89487,-2.4956,1.93717,-28.76066,57.63247,-8.21866,0.26153,-0.12257,0.0558,12.26616,11.83587,0.7429,-17.8777,-0.11181,1.60609,7.80309,0.46826,0.11441,8.37308,-3.84345,0.84397,0.47574,-1.01209,0.40243,1.4476,0.80241,-0.15054,0.14108,-0.03605,0.0786,0.18962,-0.27197,0.04697
2663,-23.31022,-9.95632,0.26896,1.41513,-0.0116,0.04729,-43.58812,-41.25654,6.10503,14.31599,1.79062,2.72532,-28.40012,57.08699,-8.34732,0.51544,-0.24347,0.00587,4.84333,24.10306,2.55238,-12.07284,-1.74004,2.37048,7.4633,-0.32765,0.78095,6.03438,-2.67358,0.40418,0.63015,-2.32086,0.5359,1.94325,0.90374,0.37002,0.20383,-0.33203,0.14607,0.31599,-0.07318,0.08596
2664,-23.60895,-8.16194,-0.07271,2.60091,-0.46945,-0.00044,-43.55185,-38.86781,5.43283,19.75096,0.14946,2.24692,-28.1508,56.87883,-8.50979,0.6573,-0.33355,0.02232,12.07056,25.60927,1.01221,-2.92216,-13.74835,-1.5225,6.52166,-0.81421,0.84696,3.69933,-2.65739,-1.38772,0.75752,-2.70533,0.40874,2.73157,1.28161,0.66709,0.28674,-0.42398,0.10075,0.38107,0.157,0.03429
2665,-24.0182,-8.17365,-0.25892,2.41267,-1.01278,-0.12354,-43.08511,-39.08737,4.33927,23.43732,-3.37965,0.11858,-27.87197,56.74194,-8.72635,0.64928,-0.33399,0.00981,17.93182,21.79993,-2.56858,2.89255,-25.14615,-5.28685,5.9212,-0.49376,0.41533,3.33835,-2.95166,-2.10168,0.99032,-2.04508,0.08033,2.40401,1.56789,0.39798,0.33098,-0.2604,-0.00498,0.21557,0.25806,-0.04575
2666,-24.74075,-9.57459,-0.13516,1.28726,-0.19902,-0.26027,-45.91463,-40.82816,4.46814,21.6033,-2.62657,-1.70501,-27.44987,56.46965,-8.97623,0.60481,-0.21613,-0.03919,12.32958,21.79609,-5.17351,2.1195,-28.69364,-3.02067,6.36142,0.32181,0.07652,5.32866,-2.6874,-0.12818,1.28047,-1.22393,-0.15236,0.89423,1.36616,-0.05236,0.28859,-0.03626,-0.04791,-0.0215,0.17831,-0.02353
2667,-25.6637,-9.97017,-0.04681,0.99027,0.88729,-0.28204,-49.45942,-42.71869,5.20257,23.47361,-0.13111,-1.44517,-27.01585,56.2347,-9.22843,0.52196,-0.15367,-0.07905,11.18072,22.06874,-5.83631,-6.10014,-21.7347,2.89144,7.54402,0.38709,-0.36684,7.95365,-2.61873,2.33411,1.19325,-0.73471,-0.03878,-0.10483,1.03528,-0.12665,0.16035,0.09841,0.00876,-0.02569,0.03556,0.11336
2668,-26.57581,-8.58038,-0.16362,2.51694,0.67172,-0.15902,-50.04813,-42.92804,5.52406,32.89561,-0.52039,0.21651,-26.71656,56.1576,-9.43666,0.48392,-0.22554,-0.03756,23.35135,17.4229,-5.55304,-18.4716,-4.35653,7.96145,7.80724,-0.50927,-0.64853,9.22301,-2.97927,2.97037,0.81849,-0.87719,0.25858,0.16742,1.00758,0.06573,0.04671,0.06879,0.09379,0.18064,-0.00831,0.20382
