Unnamed: 0_level_0,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,FullBody_AngMom,FullBody_AngMom,FullBody_AngMom
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1543,-0.00013,0.00012,2e-05,-0.00672,0.00512,0.00083,-0.19873,0.17685,0.1251,-0.00301,0.0065,0.00254,0.00267,0.00658,0.00531,0.00125,0.00059,0.00138,-0.00139,-9e-05,0.00086,0.00327,-0.00412,-0.00193,0.00184,-0.00124,-0.00054,-0.00152,-0.00085,0.00302,0.01034,-0.03685,-0.00083,-0.00336,0.00456,-0.0008,-0.00034,0.00022,0.0002,-0.00034,0.00022,0.0002,-1e-05,0.0,0.0,0.05511,0.00844,0.00871,-0.00716,-0.0049,-0.00086,1e-05,3e-05,-0.00065,1e-05,3e-05,-0.00065,0.0,0.0,-0.0,-1.06547,1.28083,0.14421
1544,-7e-05,-6e-05,4e-05,-0.00333,-0.00255,0.00217,-0.25163,0.14651,0.11703,-0.00536,0.00497,0.00325,0.00235,0.00678,0.00518,0.0014,0.00097,0.00175,-0.00101,-0.00036,-4e-05,0.00348,-0.00426,-0.00307,0.00154,-0.00065,-0.00073,-0.00377,-0.00065,0.00095,0.02486,-0.03882,-0.01102,-0.00672,0.00377,-0.00114,-0.0002,0.00035,0.00016,-0.0002,0.00035,0.00016,-0.0,1e-05,0.0,0.04733,0.00169,0.02023,-0.00813,-0.00517,0.00091,0.0011,0.00027,-0.00013,0.0011,0.00027,-0.00013,-1e-05,1e-05,-0.0,-1.15609,1.12388,0.13753
1545,-5e-05,-0.00016,4e-05,-0.00222,-0.00674,0.00271,-0.30719,0.12772,0.09965,-0.00643,0.00495,0.00226,0.00189,0.00594,0.00532,0.00061,0.00137,0.00179,0.00023,-0.00138,-0.00094,0.00401,-0.00429,-0.00395,0.00158,-0.00047,-0.0012,-0.00549,0.00042,0.00254,0.02674,-0.03634,-0.00679,-0.00777,0.00404,-0.00035,-2e-05,-0.00011,0.00032,-2e-05,-0.00011,0.00032,-0.0,1e-05,0.0,0.03805,-0.0155,0.01844,-0.00687,-0.00305,0.00211,0.00146,0.00014,0.00052,0.00146,0.00014,0.00052,-1e-05,1e-05,0.0,-1.20216,1.01595,0.13174
1546,-0.00011,-1e-05,1e-05,-0.00541,-0.00038,0.00077,-0.32439,0.13502,0.07887,-0.00603,0.00538,0.0009,0.00148,0.00473,0.00538,-0.00039,0.00163,0.00164,0.00091,-0.00243,-0.00109,0.00433,-0.00396,-0.00399,0.00186,-0.00065,-0.00149,-0.00352,0.00222,0.00579,0.02125,-0.03316,0.00154,-0.00701,0.00431,0.00055,-4e-05,-0.00064,0.00082,-4e-05,-0.00064,0.00082,-0.0,-0.0,0.0,0.02639,-0.02852,0.01273,-0.00386,-0.00162,0.00252,0.00046,0.0,0.00074,0.00046,0.0,0.00074,-0.0,0.0,0.0,-1.0713,1.01706,0.14734
1547,-0.00023,0.00029,0.0,-0.0123,0.01242,-0.00036,-0.28562,0.16154,0.06742,-0.00393,0.00484,0.0013,0.00123,0.00438,0.00468,-0.00061,0.00201,0.00153,-0.00038,-0.00271,-7e-05,0.00417,-0.00322,-0.00331,0.00205,-0.00084,-0.00145,0.0012,0.0033,0.00822,0.01778,-0.03014,0.00621,-0.00614,0.00401,0.00107,-0.00029,-0.00059,0.00144,-0.00029,-0.00059,0.00144,-1e-05,-1e-05,0.0,0.01667,-0.02575,0.01336,-0.0013,-0.00315,0.00229,-0.00095,0.00011,0.00047,-0.00095,0.00011,0.00047,1e-05,-0.0,0.0,-0.88088,1.08429,0.22713
1548,-0.00035,0.00047,8e-05,-0.01872,0.02011,0.00307,-0.21405,0.18219,0.06538,-2e-05,0.00329,0.00392,0.00085,0.00506,0.0033,-3e-05,0.00252,0.00149,-0.00281,-0.00235,0.00156,0.00348,-0.00238,-0.0021,0.00179,-0.0009,-0.00118,0.00405,0.00198,0.00918,0.01673,-0.0258,0.01268,-0.00535,0.00394,0.00176,-0.00055,-0.00013,0.00172,-0.00055,-0.00013,0.00172,-1e-05,-1e-05,1e-05,0.01874,-0.00888,0.01602,-0.00177,-0.00613,0.00114,-0.00096,0.00025,0.00026,-0.00096,0.00025,0.00026,2e-05,0.0,0.0,-0.91749,1.13264,0.35896
1549,-0.00035,0.0004,0.00021,-0.01901,0.01664,0.0101,-0.15057,0.18392,0.06642,0.00444,0.0018,0.00702,0.00021,0.00568,0.00241,0.00054,0.00261,0.00144,-0.00444,-0.00249,0.00261,0.00227,-0.00208,-0.00061,0.00104,-0.00098,-0.00074,0.00376,-0.00082,0.00847,0.01578,-0.02151,0.02078,-0.00429,0.00457,0.0024,-0.00047,-2e-05,0.00132,-0.00047,-2e-05,0.00132,-1e-05,-0.0,0.0,0.02942,0.00852,0.0168,-0.00483,-0.00811,-0.00019,0.00045,0.00031,0.00034,0.00045,0.00031,0.00034,1e-05,1e-05,0.0,-1.23588,1.12762,0.45676
1550,-0.0002,0.00019,0.00031,-0.01085,0.00705,0.01551,-0.1237,0.18125,0.07367,0.00665,0.00068,0.00885,-0.00011,0.00544,0.00276,0.0004,0.00206,0.00124,-0.00468,-0.00385,0.00259,0.00099,-0.00261,0.00054,0.00019,-0.00108,-0.00019,0.00275,-0.00203,0.00662,0.01611,-0.01932,0.02168,-0.00366,0.00508,0.0022,2e-05,-0.00065,0.00034,2e-05,-0.00065,0.00034,-1e-05,0.0,0.0,0.03307,0.01498,0.01559,-0.00714,-0.00849,-0.00081,0.00172,0.00033,0.00057,0.00172,0.00033,0.00057,-1e-05,1e-05,0.0,-1.54142,1.11245,0.44556
1551,3e-05,4e-05,0.00031,0.00129,0.00035,0.0155,-0.14156,0.19456,0.0924,0.00526,-0.00076,0.00943,0.00045,0.00486,0.00361,-0.00042,0.00148,0.00074,-0.00472,-0.00544,0.00223,0.00041,-0.00358,0.00079,-0.00034,-0.00108,0.00021,0.0018,-0.00025,0.00568,0.01596,-0.01622,0.01517,-0.00386,0.00457,0.00156,0.00058,-0.00151,-0.00063,0.00058,-0.00151,-0.00063,-0.0,1e-05,-0.0,0.02233,0.01213,0.00955,-0.00651,-0.00777,-0.00113,0.00199,0.00019,0.001,0.00199,0.00019,0.001,-1e-05,1e-05,0.0,-1.57488,1.14359,0.35036
1552,0.00018,5e-05,0.00022,0.00867,0.00071,0.01103,-0.18129,0.21515,0.11534,0.00211,-0.00238,0.00966,0.00117,0.00481,0.00399,-0.00134,0.00123,-6e-05,-0.0057,-0.00529,0.00237,0.0008,-0.00451,0.00023,-0.0005,-0.0009,0.00022,0.00037,0.00232,0.00683,0.0103,-0.00665,0.01007,-0.00409,0.00303,0.00151,0.00075,-0.00152,-0.00108,0.00075,-0.00152,-0.00108,-0.0,2e-05,-0.0,0.00388,0.00935,0.00265,-0.00362,-0.00675,-0.00141,0.00151,-0.00018,0.00162,0.00151,-0.00018,0.00162,-1e-05,-0.0,0.0,-1.3884,1.19217,0.26872
