	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
86	0.12266	0.08356	0.02669	0.10724	0.48344	0.00657
87	0.12314	0.08297	0.02784	0.10730	0.48337	0.00661
88	0.12356	0.08259	0.02909	0.10760	0.48316	0.00672
89	0.12390	0.08251	0.03044	0.10797	0.48300	0.00683
90	0.12423	0.08256	0.03182	0.10817	0.48305	0.00688
91	0.12461	0.08255	0.03315	0.10819	0.48329	0.00684
92	0.12499	0.08239	0.03455	0.10818	0.48350	0.00678
93	0.12533	0.08217	0.03611	0.10823	0.48351	0.00674
94	0.12571	0.08204	0.03771	0.10835	0.48330	0.00671
95	0.12616	0.08200	0.03911	0.10852	0.48305	0.00665
96	0.12664	0.08199	0.04027	0.10862	0.48291	0.00663
97	0.12700	0.08200	0.04135	0.10846	0.48295	0.00672
98	0.12717	0.08208	0.04242	0.10805	0.48310	0.00687
99	0.12721	0.08220	0.04344	0.10754	0.48324	0.00700
100	0.12724	0.08236	0.04441	0.10708	0.48339	0.00709
101	0.12738	0.08266	0.04533	0.10675	0.48368	0.00713
102	0.12768	0.08312	0.04612	0.10666	0.48410	0.00707
103	0.12808	0.08363	0.04676	0.10672	0.48445	0.00686
104	0.12846	0.08410	0.04737	0.10674	0.48451	0.00660
105	0.12869	0.08452	0.04813	0.10664	0.48419	0.00640
106	0.12882	0.08488	0.04905	0.10655	0.48368	0.00631
107	0.12898	0.08523	0.04998	0.10651	0.48332	0.00619
108	0.12922	0.08562	0.05087	0.10645	0.48325	0.00595
109	0.12951	0.08598	0.05174	0.10638	0.48334	0.00561
110	0.12983	0.08621	0.05263	0.10641	0.48339	0.00534
111	0.13018	0.08633	0.05362	0.10645	0.48334	0.00527
112	0.13051	0.08648	0.05477	0.10635	0.48328	0.00536
113	0.13077	0.08679	0.05596	0.10613	0.48329	0.00540
114	0.13097	0.08721	0.05691	0.10593	0.48338	0.00522
115	0.13116	0.08762	0.05752	0.10582	0.48352	0.00492
116	0.13137	0.08795	0.05800	0.10575	0.48364	0.00466
117	0.13163	0.08814	0.05863	0.10571	0.48375	0.00445
118	0.13195	0.08812	0.05947	0.10565	0.48388	0.00420
119	0.13231	0.08795	0.06034	0.10554	0.48408	0.00397
120	0.13260	0.08770	0.06099	0.10542	0.48425	0.00397
121	0.13279	0.08748	0.06131	0.10540	0.48419	0.00425
122	0.13292	0.08741	0.06144	0.10554	0.48390	0.00453
123	0.13303	0.08753	0.06160	0.10571	0.48363	0.00447
124	0.13312	0.08765	0.06185	0.10573	0.48366	0.00405
125	0.13317	0.08753	0.06203	0.10556	0.48405	0.00348
126	0.13323	0.08710	0.06202	0.10532	0.48456	0.00302
127	0.13334	0.08658	0.06188	0.10519	0.48486	0.00276
128	0.13345	0.08629	0.06178	0.10523	0.48485	0.00267
129	0.13346	0.08630	0.06182	0.10533	0.48466	0.00269
130	0.13334	0.08634	0.06201	0.10534	0.48450	0.00278
131	0.13315	0.08615	0.06225	0.10513	0.48449	0.00292
132	0.13301	0.08569	0.06238	0.10472	0.48464	0.00303
133	0.13298	0.08501	0.06229	0.10432	0.48476	0.00306
134	0.13298	0.08428	0.06199	0.10414	0.48473	0.00304
