	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
86	0.14322	0.07933	0.00927	0.01919	0.48575	0.00150
87	0.14348	0.07921	0.00908	0.01914	0.48590	0.00147
88	0.14360	0.07906	0.00893	0.01902	0.48593	0.00164
89	0.14356	0.07897	0.00886	0.01894	0.48587	0.00180
90	0.14346	0.07897	0.00887	0.01898	0.48580	0.00181
91	0.14344	0.07900	0.00892	0.01918	0.48577	0.00162
92	0.14352	0.07905	0.00900	0.01946	0.48573	0.00134
93	0.14360	0.07908	0.00914	0.01969	0.48561	0.00119
94	0.14360	0.07910	0.00931	0.01979	0.48543	0.00122
95	0.14352	0.07908	0.00945	0.01973	0.48534	0.00131
96	0.14341	0.07906	0.00952	0.01956	0.48540	0.00135
97	0.14333	0.07907	0.00953	0.01940	0.48554	0.00135
98	0.14327	0.07911	0.00956	0.01930	0.48569	0.00141
99	0.14319	0.07917	0.00968	0.01929	0.48579	0.00151
100	0.14308	0.07929	0.00986	0.01937	0.48583	0.00154
101	0.14298	0.07948	0.01005	0.01952	0.48579	0.00146
102	0.14298	0.07963	0.01022	0.01962	0.48574	0.00136
103	0.14304	0.07965	0.01029	0.01956	0.48577	0.00132
104	0.14306	0.07957	0.01021	0.01943	0.48592	0.00131
105	0.14300	0.07950	0.01003	0.01935	0.48604	0.00127
106	0.14289	0.07946	0.00995	0.01930	0.48604	0.00125
107	0.14284	0.07938	0.01009	0.01916	0.48600	0.00130
108	0.14288	0.07932	0.01027	0.01903	0.48604	0.00134
109	0.14301	0.07935	0.01023	0.01909	0.48613	0.00130
110	0.14317	0.07942	0.01002	0.01935	0.48616	0.00124
111	0.14329	0.07945	0.00992	0.01966	0.48608	0.00124
112	0.14335	0.07940	0.01005	0.01985	0.48600	0.00127
113	0.14335	0.07928	0.01028	0.01976	0.48607	0.00131
114	0.14332	0.07912	0.01040	0.01944	0.48624	0.00137
115	0.14331	0.07911	0.01026	0.01922	0.48638	0.00140
116	0.14338	0.07932	0.00992	0.01932	0.48640	0.00134
117	0.14351	0.07955	0.00962	0.01960	0.48627	0.00127
118	0.14360	0.07960	0.00957	0.01978	0.48604	0.00129
119	0.14353	0.07953	0.00975	0.01975	0.48583	0.00133
120	0.14329	0.07951	0.01000	0.01956	0.48575	0.00124
121	0.14306	0.07959	0.01019	0.01934	0.48583	0.00102
122	0.14297	0.07969	0.01026	0.01923	0.48600	0.00078
123	0.14303	0.07978	0.01021	0.01929	0.48610	0.00072
124	0.14315	0.07982	0.01013	0.01940	0.48604	0.00096
125	0.14318	0.07979	0.01009	0.01940	0.48592	0.00139
126	0.14308	0.07974	0.01013	0.01934	0.48585	0.00172
127	0.14289	0.07970	0.01023	0.01933	0.48583	0.00183
128	0.14272	0.07968	0.01038	0.01937	0.48581	0.00179
129	0.14264	0.07966	0.01055	0.01939	0.48578	0.00169
130	0.14266	0.07961	0.01072	0.01935	0.48581	0.00158
131	0.14276	0.07957	0.01081	0.01926	0.48601	0.00142
132	0.14292	0.07956	0.01077	0.01919	0.48629	0.00118
133	0.14311	0.07954	0.01061	0.01920	0.48645	0.00093
134	0.14326	0.07951	0.01043	0.01928	0.48638	0.00080
135	0.14325	0.07953	0.01032	0.01936	0.48618	0.00088
136	0.14307	0.07963	0.01032	0.01936	0.48608	0.00107
137	0.14286	0.07976	0.01035	0.01934	0.48613	0.00121
138	0.14282	0.07984	0.01033	0.01931	0.48625	0.00121
139	0.14292	0.07981	0.01026	0.01921	0.48633	0.00116
140	0.14301	0.07970	0.01024	0.01904	0.48633	0.00116
141	0.14298	0.07967	0.01033	0.01892	0.48624	0.00116
142	0.14287	0.07978	0.01050	0.01898	0.48613	0.00108
143	0.14287	0.07987	0.01064	0.01916	0.48604	0.00092
144	0.14305	0.07974	0.01063	0.01933	0.48605	0.00077
145	0.14328	0.07944	0.01047	0.01938	0.48613	0.00074
146	0.14334	0.07922	0.01031	0.01935	0.48618	0.00083
147	0.14320	0.07918	0.01030	0.01931	0.48614	0.00099
