	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
10	0.33921	0.19551	0.00569	0.13978	0.68652	0.00342	0.29574	0.17563	0.00987	0.11946	0.64327	0.00765	0.31192	0.15529	0.01521	0.09999	0.65964	0.01553	0.14331	0.07845	0.01846	0.01792	0.48534	0.00992
11	0.33918	0.19537	0.00553	0.13981	0.68651	0.00353	0.29573	0.17550	0.00994	0.11950	0.64328	0.00810	0.31190	0.15517	0.01538	0.10003	0.65962	0.01599	0.14328	0.07835	0.01834	0.01800	0.48532	0.00978
12	0.33918	0.19529	0.00532	0.13975	0.68667	0.00356	0.29574	0.17547	0.00998	0.11953	0.64345	0.00860	0.31188	0.15513	0.01548	0.09996	0.65976	0.01635	0.14321	0.07841	0.01815	0.01836	0.48528	0.00971
13	0.33921	0.19540	0.00524	0.13970	0.68689	0.00352	0.29576	0.17558	0.00986	0.11954	0.64366	0.00870	0.31190	0.15525	0.01536	0.09991	0.65995	0.01632	0.14322	0.07857	0.01810	0.01865	0.48531	0.00976
14	0.33930	0.19557	0.00531	0.13972	0.68706	0.00340	0.29583	0.17575	0.00974	0.11957	0.64380	0.00843	0.31197	0.15541	0.01520	0.09993	0.66011	0.01600	0.14329	0.07874	0.01824	0.01875	0.48541	0.00982
15	0.33943	0.19562	0.00543	0.13974	0.68714	0.00325	0.29594	0.17582	0.00985	0.11959	0.64387	0.00819	0.31208	0.15547	0.01528	0.09995	0.66018	0.01576	0.14335	0.07892	0.01846	0.01879	0.48547	0.00979
16	0.33954	0.19553	0.00547	0.13964	0.68715	0.00317	0.29606	0.17579	0.01014	0.11952	0.64388	0.00819	0.31217	0.15541	0.01554	0.09985	0.66018	0.01572	0.14333	0.07908	0.01863	0.01885	0.48540	0.00968
17	0.33961	0.19553	0.00543	0.13936	0.68713	0.00316	0.29614	0.17583	0.01036	0.11931	0.64383	0.00825	0.31224	0.15542	0.01568	0.09960	0.66010	0.01572	0.14333	0.07924	0.01874	0.01892	0.48517	0.00959
18	0.33968	0.19575	0.00534	0.13902	0.68707	0.00310	0.29622	0.17602	0.01033	0.11905	0.64374	0.00820	0.31234	0.15559	0.01553	0.09930	0.65997	0.01564	0.14344	0.07940	0.01879	0.01898	0.48488	0.00962
19	0.33978	0.19605	0.00528	0.13881	0.68701	0.00301	0.29633	0.17626	0.01002	0.11888	0.64364	0.00796	0.31248	0.15584	0.01512	0.09913	0.65987	0.01541	0.14368	0.07946	0.01884	0.01893	0.48471	0.00981
