	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
86	0.02571	0.09892	0.01052	0.05285	0.49697	0.00347
87	0.02547	0.09876	0.01069	0.05256	0.49719	0.00380
88	0.02521	0.09872	0.01090	0.05249	0.49735	0.00403
89	0.02514	0.09881	0.01126	0.05265	0.49728	0.00410
90	0.02523	0.09886	0.01188	0.05284	0.49701	0.00408
91	0.02533	0.09883	0.01274	0.05284	0.49677	0.00402
92	0.02525	0.09875	0.01370	0.05255	0.49676	0.00390
93	0.02503	0.09879	0.01464	0.05212	0.49690	0.00367
94	0.02481	0.09914	0.01552	0.05186	0.49689	0.00331
95	0.02472	0.09963	0.01643	0.05193	0.49671	0.00299
96	0.02474	0.09988	0.01747	0.05222	0.49659	0.00292
97	0.02484	0.09977	0.01861	0.05255	0.49667	0.00306
98	0.02504	0.09945	0.01977	0.05278	0.49684	0.00320
99	0.02533	0.09908	0.02093	0.05287	0.49696	0.00325
100	0.02554	0.09863	0.02213	0.05278	0.49702	0.00323
101	0.02553	0.09790	0.02339	0.05258	0.49712	0.00322
102	0.02531	0.09670	0.02472	0.05232	0.49741	0.00319
103	0.02497	0.09513	0.02615	0.05211	0.49776	0.00316
104	0.02461	0.09343	0.02756	0.05200	0.49789	0.00325
105	0.02431	0.09171	0.02875	0.05189	0.49776	0.00350
106	0.02403	0.08992	0.02967	0.05171	0.49757	0.00383
