Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1524,4.5356,-18.86203,6.3273,-12.04537,6.57994,0.55414,-12.14475,-28.22975,6.98955,-18.18183,11.06058,0.87546,-29.65525,19.49825,-0.37817,-22.63375,-2.28946,-1.67639,-24.42395,7.15824,-1.43256,23.47265,-1.69584,5.16926,-0.47361,0.1696,1.05206,2.43757,-2.09426,-0.60203,0.3294,-1.17265,0.60927,1.88128,0.85575,-0.18143,-0.10447,-0.1907,0.18848,0.05682,-0.03914,0.10442
1525,4.22862,-18.28479,6.31402,-12.22565,8.06375,0.67574,-16.79172,-26.54359,7.57289,-24.36983,18.16713,2.45334,-29.69441,19.65304,-0.4625,-22.41206,-2.34534,-1.60212,-38.02302,16.77538,1.10915,33.68852,8.75503,-2.08795,2.04205,-1.01695,0.9056,1.48107,0.30321,0.58648,0.24444,-1.25611,1.08249,2.11466,0.6794,0.87975,-0.20444,-0.12105,0.2475,0.20301,-0.00347,0.07648
1526,4.52895,-17.5999,6.00827,-12.37277,9.3455,0.90151,-17.12641,-21.8169,7.0371,-31.36188,22.56715,4.28509,-29.75575,19.83332,-0.55781,-22.1197,-2.47592,-1.60856,-49.09787,24.22902,2.05981,47.60737,8.50626,-7.96466,3.03952,-1.4024,-0.48097,0.49671,0.9315,0.60228,1.10943,-0.99982,-0.08516,2.15307,0.59263,1.01402,-0.03483,0.05475,0.0392,0.25741,0.07386,-0.12258
1527,4.70749,-17.4916,5.94645,-11.66477,8.77931,0.96376,-15.29794,-21.81579,7.03048,-31.25432,19.97294,4.7195,-29.87902,20.068,-0.6368,-21.65948,-2.75911,-1.73913,-47.67067,19.40882,1.45935,46.25447,-1.07157,-7.12174,2.39538,-0.89187,-1.74126,1.6404,0.68854,0.49936,2.35358,-0.95797,-1.66966,2.30019,0.74277,0.61902,0.29912,0.12434,-0.23285,0.28154,0.12259,-0.22379
1528,4.73382,-17.81582,6.09551,-10.37832,7.12276,0.93814,-13.59121,-26.462,7.46546,-23.3179,13.25543,4.31204,-30.06328,20.30006,-0.66235,-21.07345,-3.07194,-1.86933,-34.22297,6.48058,-0.15409,28.12363,-4.89366,-1.77938,2.73188,-0.34943,-1.52356,5.172,0.57023,0.89611,2.96988,-1.60597,-1.79845,2.44358,1.03133,0.02058,0.48903,0.00957,-0.31111,0.33499,0.12553,-0.12918
1529,4.86537,-17.7901,6.0525,-9.51273,6.02416,0.94182,-12.51097,-27.77543,6.9481,-15.15183,9.99692,4.93518,-30.26496,20.47481,-0.61734,-20.46166,-3.23558,-1.88442,-21.41888,2.4652,-0.90483,12.87436,-2.01666,3.12863,4.7934,-0.63396,-0.29356,8.18759,0.67488,1.41206,2.46219,-2.3966,-0.40679,2.13342,1.16833,-0.49307,0.36309,-0.15718,-0.15263,0.31536,0.1104,0.00144
1530,5.15654,-16.74347,5.63119,-9.46312,5.33343,0.75622,-10.99918,-20.86269,5.52163,-12.83035,12.03828,5.91662,-30.46099,20.62073,-0.52084,-19.81876,-3.25882,-1.83791,-18.0885,15.16575,-0.65135,15.85126,-3.56003,3.11127,6.23941,-1.42864,0.58909,6.30534,-0.23831,0.89887,1.21359,-2.35528,1.03077,1.55133,1.01175,-0.4216,0.08164,-0.24029,0.08821,0.19921,0.08906,0.05907
1531,5.44546,-15.34308,5.18033,-9.5006,4.30178,0.30967,-8.51747,-12.33983,4.99759,-13.98324,13.5781,4.75589,-30.68837,20.75541,-0.46088,-19.08707,-3.24792,-1.8136,-19.25015,28.56053,-1.72647,29.93186,-7.98597,-2.94282,5.28154,-1.46841,0.62359,-0.40887,-2.59193,-0.86124,0.14826,-1.40922,1.36931,1.25505,0.66071,0.32637,-0.07628,-0.20987,0.21553,0.10209,0.04031,0.08735
1532,5.53164,-14.85184,5.10221,-8.96613,3.52851,-0.03797,-6.2522,-11.41832,6.11147,-14.07817,11.34367,1.75051,-30.959,20.88347,-0.51521,-18.28927,-3.2241,-1.80566,-17.98888,25.43413,-4.2728,40.72374,-5.58267,-8.73771,2.60995,-0.67857,0.25017,-5.57513,-4.26202,-2.16983,0.13429,-0.65733,0.66022,1.36091,0.38884,1.06363,-0.01122,-0.15013,0.17737,0.0841,-0.0187,0.11602
1533,5.20431,-15.48579,5.37553,-8.17598,4.24454,0.05208,-5.68241,-17.84201,7.38794,-13.88475,10.48629,0.59272,-31.20661,21.06877,-0.65695,-17.47861,-3.12232,-1.76114,-16.31717,13.11586,-4.42241,42.86231,1.39991,-7.11164,0.09141,-0.5106,-0.19935,-4.05453,-3.33261,-1.55452,1.17817,-0.88574,-0.39238,1.52949,0.4421,1.07095,0.17349,-0.14966,0.07254,0.07949,-0.02766,0.11106
