	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.29422	0.03443	0.08503	-0.01538	0.39467	0.00976
2	0.29400	0.03402	0.08488	-0.01603	0.39420	0.00973
3	0.29360	0.03381	0.08481	-0.01650	0.39364	0.00961
4	0.29344	0.03383	0.08487	-0.01665	0.39332	0.00957
5	0.29358	0.03398	0.08494	-0.01661	0.39327	0.00969
6	0.29384	0.03410	0.08494	-0.01653	0.39334	0.00983
7	0.29402	0.03414	0.08491	-0.01642	0.39341	0.00983
8	0.29404	0.03412	0.08492	-0.01630	0.39342	0.00972
9	0.29388	0.03404	0.08501	-0.01620	0.39339	0.00968
10	0.29358	0.03390	0.08514	-0.01617	0.39330	0.00983
11	0.29332	0.03381	0.08523	-0.01627	0.39326	0.01009
12	0.29327	0.03384	0.08519	-0.01651	0.39329	0.01026
13	0.29344	0.03396	0.08507	-0.01676	0.39332	0.01022
14	0.29366	0.03406	0.08498	-0.01686	0.39320	0.00999
15	0.29380	0.03403	0.08502	-0.01682	0.39293	0.00976
16	0.29377	0.03389	0.08519	-0.01666	0.39268	0.00976
17	0.29354	0.03381	0.08539	-0.01629	0.39273	0.01004
18	0.29335	0.03393	0.08547	-0.01574	0.39311	0.01031
19	0.29341	0.03416	0.08538	-0.01532	0.39345	0.01027
20	0.29360	0.03433	0.08525	-0.01524	0.39344	0.01000
21	0.29361	0.03435	0.08521	-0.01533	0.39316	0.00977
22	0.29337	0.03428	0.08535	-0.01537	0.39294	0.00977
23	0.29313	0.03419	0.08562	-0.01538	0.39289	0.01002
24	0.29319	0.03407	0.08591	-0.01554	0.39294	0.01033
25	0.29362	0.03391	0.08599	-0.01584	0.39308	0.01047
26	0.29417	0.03369	0.08578	-0.01610	0.39323	0.01034
27	0.29453	0.03347	0.08544	-0.01624	0.39331	0.01009
28	0.29468	0.03332	0.08517	-0.01628	0.39324	0.00987
29	0.29473	0.03325	0.08506	-0.01621	0.39307	0.00975
30	0.29474	0.03328	0.08513	-0.01596	0.39288	0.00978
