	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
11	0.29262	0.23301	0.00297	0.06648	0.67391	0.00655	0.25656	0.19950	0.00997	0.06253	0.62502	0.01471	0.28711	0.17819	0.01406	0.04067	0.63306	0.02232	0.14398	0.04816	0.01360	0.02590	0.43583	0.01355
12	0.29257	0.23321	0.00306	0.06607	0.67380	0.00675	0.25651	0.19966	0.00986	0.06221	0.62487	0.01472	0.28706	0.17838	0.01394	0.04032	0.63286	0.02230	0.14400	0.04827	0.01362	0.02596	0.43561	0.01331
13	0.29257	0.23335	0.00325	0.06562	0.67347	0.00697	0.25647	0.19977	0.00967	0.06184	0.62445	0.01433	0.28704	0.17850	0.01366	0.03991	0.63241	0.02182	0.14405	0.04832	0.01363	0.02596	0.43511	0.01340
14	0.29260	0.23338	0.00344	0.06529	0.67292	0.00731	0.25646	0.19976	0.00945	0.06156	0.62378	0.01390	0.28706	0.17852	0.01346	0.03961	0.63175	0.02129	0.14419	0.04821	0.01354	0.02590	0.43440	0.01360
15	0.29270	0.23327	0.00349	0.06508	0.67218	0.00776	0.25654	0.19964	0.00932	0.06138	0.62297	0.01381	0.28713	0.17842	0.01344	0.03940	0.63093	0.02114	0.14431	0.04805	0.01334	0.02579	0.43357	0.01354
16	0.29284	0.23309	0.00340	0.06493	0.67138	0.00822	0.25667	0.19949	0.00932	0.06122	0.62215	0.01410	0.28725	0.17825	0.01352	0.03923	0.63009	0.02144	0.14435	0.04796	0.01320	0.02563	0.43276	0.01309
17	0.29297	0.23293	0.00328	0.06483	0.67067	0.00863	0.25679	0.19937	0.00937	0.06108	0.62145	0.01459	0.28735	0.17810	0.01354	0.03912	0.62936	0.02202	0.14432	0.04795	0.01322	0.02533	0.43209	0.01249
18	0.29307	0.23278	0.00327	0.06478	0.67013	0.00901	0.25687	0.19925	0.00940	0.06097	0.62093	0.01514	0.28741	0.17794	0.01346	0.03904	0.62883	0.02270	0.14425	0.04795	0.01335	0.02492	0.43165	0.01199
19	0.29317	0.23259	0.00337	0.06474	0.66985	0.00937	0.25694	0.19909	0.00943	0.06086	0.62069	0.01579	0.28747	0.17775	0.01342	0.03897	0.62858	0.02345	0.14417	0.04789	0.01336	0.02455	0.43149	0.01162
20	0.29332	0.23244	0.00346	0.06467	0.66983	0.00981	0.25708	0.19895	0.00954	0.06076	0.62073	0.01660	0.28759	0.17758	0.01355	0.03888	0.62857	0.02433	0.14421	0.04782	0.01311	0.02435	0.43157	0.01128
21	0.29355	0.23245	0.00349	0.06461	0.66993	0.01057	0.25732	0.19896	0.00961	0.06072	0.62083	0.01739	0.28781	0.17760	0.01376	0.03884	0.62863	0.02519	0.14448	0.04780	0.01272	0.02433	0.43170	0.01101
22	0.29383	0.23263	0.00352	0.06464	0.66996	0.01187	0.25759	0.19912	0.00950	0.06075	0.62077	0.01799	0.28809	0.17779	0.01376	0.03889	0.62854	0.02587	0.14486	0.04787	0.01243	0.02429	0.43168	0.01091
23	0.29399	0.23282	0.00353	0.06470	0.66987	0.01359	0.25774	0.19928	0.00929	0.06079	0.62055	0.01857	0.28826	0.17797	0.01351	0.03895	0.62832	0.02651	0.14511	0.04797	0.01239	0.02419	0.43151	0.01091
24	0.29396	0.23291	0.00341	0.06465	0.66976	0.01525	0.25773	0.19936	0.00927	0.06075	0.62037	0.01953	0.28827	0.17803	0.01330	0.03889	0.62809	0.02746	0.14509	0.04805	0.01248	0.02421	0.43136	0.01078
25	0.29379	0.23293	0.00320	0.06446	0.66970	0.01652	0.25766	0.19938	0.00960	0.06061	0.62032	0.02090	0.28820	0.17803	0.01344	0.03870	0.62794	0.02878	0.14498	0.04809	0.01248	0.02442	0.43133	0.01048
26	0.29364	0.23295	0.00312	0.06423	0.66965	0.01745	0.25763	0.19938	0.01009	0.06043	0.62031	0.02222	0.28818	0.17803	0.01387	0.03847	0.62783	0.03006	0.14501	0.04804	0.01240	0.02458	0.43134	0.01027
27	0.29361	0.23292	0.00322	0.06398	0.66963	0.01834	0.25766	0.19932	0.01037	0.06019	0.62027	0.02300	0.28822	0.17800	0.01424	0.03824	0.62776	0.03089	0.14519	0.04787	0.01242	0.02441	0.43134	0.01038
28	0.29362	0.23278	0.00340	0.06359	0.66966	0.01937	0.25763	0.19917	0.01028	0.05983	0.62023	0.02325	0.28820	0.17788	0.01425	0.03790	0.62772	0.03120	0.14526	0.04765	0.01266	0.02398	0.43130	0.01075
