	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d
7	-0.02669	-0.04293	0.00630	-1.38411	-0.38350	-0.24857	-1.22780	-1.22655	0.07027	-0.64837	-0.16221	-0.07748	-0.60560	-0.64459	0.01091	-0.11916	-0.06445	0.02160	-0.23575	-0.22893	-0.00639	0.01228	-0.06263	0.02788	0.00490	-0.06124	0.03025	0.04210	-0.01875	0.01536	0.01439	-0.00189	0.00456	0.00309	-0.00603	0.00730	0.01113	-0.00314	-0.00279	0.01911	-0.01469	0.00600	0.01234	-0.00367	-0.00305	0.01123	0.00377	0.00184	0.00786	0.03416	-0.02259	0.01637	0.00120	0.00632	0.01633	0.04310	-0.02542
8	-0.02143	-0.05218	0.01307	-1.32006	-0.38138	-0.27918	-1.18450	-1.15400	0.13566	-0.57556	-0.11695	-0.12140	-0.62761	-0.66039	0.05539	-0.03801	-0.01010	-0.01762	-0.26743	-0.27219	0.02564	0.02716	-0.07158	0.02078	0.02333	-0.07552	0.02896	0.03937	-0.01722	0.02431	0.01635	-0.03075	0.01169	0.01631	-0.02611	0.01116	0.00930	-0.02617	0.00763	0.02129	-0.01845	0.01252	0.00939	-0.01090	0.00488	0.02601	-0.00945	0.01593	0.01055	0.03424	-0.00025	0.02872	-0.01082	0.01852	0.01916	0.04345	-0.00218
9	-0.01432	-0.06390	0.01319	-1.27985	-0.34907	-0.27974	-1.11495	-1.10343	0.21363	-0.45783	-0.04837	-0.14845	-0.62910	-0.66023	0.11305	0.04948	0.05122	-0.04601	-0.26939	-0.29560	0.07487	0.03053	-0.08286	0.00667	0.03404	-0.09307	0.01975	0.02910	-0.02715	0.01292	0.03072	-0.06273	0.01448	0.03799	-0.04450	0.01230	0.01676	-0.05111	0.01798	0.01569	-0.01463	0.01680	0.00011	-0.01796	0.01365	0.02703	-0.00952	0.03108	-0.00989	0.02708	0.01351	0.02523	-0.00863	0.03197	-0.00490	0.03243	0.00917
10	-0.00958	-0.07227	0.00983	-1.26585	-0.30718	-0.21446	-1.02783	-1.05703	0.27234	-0.36087	-0.01089	-0.13913	-0.60326	-0.62652	0.15122	0.08570	0.08025	-0.05460	-0.23997	-0.28540	0.10813	0.02065	-0.08750	-0.00701	0.03055	-0.10041	0.00613	0.01864	-0.04886	-0.00382	0.04341	-0.07851	0.01406	0.05505	-0.04884	0.01232	0.02376	-0.06608	0.02242	0.00989	-0.00026	0.01942	-0.00410	-0.01360	0.01540	0.01702	0.00574	0.03545	-0.03071	0.01787	0.01133	0.01226	0.00811	0.03443	-0.03108	0.01743	0.00733
11	-0.01189	-0.07155	0.00845	-1.23567	-0.28279	-0.10792	-0.93887	-1.00558	0.28519	-0.34438	-0.03316	-0.10143	-0.55880	-0.57725	0.15076	0.04144	0.06009	-0.04556	-0.20112	-0.25585	0.10384	0.01126	-0.07857	-0.01217	0.02189	-0.09013	-0.00158	0.01292	-0.06600	-0.00810	0.04075	-0.07112	0.01340	0.05682	-0.03617	0.01226	0.01653	-0.06503	0.01978	0.00646	0.02079	0.02072	-0.00346	-0.00013	0.00957	0.00372	0.02288	0.02581	-0.03489	0.00997	0.00123	-0.00008	0.02478	0.02259	-0.03908	0.00543	0.00127
12	-0.02161	-0.06032	0.01216	-1.15711	-0.25394	-0.00894	-0.86126	-0.94023	0.25736	-0.42229	-0.08727	-0.04846	-0.51539	-0.54272	0.12783	-0.06305	0.00143	-0.02022	-0.18610	-0.23443	0.07543	0.01269	-0.05598	-0.00586	0.02077	-0.06600	0.00389	0.01113	-0.05818	0.00401	0.02273	-0.05144	0.01297	0.04311	-0.01609	0.01012	-0.00298	-0.05247	0.01579	0.00136	0.03747	0.01852	-0.00512	0.00763	0.00496	-0.00825	0.02534	0.01143	-0.02463	0.00048	0.00059	-0.00791	0.02519	0.00753	-0.02915	-0.00435	0.00462
13	-0.03231	-0.04515	0.01930	-1.03049	-0.21084	0.05296	-0.79826	-0.85002	0.21692	-0.54202	-0.14192	0.01343	-0.48869	-0.53309	0.11483	-0.17241	-0.07452	0.01939	-0.20366	-0.23743	0.05609	0.02064	-0.02690	0.00313	0.02804	-0.03815	0.01496	0.01360	-0.02948	0.02045	-0.00112	-0.03413	0.01292	0.02224	-0.00181	0.00749	-0.01916	-0.03503	0.01515	-0.00340	0.04033	0.01492	-0.00881	0.00368	0.00757	-0.01527	0.01243	0.00528	-0.01309	-0.01216	0.01394	-0.01062	0.01014	0.00309	-0.01551	-0.01470	0.01848
14	-0.03627	-0.03516	0.02512	-0.88663	-0.19559	0.07032	-0.74475	-0.73832	0.18896	-0.62389	-0.18251	0.06709	-0.47443	-0.53290	0.12737	-0.23515	-0.13466	0.05683	-0.22630	-0.25634	0.06436	0.02766	-0.00506	0.00375	0.03533	-0.01807	0.01784	0.02124	-0.00678	0.02681	-0.02091	-0.02363	0.01461	0.00596	0.00251	0.00956	-0.02251	-0.01794	0.01693	-0.00066	0.03314	0.01616	-0.00737	-0.00317	0.01377	-0.01355	-0.00090	0.01151	-0.00843	-0.02133	0.02692	-0.00762	-0.00385	0.01098	-0.00944	-0.02239	0.02814
15	-0.03092	-0.03250	0.02564	-0.78236	-0.23023	0.05590	-0.69658	-0.62976	0.18117	-0.61672	-0.19713	0.08618	-0.46009	-0.52050	0.15448	-0.22527	-0.14546	0.06849	-0.22802	-0.26718	0.08992	0.03399	-0.00163	-0.00276	0.03804	-0.01291	0.01092	0.03252	-0.00627	0.02102	-0.02928	-0.01448	0.01563	0.00328	0.00473	0.01449	-0.01850	-0.00782	0.01708	0.00760	0.02760	0.02040	-0.00069	-0.00783	0.01644	-0.00489	-0.00300	0.02196	-0.00862	-0.02063	0.02508	-0.00165	-0.00462	0.02093	-0.01032	-0.02250	0.02161
16	-0.02044	-0.03312	0.02076	-0.75881	-0.26737	0.04368	-0.64579	-0.55404	0.18662	-0.53559	-0.18340	0.06746	-0.44281	-0.48985	0.17606	-0.16293	-0.10688	0.05150	-0.21589	-0.25673	0.11122	0.04439	-0.01282	-0.00819	0.04030	-0.01944	0.00365	0.04266	-0.02016	0.01237	-0.02352	-0.00344	0.01096	0.01489	0.01221	0.01369	-0.01660	-0.00911	0.01272	0.01126	0.02781	0.01796	0.00386	-0.01441	0.01231	-0.00016	0.00446	0.02525	-0.00778	-0.01313	0.00965	-0.00128	0.00502	0.02336	-0.01006	-0.01561	0.00349
