RTOES_DIST,RTOES_DIST,RTOES_DIST,LTOES_DIST,LTOES_DIST,LTOES_DIST,RTOES_PROX,RTOES_PROX,RTOES_PROX,LTOES_PROX,LTOES_PROX,LTOES_PROX,RFTS_DIST,RFTS_DIST,RFTS_DIST,LFTS_DIST,LFTS_DIST,LFTS_DIST,RFTS_PROX,RFTS_PROX,RFTS_PROX,LFTS_PROX,LFTS_PROX,LFTS_PROX
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.22647000000000003,0.28534000000000004,0.00814,0.10140000000000002,0.73513,0.006170000000000002,0.17864,0.27388000000000007,0.012210000000000002,0.07982000000000002,0.69195,0.016449999999999996,0.19033000000000005,0.2553099999999999,0.01976,0.077,0.7007000000000001,0.024750000000000005,0.009080000000000001,0.21215000000000006,0.023770000000000003,-0.0109,0.5261200000000001,0.04294
0.22658948926166927,0.2857093125087029,0.00868725469560475,0.10222959061070906,0.734784305958899,0.004981259210629051,0.17875031141853032,0.2741315486080992,0.012308019985680086,0.08045977694896532,0.6920391733748831,0.01659497190227246,0.19046666217391506,0.25559964846486216,0.01990180368513146,0.07788760938546058,0.7011842929789995,0.024546122826180555,0.00931511796028108,0.2119876722751241,0.023430879374442996,-0.01070277276074232,0.5283039484461645,0.05278405725890657
0.2258938884129045,0.2857319042473969,0.008718214030915446,0.10319225497973611,0.7345679731044791,0.0031596163727610426,0.17807409456407514,0.2740343538131804,0.012216213601157901,0.08161912778254841,0.6926190081208132,0.017672069520762175,0.18984649224199235,0.25549859464388297,0.019707485784739274,0.07937463750447331,0.7023689792738881,0.02497791049114699,0.008796354198646914,0.2114791702498495,0.023509623813354006,-0.008293462480114196,0.5326556350259614,0.07018904096877186
0.2248483808833593,0.28552259733638036,0.008291108631804303,0.10318487447629501,0.7331675610738828,0.0024060957264478064,0.1770734409582161,0.27370680792770635,0.011884530662603273,0.08302233156386028,0.6931381309503093,0.023064925361309278,0.18891134540345209,0.255228016763521,0.019408174725739438,0.08104769144080642,0.7035615246180352,0.029461916422367753,0.007986717719041102,0.21075303177354718,0.023872524149462938,-0.0024004009675055757,0.5387972260292714,0.09596921593019718
0.22462609098115544,0.2854167234996333,0.008090151128618593,0.10169156633978643,0.7304770054806871,0.011020184918089529,0.17686684963642849,0.27356795809289586,0.011832817077278495,0.08422694271010817,0.6938764806201708,0.0391440026871072,0.18872555533708524,0.25512815224727,0.01944269320208803,0.08233819313894798,0.7047769237906516,0.044714667242737385,0.007854311844850276,0.21046424829903984,0.02407452408742295,0.005066197126981403,0.5450193548095726,0.12862920400308375
0.22492681410139417,0.2851779692349402,0.008173998567094148,0.09941968526720628,0.7324102962070902,0.038077080893700106,0.1771210345220398,0.27347773282756094,0.011795438158807368,0.08432853956322621,0.6972056615375615,0.06920946587683097,0.1889424156492175,0.25497184077431206,0.01928333341516129,0.08235818860735358,0.7082554129034082,0.07445481793372717,0.007940470858082867,0.21092173350279472,0.024428057519248807,0.01228170457626113,0.5498311762162005,0.16678372708984468
0.2251183609591522,0.2848549482883637,0.008332829157230501,0.09679722274358593,0.741591124977249,0.08137708559862915,0.17722089117948098,0.2733320112472978,0.011314594355801887,0.08296481847478765,0.7039474548516157,0.11013627921095526,0.1890211226136376,0.25479430087827015,0.01873904242701016,0.08067047514671122,0.7149250465678073,0.11540016086691036,0.007896690419288902,0.21137540594497922,0.025037975678051015,0.01966433773787106,0.5541402492287569,0.21005156359217816
0.22532458970002564,0.28468930600373643,0.008501327722158064,0.09524149593908246,0.7572608289489087,0.1342713927153905,0.17738965803877077,0.27323516529545855,0.010985302243474871,0.08233152347271096,0.7162189350516461,0.15844107365935753,0.18916553859064303,0.2547465417374931,0.01859828646097257,0.07959926818159725,0.7269838698995349,0.16393395308471526,0.008007453270914263,0.2114894244486709,0.024928700508132184,0.027224678886409507,0.5618638382566596,0.25625798124935956
0.22582762234551737,0.2843829179028838,0.008255207856756049,0.09720626701961638,0.7828096073948181,0.19276693831831493,0.17788582317316023,0.27295642281367044,0.010796723926835807,0.08510582021979636,0.7390454911603535,0.2121034163380234,0.18963584473187384,0.25453001734154485,0.01860569068512212,0.0819835158930644,0.7493887299123765,0.2181833818427979,0.00844316929373006,0.21136988844128182,0.02466404668077852,0.035139277748013155,0.5775959509185983,0.30080562535898386
0.22674478062269698,0.2837637122163786,0.007724798988035849,0.10283132117618962,0.8201153977251691,0.2552230837101533,0.1787661524764745,0.272498596954251,0.010297719012039904,0.09156718966340804,0.7741829334798298,0.26930224758047294,0.19047755060260552,0.25405997744892767,0.018119509323317774,0.08808265422669974,0.7838154901030273,0.2762672238604485,0.009161232370896926,0.21148173485528254,0.024707381551384983,0.045117927361340106,0.6038390117376288,0.3418211591518064
0.2274887080957206,0.2826291382189776,0.007677197421585091,0.11154149138644767,0.8668497472973735,0.31969042296555555,0.17938473175233277,0.27182392234686836,0.009915592174553511,0.10118809683644109,0.8194165388738522,0.3285473517983818,0.19095245236905126,0.25322960856044807,0.017586913225733303,0.09736044418663768,0.8281072881375423,0.3364924326607196,0.0092548530661702,0.21245350069792246,0.024949931454717262,0.05757717184804377,0.6409131408453829,0.3801648471913613
