Unnamed: 0_level_0,Neck_Joint_Position,Neck_Joint_Position,Neck_Joint_Position,L_ANKLE_POSITION,L_ANKLE_POSITION,L_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,L_HIP_POSITION,L_HIP_POSITION,L_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3832,0.01544,0.64518,1.52938,-0.00409,0.55177,0.07626,0.25637,0.3558,0.18174,-0.00481,0.61733,0.48853,0.25522,0.61076,0.51222,-0.0209,0.55564,0.91872,0.14704,0.53259,0.92594,-0.14815,0.62603,1.406,0.19553,0.59441,1.42437,-0.23546,0.5311,1.14621,0.29016,0.50269,1.16808,-0.25856,0.56945,0.88722,0.35094,0.56969,0.92836
3833,0.01541,0.6455,1.53004,-0.00388,0.55181,0.0762,0.25702,0.36384,0.17658,-0.00481,0.61695,0.48854,0.25497,0.61164,0.51244,-0.02072,0.55617,0.91887,0.1472,0.53298,0.92618,-0.14783,0.6271,1.40678,0.19588,0.59438,1.42476,-0.23519,0.53388,1.14638,0.28977,0.50336,1.16793,-0.25955,0.57584,0.88807,0.35022,0.57298,0.92888
3834,0.01557,0.64559,1.53076,-0.00395,0.55172,0.07626,0.25799,0.37197,0.17136,-0.00465,0.61649,0.48866,0.25472,0.6123,0.51262,-0.0206,0.55683,0.91914,0.14724,0.53302,0.92631,-0.14716,0.62836,1.40758,0.19601,0.59413,1.42527,-0.23486,0.53672,1.14674,0.28952,0.50429,1.16789,-0.26044,0.58196,0.88911,0.3497,0.57609,0.92942
3835,0.01609,0.64558,1.53146,-0.00434,0.55154,0.07635,0.25945,0.38005,0.16608,-0.0044,0.61579,0.48883,0.25436,0.61264,0.51263,-0.02032,0.5578,0.91954,0.14742,0.53317,0.92643,-0.14633,0.62965,1.40835,0.19589,0.59397,1.42576,-0.23452,0.53983,1.14704,0.28938,0.50536,1.16794,-0.26085,0.58789,0.88999,0.34934,0.57921,0.93004
3836,0.017,0.64557,1.53206,-0.00486,0.55137,0.07646,0.26118,0.38803,0.16066,-0.00412,0.61501,0.48904,0.25389,0.61262,0.51241,-0.01979,0.55893,0.92001,0.1479,0.53387,0.92659,-0.1456,0.63082,1.40897,0.19569,0.59421,1.42621,-0.23418,0.54322,1.14704,0.28927,0.50642,1.16815,-0.26062,0.59387,0.8905,0.34906,0.58241,0.93088
3837,0.0181,0.64557,1.53257,-0.00518,0.55107,0.0766,0.26288,0.39591,0.15516,-0.00376,0.6143,0.48923,0.25332,0.61226,0.51198,-0.01911,0.56003,0.92045,0.1486,0.5351,0.92678,-0.14511,0.63184,1.40939,0.19567,0.59477,1.42672,-0.23384,0.5467,1.1467,0.28912,0.5074,1.16847,-0.25988,0.59999,0.89066,0.3488,0.58577,0.93194
3838,0.01909,0.64554,1.53304,-0.00521,0.55039,0.07671,0.26445,0.40369,0.1497,-0.00327,0.61364,0.48934,0.25267,0.61164,0.51141,-0.0184,0.56108,0.92077,0.14936,0.53642,0.92692,-0.14477,0.63266,1.40971,0.19594,0.59521,1.42729,-0.23348,0.55,1.14622,0.28895,0.50836,1.1687,-0.25887,0.6063,0.89075,0.34864,0.58944,0.93309
3839,0.01988,0.64547,1.53351,-0.00514,0.54934,0.07671,0.26598,0.41139,0.14431,-0.00277,0.61289,0.4893,0.25197,0.61075,0.51075,-0.0177,0.56213,0.92095,0.15008,0.53757,0.92698,-0.14435,0.63315,1.41013,0.19645,0.59511,1.42789,-0.23296,0.55296,1.14585,0.28887,0.50941,1.16871,-0.25771,0.61293,0.89115,0.34873,0.59357,0.93423
3840,0.02052,0.64534,1.53405,-0.00519,0.54832,0.07655,0.2675,0.41926,0.1389,-0.00249,0.61199,0.48912,0.25129,0.60951,0.51006,-0.01696,0.56327,0.92102,0.15081,0.53863,0.92703,-0.14363,0.63342,1.41078,0.19703,0.5946,1.42851,-0.23216,0.55553,1.14578,0.28893,0.51059,1.16859,-0.25632,0.61992,0.89211,0.34898,0.59809,0.93539
3841,0.02107,0.64511,1.5347,-0.00538,0.54781,0.07631,0.26892,0.42759,0.13345,-0.00255,0.61095,0.48896,0.25067,0.6079,0.50945,-0.01612,0.5645,0.92114,0.15162,0.53971,0.92721,-0.1426,0.63382,1.41155,0.19769,0.59423,1.42913,-0.2312,0.55783,1.14602,0.2891,0.51182,1.16853,-0.25464,0.62702,0.89355,0.34909,0.60257,0.93655
