Unnamed: 0_level_0,L_TO_ANGLE,L_TO_ANGLE,L_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,L_FT_ANGLE,L_FT_ANGLE,L_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,L_SK_ANGLE,L_SK_ANGLE,L_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,L_TH_ANGLE,L_TH_ANGLE,L_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,L_AR_ANGLE,L_AR_ANGLE,L_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,L_FA_ANGLE,L_FA_ANGLE,L_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2214,-19.35615,10.10497,-15.05167,-4.18324,5.17687,-55.47632,-20.8342,10.49247,-14.78741,-0.25597,-0.54922,-55.63513,-20.83421,10.49247,-14.78741,-0.25598,-0.54922,-55.63513,-6.00454,16.33161,-28.021,-14.75194,0.67091,-51.5569,29.21019,-3.38518,-32.66962,-4.17354,-9.48401,-50.98221,-5.81052,8.70858,-46.22999,-5.37605,11.25392,-51.3478,-13.14719,11.37684,-27.43769,-33.88415,20.59101,-21.65045,22.65834,-6.57949,-84.53015,7.63339,-19.03147,-32.4334,-162.21809,-37.88925,-1.94803,151.77132,-6.51411,110.24055,-155.51929,-31.6088,2.19362,156.12148,-7.73078,110.86476
2215,-18.71259,9.81307,-14.89686,-4.20577,4.94116,-55.37271,-20.76545,10.34402,-14.53758,-0.33001,-0.68701,-55.5168,-20.76546,10.34403,-14.53757,-0.33001,-0.687,-55.5168,-5.68864,16.39749,-27.7851,-14.68463,0.81996,-51.13368,29.14368,-3.19497,-32.34955,-4.05626,-9.2428,-50.5904,-5.96602,8.51264,-45.85976,-5.57977,10.90386,-50.71802,-13.63919,10.95671,-26.70379,-34.42764,19.94292,-21.09153,21.081,-6.42908,-81.77182,7.37289,-19.27971,-32.14095,-166.27827,-37.96887,-0.91411,151.36336,-6.18485,110.84698,-158.35022,-30.5861,3.99911,156.19194,-7.82915,111.54752
2216,-18.23458,9.9522,-14.88212,-3.83086,4.53492,-55.29518,-20.22512,10.4664,-14.52927,-0.28128,-0.6024,-55.41713,-20.22513,10.4664,-14.52927,-0.28129,-0.60239,-55.41713,-5.428,16.43314,-27.35105,-14.65146,0.92475,-50.9344,29.0915,-2.97612,-31.82092,-3.90889,-8.97746,-50.43534,-6.09463,8.27108,-45.50895,-5.74157,10.6028,-50.0976,-13.87847,10.74288,-26.3835,-34.68511,19.63133,-20.8597,19.74712,-6.44387,-78.81544,7.13732,-19.62722,-31.70023,-170.18605,-37.50916,-1.1853,150.94141,-5.6793,110.88646,-160.69705,-29.8355,4.61381,156.21541,-7.48096,111.6225
2217,-18.06677,10.4522,-14.79614,-3.24403,4.35835,-55.25167,-19.3751,10.78898,-14.555,-0.04507,-0.26256,-55.36611,-19.3751,10.78899,-14.555,-0.04508,-0.26255,-55.36611,-5.24253,16.3624,-26.88275,-14.63841,1.02588,-50.84195,29.05706,-2.7108,-31.31675,-3.76369,-8.73295,-50.3886,-6.18084,7.98217,-45.13646,-5.87247,10.33801,-49.42147,-13.96315,10.6423,-26.22322,-34.77964,19.48136,-20.7414,18.58339,-6.55594,-75.71936,7.27862,-19.95074,-31.02862,-173.90323,-36.60739,-4.02675,150.77609,-5.08004,110.53248,-161.94713,-29.91543,3.11432,156.01038,-6.89108,111.209
2218,-18.04566,11.03229,-14.50131,-2.79679,4.75821,-55.22844,-18.54894,11.15958,-14.40445,0.3671,0.19142,-55.3652,-18.54895,11.15958,-14.40445,0.36709,0.19142,-55.3652,-5.08643,16.18683,-26.61964,-14.64674,1.15065,-50.74923,29.04251,-2.42767,-31.10747,-3.61394,-8.53743,-50.33654,-6.24453,7.67411,-44.70665,-5.96066,10.06996,-48.6473,-14.1045,10.52131,-25.99953,-34.9371,19.2901,-20.56911,17.4635,-6.74751,-72.48483,7.86753,-20.18744,-30.19583,-177.51631,-35.37236,-9.38394,150.94745,-4.48767,110.19825,-162.45717,-30.62659,-0.54932,155.49559,-6.28234,110.73134
2219,-17.90824,11.45835,-14.0773,-2.63226,5.522,-55.18782,-17.92392,11.4622,-14.07419,0.80202,0.57009,-55.37053,-17.92392,11.46221,-14.07419,0.80201,0.5701,-55.37053,-4.89743,15.97342,-26.58081,-14.68932,1.2997,-50.61687,29.03456,-2.14933,-31.17151,-3.42146,-8.37608,-50.24398,-6.31412,7.39508,-44.21558,-5.99672,9.76971,-47.83023,-14.34764,10.35638,-25.72476,-35.19783,19.03982,-20.36389,16.34453,-7.07548,-69.18908,8.66575,-20.41802,-29.38384,178.97844,-33.92435,-16.41735,151.33418,-3.91183,110.21706,-163.13748,-31.37671,-6.02927,154.83092,-5.64531,110.57886
2220,-17.64041,11.55926,-13.65792,-2.60131,5.98106,-55.10587,-17.47255,11.51925,-13.6915,1.02953,0.75997,-55.31964,-17.47256,11.51925,-13.6915,1.02953,0.75998,-55.31964,-4.65127,15.7844,-26.52175,-14.75475,1.4694,-50.43644,29.01722,-1.85728,-31.1936,-3.16924,-8.22003,-50.10794,-6.4045,7.18663,-43.6888,-6.01028,9.46117,-47.08707,-14.53953,10.21805,-25.50913,-35.40235,18.83501,-20.20634,15.2738,-7.53329,-66.0681,9.3785,-20.77403,-28.7187,175.74365,-32.42995,-23.70259,151.72783,-3.29907,110.56673,-164.59737,-31.75182,-12.37312,154.30095,-4.86275,110.78992
2221,-17.44612,11.22783,-13.2403,-2.58356,5.84237,-54.98166,-17.13168,11.15508,-13.30133,0.97705,0.74648,-55.18655,-17.13169,11.15508,-13.30133,0.97705,0.74648,-55.18655,-4.3738,15.63328,-26.20998,-14.79878,1.66593,-50.15639,28.99742,-1.53289,-30.90509,-2.8935,-8.06084,-49.87259,-6.52268,7.03887,-43.14969,-6.0558,9.19348,-46.4616,-14.55673,10.12792,-25.33471,-35.43232,18.68964,-20.07084,14.33085,-7.96796,-63.33305,9.87894,-21.26948,-28.13747,172.95311,-31.07965,-29.47858,151.92004,-2.64049,110.90237,-166.94548,-31.62461,-18.03391,154.04799,-3.90605,111.04806
2222,-17.40904,10.60002,-12.76231,-2.63665,5.50827,-54.80539,-16.84735,10.47442,-12.86503,0.79935,0.62386,-54.9894,-16.84735,10.47442,-12.86503,0.79935,0.62386,-54.9894,-4.1075,15.50156,-25.64051,-14.79127,1.8818,-49.70181,28.9852,-1.20199,-30.30589,-2.65192,-7.89288,-49.45541,-6.67209,6.88522,-42.59246,-6.15065,8.97002,-45.85652,-14.48999,9.98976,-25.02326,-35.39088,18.45123,-19.82055,13.6038,-8.23959,-60.99196,10.22757,-21.76496,-27.44857,170.6839,-29.95831,-32.61921,151.77234,-2.01411,111.06001,-169.94034,-31.04849,-21.80892,154.04674,-2.90938,111.18141
