	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
86	0.22273	0.03248	0.01087	0.01015	0.38231	0.03995
87	0.22314	0.03220	0.01098	0.01023	0.38365	0.04578
88	0.22347	0.03215	0.01096	0.00987	0.38535	0.05165
89	0.22378	0.03213	0.01083	0.00901	0.38739	0.05762
90	0.22415	0.03183	0.01071	0.00788	0.38966	0.06374
91	0.22447	0.03123	0.01063	0.00675	0.39196	0.07002
92	0.22458	0.03063	0.01062	0.00559	0.39420	0.07649
93	0.22448	0.03028	0.01068	0.00408	0.39647	0.08305
94	0.22429	0.03022	0.01075	0.00210	0.39888	0.08935
95	0.22411	0.03032	0.01068	-0.00016	0.40149	0.09494
96	0.22396	0.03048	0.01056	-0.00246	0.40426	0.09963
97	0.22388	0.03067	0.01054	-0.00468	0.40715	0.10363
98	0.22388	0.03089	0.01059	-0.00666	0.41006	0.10723
99	0.22390	0.03110	0.01055	-0.00816	0.41291	0.11037
100	0.22383	0.03121	0.01036	-0.00903	0.41571	0.11272
101	0.22365	0.03123	0.01009	-0.00946	0.41865	0.11406
102	0.22343	0.03116	0.00987	-0.00994	0.42189	0.11449
103	0.22324	0.03104	0.00983	-0.01086	0.42544	0.11421
104	0.22313	0.03094	0.00999	-0.01215	0.42919	0.11346
105	0.22309	0.03095	0.01027	-0.01344	0.43310	0.11237
106	0.22309	0.03100	0.01052	-0.01459	0.43718	0.11091
107	0.22301	0.03097	0.01064	-0.01582	0.44141	0.10894
108	0.22279	0.03084	0.01058	-0.01746	0.44570	0.10639
109	0.22244	0.03075	0.01033	-0.01963	0.44990	0.10335
110	0.22212	0.03076	0.00991	-0.02209	0.45398	0.09996
111	0.22189	0.03084	0.00940	-0.02446	0.45799	0.09627
112	0.22168	0.03093	0.00895	-0.02645	0.46197	0.09242
113	0.22144	0.03107	0.00879	-0.02808	0.46592	0.08864
114	0.22128	0.03125	0.00898	-0.02958	0.46975	0.08510
