	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
11	0.33792	0.17610	0.00686	0.24118	0.67967	0.00951	0.29142	0.16146	0.01178	0.21721	0.63715	0.01379	0.30542	0.14092	0.01930	0.20075	0.65409	0.02161	0.12195	0.08358	0.01997	0.10529	0.48213	0.01133
12	0.33800	0.17599	0.00721	0.24117	0.67921	0.00939	0.29147	0.16142	0.01212	0.21710	0.63677	0.01387	0.30541	0.14089	0.01976	0.20070	0.65374	0.02179	0.12187	0.08377	0.01975	0.10474	0.48207	0.01130
13	0.33810	0.17608	0.00742	0.24110	0.67880	0.00928	0.29158	0.16153	0.01243	0.21696	0.63640	0.01385	0.30549	0.14101	0.02015	0.20065	0.65338	0.02191	0.12194	0.08392	0.01966	0.10424	0.48198	0.01128
14	0.33809	0.17628	0.00739	0.24105	0.67854	0.00937	0.29159	0.16169	0.01245	0.21687	0.63615	0.01372	0.30553	0.14116	0.02012	0.20062	0.65313	0.02190	0.12202	0.08393	0.01983	0.10394	0.48187	0.01138
15	0.33788	0.17649	0.00715	0.24102	0.67855	0.00960	0.29142	0.16182	0.01238	0.21684	0.63613	0.01374	0.30542	0.14128	0.01991	0.20062	0.65311	0.02197	0.12198	0.08382	0.02009	0.10388	0.48188	0.01156
16	0.33755	0.17659	0.00689	0.24099	0.67876	0.00981	0.29116	0.16186	0.01249	0.21683	0.63634	0.01403	0.30519	0.14130	0.01990	0.20059	0.65330	0.02227	0.12181	0.08367	0.02026	0.10392	0.48204	0.01163
17	0.33727	0.17653	0.00678	0.24095	0.67899	0.00987	0.29094	0.16178	0.01280	0.21680	0.63661	0.01451	0.30497	0.14122	0.02020	0.20054	0.65356	0.02274	0.12160	0.08354	0.02033	0.10395	0.48229	0.01149
18	0.33717	0.17635	0.00681	0.24096	0.67916	0.00988	0.29086	0.16164	0.01317	0.21681	0.63684	0.01502	0.30487	0.14108	0.02061	0.20049	0.65377	0.02318	0.12147	0.08350	0.02042	0.10402	0.48248	0.01132
19	0.33720	0.17624	0.00691	0.24099	0.67924	0.01004	0.29090	0.16156	0.01338	0.21685	0.63694	0.01534	0.30489	0.14100	0.02084	0.20048	0.65388	0.02338	0.12147	0.08351	0.02058	0.10417	0.48250	0.01142
20	0.33725	0.17627	0.00705	0.24098	0.67925	0.01045	0.29093	0.16156	0.01332	0.21685	0.63688	0.01529	0.30494	0.14099	0.02074	0.20047	0.65384	0.02325	0.12154	0.08344	0.02079	0.10428	0.48235	0.01185
